ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,281289877d89e9889e2c2fe2561b566cd8753d87,Scott Shawcroft,2016-11-28 20:43:38+00:00,Initial version of register data descriptors.,False,193,193,0,1.0,1.0,0.1891891891891892,189,83,120,19,1.7058823529411764,82.64129863488517,12.5,17.5,86.01835394073424,1.9978448275862069,450.0563739634204,25.00313188685669,0.028672784646911413
1,03ee42f19c71733aa1e321c67a6c0cff452708d8,Scott Shawcroft,2016-11-28 23:55:07+00:00,Add docs and fix i2c_bit.,False,513,485,28,,,,497,124,160,186,1.7058823529411764,78.03250351425163,11.0,15.0,71.13661124747475,1.7982758620689654,362.36702726562373,20.13150151475687,0.02371220374915825
2,ec1afdff2eeffceb5fca0a9aceb7e3b2bd44d7ea,Scott Shawcroft,2016-12-03 00:19:15+00:00,Stop using memoryviews and start using I2CDevice to manage transaction related state.,False,186,122,64,1.0,1.0,0.0,543,122,162,228,1.7058823529411764,75.44947966524488,11.0,15.0,71.13661124747475,1.7982758620689654,362.36702726562373,20.13150151475687,0.02371220374915825
3,bc889afba2a3fc938995d210e9dc944df1eb6fd0,Tony DiCola,2017-01-03 06:01:41+00:00,Add i2c_struct class for arbitrary structure register.,False,49,49,0,1.0,1.0,0.0,592,139,177,249,1.619047619047619,75.67724374399783,9.666666666666666,13.0,60.0729906232562,1.581896551724138,302.3687633465334,16.798264630362965,0.02002433020775207
4,e6c176d099a43751eb09428432259c38e9e9e891,Scott Shawcroft,2017-01-05 01:09:04+00:00,"Updates for RTCs:
* Add multibit registers.
* Make weekday stuff configurable for field order and weekday offset.",False,156,132,24,1.0,0.6511627906976745,0.0,700,187,223,274,1.7777777777777777,74.02354821551423,14.142857142857142,21.571428571428573,110.06792908332214,2.0786445012787724,597.5618055257302,33.197878084762785,0.03668930969444072
5,e5858e8e609f1af674f1fca3959b2701349cf127,Scott Shawcroft,2017-01-06 00:46:19+00:00,Switch over to CircuitPython and consolidate the README and index files.,False,151,88,63,,,,695,185,219,274,1.8846153846153846,74.00834998422151,14.428571428571429,22.142857142857142,114.09298741429738,2.200026819238334,691.3596109273802,38.40886727374334,0.0380309958047658
6,c2621d044fd3ce27e14e19eff7f123ddeb6941dc,Scott Shawcroft,2017-01-06 00:50:43+00:00,Update README location,False,2,1,1,,,,695,185,219,274,1.8846153846153846,74.00834998422151,14.428571428571429,22.142857142857142,114.09298741429738,2.200026819238334,691.3596109273802,38.40886727374334,0.0380309958047658
7,32b1fc9905f754c67e789fe3f0fb8d235fc71b72,Scott Shawcroft,2017-01-06 01:19:50+00:00,More doc work including linking to the CircuitPython docs.,False,33,17,16,,,,696,185,220,274,1.8846153846153846,74.1025410934174,14.428571428571429,22.142857142857142,114.09298741429738,2.200026819238334,691.3596109273802,38.40886727374334,0.0380309958047658
8,1e939bde9b0bb4bc595019db809296abd3438f9e,Tony DiCola,2017-01-06 01:56:23+00:00,Fix typo in i2c_struct setter.,False,2,1,1,,,,696,185,220,274,1.8846153846153846,74.1025410934174,14.428571428571429,22.142857142857142,114.09298741429738,2.200026819238334,691.3596109273802,38.40886727374334,0.0380309958047658
9,95cb434c60e5057d6ccd742d59690805fbad8432,Scott Shawcroft,2017-01-06 02:05:55+00:00,Cross-reference with Adafruit_CircuitPython_BusDevice docs.,False,15,8,7,,,,697,185,221,274,1.8846153846153846,74.20315784973924,14.428571428571429,22.142857142857142,114.09298741429738,2.200026819238334,691.3596109273802,38.40886727374334,0.0380309958047658
