ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,a14ec51fde454f6bbab143b51c6f62822f2c025a,Tony DiCola,2016-02-19 09:41:53+00:00,Initial commit.,False,728,726,2,0.8006230529595015,1.0,0.5763239875389408,697,386,423,118,1.627906976744186,82.30164867293466,18.0,24.4,136.52813053284785,1.222222222222222,420.6105873770128,23.36725485427849,0.04550937684428262
1,96a5a4761544481505846ead7e8e975bbe1d60ec,Tony DiCola,2016-02-19 09:57:32+00:00,Fix issue with block read needing to return list of bytes (bytearray).,False,65,64,1,,,,697,386,423,118,1.627906976744186,82.30164867293466,18.0,24.4,136.52813053284785,1.222222222222222,420.6105873770128,23.36725485427849,0.04550937684428262
2,b9202d81aaef0205dd22537274f68bb2169f5f07,Tony DiCola,2016-04-14 19:19:02+00:00,Fix bug with read block not returning all results when null bytes are encountered.,False,13,7,6,1.0,1.0,1.0,698,387,424,119,1.627906976744186,82.28779461528215,18.0,24.4,136.52813053284785,1.222222222222222,420.6105873770128,23.36725485427849,0.04550937684428262
3,105a4bb3d2b07655b0a67807c069633cba1f05b1,Tony DiCola,2016-04-14 19:26:54+00:00,Remove debug text.,False,1,0,1,0.0,0.0,0.0,697,386,423,119,1.627906976744186,82.28354416328364,18.0,24.4,136.52813053284785,1.222222222222222,420.6105873770128,23.36725485427849,0.04550937684428262
4,a29d95a2995b42198882e2b18f888316a521a845,Tony DiCola,2016-04-14 22:36:19+00:00,Allow write block to send empty block (needed for some libraries).,False,3,1,2,0.0,0.0,1.0,696,385,422,119,1.627906976744186,82.3934941919758,16.6,22.6,123.21117534507273,1.0081632653061223,287.22160929099255,15.95675607172181,0.041070391781690904
5,5e952c2b6cc217e18a666dbfe301644291b7f9dc,Tony DiCola,2016-10-19 22:23:26+00:00,Fix python 3 pip install issue with ez_setup relative import.,False,12,9,3,,,,702,388,425,121,1.627906976744186,82.3934941919758,16.6,22.6,123.21117534507273,1.0081632653061223,287.22160929099255,15.95675607172181,0.041070391781690904
6,93e0492681f0dac67873c06972ae4a75f0b0f858,ladyada,2018-06-20 21:36:31+00:00,add a function to read multiple bytes,False,6,6,0,1.0,1.0,0.0,708,393,429,121,1.6136363636363635,82.3140460927956,17.0,23.2,127.48158005760945,1.007843137254902,295.7923604665881,16.43290891481045,0.04249386001920315
7,c8b069d83d15d85e16504606277b2453b2754548,ladyada,2018-06-24 21:26:23+00:00,fix line,False,3,2,1,,,,709,393,430,121,1.6136363636363635,82.3140460927956,17.0,23.2,127.48158005760945,1.007843137254902,295.7923604665881,16.43290891481045,0.04249386001920315
8,a3b80d84500d41c0c6eb8b9101138b1eecce50b0,ladyada,2018-06-25 02:38:43+00:00,just the bytes ma'am,False,8,7,1,1.0,1.0,0.0,715,398,434,121,1.6,82.23146663377459,17.4,23.8,131.78518675609357,1.0075471698113208,304.4285087644522,16.912694931358455,0.04392839558536452
9,80e90f5daa5bdb760d05782e4fe6aa3cd9d1aca7,Scott Shawcroft,2018-06-26 20:54:23+00:00,Enable push to pypi on release and cleanup pylint.,False,491,469,22,,,,723,402,435,127,1.6,82.09989400058205,17.4,23.8,131.78518675609357,1.0075471698113208,304.4285087644522,16.912694931358455,0.04392839558536452
10,595957cc5662c1b22306fe9c05eb45abb6b9ce72,Scott Shawcroft,2018-06-26 20:58:52+00:00,Rename buffer to buf for lint.,False,6,3,3,,,,723,402,435,127,1.6,82.09989400058205,17.4,23.8,131.78518675609357,1.0075471698113208,304.4285087644522,16.912694931358455,0.04392839558536452
11,90e73171e3a7400e59be42fab36f4d67506fc9b7,"Limor ""Ladyada"" Fried",2018-06-27 02:39:17+00:00,Update setup.py,False,2,1,1,,,,723,402,435,127,1.6,82.09989400058205,17.4,23.8,131.78518675609357,1.0075471698113208,304.4285087644522,16.912694931358455,0.04392839558536452
12,4e2c1d73a7e070c01d8265c0b3b91de85f4040f6,Scott Shawcroft,2018-08-08 18:12:13+00:00,"Remove explicit object inheritance

It's not needed in python3",False,2,1,1,,,,723,402,435,127,1.6,82.09989400058205,17.4,23.8,131.78518675609357,1.0075471698113208,304.4285087644522,16.912694931358455,0.04392839558536452
13,6f4976d91c52d70b67b28bba75a429b5328a52c1,Scott Shawcroft,2018-08-08 19:48:59+00:00,Disable pylint check so we can be python2 compatible,False,2,1,1,,,,723,402,435,128,1.6,82.08282751891619,17.4,23.8,131.78518675609357,1.0075471698113208,304.4285087644522,16.912694931358455,0.04392839558536452
14,90e4dcb791cfaffdf4423fe8b1ba39441a8b9de4,Lady Ada,2019-12-01 23:35:13+00:00,allow multibyte write-then-read and is backcompatible if you pass in a byte instead of a bytearray,False,20,16,4,0.0,1.0,0.0,735,408,441,130,1.6444444444444444,81.99882797340486,17.8,24.2,134.9442431460313,1.1092592592592592,360.52771224965943,20.029317347203303,0.044981414382010435
15,29a936f8f5768e424138b698528cd66ff7e34198,Lady Ada,2019-12-01 23:50:12+00:00,lint,False,12,6,6,,,,735,408,441,130,1.6444444444444444,81.99882797340486,17.8,24.2,134.9442431460313,1.1092592592592592,360.52771224965943,20.029317347203303,0.044981414382010435
16,948d16737a21900587dcf53a005cb9987d6563df,Lady Ada,2019-12-02 00:21:03+00:00,make 2.7 happy,False,2,1,1,,,,735,408,441,130,1.6444444444444444,81.99882797340486,17.8,24.2,134.9442431460313,1.1092592592592592,360.52771224965943,20.029317347203303,0.044981414382010435
17,431aaef98941672e66bbf2c7cf3efcc99ac50a26,Lady Ada,2019-12-02 00:27:26+00:00,go back to oldlint,False,6,4,2,,,,737,408,441,131,1.6444444444444444,81.98287850297058,17.8,24.2,134.9442431460313,1.1092592592592592,360.52771224965943,20.029317347203303,0.044981414382010435
18,f66c3651d3b88ba78ffe69bcb9980aff33221540,Lady Ada,2019-12-02 00:30:43+00:00,undo modern pylint complaint,False,4,1,3,,,,735,408,441,129,1.6444444444444444,82.01459003016136,17.8,24.2,134.9442431460313,1.1092592592592592,360.52771224965943,20.029317347203303,0.044981414382010435
19,6079e9e49d7441efbdfc8c03cb03d2ab6e604e80,Melissa LeBlanc-Williams,2019-12-04 19:26:49+00:00,Updated setup.py with newer version number,False,4,2,2,,,,735,408,441,129,1.6444444444444444,82.01459003016136,17.8,24.2,134.9442431460313,1.1092592592592592,360.52771224965943,20.029317347203303,0.044981414382010435
20,dd2c6afcc439fd2f1f884ee74adc3fd22774d8f1,Melissa LeBlanc-Williams,2019-12-04 19:45:09+00:00,Updated setup.py to use setuptools_scm and adding COC,False,473,116,357,0.3121951219512195,0.0,0.2926829268292683,420,205,223,121,1.28,88.53350790566034,15.5,21.5,123.25356514979907,0.7615740740740741,311.407619275002,17.300423293055665,0.04108452171659969
21,0016d55dfe734d3062c8e7e74706c4e5614b102d,Melissa LeBlanc-Williams,2019-12-04 20:51:21+00:00,Fixed directory name in setup.py,False,2,1,1,,,,420,205,223,121,1.28,88.53350790566034,15.5,21.5,123.25356514979907,0.7615740740740741,311.407619275002,17.300423293055665,0.04108452171659969
22,24d916274ff6a63fb7576546cd6b1075200e85b6,Melissa LeBlanc-Williams,2020-04-03 01:14:20+00:00,Initial working version,False,419,419,0,0.7898550724637681,0.7898550724637681,0.34782608695652173,837,411,421,147,1.4736842105263157,81.40650213326403,22.4,34.2,194.54840734600958,1.675925925925926,760.8357232929098,42.26865129405054,0.06484946911533652
23,1298d255f2d78b6877d3a32d7e11ebdee286a196,Melissa LeBlanc-Williams,2020-04-03 19:50:15+00:00,Improvements and linting,False,177,55,122,0.0,1.0,0.0,770,420,428,148,1.5,81.12373463359862,23.6,36.0,207.78112465452222,1.6425925925925928,813.2138368491969,45.17854649162205,0.06926037488484074
24,f586d577bb6a97a6b0808e2ee1e9788b8caf52fc,Melissa LeBlanc-Williams,2020-04-03 19:55:03+00:00,Reverted smbus for Travis on Python 2.7,False,2,1,1,,,,770,420,428,148,1.5,81.12373463359862,23.6,36.0,207.78112465452222,1.6425925925925928,813.2138368491969,45.17854649162205,0.06926037488484074
25,4cd1ac2169542dea5aaab76b97df4387dad920bc,Melissa LeBlanc-Williams,2020-04-03 19:57:22+00:00,Fix case sensitivity,False,2,1,1,,,,770,420,428,148,1.5,81.12373463359862,23.6,36.0,207.78112465452222,1.6425925925925928,813.2138368491969,45.17854649162205,0.06926037488484074
26,aa319f8dd88e0201746a2f40fc3f1d419fccc4ce,Melissa LeBlanc-Williams,2020-04-16 17:48:28+00:00,Black formatting,False,396,250,146,0.0,0.8829787234042553,0.02127659574468085,874,421,523,142,1.5,81.28077273097259,23.6,36.0,207.78112465452222,1.6425925925925928,813.2138368491969,45.17854649162205,0.06926037488484074
27,eff0543a0389aceae6f37cf63f9b803b6ef9e9de,Melissa LeBlanc-Williams,2020-04-16 18:42:24+00:00,linted files,False,33,18,15,,,,878,425,527,142,1.5,81.15737656893776,24.0,36.6,212.24768342531416,1.6332592592592594,830.9876317040331,46.165979539112946,0.07074922780843804
