ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,15053f7a5aa692dbc09cfeb1f980df36cf87c91a,Brendan Curran-Johnson,2013-11-22 06:24:05+00:00,Code written/working Tests forthcoming,False,326,319,7,1.0,0.7303370786516854,0.651685393258427,309,129,117,9,2.0434782608695654,76.79339531617222,17.5,23.0,117.97350938973423,2.5096153846153846,592.1362682830891,32.89645934906051,0.03932450312991141
1,efca0b3100f615e5fb8ae6ecf2b61f6fcb37c497,Brendan Curran-Johnson,2013-11-22 16:25:53+00:00,bug in setup.py,False,2,1,1,,,,309,129,117,9,2.0434782608695654,76.79339531617222,17.5,23.0,117.97350938973423,2.5096153846153846,592.1362682830891,32.89645934906051,0.03932450312991141
2,d0d1bbf5c3075be559fc4203933e6068604c27b0,Brendan Curran-Johnson,2013-11-22 20:21:23+00:00,Code written/tested. TODO: Documentation,False,461,436,25,0.49122807017543857,1.0,1.0,720,395,352,30,1.675,68.76612850116636,26.0,41.333333333333336,218.46329171297293,2.5642857142857145,801.4179878714843,44.5232215484158,0.07282109723765764
3,bd9bf51258f5e44e16b502407852052c92acb622,Brendan Curran-Johnson,2013-11-22 20:55:38+00:00,2.6 support,False,91,74,17,0.0,0.1956521739130435,1.0,777,439,396,52,2.25,67.41976971899074,26.666666666666668,42.0,223.76658790752504,2.7842592592592594,903.1746300252598,50.17636833473666,0.07458886263584168
4,b71bb29283e76c07e136eb0f613e0e01b5609cc9,Brendan Curran-Johnson,2013-11-22 21:03:01+00:00,Simplified __setattr__,False,8,1,7,0.0,0.0,0.5,771,438,394,49,2.2,67.80823822060037,24.666666666666668,39.0,204.45593182471723,2.5742592592592595,762.0360035175545,42.33533352875302,0.06815197727490574
5,881a21cd3baf21f61b6f41ddfcefa602911b8e2e,Brendan Curran-Johnson,2013-11-22 22:06:52+00:00,iter functions handled more cleanly,False,20,17,3,1.0,1.0,1.0,785,441,397,49,2.116279069767442,67.28010811918443,24.666666666666668,39.0,204.45593182471723,2.5742592592592595,762.0360035175545,42.33533352875302,0.06815197727490574
6,67cec7f876a4ac9d2ac76d17b2a27efb4c7c355c,Brendan Curran-Johnson,2013-11-23 04:58:43+00:00,Version 0.1.0,False,26,13,13,,,,785,441,397,49,2.116279069767442,67.28010811918443,24.666666666666668,39.0,204.45593182471723,2.5742592592592595,762.0360035175545,42.33533352875302,0.06815197727490574
7,f100f04cf797194be317d0049aaedd88d71da74e,Brendan Curran-Johnson,2013-11-23 05:05:04+00:00,documentation fixes,False,4,4,0,,,,786,441,398,49,2.116279069767442,67.28010811918443,24.666666666666668,39.0,204.45593182471723,2.5742592592592595,762.0360035175545,42.33533352875302,0.06815197727490574
8,422f3fd7a63290ace90309a153a8a98dcb6ca98a,Brendan Curran-Johnson,2013-11-23 05:07:18+00:00,updated version number,False,2,1,1,,,,786,441,398,49,2.116279069767442,67.28010811918443,24.666666666666668,39.0,204.45593182471723,2.5742592592592595,762.0360035175545,42.33533352875302,0.06815197727490574
9,8ff84564e9919eeec12848ebff0d2c7f76e1e0b4,Brendan Curran-Johnson,2013-11-29 21:04:19+00:00,AttrDict extends MutableMapping,False,4,2,2,,,,786,441,398,49,2.116279069767442,67.28010811918443,24.666666666666668,39.0,204.45593182471723,2.5742592592592595,762.0360035175545,42.33533352875302,0.06815197727490574
10,f83140db3ad8dc41a20ce957443f16f4a748dc13,Brendan Curran-Johnson,2013-11-29 21:06:55+00:00,updated versioning,False,3,2,1,,,,786,441,398,49,2.116279069767442,67.28010811918443,24.666666666666668,39.0,204.45593182471723,2.5742592592592595,762.0360035175545,42.33533352875302,0.06815197727490574
11,85eb3c056749754fad0c77ecb093df0a8b1edf8b,Brendan Curran-Johnson,2014-01-03 19:09:00+00:00,V0.2.0,False,128,108,20,0.24242424242424243,0.7878787878787878,0.09090909090909091,844,473,431,52,2.2954545454545454,65.98466723007591,30.0,52.333333333333336,289.35248282697984,2.699074074074074,1141.8829210122005,63.437940056233366,0.09645082760899326
12,cd22921a245eceb57dcc7b9824607dd1953ebfb9,Brendan Curran-Johnson,2014-03-19 16:07:23+00:00,"Fix dict-style access, recursive Sequences

Fixes for issues 4, 5.

setting of attributes was double-wrapping dicts as AttrDicts.
Sequences are now recursed in such a way that they maintain their type (when possible)",False,106,96,10,0.058823529411764705,0.9215686274509803,0.9411764705882353,929,524,482,62,2.466666666666667,64.76076692526347,33.333333333333336,63.333333333333336,363.1837710417446,2.806818181818182,1501.9813587071228,83.44340881706236,0.12106125701391486
13,53a358d9de1124e77f2af374aa9f2a27bb19d0f4,Brendan Curran-Johnson,2014-03-19 16:12:07+00:00,incremented version,False,2,1,1,,,,929,524,482,62,2.466666666666667,64.76076692526347,33.333333333333336,63.333333333333336,363.1837710417446,2.806818181818182,1501.9813587071228,83.44340881706236,0.12106125701391486
14,b9ec9505ae859b5ae39f6296f6155bedd0ed617a,Brendan Curran-Johnson,2014-03-19 16:21:12+00:00,"Fix dict-style access, recursive Sequences

Fixes for issues 4, 5.

setting of attributes was double-wrapping dicts as AttrDicts.
Sequences are now recursed in such a way that they maintain their type (when possible)",False,106,96,10,0.058823529411764705,0.9215686274509803,0.9411764705882353,929,524,482,62,2.466666666666667,64.76076692526347,33.333333333333336,63.333333333333336,363.1837710417446,2.806818181818182,1501.9813587071228,83.44340881706236,0.12106125701391486
15,25d9ee01e8e2a97888c9cbdc379dffa534246002,Brendan Curran-Johnson,2014-03-19 16:21:12+00:00,incremented version,False,2,1,1,,,,929,524,482,62,2.466666666666667,64.76076692526347,33.333333333333336,63.333333333333336,363.1837710417446,2.806818181818182,1501.9813587071228,83.44340881706236,0.12106125701391486
16,6c61c278c67e52564d954940aae6cb638ce6f114,Brendan Curran-Johnson,2014-05-28 19:30:50+00:00,"Tests moved out-of-package

No need to install tests, they are moved out of the package directory",False,2,1,1,,,,929,524,482,62,2.466666666666667,64.76076692526347,33.333333333333336,63.333333333333336,363.1837710417446,2.806818181818182,1501.9813587071228,83.44340881706236,0.12106125701391486
17,27dfc00e3d7668729315ff861aa8e5fe37d23da6,Brendan Curran-Johnson,2014-05-28 19:47:28+00:00,formatting,False,2,0,2,,,,927,524,482,62,2.466666666666667,64.76076692526347,33.333333333333336,63.333333333333336,363.1837710417446,2.806818181818182,1501.9813587071228,83.44340881706236,0.12106125701391486
18,e64485afdb38045c38916e3f7bb9bfa6c0b12d66,Brendan Curran-Johnson,2014-05-28 19:51:32+00:00,no need for tests to be a directory,False,0,0,0,,,,927,524,482,62,2.466666666666667,64.76076692526347,33.333333333333336,63.333333333333336,363.1837710417446,2.806818181818182,1501.9813587071228,83.44340881706236,0.12106125701391486
19,d67e1ff73051f352e8686e64f786fa52ec659ab6,Brendan Curran-Johnson,2014-05-28 21:05:42+00:00,100% coverage,False,48,43,5,0.52,1.0,1.0,965,548,503,69,2.5217391304347827,64.19491868884107,34.666666666666664,65.33333333333333,379.34265777123073,2.771892655367232,1538.0139582576091,85.44521990320051,0.12644755259041027
20,099267f58d10e5f06ca9952664294b85edd5eb63,Brendan Curran-Johnson,2014-05-28 21:08:22+00:00,fixed license in setup.py,False,2,1,1,,,,965,548,503,69,2.5217391304347827,64.19491868884107,34.666666666666664,65.33333333333333,379.34265777123073,2.771892655367232,1538.0139582576091,85.44521990320051,0.12644755259041027
21,b7107f1ccf09538f05eb3ab72494e7bee185330f,Brendan Curran-Johnson,2014-05-28 21:10:04+00:00,Updated version,False,3,2,1,,,,965,548,503,69,2.5217391304347827,64.19491868884107,34.666666666666664,65.33333333333333,379.34265777123073,2.771892655367232,1538.0139582576091,85.44521990320051,0.12644755259041027
22,2e2fe2327d209bb7cd2b1fda3dc9d84c2616d11b,Brendan Curran-Johnson,2014-05-28 21:21:49+00:00,Tests to ensure deepcopy works,False,19,18,1,1.0,1.0,1.0,982,559,512,69,2.4680851063829787,64.06584512714534,34.666666666666664,65.33333333333333,379.34265777123073,2.771892655367232,1538.0139582576091,85.44521990320051,0.12644755259041027
23,5cc0184e623a44c55047c36d03e47955444d87c8,donsignore,2014-06-03 12:44:46+00:00,"Update _set doc-string

Minor typo-corrections.",False,4,2,2,,,,982,559,512,69,2.4680851063829787,64.06584512714534,34.666666666666664,65.33333333333333,379.34265777123073,2.771892655367232,1538.0139582576091,85.44521990320051,0.12644755259041027
24,6dce0009a366064d24e45345d32e767096eb7bb6,Brendan Curran-Johnson,2014-06-21 16:48:40+00:00,"Updated version to 0.3.1

Oops, this never got committed",False,3,2,1,,,,982,559,512,69,2.4680851063829787,64.06584512714534,34.666666666666664,65.33333333333333,379.34265777123073,2.771892655367232,1538.0139582576091,85.44521990320051,0.12644755259041027
25,68975639b21fb67d3354e6c3d2c5aac5bbabde6e,Brendan Curran-Johnson,2014-06-30 20:40:14+00:00,DefaultDict support. TODO: Tests,False,62,57,5,1.0,0.4444444444444444,0.7407407407407407,1034,588,540,69,2.5510204081632653,63.587101492817624,39.0,71.33333333333333,421.28870454589224,2.915832049306626,1782.5389444052068,99.02994135584481,0.1404295681819641
26,eb1cde298c8189a4f746ad5b91b53204abd7b885,Brendan Curran-Johnson,2014-06-30 21:11:16+00:00,Tests for defaultdict,False,73,68,5,0.4838709677419355,1.0,1.0,1081,621,570,71,2.4901960784313726,63.19745475742794,38.666666666666664,71.33333333333333,420.61084638081365,2.9530942057548284,1794.9989935210808,99.72216630672672,0.1402036154602712
27,226c0d461aee6f245b02f674e51e30f8e789c220,Brendan Curran-Johnson,2014-06-30 23:53:06+00:00,bugfixes for for defaultdict support,False,64,46,18,1.0,1.0,1.0,1109,634,583,70,2.388888888888889,63.002445390994836,38.333333333333336,70.66666666666667,416.1382082073159,2.9564164648910416,1774.3567138159603,98.57537298977557,0.1387127360691053
28,acd761ea3d8be10125d3ccaf4ac0dd5dc46a26fe,Brendan Curran-Johnson,2014-07-01 06:39:02+00:00,fixed tests for 2.6,False,4,2,2,,,,1109,636,583,70,2.388888888888889,62.989007520773335,38.333333333333336,70.66666666666667,416.1382082073159,2.9564164648910416,1774.3567138159603,98.57537298977557,0.1387127360691053
29,fdc060f6682c5420d16dd4886651d33ab649d405,Brendan Curran-Johnson,2014-07-01 06:41:17+00:00,bugfix: tests under 2.6,False,4,2,2,,,,1109,636,583,70,2.388888888888889,62.989007520773335,38.333333333333336,70.66666666666667,416.1382082073159,2.9564164648910416,1774.3567138159603,98.57537298977557,0.1387127360691053
30,7b5a116af57c63cd181e74f7049135a83b06ece9,Brendan Curran-Johnson,2014-07-01 06:45:36+00:00,"version 0.4.0

 * defaultdict support
 * Builds using travis.ci, coveralls",False,3,2,1,,,,1109,636,583,70,2.388888888888889,62.989007520773335,38.333333333333336,70.66666666666667,416.1382082073159,2.9564164648910416,1774.3567138159603,98.57537298977557,0.1387127360691053
