ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,4a56a9f466a7493511537fb41fa9920c4b998083,AndiEcker,2019-10-06 17:51:24+00:00,first commit of ae_core V 0.0.2,False,2880,2880,0,0.3353174603174603,0.7202380952380952,0.656084656084656,2631,1565,1589,202,3.518867924528302,44.920274279574,206.2,431.6,3803.933462149427,5.262595801937717,35747.44146273987,1985.9689701522152,1.2679778207164758
1,efaa62c2f61e133345102425f4b0c7d357ce74f7,AndiEcker,2019-10-07 16:08:09+00:00,"fix build problems on RTD and add PyCharm config files:

- fixed import statements and some hyperlinks to ae.console.
- refactored placeholder marker strings from <{...}> to {{...}}.
- fixed inspections (mainly added missing words to project dictionary).",False,245,157,88,0.0,0.0,1.0,2653,1566,1591,202,3.518867924528302,45.279924391681796,205.6,431.0,3800.2753089656203,5.147910487252402,35731.77584120523,1985.098657844735,1.2667584363218733
2,2b5b311a7f2ccf5f2cce76986e589a7eb3dcfdb3,AndiEcker,2019-10-07 18:18:58+00:00,fix setup path problems on RTD,False,43,32,11,0.0,0.0,0.0,2673,1587,1611,204,3.509433962264151,44.014237200409426,208.4,433.0,3817.7200927965546,5.406857855673455,35857.548402260865,1992.086022347826,1.2725733642655181
3,b616e1a023aca2acadf5ae33982682a33b36280f,AndiEcker,2019-10-07 18:32:10+00:00,fix missing sphinx extensions (installed via pip) in RTD build,False,5,4,1,,,,2673,1587,1611,204,3.509433962264151,44.014237200409426,208.4,433.0,3817.7200927965546,5.406857855673455,35857.548402260865,1992.086022347826,1.2725733642655181
4,81706c0ad5604671d7be957adcd5b22c03ad9101,AndiEcker,2019-10-08 12:49:55+00:00,"fixing RTD build, bump ae_core to V 0.0.3",False,171,81,90,1.0,0.0,1.0,2663,1590,1592,205,3.537037037037037,43.56201723721091,210.2,434.4,3829.271824270065,5.41896311883135,35907.054336913585,1994.8363520507544,1.276423941423355
5,f04da03cade2005c9a1d15dfbfeec635b0284cc0,AndiEcker,2019-10-08 12:56:02+00:00,"create also templates for gitlab setup sdist, bump ae_core to V 0.0.3",False,4,1,3,,,,2661,1588,1590,205,3.537037037037037,43.72335932279243,209.6,433.8,3824.7026557908152,5.3101911890067885,35851.419927482886,1991.7455515268273,1.274900885263605
6,8d90e47cdf8e9bff753388c3b6695d6db9e72d67,AndiEcker,2019-10-08 17:53:33+00:00,"ae_core to V 0.0.4 and added gitlab/pypi/rtd server configs to setup.py:

- enhanced type hinting and module docstring.
- refactored exec_with_return().
- added ignored_exceptions arg to exec_with_return().",False,131,94,37,0.0,0.5,1.0,2716,1597,1608,206,3.564814814814815,44.31537784608888,210.8,436.4,3852.9327198514598,5.307187424976276,36055.83742713973,2003.1020792855404,1.2843109066171534
7,f193dc0908caecfadecb7e41f4a89ac58daa9bef,AndiEcker,2019-10-09 19:32:44+00:00,added headers to the common portion files (now maintainted by ae root),False,729,724,5,,,,2727,1597,1609,206,3.564814814814815,45.334223015421344,211.0,436.8,3855.5377516019594,5.304935172724024,36063.931345364275,2003.5517414091264,1.2851792505339865
8,e1064ee842614e1b4e9404358b2685ac62e5efc7,AndiEcker,2019-10-10 20:35:21+00:00,Test Commit Message entered in Editor,False,16,12,4,,,,2732,1601,1613,206,3.564814814814815,44.96575809140061,212.4,438.6,3868.568899686513,5.538139805928657,36207.02069343476,2011.5011496352643,1.289522966562171
9,e553249f664c277e0ee182f69785b76addf5d6f8,AndiEcker,2019-10-11 13:04:56+00:00,migrating docs generation into ae root package,False,237,11,226,,,,2588,1573,1552,155,3.564814814814815,34.43141584929288,263.25,545.25,4826.201349603814,6.636960471696536,45247.90755250279,2513.7726418057105,1.6087337832012714
