ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,ac71d6e22754bed5ec6c3ce304ca86e027c88bfb,Jeff Forcier,2013-12-07 00:05:17+00:00,Import kennethreitz/requests/docs/_themes @ 9fc070124750b8b437700b19dc9a171347e2d24c,False,1109,1109,0,,,,86,7,73,66,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2fc2b1bcc3a36d4c132905cb041f0c57aae6fc78,Jeff Forcier,2013-12-10 01:18:42+00:00,Rename support file,False,2,1,1,,,,86,7,73,66,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0267d1a23ff7820186cf71ed1d49024015e8c16e,Jeff Forcier,2013-12-10 05:06:53+00:00,Now an installable Python project!,False,60,50,10,1.0,1.0,1.0,121,18,100,69,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3b053e40d7cb691ef81d40586378ab150b17f32d,Jeff Forcier,2013-12-10 18:41:48+00:00,"rename: package folder

Re #4",False,0,0,0,,,,121,18,100,69,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,8911fb12152f1ee496ad4336f8566b1efc6b6834,Jeff Forcier,2013-12-10 18:41:58+00:00,"Rest of renaming

Re #4",False,23,9,14,,,,121,18,100,69,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3325f8777102b6f5daf9abfe537e1deea375b0b6,Jeff Forcier,2013-12-11 18:48:25+00:00,Note re: code block bg color,False,2,1,1,,,,121,18,100,70,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,b9a93f22be37d18c7aee94854ad98aa6f9c02079,Jeff Forcier,2014-01-28 02:18:53+00:00,Version bump for dev,False,2,1,1,,,,121,18,100,70,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,14f286967db7b26f8b73c9ceafe1decb64c294cb,Jeff Forcier,2014-02-03 22:07:17+00:00,"Update footer + backend to allow Alabaster version display.

Fixes #8.",False,24,22,2,1.0,1.0,0.5,133,24,105,70,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,94c677405083551128dc19cb00bea6364a741850,Jeff Forcier,2014-02-03 22:07:46+00:00,Bump version for release,False,2,1,1,,,,133,24,105,70,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,f6cd363aa4824392528b8438394ce15136dcbe2e,Jeff Forcier,2014-03-14 03:44:16+00:00,Bump to 0.3.1 for release,False,2,1,1,,,,133,24,105,70,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,739d0027788036bc1a757da52f40b2808ebfceb4,Jeff Forcier,2014-04-06 23:14:13+00:00,Bump to 0.4.0,False,2,1,1,,,,133,24,105,70,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
