ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,697661f53d6795789a9556a2b4e896d736898e2f,c0fec0de,2016-09-02 11:15:52+00:00,Initial implementation.,False,1884,1884,0,0.4503597122302158,0.9338129496402877,0.8014388489208633,1475,605,656,199,1.7971014492753623,58.509717890928655,16.0,24.6,137.69510576684115,1.9916666666666665,1075.7215309147853,59.76230727304362,0.04589836858894705
1,aa4ad848394a97db21d0f8087fd45fd9815c52ee,c0fec0de,2016-09-02 11:16:59+00:00,Initial commit.,False,2,1,1,,,,1475,605,656,199,1.7971014492753623,58.509717890928655,16.0,24.6,137.69510576684115,1.9916666666666665,1075.7215309147853,59.76230727304362,0.04589836858894705
2,3cc7a73d10a6f3cc8654770698d794a16f0a1dcc,c0fec0de,2016-09-02 11:33:28+00:00,Implement doc build,False,19,9,10,0.0,0.0,0.0,1474,603,654,199,1.7971014492753623,58.322516238768024,16.0,24.6,137.69510576684115,1.9916666666666665,1075.7215309147853,59.76230727304362,0.04589836858894705
3,1490acd61eb8115b0962adb9bfc35af0c1290235,c0fec0de,2016-09-03 10:40:24+00:00,Documentation Beautification.,False,143,123,20,,,,1474,603,654,199,1.7971014492753623,58.322516238768024,16.0,24.6,137.69510576684115,1.9916666666666665,1075.7215309147853,59.76230727304362,0.04589836858894705
4,4aa07be354476103b4cf62a199b45838fcf9cb81,c0fec0de,2016-09-03 12:10:50+00:00,Extend docu,False,31,30,1,,,,1503,603,654,199,1.7971014492753623,57.856847912382,16.0,24.6,137.69510576684115,1.9916666666666665,1075.7215309147853,59.76230727304362,0.04589836858894705
5,3b4daf6c298cd60ead94a5b83852ee1d25fb5109,c0fec0de,2016-09-03 12:20:01+00:00,Version 1.0.0,False,4,2,2,,,,1503,603,654,199,1.7971014492753623,57.856847912382,16.0,24.6,137.69510576684115,1.9916666666666665,1075.7215309147853,59.76230727304362,0.04589836858894705
6,ed105d0b5f7af7f4d8ad0678e1ce8b01a6174282,c0fec0de,2016-09-03 20:46:02+00:00,Implement PreOrderIter without recursion.,False,13,5,8,0.0,0.0,0.0,1500,602,652,199,1.7941176470588236,57.825353215412576,16.4,25.2,142.27536355343665,1.9804597701149422,1105.286052074455,61.40478067080305,0.04742512118447888
7,dd5ee345d76c7ab61ce37960ef7092e4981f9ebc,c0fec0de,2016-09-04 21:32:31+00:00,Implement dotexport.,False,349,349,0,0.5636363636363636,0.7272727272727273,0.9,1780,731,779,204,1.9620253164556962,56.39393112181705,16.0,24.285714285714285,128.09769822309948,1.9033359260219511,849.0218909357625,47.167882829764565,0.04269923274103316
8,4f5c61a118f2f63768ab7124c8f275c4e3b74d22,c0fec0de,2016-09-04 21:32:40+00:00,Add python 2.6 support.,False,23,14,9,0.0,1.0,1.0,1784,736,783,204,2.0126582278481013,56.24453499390641,16.0,24.285714285714285,128.09769822309948,1.9033359260219511,849.0218909357625,47.167882829764565,0.04269923274103316
9,de255faff0d82067be06eec14d50b62b377473da,c0fec0de,2016-09-04 21:34:29+00:00,Fix py35 issue.,False,4,2,2,,,,1784,736,783,204,2.0126582278481013,56.24453499390641,16.0,24.285714285714285,128.09769822309948,1.9033359260219511,849.0218909357625,47.167882829764565,0.04269923274103316
10,4c26ec78cf0c8196d57674a5ee7c92df51376464,c0fec0de,2016-09-04 21:47:57+00:00,Add dot examples to gettingstarted.,False,8,7,1,,,,1784,736,783,204,2.0126582278481013,56.24453499390641,16.0,24.285714285714285,128.09769822309948,1.9033359260219511,849.0218909357625,47.167882829764565,0.04269923274103316
