ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,b1c99d3b2cf33369cd8eca495f9be39528ab7071,Sridhar Ratnakumar,2014-08-17 18:36:28+00:00,"get rid of unused Makefile.py

closes #37",False,320,16,304,0.5357142857142857,0.5357142857142857,0.0,643,307,354,31,3.9130434782608696,68.63250492207163,22.25,32.25,182.7589565112885,1.8064516129032258,884.4252649528387,49.13473694182438,0.0609196521704295
1,9c93e5e0e96cef5837b4fc906f35b8c0bda87924,Sridhar Ratnakumar,2014-08-17 18:39:15+00:00,"import winreg on py3

fixes #38",False,7,5,2,0.0,1.0,1.0,646,310,357,31,3.9565217391304346,68.58378375277395,22.25,32.25,182.7589565112885,1.8064516129032258,884.4252649528387,49.13473694182438,0.0609196521704295
2,04ca62aab24e7c3d80a9b12f638468dffb5b4c9f,Thomas Grainger,2014-08-20 08:48:28+00:00,Update trove and tox with supported python versions,False,11,6,5,,,,647,310,358,31,3.9565217391304346,68.56026130762915,22.25,32.25,182.7589565112885,1.8064516129032258,884.4252649528387,49.13473694182438,0.0609196521704295
3,90cbea4522bda08c0f83779103592b6d355c9c5d,carlgeorge,2015-06-28 22:44:55+00:00,"fix typos in doc strings

* site_data_dir examples were described as 'user data', change to 'site data'
* user_config_dir examples were described as 'user data', change to 'user config'
* site_config_dir examples were described as 'user data', change to 'site config'
* user_log_dir examples were described as 'user cache', change to 'user log'",False,8,4,4,,,,647,310,358,31,3.9565217391304346,68.56026130762915,22.25,32.25,182.7589565112885,1.8064516129032258,884.4252649528387,49.13473694182438,0.0609196521704295
4,ea0701d7550fc290384c949b4a8e492a05163bce,carlgeorge,2015-06-29 00:05:29+00:00,"support XDG_STATE_HOME

There is a proposal to add another directory type to the XDG Base Directory
Specification.

https://wiki.debian.org/XDGBaseDirectorySpecification#state

To be clear, this is _not_ currently part of the specification.  However, I
think it would be a valuable addition to the appdirs module.  I wasn't sure if
there was an equivalent for OSX or Windows, so for now those fall back to using
user_data_dir.",False,57,54,3,0.06976744186046512,1.0,0.06976744186046512,698,324,376,31,3.88,68.14534716850706,23.25,33.75,194.23711696379468,1.7954545454545454,936.5990536219855,52.033280756776975,0.06474570565459822
5,1c0063e32f4b3219dc88002ea0680c1e392ce04d,carlgeorge,2015-06-29 00:26:52+00:00,add tests for ea0701d,False,3,3,0,1.0,1.0,1.0,701,326,379,31,3.88,67.9761022538125,23.25,33.75,194.23711696379468,1.7954545454545454,936.5990536219855,52.033280756776975,0.06474570565459822
6,5303508acd0fcea7980457fec11687b7be4ffb34,Théo Segonds,2015-07-19 21:39:58+00:00,"Update appdirs.py

Fix typo in a variable name",False,2,1,1,,,,647,310,358,31,3.9565217391304346,68.56026130762915,22.25,32.25,182.7589565112885,1.8064516129032258,884.4252649528387,49.13473694182438,0.0609196521704295
7,c242db5eb01882bea8edb0d1e98b6a39da00e5f1,Jason R. Coombs,2015-08-01 19:29:22+00:00,Make appname optional in AppDirs wrapper as in the wrapped functions. Fixes #55.,False,4,2,2,,,,647,310,358,31,3.9565217391304346,68.56026130762915,22.25,32.25,182.7589565112885,1.8064516129032258,884.4252649528387,49.13473694182438,0.0609196521704295
8,d9bfe0b0b4a8d76cac71c985244c79f704831c20,Jakub Wilk,2015-09-09 14:28:27+00:00,Fix typo,False,2,1,1,,,,647,310,358,31,3.9565217391304346,68.56026130762915,22.25,32.25,182.7589565112885,1.8064516129032258,884.4252649528387,49.13473694182438,0.0609196521704295
9,8af4d38b6977d4596fbb097054109a2cf64a1ad9,Yen Chi Hsuan,2016-09-16 15:24:37+00:00,Fix DeprecationWarning in Python 3.6,False,4,2,2,0.0,0.0,0.0,647,310,358,31,3.9565217391304346,68.56026130762915,22.25,32.25,182.7589565112885,1.8064516129032258,884.4252649528387,49.13473694182438,0.0609196521704295
10,63f0c07b3e41cb97d47fde29045b1375fa17f550,Jeff Rouse,2017-02-02 07:18:42+00:00,"Python3.5, maintainer",False,5,3,2,,,,702,326,380,31,3.88,67.95331070845609,23.25,33.75,194.23711696379468,1.7954545454545454,936.5990536219855,52.033280756776975,0.06474570565459822
11,b68a72e5472ead00a7ff3772dee672e46a70ecdb,Joshua Root,2017-02-08 22:31:24+00:00,"Allow installing without setuptools

Setuptools v34 requires appdirs, which creates an obvious bootstrap problem if appdirs uses setuptools in its setup.py. Therefore, allow installing with distutils if setuptools is not available.",False,6,5,1,,,,706,329,383,32,3.88,68.22732865887878,23.25,33.75,194.23711696379468,1.7954545454545454,936.5990536219855,52.033280756776975,0.06474570565459822
12,1c703110ab1bee6e4ed242cc2598194eeeccd7c3,Adam J. Stewart,2017-02-21 01:16:12+00:00,Fix string delimiters in setup.py description,False,4,2,2,,,,702,326,380,31,3.88,67.7257375743853,23.75,34.5,197.71494205683695,1.7954545454545454,940.0768787150278,52.22649326194598,0.06590498068561232
13,ad2a1b9ba98784ea74e3935ce6a4d336d410f54c,Jeff Rouse,2017-02-24 07:44:52+00:00,Python 3.6 support,False,1,1,0,,,,707,329,384,32,3.88,67.97241094040862,23.75,34.5,197.71494205683695,1.7954545454545454,940.0768787150278,52.22649326194598,0.06590498068561232
14,2a68b2d25b6b4657ce1a5f3c06b16847090a5a95,Jeff Rouse,2017-02-24 07:47:01+00:00,Bump version.,False,2,1,1,,,,707,329,384,32,3.88,67.97241094040862,23.75,34.5,197.71494205683695,1.7954545454545454,940.0768787150278,52.22649326194598,0.06590498068561232
15,c6c456b965cbf4fe35a9ac92b7271264c3017536,Jeff Rouse,2017-03-07 07:02:09+00:00,Bump.,False,2,1,1,,,,707,329,384,32,3.88,67.97241094040862,23.75,34.5,197.71494205683695,1.7954545454545454,940.0768787150278,52.22649326194598,0.06590498068561232
