ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,aa73ab315eb3408ef404bc109c0802a17a9ff6ff,Kenneth Reitz,2012-05-08 04:48:15+00:00,args.py,False,398,398,0,1.0,0.7777777777777778,0.9074074074074074,398,277,249,1,2.806451612903226,32.10225993794971,39.0,55.0,290.6971220374237,5.25,1526.1598906964743,84.78666059424857,0.09689904067914124
1,9389ecb3436e19988f935621eef230cddfadc600,Kenneth Reitz,2012-05-08 05:27:05+00:00,args,False,34,34,0,,,,432,280,273,2,2.806451612903226,66.05112996897486,19.5,27.5,145.34856101871185,2.625,763.0799453482372,42.39333029712429,0.04844952033957062
2,411c27d09fce68b5ace8e519373dcddb80642dde,Kenneth Reitz,2012-05-08 05:41:40+00:00,v0.1.0,False,4,2,2,,,,432,280,273,2,2.806451612903226,66.05112996897486,19.5,27.5,145.34856101871185,2.625,763.0799453482372,42.39333029712429,0.04844952033957062
3,d0f8b4989c8f05b7e11fd7f9544f15561b1e99e2,Mahmoud Hossam,2012-05-08 16:41:27+00:00,Use str instead of basestring,False,4,2,2,,,,432,280,273,2,2.806451612903226,66.05112996897486,19.5,27.5,145.34856101871185,2.625,763.0799453482372,42.39333029712429,0.04844952033957062
4,1c8eec3a0fb37779da6de8ecdea3ce18308fb39d,Kenneth Reitz,2012-05-08 16:56:04+00:00,"python 2 and 3

#7",False,10,9,1,,,,440,285,278,3,2.806451612903226,65.9547004565826,20.5,29.0,155.36900813392444,2.6015625,808.4043704468256,44.91135391371253,0.051789669377974815
5,18d22c28b82e9bbc8f22ccada575fb92fa851aac,kracekumar,2012-05-09 16:05:41+00:00,1. Added Test\n2. Added requirements.txt\n 3. Added .travis.yml\n 4.Added AUTHORS.rst,False,76,76,0,1.0,1.0,1.0,495,325,319,6,2.5945945945945947,66.14287629001456,19.333333333333332,26.333333333333332,132.191578644702,2.234375,581.854606797679,32.32525593320438,0.044063859548234004
6,a77dcda0a0e836886cd874f17b5316311fcb2b5e,Chris Faulkner,2012-07-01 20:13:59+00:00,Use ordereddict to support Python 2.6.,False,6,5,1,,,,499,328,323,6,2.5945945945945947,66.03944136466396,19.333333333333332,26.333333333333332,132.191578644702,2.234375,581.854606797679,32.32525593320438,0.044063859548234004
7,e2b01813b47e0f9edcade50d8b1bd6627fdb109f,Steven Honson,2012-07-27 12:43:23+00:00,Basic support for assignments.,False,72,52,20,1.0,1.0,1.0,520,345,337,6,2.641025641025641,63.99865696299983,22.333333333333332,30.333333333333332,156.18367501948754,2.3872549019607843,661.2176552248478,36.73431417915821,0.05206122500649585
8,9e56e7c0803386e80afdecb61147d147464ad645,Steven Honson,2012-07-28 02:10:23+00:00,Improvements to grouped and assignments tests.,False,16,11,5,1.0,1.0,1.0,526,350,342,6,2.625,63.4374084358964,22.666666666666668,30.333333333333332,156.77261191002324,2.5539215686274512,685.6148099547927,38.08971166415515,0.052257537303341074
9,1083121433d58d5cb41700c027ea682f020b240f,Steven Honson,2012-07-28 09:42:29+00:00,"Cosmetic and formatting fixes, examples and tests made more generic.",False,69,29,40,,,,520,350,342,5,2.625,62.509834081060376,22.666666666666668,30.333333333333332,156.77261191002324,2.5539215686274512,685.6148099547927,38.08971166415515,0.052257537303341074
10,6c2426595ea02e7a0dc0d6823a597d10fc775aff,Steven Honson,2012-07-28 10:10:05+00:00,Replace sample data in test_grouped consistent with other changes.,False,4,1,3,0.0,0.0,0.0,518,350,340,5,2.625,62.57617469659931,22.666666666666668,30.333333333333332,156.77261191002324,2.5539215686274512,685.6148099547927,38.08971166415515,0.052257537303341074
11,70dee25c6a432677f49e6d24218ad95fa70805e0,Steven Honson,2012-07-28 12:17:59+00:00,Letter instead of alphabet in examples and tests.,False,20,10,10,,,,518,350,340,5,2.625,62.57617469659931,22.666666666666668,30.333333333333332,156.77261191002324,2.5539215686274512,685.6148099547927,38.08971166415515,0.052257537303341074
12,358da7227716dcb2560518922821172bd102f5e6,Frank Smit,2012-08-19 20:47:02+00:00,Consistency and PEP8,False,83,34,49,1.0,1.0,1.0,503,350,342,5,2.625,63.98312234373757,22.666666666666668,30.333333333333332,156.77261191002324,2.5539215686274512,685.6148099547927,38.08971166415515,0.052257537303341074
13,4f58daef9ff99a20efd7cab9cc597c5c22f1a47c,Kenneth Reitz,2012-08-20 02:09:24+00:00,no 2.6,False,7,1,6,,,,518,350,340,5,2.625,62.57617469659931,22.666666666666668,30.333333333333332,156.77261191002324,2.5539215686274512,685.6148099547927,38.08971166415515,0.052257537303341074
