ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,8d186763a67c4a1a9a4eb14a7e5917facaa1be5f,Andrew Godwin,2015-12-23 17:05:40+00:00,Initial commit,False,123,123,0,0.5151515151515151,0.5151515151515151,0.696969696969697,109,54,65,18,2.4285714285714284,88.19940456767995,8.0,8.5,34.0,1.25,85.0,4.722222222222222,0.011333333333333334
1,e63ceefd43c1e6bd0c791916ce602eb204926752,Andrew Godwin,2016-01-02 16:28:59+00:00,Rename to asgiref,False,36,23,13,,,0.0,116,56,70,19,2.4285714285714284,92.19048582443672,5.333333333333333,5.666666666666667,22.666666666666668,0.8333333333333334,56.666666666666664,3.1481481481481484,0.007555555555555556
2,c829c36669d8e9cf797f6bf1a4d9cea02c715640,Andrew Godwin,2016-01-03 06:45:34+00:00,Use version from package,False,2,1,1,,,,116,56,70,19,2.4285714285714284,92.19048582443672,5.333333333333333,5.666666666666667,22.666666666666668,0.8333333333333334,56.666666666666664,3.1481481481481484,0.007555555555555556
3,ed3f2968bb2b888b42cf4d3611f0623de6c1d8aa,Andrew Godwin,2016-01-17 22:01:28+00:00,"Add start of conformance suite, fix inmemory backend chan names",False,143,132,11,0.7246376811594203,1.0,1.0,237,131,140,32,2.0,93.27477299957405,3.1666666666666665,3.3333333333333335,12.125814583693911,0.5,28.729573958513623,1.5960874421396456,0.004041938194564638
4,696210d6be17ace59652ab24b7e859fc940e2a0c,Andrew Godwin,2016-01-17 22:15:56+00:00,Combine tests into one and start on group tests,False,73,67,6,0.5227272727272727,1.0,1.0,298,181,179,37,2.0,92.41535299489784,3.1666666666666665,3.3333333333333335,12.125814583693911,0.5,28.729573958513623,1.5960874421396456,0.004041938194564638
5,5914d98f792db5f8cc91141187f21695ec3eaf8c,Andrew Godwin,2016-01-17 22:21:21+00:00,"Remove group expiry test, as it's not part of ASGI (yet?)",False,5,0,5,0.5,0.0,0.0,293,178,176,36,2.0,92.4568082121461,3.1666666666666665,3.3333333333333335,12.125814583693911,0.5,28.729573958513623,1.5960874421396456,0.004041938194564638
6,741e6eb1976f6c8e6e5cb04399386dedf2e0586b,Andrew Godwin,2016-02-05 20:39:40+00:00,Add group implementation into inmemory backend,False,79,56,23,1.0,1.0,0.6842105263157895,326,195,194,43,2.3333333333333335,91.34751377595565,5.0,6.666666666666667,30.114287513701967,0.7833333333333333,123.54782693121415,6.86376816284523,0.010038095837900657
7,1b92dc5e3270b7866e5c55b66fb9eb34837845b0,Andrew Godwin,2016-02-06 00:17:02+00:00,"Fix new channel names on py3, add travis config",False,17,15,2,1.0,1.0,1.0,327,196,195,43,2.3333333333333335,91.33339842446821,5.0,6.666666666666667,30.114287513701967,0.7833333333333333,123.54782693121415,6.86376816284523,0.010038095837900657
8,722d2411496136e19514febcc9cff7df938b0a9d,Andrew Godwin,2016-02-06 00:21:10+00:00,Bump to 0.9,False,2,1,1,,,,327,196,195,43,2.3333333333333335,91.33339842446821,5.0,6.666666666666667,30.114287513701967,0.7833333333333333,123.54782693121415,6.86376816284523,0.010038095837900657
9,1063feb2c917f0bfb0cb2718c53734edb8d1b294,Andrew Godwin,2016-02-10 00:48:28+00:00,Start work on ASGI/WSGI adapter module,False,172,172,0,0.5119047619047619,0.7738095238095238,0.7142857142857143,499,286,299,61,2.48,90.17506375438367,7.25,10.125,47.22340961082169,0.9543478260869566,164.96714599620634,9.164841444233687,0.015741136536940564
10,de2a770b1fc60d2065a26ab9b5e520ad0cb6d81a,Andrew Godwin,2016-03-04 01:24:33+00:00,Thread locking for inmemory backend,False,45,25,20,1.0,0.75,0.5,504,291,304,61,2.48,90.07314238173632,7.25,10.125,47.22340961082169,0.9543478260869566,164.96714599620634,9.164841444233687,0.015741136536940564
11,0c6bb189ed0a5e1b994c8d08346288de73ef283c,Andrew Godwin,2016-03-04 01:25:21+00:00,Releasing 0.9.1,False,2,1,1,,,,504,291,304,61,2.48,90.07314238173632,7.25,10.125,47.22340961082169,0.9543478260869566,164.96714599620634,9.164841444233687,0.015741136536940564
