ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,bfbc714d4e5383348a43e63d12418360ba09bc91,Yury Selivanov,2016-06-14 21:53:37+00:00,"Initial commit

The driver can connect to PostgreSQL.",False,518,518,0,,,,29,3,27,0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,13029f655df257ede93f7dbc7cb82b08ffeda748,Yury Selivanov,2016-06-15 00:41:34+00:00,Implement Connection; rudimentary query support & error processing,False,299,271,28,1.0,1.0,0.2222222222222222,63,22,48,0,1.5,83.17001092886541,1.5,1.5,2.3774437510817346,0.25,1.1887218755408673,0.06604010419671485,0.0007924812503605782
2,29ca06fcc350b6bf13602cc73930d846ed8b8ce2,Yury Selivanov,2016-06-17 18:21:07+00:00,"Rudimentary implementation of bind, prepare, and describe",False,872,703,169,1.0,1.0,0.0,68,26,52,0,1.4,82.23913103995837,1.5,1.5,2.3774437510817346,0.25,1.1887218755408673,0.06604010419671485,0.0007924812503605782
3,e8339d89a3c69938ddd8ddb7c775edc56c8524ff,Elvis Pranskevichus,2016-06-17 21:00:23+00:00,Add a module to map Postgres encoding names to Python,False,57,57,0,1.0,1.0,1.0,125,31,101,0,1.3333333333333333,88.15942069330556,1.0,1.0,1.5849625007211563,0.16666666666666666,0.7924812503605781,0.04402673613114324,0.0005283208335737188
4,fa9ac5d97a75e5dee3b14f03d61dc81fa64890c2,Yury Selivanov,2016-06-17 21:03:25+00:00,Add encoding of arguments and decoding of results,False,332,282,50,1.0,1.0,0.6363636363636364,141,43,113,0,1.3,86.74450163846109,1.0,1.0,1.5849625007211563,0.16666666666666666,0.7924812503605781,0.04402673613114324,0.0005283208335737188
5,c787c5581aaaec1c79d3b247b88fd9563eee27ab,Yury Selivanov,2016-06-17 21:13:11+00:00,Connection.prepare no longer needs 'name' parameter,False,14,12,2,,,1.0,141,43,113,0,1.3,86.74450163846109,1.0,1.0,1.5849625007211563,0.16666666666666666,0.7924812503605781,0.04402673613114324,0.0005283208335737188
6,cc62a1eea746a7191b4a07a48dcf55f4c76787ee,Yury Selivanov,2016-06-17 21:45:35+00:00,Use loop.create_future if it exists,False,15,12,3,1.0,1.0,1.0,150,50,120,0,1.4545454545454546,86.09373456804262,1.0,1.0,1.5849625007211563,0.16666666666666666,0.7924812503605781,0.04402673613114324,0.0005283208335737188
7,0b307043b6823eb70e4cf43d93632cc1ebff4875,Yury Selivanov,2016-06-20 16:50:25+00:00,Implement basic unittests infrastructure,False,118,115,3,1.0,0.7457627118644068,0.864406779661017,258,123,195,0,1.8214285714285714,79.85508528064726,1.8333333333333333,2.3333333333333335,4.68086662723764,0.25,2.34043331361882,0.13002407297882332,0.0015602888757458796
8,01273d9fa70e9a72d3f20db0357c763705d71216,Yury Selivanov,2016-06-20 21:29:34+00:00,"Add user, password, dbname to connect(); suport UNIX sockets",False,164,122,42,0.0,0.0,0.022727272727272728,312,163,241,3,2.392857142857143,78.7332908556282,3.0,6.666666666666667,19.944371168832646,0.5625,40.07715894433304,2.2265088302407245,0.006648123722944215
9,e1ffb7b75ff4c1b4124b9af5bdd1b00230589129,Yury Selivanov,2016-06-20 21:32:20+00:00,"Add user, password, dbname to connect(); suport UNIX sockets",False,11,11,0,1.0,1.0,1.0,323,169,248,3,2.3333333333333335,81.77139216196703,2.5714285714285716,5.714285714285714,17.09517528757084,0.48214285714285715,34.35185052371404,1.9084361402063355,0.0056983917625236125
10,696ecddf2ff492954e3e46c552f17434bbd47542,Elvis Pranskevichus,2016-06-21 20:58:13+00:00,"codecs: Fix date/time coding/decoding, add codec tests",False,356,291,65,1.0,1.0,1.0,515,189,425,9,2.3636363636363638,79.50707631799447,6.0,15.5,66.48062963051393,1.059375,292.821860603086,16.267881144615888,0.022160209876837977
11,4cb226552fa8ea0ee4a25861e301ab4452f1148e,Elvis Pranskevichus,2016-06-21 21:57:24+00:00,"codecs: Add basic support for array coding/decoding, add OID[] codec",False,71,68,3,,,,519,189,429,9,2.3636363636363638,79.49268449031685,6.0,15.5,66.48062963051393,1.059375,292.821860603086,16.267881144615888,0.022160209876837977
12,f42628496650b6b31c5739c22cc73d57863b10ca,Elvis Pranskevichus,2016-06-23 14:38:06+00:00,"Initial implementation of error translation

The intended design is to have one exception class per SQL error code",False,44,42,2,1.0,1.0,0.2,556,212,452,10,2.2,78.83220954363726,6.333333333333333,14.777777777777779,63.27032980857997,1.1388888888888888,278.0323539869189,15.446241888162158,0.021090109936193327
13,cb31c9dbeacba2c54cfc75615e52c464d5a1d531,Elvis Pranskevichus,2016-06-23 14:38:06+00:00,"Add timeout parameter to asyncpg.connect()

Defaults to 60 seconds",False,30,13,17,1.0,1.0,1.0,552,208,446,10,2.15,78.95093410783676,6.333333333333333,14.777777777777779,63.27032980857997,1.1388888888888888,278.0323539869189,15.446241888162158,0.021090109936193327
14,aa64b757e7c185e5351fd96f2261e1e58e0c8b0b,Elvis Pranskevichus,2016-06-23 14:38:06+00:00,"tests: Run tests in a temporary Postgres cluster, unless specified otherwise

Tests are now run in a temporary one-off cluster, unless an environment
variable PGHOST is set.",False,360,357,3,0.5403225806451613,0.6048387096774194,0.8104838709677419,906,439,715,15,2.4027777777777777,73.98796439781106,12.6,24.2,122.45633201701169,1.5508620689655173,557.4879238260495,30.97155132366941,0.040818777339003895
15,05cac10a22c2f9dc8c88f9b8cadd57e45b456cf4,Yury Selivanov,2016-06-23 19:53:19+00:00,Reorganize code: create futures in protocol,False,52,34,18,0.0,0.0,0.0,907,435,716,15,2.4027777777777777,74.0299980418556,12.6,24.2,122.45633201701169,1.5508620689655173,557.4879238260495,30.97155132366941,0.040818777339003895
16,94f5593ec9c94fa53f46b3deebb1569498711d41,Yury Selivanov,2016-06-24 03:38:11+00:00,WIP support of runtime types introspection,False,259,184,75,1.0,1.0,0.9,948,446,753,15,2.4444444444444446,73.61507059780453,13.0,24.8,126.1472837157115,1.50371921182266,561.7920239584853,31.210667997693626,0.04204909457190383
17,148bec2a5e265e589638a72c65143d2155d69cda,Yury Selivanov,2016-06-24 03:38:33+00:00,cluster: Stop cluster in fast mode,False,3,2,1,1.0,1.0,1.0,955,447,760,15,2.4444444444444446,73.58568055391541,13.0,24.8,126.1472837157115,1.50371921182266,561.7920239584853,31.210667997693626,0.04204909457190383
18,30ec75dae8b933160b93a86eedffd3088d7855c7,Yury Selivanov,2016-06-24 03:38:33+00:00,"Add support for ""char"" type",False,8,8,0,,,,953,446,758,15,2.4444444444444446,73.601599783534,13.0,24.8,126.1472837157115,1.50371921182266,561.7920239584853,31.210667997693626,0.04204909457190383
19,0722139228d8e29575a7d09eb99684faa73cb8af,Yury Selivanov,2016-06-24 03:38:33+00:00,connect: Close failed transports,False,1,1,0,0.0,0.0,0.0,954,447,759,15,2.4444444444444446,73.58718291030294,13.0,24.8,126.1472837157115,1.50371921182266,561.7920239584853,31.210667997693626,0.04204909457190383
