ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,8292c5090de6b2c59d95c2eb1e6c6b620b4eaec2,Steve Engledow,2016-12-06 12:59:48+00:00,Import v0.1 code,False,232,230,2,0.7272727272727273,0.7272727272727273,0.6666666666666666,149,86,96,3,2.888888888888889,88.5525203491214,5.666666666666667,6.666666666666667,21.37368119314012,0.6666666666666666,27.416665599935456,1.5231480888853028,0.007124560397713374
1,84519b014ed89ee522ad45722d7068374ca695c7,Steve Engledow,2016-12-06 13:15:30+00:00,Add copyright notices,False,38,33,5,,,,175,89,96,1,2.888888888888889,88.46812880695029,5.666666666666667,6.666666666666667,21.37368119314012,0.6666666666666666,27.416665599935456,1.5231480888853028,0.007124560397713374
2,c0d0f4a03ed42ceb44537e94d4060abbc6d050e4,Steve Engledow,2016-12-06 13:32:12+00:00,Add docstrings for the yaml helpers,False,12,12,0,,,,187,92,96,1,2.888888888888889,89.18784259274476,5.666666666666667,6.666666666666667,21.37368119314012,0.6666666666666666,27.416665599935456,1.5231480888853028,0.007124560397713374
3,a3fea1f25c40676a5459d745c875fb58c28c4706,Steve Engledow,2016-12-06 13:41:56+00:00,Split custom yaml encoder/decoder into a separate file,False,183,100,83,,,,204,98,100,2,2.888888888888889,92.3784476324112,4.25,5.0,16.03026089485509,0.5,20.562499199951592,1.1423610666639772,0.00534342029828503
4,a6c494aa82fa061899c6b2c0f368f2c125dd9aed,Steve Engledow,2016-12-06 13:43:10+00:00,Remove executable permissions from source files,False,0,0,0,,,,204,98,100,2,2.888888888888889,92.3784476324112,4.25,5.0,16.03026089485509,0.5,20.562499199951592,1.1423610666639772,0.00534342029828503
5,448a0551f9acf4b14816fdfdd33b2f2f95d7c1a7,Steve Engledow,2016-12-06 13:50:28+00:00,Change pypi name to a valid one,False,2,1,1,,,,204,98,100,2,2.888888888888889,92.3784476324112,4.25,5.0,16.03026089485509,0.5,20.562499199951592,1.1423610666639772,0.00534342029828503
6,deb75a53c9d78bf7826f9716161e849b5e20a7b6,Steve Engledow,2016-12-06 13:58:11+00:00,Fix python3 compatibility,False,4,2,2,,,,204,98,100,2,2.888888888888889,92.3784476324112,4.25,5.0,16.03026089485509,0.5,20.562499199951592,1.1423610666639772,0.00534342029828503
7,d3ba1f971296ee611e1f6481d50350d43844cb2f,Steve Engledow,2016-12-07 09:12:50+00:00,Add test suite,False,117,117,0,1.0,1.0,1.0,321,153,146,4,2.0,90.81135678775202,4.0,4.6,13.775186216316765,0.5,16.925488110177618,0.9403048950098677,0.004591728738772256
8,112bfd5fa0e1ab158694389b5709bd6de6d103de,Steve Engledow,2016-12-07 09:13:42+00:00,Fix some python3 compatbility issues uncovered in the test suite,False,28,21,7,1.0,1.0,0.7777777777777778,335,161,154,4,2.0526315789473686,90.33779238047292,4.0,4.6,13.775186216316765,0.5,16.925488110177618,0.9403048950098677,0.004591728738772256
9,58dd3bf9e84358d2b187bc6c95da92362c49f3f4,Steve Engledow,2016-12-07 09:14:00+00:00,Bump pip version,False,2,1,1,,,,335,161,154,4,2.0526315789473686,90.33779238047292,4.0,4.6,13.775186216316765,0.5,16.925488110177618,0.9403048950098677,0.004591728738772256
