ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,3b9bf90639dcf6fc46588c4c9c7820a1fc95f7f1,Piet Delport,2016-03-08 16:03:32+00:00,Add setup.py,False,31,31,0,,,,31,3,24,1,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,dfcf1705d1b1b9f55874245e211b0ac6e25356e7,Piet Delport,2016-03-08 16:12:25+00:00,Add snapshot of Python 3.5's fsencode() / fsdecode(),False,74,74,0,1.0,1.0,1.0,105,48,65,3,2.25,96.84352923785187,2.0,2.25,6.75,0.25,6.75,0.375,0.00225
2,c72b4223106f5aeda0999bd48530aec3e806daa2,Piet Delport,2016-03-08 16:25:25+00:00,Backport: unicode on Python 2,False,7,5,2,,,,108,49,66,4,2.25,96.40121585482832,2.75,3.0,10.378294855911893,0.375,15.56744228386784,0.8648579046593244,0.0034594316186372974
3,f7fa4cf0227e9f7c6cb98e5daf0c2fdf8f3f05c6,Piet Delport,2016-03-08 16:27:23+00:00,(List backports in module docstring),False,5,4,1,,,,111,49,66,4,2.25,96.36121895288842,2.75,3.0,10.378294855911893,0.375,15.56744228386784,0.8648579046593244,0.0034594316186372974
4,e4eae7e1d280267dbf5f0cec2a9ee1c094d19ef5,Piet Delport,2016-03-09 21:37:37+00:00,Pull in the future package for surrogateescape in Python 2,False,9,9,0,,,,120,51,71,6,2.25,95.81580950472882,3.5,3.75,11.56701673145276,0.5,16.161803221638273,0.8978779567576819,0.0038556722438175864
5,9acfb3c35035f91934f1a0b918f7babd8b52ae62,Piet Delport,2016-03-09 21:43:34+00:00,"Add more test coverage, and work around Python 2's lax UTF-8 codec",False,281,278,3,0.5566037735849056,0.4339622641509434,1.0,395,190,235,60,2.6315789473684212,87.80473716361551,19.333333333333332,43.166666666666664,274.7829833111934,2.2672413793103448,2967.7876291603975,164.877090508911,0.09159432777039779
6,ec06f5d4cf97d91c3737f34e1dc95f6199ac68d4,Piet Delport,2016-03-09 22:23:13+00:00,Adjust and test TypeError results,False,22,20,2,1.0,0.9333333333333333,1.0,413,201,249,62,2.6,85.93707621010475,19.833333333333332,44.666666666666664,274.8110360342545,2.289491298527443,2695.442696201737,149.74681645565204,0.09160367867808485
7,5593523e735cdbdfcf2ef8bfb540f19a415f0d50,Pi Delport,2017-09-17 18:58:04+00:00,(Update author name),False,2,1,1,,,,413,201,249,62,2.6,85.93707621010475,19.833333333333332,44.666666666666664,274.8110360342545,2.289491298527443,2695.442696201737,149.74681645565204,0.09160367867808485
8,f4d3b5357d881b1e8a9bdf6a1b96689c2995f953,Pi Delport,2017-09-17 18:59:34+00:00,(Add Trove classifier for PyPy),False,1,1,0,,,,414,201,250,62,2.6,85.89398006745175,19.833333333333332,44.666666666666664,274.8110360342545,2.289491298527443,2695.442696201737,149.74681645565204,0.09160367867808485
9,73785fcbee0ea2c5c99fab482326b24ff2e2eb2d,Pi Delport,2017-09-17 19:45:47+00:00,Document and test support for Python 3.6,False,8,5,3,,,,415,201,251,62,2.6,85.85264054583824,19.833333333333332,44.666666666666664,274.8110360342545,2.289491298527443,2695.442696201737,149.74681645565204,0.09160367867808485
10,1f148e566cc66529bc8bdddfe06529c9ffd72083,Pi Delport,2017-09-17 20:25:14+00:00,(setup.py: Include README as long_description),False,6,6,0,1.0,1.0,1.0,421,204,255,62,2.5238095238095237,84.96062024793191,19.833333333333332,44.666666666666664,274.8110360342545,2.289491298527443,2695.442696201737,149.74681645565204,0.09160367867808485
11,32fbe7d4682b2dbcea926b1cea39a0099ec230af,Pi Delport,2017-09-19 22:43:39+00:00,"Test with empty LANG too, for ASCII

Also update the extra tests to limit the input to ASCII when necessary.",False,21,19,2,,,,431,209,261,64,2.5238095238095237,84.6821282268409,20.333333333333332,45.166666666666664,277.75848340554427,2.385450894487039,2707.045023070027,150.39139017055706,0.09258616113518142
12,afeb8080dafe21f487ca3af9f4e4fd937a5baffe,Pi Delport,2017-09-19 22:53:43+00:00,"Add test-code workaround for python-future bug #256

Bug: https://github.com/PythonCharmers/python-future/issues/256

(This bug should only affect this test code.)",False,12,12,0,1.0,1.0,1.0,443,214,266,69,2.6666666666666665,83.82724919780513,20.833333333333332,45.666666666666664,278.55096465590486,2.468784227820372,2707.4412636952075,150.41340353862262,0.09285032155196828
13,1fad32b17648f2921783a19be5fc9b6f59b4a819,Pi Delport,2017-09-19 23:18:54+00:00,"Enable hack for Python 2 ASCII encoding, and add explanation",False,15,14,1,1.0,1.0,1.0,456,215,268,80,2.7142857142857144,83.67466225710632,22.0,47.666666666666664,295.92594067181295,2.41540404040404,2800.4159209074846,155.5786622726381,0.09864198022393765
14,f69d58f63548e7aba45c44b3f280c7c1572d5be1,Pi Delport,2017-09-20 18:00:00+00:00,(Ignore test coverage for temporary workaround),False,2,1,1,,,,456,215,268,81,2.7142857142857144,83.71447280061983,22.0,47.666666666666664,295.92594067181295,2.41540404040404,2800.4159209074846,155.5786622726381,0.09864198022393765
