ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,43e53a3ed01654ef19b47c2b3f6245d0b5691890,Stefan Behnel,2015-06-24 20:32:03+00:00,initial import,False,561,561,0,0.5678233438485805,1.0,0.8264984227129337,536,385,399,34,2.388888888888889,67.18057880951845,13.333333333333334,24.0,101.87199583043271,2.1359649122807016,326.3790268882135,18.132168160456306,0.033957331943477574
1,2f318b5dcfd6ee57c083c32506ce323cb942f531,Stefan Behnel,2015-07-03 19:17:32+00:00,also provide inspect.iscoroutine() and inspect.isawaitable() if missing,False,18,18,0,1.0,1.0,1.0,554,399,413,34,2.25,66.48142908017715,13.333333333333334,24.0,101.87199583043271,2.1359649122807016,326.3790268882135,18.132168160456306,0.033957331943477574
2,f0218284efc37e82e7283fbb55e3eaf8ba267a17,Stefan Behnel,2015-07-03 19:25:33+00:00,cover inspect module in tests,False,7,7,0,0.0,1.0,1.0,561,406,420,34,2.25,66.32542663557489,13.333333333333334,24.0,101.87199583043271,2.1359649122807016,326.3790268882135,18.132168160456306,0.033957331943477574
3,e19966ef5641335b88e5583cc3b6ffe350fa2333,Stefan Behnel,2015-07-03 19:25:46+00:00,prepare release,False,2,1,1,,,,561,406,420,34,2.25,66.32542663557489,13.333333333333334,24.0,101.87199583043271,2.1359649122807016,326.3790268882135,18.132168160456306,0.033957331943477574
4,92c09c640d78bcfaa64e6b1ddae604d624b6add1,Stefan Behnel,2015-07-03 19:39:54+00:00,change usage to require an explicit patch() call instead of just an import with side-effects,False,81,49,32,0.0,0.0,1.0,578,411,423,34,2.6315789473684212,68.13661751339023,13.333333333333334,24.0,101.87199583043271,2.1359649122807016,326.3790268882135,18.132168160456306,0.033957331943477574
5,b647e61bf99f46100d027b4f9dd51756a923cb78,Stefan Behnel,2015-07-03 19:47:51+00:00,keep track of what was patched,False,19,11,8,,,,581,412,424,34,2.6315789473684212,68.09345468281683,13.333333333333334,24.0,101.87199583043271,2.1359649122807016,326.3790268882135,18.132168160456306,0.033957331943477574
6,02bcc59ebfe2203d362828abfd7280e3f633438c,Stefan Behnel,2015-07-03 19:53:54+00:00,minor code restructuring,False,11,6,5,0.0,0.0,1.0,582,413,425,34,2.6842105263157894,68.00578645234127,13.333333333333334,24.0,101.87199583043271,2.1359649122807016,326.3790268882135,18.132168160456306,0.033957331943477574
7,4b7367dbb02bbf8cecb4756dd8f59b9756cbbbfe,Stefan Behnel,2015-07-03 19:54:36+00:00,"changelog, add readme",False,56,45,11,,,,584,418,423,34,2.6842105263157894,58.54243861240442,15.666666666666666,27.0,110.29406059660552,2.3026315789473686,330.59005927129994,18.366114403961106,0.036764686865535176
8,45f5a5c9502b5d543895d8c2c6690daa8d1490a5,Stefan Behnel,2015-07-03 20:02:44+00:00,fix test in Py3.5,False,2,0,2,1.0,0.0,0.0,582,416,421,34,2.6842105263157894,58.58638802559335,15.666666666666666,27.0,110.29406059660552,2.3026315789473686,330.59005927129994,18.366114403961106,0.036764686865535176
9,1b6168a0a619e8778e3e198234794d4866362eb0,Stefan Behnel,2015-07-03 20:05:54+00:00,do not patch inspect.iscoroutine() as it is not ABC based,False,10,0,10,0.8,0.7,0.0,572,407,412,34,2.5789473684210527,59.05029639123237,15.666666666666666,27.0,110.29406059660552,2.3026315789473686,330.59005927129994,18.366114403961106,0.036764686865535176
10,0185f36031ac5959567ad63b70ace153e5220005,Stefan Behnel,2015-07-03 20:06:28+00:00,release 0.3,False,9,7,2,,,,572,407,412,34,2.5789473684210527,59.05029639123237,15.666666666666666,27.0,110.29406059660552,2.3026315789473686,330.59005927129994,18.366114403961106,0.036764686865535176
11,eafdefe2aa971fcc12bfc29773758832fe551666,Stefan Behnel,2015-09-14 17:47:34+00:00,support wheel building,False,7,5,2,,,,575,410,415,35,2.5789473684210527,62.0936091177903,15.333333333333334,26.0,107.04192083187502,2.469298245614035,331.5489518896558,18.41938621609199,0.035680640277291675
12,beb52804e0ff11b0f0a7b054e292110a52339062,Stefan Behnel,2015-09-14 17:51:28+00:00,make ABCs available directly from the backports_abc module namespace,False,115,87,28,1.0,1.0,0.0,611,420,430,39,2.227272727272727,62.721451544941054,15.333333333333334,26.0,107.04192083187502,2.469298245614035,331.5489518896558,18.41938621609199,0.035680640277291675
