ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,ce1defde2647755480aff7d544dddb86b7b40efa,Donald Stufft,2013-05-11 02:06:18+00:00,Initial import,False,257,257,0,,,,18,3,3,15,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5d29c5b78c9e6781b99ac6266203da005febeb12,Donald Stufft,2013-05-11 02:24:44+00:00,Implement a high level wrapper around crypt_blowfish,False,88,88,0,1.0,1.0,1.0,106,37,52,30,2.0,94.30828068851152,3.0,3.5,9.047368752524047,0.5,9.047368752524047,0.5026315973624471,0.003015789584174682
2,f260ee6a908a932ebeae14dabaa0a2c08facaa5e,Donald Stufft,2013-05-11 03:10:18+00:00,Package the bcrypt library,False,94,94,0,1.0,1.0,0.8666666666666667,198,68,118,35,1.75,96.20552045900767,2.0,2.3333333333333335,6.0315791683493645,0.3333333333333333,6.0315791683493645,0.33508773157496474,0.0020105263894497883
3,91fc18b2d40068030491d35530e4d2824a9a3205,Donald Stufft,2013-05-11 03:11:13+00:00,Make a note about getting a .S file into distutils,False,2,2,0,,,,200,68,120,37,1.75,96.31242335775875,2.0,2.3333333333333335,6.0315791683493645,0.3333333333333333,6.0315791683493645,0.33508773157496474,0.0020105263894497883
4,a6f9d17a5981f0e57db7ab222f43ffa6598e0fd7,Donald Stufft,2013-05-11 03:44:58+00:00,Add tests to ensure behavior,False,119,117,2,1.0,1.0,0.7,313,96,218,37,1.4285714285714286,86.40792733216715,3.75,4.75,14.033459380588962,0.375,9.278571878425492,0.515476215468083,0.004677819793529654
5,5dbd3c2425bc271f4497101735f73ee289f96b80,Donald Stufft,2013-05-11 03:58:04+00:00,Use native strings to the CFFI verifier,False,10,5,5,,,,313,96,218,37,1.4285714285714286,86.40792733216715,3.75,4.75,14.033459380588962,0.375,9.278571878425492,0.515476215468083,0.004677819793529654
6,6c74d9236d11cc146d82ee72cbebe65fcd03ca32,Donald Stufft,2013-05-11 04:20:52+00:00,Give a better error message when passing a text type to hashpw,False,23,23,0,1.0,1.0,1.0,336,110,232,38,1.5,84.31808742596108,5.25,6.25,21.160903131670697,0.625,28.057143756850987,1.5587302087139436,0.007053634377223566
7,3cb40dbea4764bb929d3926f8649b7213bad8b40,Donald Stufft,2013-05-11 04:26:47+00:00,Fix tests for unicode characters on Python 3.2,False,4,2,2,,,,336,110,232,38,1.5,84.31808742596108,5.25,6.25,21.160903131670697,0.625,28.057143756850987,1.5587302087139436,0.007053634377223566
8,a96d18309794a19c49becdf0213c60db7dd66a6a,Donald Stufft,2013-05-11 04:56:50+00:00,bump version,False,2,1,1,,,,336,110,232,38,1.5,84.31808742596108,5.25,6.25,21.160903131670697,0.625,28.057143756850987,1.5587302087139436,0.007053634377223566
9,350fda07bbb856fa241b7329d10d093c0e739ef8,Donald Stufft,2013-05-11 17:14:24+00:00,"Use a more consistent name for the compiled module

CFFI generates a modulename based on the values passed to verify,
however this doesn't work very well when those values might change
because of installation version runtime. This forces a more consistent
name based on values we control instead of values that CFFI deems
useful.",False,25,22,3,,,,355,115,247,40,1.5,78.28628263198608,6.0,7.0,22.349625007211564,0.75,28.65150469462142,1.591750260812301,0.007449875002403855
10,616a8decfd3cf6c653abbe51d936fe406da5ebfe,Donald Stufft,2013-05-11 17:17:26+00:00,bump version,False,2,1,1,,,,355,115,247,40,1.5,78.28628263198608,6.0,7.0,22.349625007211564,0.75,28.65150469462142,1.591750260812301,0.007449875002403855
11,c4b252b53f941028bda0261c56e942a9fe566b9f,Donald Stufft,2013-05-19 12:42:34+00:00,Don't attempt to load assembler on i386,False,4,3,1,,,,357,115,249,42,1.5,78.40452099260946,6.0,7.0,22.349625007211564,0.75,28.65150469462142,1.591750260812301,0.007449875002403855
12,e34c4ae828bc15688800afde81a87e9b653be632,Donald Stufft,2013-05-19 14:13:41+00:00,Bump version,False,2,1,1,,,,357,115,249,42,1.5,78.40452099260946,6.0,7.0,22.349625007211564,0.75,28.65150469462142,1.591750260812301,0.007449875002403855
13,dd2f7da18fb295d58ac763ee7e91b9b1a5bdf1d0,Terry Chia,2014-08-16 07:25:57+00:00,Update __about__.py,False,2,1,1,,,,357,115,249,42,1.5,78.40452099260946,6.0,7.0,22.349625007211564,0.75,28.65150469462142,1.591750260812301,0.007449875002403855
14,410f0c998cf4e9d6abe2546e65a01c8403a1f7a4,Donald Stufft,2014-12-06 01:25:15+00:00,Switch to using six,False,24,11,13,,,,355,112,248,41,1.5,78.93041579624276,5.25,6.25,18.623309383473586,0.625,17.236467195342573,0.9575815108523653,0.006207769794491195
15,7532ee4eb379078f204460324d7257c1db84c389,Donald Stufft,2014-12-06 01:54:56+00:00,Enable flake8 style checks,False,307,245,62,1.0,1.0,1.0,514,111,405,42,1.5,79.21893248686422,4.5,5.5,15.22218125612983,0.5,9.872932816195927,0.5484962675664404,0.0050740604187099435
16,97a277d5a6ead41ff38ea90e85c01b7fc1af4792,Donald Stufft,2014-12-06 02:27:44+00:00,Port the setup.py from pyca/cryptography to bcrypt,False,210,185,25,0.3488372093023256,0.872093023255814,1.0,674,158,486,44,1.5357142857142858,77.08369577843425,10.25,12.5,50.46186719618243,1.3421052631578947,150.198991586116,8.34438842145089,0.016820622398727475
17,64e926bc59fd814e9fcb2c253da21cf5dd181014,Donald Stufft,2014-12-06 03:40:07+00:00,Bring the _create_modulename over from cryptography,False,44,28,16,1.0,1.0,0.0,686,172,489,44,1.5172413793103448,75.74117101261226,11.25,14.0,56.734449128304334,1.5206766917293233,164.1831923099407,9.121288461663374,0.01891148304276811
18,35a1f2afa8bfeda606b86404fd480e7a1a92ca14,Donald Stufft,2014-12-06 03:42:31+00:00,"Remove unicode_literals, it doesn't play well with distutils",False,1,0,1,,,,685,171,488,44,1.5172413793103448,75.81770828948098,11.25,14.0,56.734449128304334,1.5206766917293233,164.1831923099407,9.121288461663374,0.01891148304276811
19,16637c90d03fd6f5b9c83cb97e7ba88d39c0d8d6,Donald Stufft,2014-12-06 03:56:45+00:00,Lazily load the library upon first use,False,28,26,2,1.0,1.0,1.0,709,185,503,49,1.59375,74.62990198932508,12.0,15.5,63.51527148109059,1.7587719298245612,192.54754363964113,10.697085757757842,0.02117175716036353
20,595b2f501411947f96606714645d2bf4f849704a,Donald Stufft,2014-12-06 04:14:42+00:00,Disable the ability to implicitly compile the CFFI module,False,16,16,0,1.0,1.0,1.0,725,192,513,50,1.5588235294117647,74.20109256142914,12.0,15.5,63.51527148109059,1.7587719298245612,192.54754363964113,10.697085757757842,0.02117175716036353
21,d495b3617ac9f53b0948fefd19a146bdcbcefb55,Donald Stufft,2014-12-06 04:31:10+00:00,Upgrade crypt_blowfish to 1.3,False,147,87,60,0.0,0.0,0.0,708,185,502,48,1.59375,74.59455788761107,12.0,15.5,63.51527148109059,1.7587719298245612,192.54754363964113,10.697085757757842,0.02117175716036353
22,c9cfefb0e328428bfd42860ad32330352ec9f863,Alex Gaynor,2014-12-06 06:40:45+00:00,"scrapped attribute dict in setup.py, it wasn't doing much",False,29,8,21,0.0,0.0,0.2857142857142857,711,184,504,48,1.5161290322580645,74.56149250886543,12.0,15.5,63.51527148109059,1.7587719298245612,192.54754363964113,10.697085757757842,0.02117175716036353
23,2801b7b816ea67e3fabfbfe23cde6c838363c721,Alex Gaynor,2014-12-06 18:33:12+00:00,Removed usage of mock which wasn't really doing anything,False,14,3,11,0.0,0.0,0.3333333333333333,704,183,498,48,1.5161290322580645,74.6441864891477,12.0,15.5,63.51527148109059,1.7587719298245612,192.54754363964113,10.697085757757842,0.02117175716036353
24,ec8b0f7da9857c096786c216db762dc59a4d1e4f,Alex Gaynor,2014-12-06 19:20:16+00:00,"Simplify, very slightly, how the parameterize decorator is used",False,2,1,1,,,,711,184,504,48,1.5161290322580645,74.56149250886543,12.0,15.5,63.51527148109059,1.7587719298245612,192.54754363964113,10.697085757757842,0.02117175716036353
25,951f3aa55c7c1551d5cd5adc6aa4cfd7f078dab9,Donald Stufft,2014-12-06 21:32:11+00:00,Bump version to 1.1.0,False,2,1,1,,,,704,183,498,48,1.5161290322580645,74.6441864891477,12.0,15.5,63.51527148109059,1.7587719298245612,192.54754363964113,10.697085757757842,0.02117175716036353
26,ea678c1dd1260495cb9ac51caebd4d884ea3098b,Alex Gaynor,2015-03-14 01:28:16+00:00,Error out on NUL bytes.,False,7,7,0,1.0,1.0,1.0,711,188,503,48,1.53125,74.14215255011291,12.75,16.25,67.9381828199204,1.88755980861244,215.67530720985397,11.981961511658556,0.022646060939973466
27,ba5e135a02e83199ce60f67791fbadbb073dfa3c,Alex Gaynor,2015-03-14 01:32:19+00:00,flake8,False,1,1,0,,,,712,188,503,48,1.53125,74.14215255011291,12.75,16.25,67.9381828199204,1.88755980861244,215.67530720985397,11.981961511658556,0.022646060939973466
28,1088101f450b3fa1fc09ac8765df7a95d33da6ff,Paul Kehrer,2015-03-14 02:15:45+00:00,bump version to 1.1.1,False,2,1,1,,,,712,188,503,48,1.53125,74.14215255011291,12.75,16.25,67.9381828199204,1.88755980861244,215.67530720985397,11.981961511658556,0.022646060939973466
29,51ebadb34d22d25c10c5e54d4dada46b88c3829b,Donald Stufft,2015-06-11 13:23:01+00:00,"Migrate to using CFFI 1.0

* Move everything under src/ to ensure we test against the installed
  library.
* Create a build_bcrypt.py script which will build _bcrypt.so.
* Refactor to utilize the new _bcrypt.so instead of implicit compile.",False,325,127,198,0.027777777777777776,0.0,0.2222222222222222,640,140,459,53,1.5238095238095237,82.55278053596312,8.8,10.6,43.090396258820945,1.1736842105263157,126.0500207722101,7.002778931789452,0.014363465419606983
30,30c7d719fa053f37446c4fab912134161b7c9499,Donald Stufft,2015-06-12 18:05:53+00:00,Bump version to 2.0.0,False,2,1,1,,,,640,140,459,53,1.5238095238095237,82.55278053596312,8.8,10.6,43.090396258820945,1.1736842105263157,126.0500207722101,7.002778931789452,0.014363465419606983
31,5b7f6df7141d738c83120a217b208e43685391a9,jazzyb,2015-06-12 20:55:05+00:00,"Add prefix option to gensalt() - default to ""2b""",False,175,89,86,1.0,1.0,1.0,643,142,461,53,1.5714285714285714,81.81105106734965,10.0,12.4,51.596730519248695,1.4736842105263157,161.0787985578203,8.948822142101129,0.0171989101730829
32,1787cafb83a02e1e2e740fbdd5b30c32dfc62cf2,jazzyb,2015-06-12 20:57:14+00:00,Add tests for gensalt(prefix) functionality,False,10,10,0,1.0,1.0,1.0,653,149,467,53,1.5217391304347827,81.26697978078148,10.4,13.0,54.367205371699036,1.4736842105263157,162.46403598404547,9.025779776891415,0.01812240179056635
33,1bdc51b6df71d72f7edf149d06a37319367dad9e,Alex Gaynor,2015-10-17 21:26:41+00:00,drop python 3.2,False,10,4,6,,,,653,149,467,53,1.5217391304347827,81.26697978078148,10.4,13.0,54.367205371699036,1.4736842105263157,162.46403598404547,9.025779776891415,0.01812240179056635
