ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,a492f5713ecb609342b2a21261ded6748e5679df,Nadeem Vawda,2012-01-29 16:12:55+00:00,Initial commit.,False,919,919,0,0.778675282714055,0.81421647819063,0.8836833602584814,916,688,677,28,1.876543209876543,32.84512223282785,83.5,144.5,923.5559795811951,7.803122545168892,7400.484824660494,411.1380458144719,0.3078519931937317
1,f3982be012061194af382847cb35dc8feeccca2d,Nadeem Vawda,2012-01-29 16:22:13+00:00,Tweak tests to run on 2.6.,False,11,6,5,1.0,1.0,1.0,917,689,678,28,1.9012345679012346,32.63917705849535,84.5,146.5,938.5496674601513,7.786899313501144,7478.635639528027,415.4797577515571,0.31284988915338374
2,9ce36f8931000ab76b9fa7b668075939629dcc14,Nadeem Vawda,2012-01-29 20:32:13+00:00,Fix uses of str.format() under 2.6.,False,4,2,2,,,,917,689,678,28,1.9012345679012346,32.63917705849535,84.5,146.5,938.5496674601513,7.786899313501144,7478.635639528027,415.4797577515571,0.31284988915338374
3,6becc21872fec0f84bdd4f034d5b19c5d36682de,Nadeem Vawda,2012-02-04 14:04:48+00:00,Update docstring of BZ2File.__init__().,False,10,7,3,,,,921,689,678,28,1.9012345679012346,32.73568989801941,84.5,146.5,938.5496674601513,7.786899313501144,7478.635639528027,415.4797577515571,0.31284988915338374
4,65d3f1938a585c4da7136b916a24355e90b051b8,Nadeem Vawda,2012-02-04 19:21:09+00:00,Add packaging bits.,False,37,37,0,,,,954,693,709,28,1.9012345679012346,55.15712659867961,56.333333333333336,97.66666666666667,625.6997783067676,5.191266209000763,4985.757093018685,276.9865051677047,0.2085665927689225
5,52983d0fdf63cd50341c392b9baaf876330ce22e,Nadeem Vawda,2012-02-12 01:23:48+00:00,"Make seekable() check the underlying file object.

This requires some messy introspection, since file objects in 2.x can seek but
do not have a seekable() method.",False,21,19,2,0.0,1.0,1.0,971,709,725,28,1.9506172839506173,54.682839988414344,57.666666666666664,100.0,644.3397259125734,5.1498188405797105,5117.222366155013,284.2901314530563,0.21477990863752447
6,4d65b2063abf5a099b65968b47ec443b58da48ea,Nadeem Vawda,2012-10-07 17:21:25+00:00,"Make fileobj support easier to use.

[upstream changeset 544e64e18a8a]",False,54,32,22,1.0,1.0,1.0,981,717,733,28,1.9268292682926829,54.5990239270491,58.0,97.0,625.4800085412816,5.185235507246377,4977.412079274579,276.52289329303215,0.20849333618042717
7,04966e82a55c4f20e943a1a60da9ebcc2852673d,Nadeem Vawda,2012-10-07 17:46:31+00:00,"Clarify acceptable values for the mode argument.

[upstream changeset 3235748e6e81]",False,4,2,2,,,,981,717,733,28,1.9268292682926829,54.5990239270491,58.0,97.0,625.4800085412816,5.185235507246377,4977.412079274579,276.52289329303215,0.20849333618042717
8,97ecada69c2acb3c971a4ed7b7fdffbd6fe06561,Nadeem Vawda,2012-10-08 12:49:05+00:00,"Add open() convenience function.

Allows opening in either text or binary mode (unlike BZ2File.__init__).

[upstream changeset 2143386a17a4]",False,151,147,4,0.8163265306122449,0.8163265306122449,0.8163265306122449,1124,815,834,33,1.913978494623656,53.420605645823436,63.0,107.0,703.1707408262697,5.230337078651686,5694.664542659016,316.3702523699453,0.2343902469420899
9,3bf93bcaa9d5801bac64cb98ea869ea8fa39d18f,Nadeem Vawda,2012-10-08 12:51:30+00:00,"More small read optimizations.

Again, thanks to Serhiy Storchaka for the patch.

[upstream changeset 4258248a44c7]
[upstream changeset e6d872b61c57]",False,9,6,3,1.0,1.0,1.0,1187,862,882,45,1.9789473684210526,52.46102613298734,68.0,116.66666666666667,780.5688633168598,5.507179487179488,6787.338251553369,377.07434730852054,0.26018962110562
10,ccfec7b662e860e73a7e8d6672a157410dad310e,Nadeem Vawda,2012-10-08 12:51:30+00:00,"Fix read1()'s handling of pathological input data.

[upstream changeset cdf27a213bd2]",False,59,32,27,,,,1155,836,856,39,1.9684210526315788,53.00654674243636,64.0,108.66666666666667,716.3050524956461,5.217516565831173,5761.296868470919,320.0720482483844,0.238768350831882
11,1bc8417b5308fca3f1f60fbb5ba3b1ff5bff773c,Nadeem Vawda,2012-10-08 12:51:30+00:00,"Optimize small reads (including typical readline() usage).

Thanks to Victor Hooi for the bug report, and Serhiy Storchaka for the initial
patch.

[upstream changeset 1a08f4887cff]
[upstream changeset 1b4190d918c9]
[upstream changeset 7252f9f95fe6]",False,83,56,27,0.0,0.6190476190476191,0.6190476190476191,1184,859,879,45,1.9789473684210526,52.534843905925015,66.33333333333333,115.66666666666667,769.4732070699014,5.090272270684642,6103.639920275799,339.09110668198883,0.25649106902330043
12,a5ecf892adf721946864afa796da922381f3d485,Nadeem Vawda,2012-10-08 12:51:30+00:00,Add multistream-capable decompress() for tests.,False,47,29,18,1.0,1.0,1.0,1135,824,844,33,1.9574468085106382,53.07037477139507,64.0,108.66666666666667,716.3050524956461,5.217516565831173,5761.296868470919,320.0720482483844,0.238768350831882
13,67a84e67a9825bbbc172477ed13cd7219528fb95,Nadeem Vawda,2012-10-08 12:51:30+00:00,"Add test for handling of bytes filenames.

[upstream changeset d129982c063d]",False,15,15,0,1.0,1.0,1.0,1150,836,856,34,1.9578947368421054,52.97119914458656,64.0,108.66666666666667,716.3050524956461,5.217516565831173,5761.296868470919,320.0720482483844,0.238768350831882
14,11c78f04841bc6d67e14ceeab049f766a66fb467,Nadeem Vawda,2012-10-08 12:54:36+00:00,"Further optimizations for readline()/readlines().

[upstream changeset 6d7bf512e0c3]",False,14,8,6,1.0,1.0,1.0,1189,864,884,45,2.0,52.31516908698552,68.66666666666667,118.0,791.4145197191947,5.490447461035696,6878.030146529881,382.11278591832667,0.2638048399063982
15,484f256bb844aa97a9c61d88c0283e167dabb661,Nadeem Vawda,2012-10-08 17:23:12+00:00,"Stylistic tweaks to remove some differences from upstream.

[upstream changeset 8f048c8c855e]",False,66,33,33,0.0,0.0,0.0,1189,861,883,45,1.9895833333333333,52.28071660627213,70.33333333333333,120.33333333333333,811.7448506940933,5.451353942008147,7033.6167716331665,390.75648731295377,0.2705816168980311
