ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,1e7de99eef9d5e66baa7f1761c00925b5734f041,Tin Tvrtkovic,2016-08-28 16:53:25+00:00,Initial commit.,False,1758,1758,0,0.8795180722891566,0.7530120481927711,0.8313253012048193,689,255,294,194,2.6538461538461537,86.0665441717682,6.888888888888889,8.666666666666666,34.827653709631576,1.0696248196248197,108.08191858770039,6.0045510326500215,0.011609217903210527
1,7a623d3cd636576364e212ef790d263a022a8d14,Tin Tvrtkovic,2016-08-28 17:07:27+00:00,Doc fix.,False,6,3,3,,,,689,255,294,194,2.6538461538461537,86.0665441717682,6.888888888888889,8.666666666666666,34.827653709631576,1.0696248196248197,108.08191858770039,6.0045510326500215,0.011609217903210527
2,a8815b21bc0cd9baa685e0a439af6ac09f589f49,Tin Tvrtkovic,2016-08-28 21:45:13+00:00,Add some backports for older Pythons.,False,104,56,48,,,,697,259,300,195,2.6538461538461537,85.967135711298,6.888888888888889,8.666666666666666,34.827653709631576,1.0696248196248197,108.08191858770039,6.0045510326500215,0.011609217903210527
3,3f99ef56d85ef508916a326362a23b24afb4764c,Tin Tvrtkovic,2016-08-28 22:04:13+00:00,Appease flake8.,False,92,46,46,,,,697,259,300,195,2.6538461538461537,85.967135711298,6.888888888888889,8.666666666666666,34.827653709631576,1.0696248196248197,108.08191858770039,6.0045510326500215,0.011609217903210527
4,a58aec6ff4eff08c242ee70ebbb6a1c2798056b4,Tin Tvrtkovic,2016-08-28 22:04:51+00:00,We can load frozensets now.,False,8,7,1,1.0,0.0,1.0,703,264,305,196,2.769230769230769,85.81444092168373,7.0,9.222222222222221,37.719935550327705,1.0921325051759834,120.95133297790133,6.719518498772296,0.012573311850109235
5,a06a2ae23a7b0a775b8c65f618e33d02fa72b819,Tin Tvrtkovic,2016-08-29 18:01:30+00:00,"Support loading of sets, frozensets and dicts.",False,46,42,4,0.0,0.10344827586206896,0.9310344827586207,741,291,335,202,3.4444444444444446,84.949049114188,8.88888888888889,13.555555555555555,64.78834580038952,1.2963659147869673,295.3062815318395,16.405904529546635,0.02159611526679651
6,13b6e30a7e072c1f40149f749aabac8df777f32d,Tin Tvrtkovic,2016-08-29 18:04:16+00:00,List comprehensions are fast.,False,2,1,1,,,,741,291,335,202,3.4444444444444446,84.949049114188,8.88888888888889,13.555555555555555,64.78834580038952,1.2963659147869673,295.3062815318395,16.405904529546635,0.02159611526679651
7,016f34a520bac3c2a401713976c35100c1f219e7,Tin Tvrtkovic,2016-08-29 18:06:31+00:00,Save some lookups.,False,3,2,1,0.0,0.0,1.0,742,292,336,202,3.4444444444444446,84.9363250768178,8.88888888888889,13.555555555555555,64.78834580038952,1.2963659147869673,295.3062815318395,16.405904529546635,0.02159611526679651
8,8ff82975baeb6e6c22d057a1225c7b80661458b8,Tin Tvrtkovic,2016-09-08 21:55:18+00:00,"Implementation, tests and docs for simple loading.",False,798,687,111,0.8523489932885906,1.0,0.912751677852349,1031,481,530,207,2.739130434782609,79.73948419331961,16.11111111111111,22.666666666666668,121.63270615578364,1.7086891494186327,538.033787434541,29.890765968585608,0.04054423538526121
9,95acafe8afa1c913153bc09df2d67033fcb8403b,Tin Tvrtkovic,2016-09-18 13:31:52+00:00,"Rescue loading attrs classes from bitrot, even if not ready.",False,47,31,16,1.0,1.0,0.3333333333333333,1046,484,533,208,2.782608695652174,79.83091998275889,16.666666666666668,23.666666666666668,128.69213760952775,1.7135602336547961,571.2159423767853,31.73421902093251,0.042897379203175906
10,fce0a3abe043d8858f89db20e4ebdb02a453245b,Tin Tvrtkovic,2016-10-02 15:32:59+00:00,Bump version: 0.1.0 → 0.2.0,False,7,4,3,,,,1046,484,533,208,2.782608695652174,79.83091998275889,16.666666666666668,23.666666666666668,128.69213760952775,1.7135602336547961,571.2159423767853,31.73421902093251,0.042897379203175906
