ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,865ea9a66d914ba3ee145d86121ab26dd627ec64,Shane Anderson,2017-12-11 22:03:16+00:00,Somehow accidentally removed a bracket from a line. Fixed.,False,2,1,1,,,,1234,747,979,54,2.9178082191780823,85.23866834962487,7.947368421052632,11.31578947368421,56.84931270735393,1.0047575380266522,261.5853766677799,14.53252092598777,0.018949770902451313
1,5071f1d29dc7bad6ee7ffd33c43e9b46ce8db795,Shane Anderson,2017-12-18 22:59:20+00:00,Added keyring module to requirements.txt and setup.py,False,4,3,1,,,,1232,747,977,54,2.9178082191780823,85.24365885368104,7.947368421052632,11.31578947368421,56.84931270735393,1.0047575380266522,261.5853766677799,14.53252092598777,0.018949770902451313
2,335df64dd1d5ecc36b5c3746776462471068d1dc,Shane Anderson,2018-01-17 00:40:01+00:00,First cut of the Centrify auth plugin.,False,676,676,0,0.6071428571428571,0.7619047619047619,0.6130952380952381,1819,1084,1352,80,2.923076923076923,84.45798851615524,10.772727272727273,15.363636363636363,85.02579573945832,1.2212805000129168,505.3597926675527,28.075544037086253,0.028341931913152773
3,8563c1eba9eb41658b01e9cf87ce5987cbd48f11,Shane Anderson,2018-01-17 00:45:12+00:00,Fixed typo for pyquery package version.,False,2,1,1,,,,1819,1084,1352,80,2.923076923076923,84.45798851615524,10.772727272727273,15.363636363636363,85.02579573945832,1.2212805000129168,505.3597926675527,28.075544037086253,0.028341931913152773
4,ba39031f09e75a62b4b1bd0e0307aba83d3597ea,Shane Anderson,2018-01-17 01:09:33+00:00,Renamed Centrify plugin directory name to match other plugins.,False,0,0,0,,,,1819,1084,1352,80,2.923076923076923,84.45798851615524,10.772727272727273,15.363636363636363,85.02579573945832,1.2212805000129168,505.3597926675527,28.075544037086253,0.028341931913152773
5,240b6b57e11f5f09b036bd7333585004a5302fb7,Shane Anderson,2018-01-17 01:15:15+00:00,Updated comment header.,False,10,2,8,,,,1813,1084,1352,74,2.923076923076923,84.4362351066888,10.772727272727273,15.363636363636363,85.02579573945832,1.2212805000129168,505.3597926675527,28.075544037086253,0.028341931913152773
6,d3bc5c7794eb1ca130eb699fae55b3537cc5b461,Shane Anderson,2018-01-17 01:21:58+00:00,Updated setup.py for cloudtoken main.,False,1,1,0,,,,1814,1084,1353,74,2.923076923076923,84.4362351066888,10.772727272727273,15.363636363636363,85.02579573945832,1.2212805000129168,505.3597926675527,28.075544037086253,0.028341931913152773
7,d54d19e843d365f05d38622be2ea07efce0e1324,Shane Anderson,2018-01-17 01:22:31+00:00,Removed useless https check.,False,6,0,6,1.0,0.0,1.0,1808,1079,1348,74,2.9038461538461537,84.5223112970427,10.772727272727273,15.363636363636363,85.02579573945832,1.2212805000129168,505.3597926675527,28.075544037086253,0.028341931913152773
8,4b17fb229d9941fb93959764a15da195aeafc5e6,Shane Anderson,2018-01-17 04:25:48+00:00,Able to specify config file and cloudtoken directory arguments now.,False,59,29,30,1.0,0.0,0.8,1812,1078,1355,72,2.894230769230769,84.49788180003546,10.727272727272727,15.227272727272727,84.28439156298732,1.216564366344214,502.53781874396867,27.91876770799826,0.028094797187662446
9,2bc26652620068be19ec480a789382ff081dce1b,Shane Anderson,2018-02-11 22:54:59+00:00,Fixed Centrify plugin was not prompting for passcode.,False,2,2,0,1.0,1.0,0.0,1814,1080,1357,72,2.923076923076923,84.47165586882686,10.818181818181818,15.590909090909092,86.8187087090386,1.228508128287976,532.3558129987642,29.575322944375785,0.028939569569679538
