ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,0e9d379c304de95ca85ff7d65a06208e2ec57060,Dirk Thomas,2018-02-10 16:04:34+00:00,define package version,False,4,4,0,,,,4,1,1,2,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,c632814520c5ed305ec597bb59ba1412b308b5ad,Dirk Thomas,2018-02-11 04:05:56+00:00,add setup files,False,42,42,0,,,,20,8,11,4,,97.24339016868407,4.5,4.5,14.264662506490406,0.75,21.396993759735608,1.188721875540867,0.004754887502163469
2,3fb34ba97354d7e7a2e113f7f68264d4f0a88c88,Dirk Thomas,2018-03-12 03:01:45+00:00,"add flake8 test, use pytest with coverage",False,69,69,0,0.0,1.0,1.0,68,28,45,10,2.0,93.89043742513806,5.25,6.5,22.36842188131012,0.8333333333333333,38.631329697986814,2.14618498322149,0.007456140627103373
3,29f1836ceee05f8416dd9743427565d156af8f91,Dirk Thomas,2018-03-12 03:01:46+00:00,define type for environment variables,False,8,8,0,,,,76,30,48,12,2.0,95.11234994011045,4.2,5.2,17.894737505048095,0.6666666666666666,30.905063758389453,1.716947986577192,0.005964912501682698
4,e430a8d0adcd81141b6f15812aaf3a7d7e4ef37c,Dirk Thomas,2018-03-12 03:34:44+00:00,"logging: use coloredlogs when available, functions to set the log level",False,149,149,0,1.0,1.0,1.0,223,111,134,27,2.5555555555555554,90.44360249312484,5.75,7.75,25.71118357621362,0.7837121212121212,32.24990478918991,1.7916613771772174,0.00857039452540454
5,5eb9dbc14ad24365c8788760f55f0066ccc0000c,Dirk Thomas,2018-03-13 03:46:14+00:00,add plugin system,False,695,695,0,0.5070422535211268,0.9323943661971831,0.8816901408450705,918,478,553,72,1.9444444444444444,82.78744902996365,14.692307692307692,22.23076923076923,110.39884766471246,1.4880190706277665,384.22028159615326,21.34557119978629,0.03679961588823749
6,920775766504e9dcd63eb5558d77c5ccd0ae5834,Dirk Thomas,2018-03-13 03:46:15+00:00,add argument parser decorator extension point,False,334,334,0,0.42857142857142855,1.0,0.7278911564625851,1247,638,721,93,1.837837837837838,80.07851752762737,15.333333333333334,24.066666666666666,117.4612571857896,1.5756165278773975,393.26271729098914,21.847928738388283,0.0391537523952632
7,84781d10d2a980e11bfd211936d7d5de58d150f0,Dirk Thomas,2018-03-13 03:46:15+00:00,add config and log locations,False,315,315,0,0.3878787878787879,0.8787878787878788,0.9333333333333333,1562,821,914,123,1.9047619047619047,78.03067018930105,17.176470588235293,29.764705882352942,146.5111220383885,1.9197565189051038,538.9327319602444,29.940707331124685,0.048837040679462825
8,a5251576f716edd148504a681120d3b8ccfc0c81,Dirk Thomas,2018-03-13 03:46:16+00:00,add verb extension point,False,156,156,0,0.5892857142857143,1.0,1.0,1716,899,989,131,1.8617021276595744,77.70361972521656,16.473684210526315,28.526315789473685,137.76847089696915,1.8985381293552843,493.3657156917813,27.40920642732117,0.04592282363232305
9,54ed6d4abd2dfcc68d8f13c983840289d21f0b20,Dirk Thomas,2018-03-13 03:46:16+00:00,add command logic,False,464,464,0,0.2318840579710145,1.0,0.6231884057971014,2173,1114,1244,170,1.9482758620689655,76.13756482246421,18.095238095238095,30.80952380952381,151.36765387167182,2.0402357966894127,577.6956802714741,32.09420445952633,0.050455884623890605
