ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,145d04749f7cf5a4ee1a16eea0d1c4653da4c8df,Yury Selivanov,2018-03-21 01:42:08+00:00,Initial commit,False,891,891,0,0.8540145985401459,1.0,0.9002433090024331,630,438,464,8,1.5806451612903225,60.96341836812728,15.5,24.5,122.03663907854603,1.9118589743589745,493.3574607687436,27.408747820485754,0.04067887969284868
1,a6931cfb1a3ec68c4b6fede81d82c7b96371f82d,Yury Selivanov,2018-03-21 15:53:53+00:00,Rename package: pep567 -> contextvars.,False,61,45,16,,,,630,438,464,8,1.5806451612903225,60.96341836812728,15.5,24.5,122.03663907854603,1.9118589743589745,493.3574607687436,27.408747820485754,0.04067887969284868
2,685db76d56b116bfea2b498ee529c0d29f711169,Yury Selivanov,2018-03-21 17:11:30+00:00,Enable 3.5 support,False,17,10,7,1.0,1.0,1.0,632,438,466,8,1.5806451612903225,60.950625217430506,15.5,24.5,122.03663907854603,1.9118589743589745,493.3574607687436,27.408747820485754,0.04067887969284868
3,ade3df1184188657425ac0ea736ebddf9afac18b,Yury Selivanov,2018-03-21 17:15:24+00:00,Bump the version,False,2,1,1,,,,632,438,466,8,1.5806451612903225,60.950625217430506,15.5,24.5,122.03663907854603,1.9118589743589745,493.3574607687436,27.408747820485754,0.04067887969284868
4,ba7952506a631bc49567a18279cb0bd9ead5c4ba,Yury Selivanov,2018-03-21 17:17:49+00:00,setup.py: Add url and 3.5 classifier,False,2,2,0,,,,634,438,468,8,1.5806451612903225,60.950625217430506,15.5,24.5,122.03663907854603,1.9118589743589745,493.3574607687436,27.408747820485754,0.04067887969284868
5,12928e0dd6d5aca1f8e79cd9565e075134602591,Fantix King,2018-05-02 16:54:20+00:00,"Fixed #3, use immutables",False,37,6,31,0.0,0.0,0.25,609,418,451,8,1.6481481481481481,61.6974972722272,15.0,23.75,116.73962153794838,1.9239864864864864,474.8312369542047,26.379513164122486,0.03891320717931613
6,be143d6e17d659e584bb39f86fab7f73dbb96d8b,Yury Selivanov,2018-05-02 16:58:07+00:00,Bump the version to 2.2,False,2,1,1,,,,609,418,451,8,1.6481481481481481,61.6974972722272,15.0,23.75,116.73962153794838,1.9239864864864864,474.8312369542047,26.379513164122486,0.03891320717931613
7,2cd120eccc9ffd2c726646bad4bfc0a00415dbea,Yury Selivanov,2018-05-02 16:59:09+00:00,Use module import,False,4,2,2,,,,609,418,451,8,1.6481481481481481,61.6974972722272,15.0,23.75,116.73962153794838,1.9239864864864864,474.8312369542047,26.379513164122486,0.03891320717931613
8,646308c5591262d0797a0c0ed84bc3e983542df6,Laura F. D,2018-07-30 15:38:49+00:00,"Bump immutables dependency

0.6 has a crash fix.",False,2,1,1,,,,609,418,451,8,1.6481481481481481,61.6974972722272,15.0,23.75,116.73962153794838,1.9239864864864864,474.8312369542047,26.379513164122486,0.03891320717931613
9,9b23258642f017885817949c400ef8818290ef8f,Yury Selivanov,2018-07-30 15:40:15+00:00,Bump the version to 2.3,False,2,1,1,,,,609,418,451,8,1.6481481481481481,61.6974972722272,15.0,23.75,116.73962153794838,1.9239864864864864,474.8312369542047,26.379513164122486,0.03891320717931613
10,44faa4d55bd2bcc2a90e8e32c4a88a40f8336ace,Robert Schütz,2019-04-01 14:38:41+00:00,"Loosen immutables version constraint

Fixes #8.",False,2,1,1,,,,609,418,451,8,1.6481481481481481,61.6974972722272,15.0,23.75,116.73962153794838,1.9239864864864864,474.8312369542047,26.379513164122486,0.03891320717931613
11,1772052db9446616d65815e36c808e335aa3b136,Yury Selivanov,2019-04-01 14:40:41+00:00,Bump the immutables dep to the latest,False,2,1,1,,,,609,418,451,8,1.6481481481481481,61.6974972722272,15.0,23.75,116.73962153794838,1.9239864864864864,474.8312369542047,26.379513164122486,0.03891320717931613
12,d13d478ee17a61b1f28bea67097357556ffb942b,Yury Selivanov,2019-04-01 14:41:13+00:00,Bump the version to 2.4,False,2,1,1,,,,609,418,451,8,1.6481481481481481,61.6974972722272,15.0,23.75,116.73962153794838,1.9239864864864864,474.8312369542047,26.379513164122486,0.03891320717931613
