ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,4fd70b8f2465593915800f8c7665dcbfb58576e2,Kenneth Reitz,2017-01-20 00:28:15+00:00,basics,False,197,197,0,1.0,1.0,0.6666666666666666,197,117,131,5,1.391304347826087,69.88462536354109,18.5,20.5,92.15668641960495,2.75,338.6267456784198,18.812596982134433,0.03071889547320165
1,c7397676d059047975c7460fee296c3d23313289,Kenneth Reitz,2017-01-20 00:33:43+00:00,simple.,False,26,24,2,,,,197,117,131,5,1.391304347826087,69.88462536354109,18.5,20.5,92.15668641960495,2.75,338.6267456784198,18.812596982134433,0.03071889547320165
2,ab651dba5b6ac2afe0b5909fbb31de0f596fd960,Kenneth Reitz,2017-01-20 00:34:07+00:00,crayons,False,2,1,1,,,,197,117,131,5,1.391304347826087,69.88462536354109,18.5,20.5,92.15668641960495,2.75,338.6267456784198,18.812596982134433,0.03071889547320165
3,10176b5e00324479fcfb28bb3a22c5bf8d663ecb,Kenneth Reitz,2017-01-20 00:36:45+00:00,v0.1.1,False,6,4,2,,,,197,117,131,5,1.391304347826087,69.88462536354109,18.5,20.5,92.15668641960495,2.75,338.6267456784198,18.812596982134433,0.03071889547320165
4,a0aa467f5559f4626adae82e4d837b4e4a669e5b,Kenneth Reitz,2017-01-24 02:44:40+00:00,v0.1.2,False,35,31,4,,,,207,117,141,5,1.391304347826087,68.79537861612893,18.5,20.5,92.15668641960495,2.75,338.6267456784198,18.812596982134433,0.03071889547320165
5,383bef2ef46234178f861a625cb5187efe54ab81,Nikola Kantar,2017-01-27 04:49:46+00:00,"Add crayons.enable()

crayons.enable() does pretty much the opposite of crayons.disable() - it
sets DISABLE_COLOR to False.",False,10,8,2,1.0,1.0,1.0,213,121,144,5,1.375,68.51291808528977,18.0,20.5,91.32135621395047,2.85,351.14969609859196,19.508316449921775,0.030440452071316824
6,05c8a47c4c52a3fd736b94f445874ce0f79a4a02,Jason Pierrepont,2017-10-05 02:19:48+00:00,Add support for Windows,False,1,1,0,,,,208,118,142,5,1.391304347826087,68.7101119686231,18.5,20.5,92.15668641960495,2.75,338.6267456784198,18.812596982134433,0.03071889547320165
7,84afbe93343db74b8162655422290b9443aa8cfb,Graham Ullrich,2018-03-10 20:49:26+00:00,"Add ""normal"" function

Backport improvements/fixes from pipenv.",False,30,23,7,1.0,1.0,0.6666666666666666,222,119,147,5,1.375,68.47769475908505,18.5,20.5,92.15668641960495,2.75,338.6267456784198,18.812596982134433,0.03071889547320165
8,37b53411d9931142627319e7439420c2b481bfde,l0x6c,2018-09-11 00:48:51+00:00,color funcs generated from __all__ var,False,41,7,34,0.0,0.0,1.0,195,108,136,5,1.6,69.2137831580969,18.5,21.5,97.01466741473253,2.8452380952380953,374.2519396426887,20.791774424593815,0.03233822247157751
9,dcbabd9de64f78e41a3f0aee1c539575c3fd94ea,duck2,2018-09-17 09:28:48+00:00,Disable colors on TERM=dumb,False,2,2,0,,,,224,121,149,5,1.375,68.07176619485416,20.0,22.0,102.0,3.0,423.0,23.5,0.034
10,6c31a387a9cfe793b92df077601e92fa98ab826a,Duck Deux,2018-10-31 20:30:46+00:00,use os.getenv,False,2,1,1,,,,224,121,149,5,1.375,68.07176619485416,20.0,22.0,102.0,3.0,423.0,23.5,0.034
11,eb1ce43aa3d928dfd88455f5b9b41b7e3c926e2d,Mickaël Schoentgen,2019-01-05 22:07:19+00:00,"Fix DeprecationWarning: invalid escape sequence

Signed-off-by: Mickaël Schoentgen <contact@tiger-222.fr>",False,2,1,1,,,,222,119,147,5,1.375,68.47769475908505,18.5,20.5,92.15668641960495,2.75,338.6267456784198,18.812596982134433,0.03071889547320165
12,49bf63188f8d150d9651e562e1a2806e6e196c42,Timo Furrer,2019-02-21 13:35:58+00:00,release: 0.2.0,False,2,1,1,,,,204,115,142,5,1.5625,68.39144861294743,20.0,23.0,107.0,3.097826086956522,464.0869565217392,25.782608695652176,0.035666666666666666
13,015652a2133d5a5a34abe94f260edb0538a09826,Matthew Peveler,2019-09-09 08:57:36+00:00,Add .travis.yml build for crayons,False,27,27,0,,,,218,127,153,5,1.5625,78.92763240863162,13.333333333333334,15.333333333333334,71.33333333333333,2.065217391304348,309.3913043478261,17.18840579710145,0.023777777777777776
14,fbf112113ce47801277fe3773e0ab976f92b1328,Matthew Peveler,2019-09-09 09:07:18+00:00,add flake8 linting for crayons,False,30,17,13,,,,218,128,153,8,1.5625,78.23020440604675,13.333333333333334,15.333333333333334,71.33333333333333,2.065217391304348,309.3913043478261,17.18840579710145,0.023777777777777776
15,5c139086cb9d54808e31ae92f8b27dbb552bbe3c,Matthew Peveler,2019-09-09 09:29:15+00:00,Update setup.py for classifiers and maintainer,False,8,5,3,,,,220,128,155,8,1.5625,78.11110151360182,13.333333333333334,15.333333333333334,71.33333333333333,2.065217391304348,309.3913043478261,17.18840579710145,0.023777777777777776
16,469441e4d8e176e7207948ab34c89203120a6c31,Matthew Peveler,2019-09-09 09:30:36+00:00,"Update readme, remove old badges, make example python3 compatible",False,14,7,7,,,,221,129,156,8,1.5625,78.11110151360182,13.333333333333334,15.333333333333334,71.33333333333333,2.065217391304348,309.3913043478261,17.18840579710145,0.023777777777777776
17,800c50aeab5e8a9caa8ca0c9edff27a211ee6a3e,Matthew Peveler,2019-09-09 09:45:05+00:00,Add random() to select a color at random (#14),False,22,19,3,1.0,1.0,0.0,237,138,168,8,1.588235294117647,77.48646075093855,14.666666666666666,16.666666666666668,80.37895002019236,2.230769230769231,387.8137789509988,21.54520994172216,0.026792983340064126
18,0bb9d45880dcf91da39fd9e53a6d2b2121c30038,Frost Ming,2019-10-09 15:40:52+00:00,"Allow customize color replacement. (#24)

* Allow customize color replacement.

* Fix wrong names",False,17,13,4,1.0,1.0,1.0,246,145,174,8,1.6111111111111112,77.07008096782057,14.666666666666666,16.666666666666668,80.37895002019236,2.230769230769231,387.8137789509988,21.54520994172216,0.026792983340064126
19,8133251c2d36e73faae31825fc2e978ec17c571f,Matthew Peveler,2019-10-09 15:46:26+00:00,refactor: move colors out of __all__ into own tuple,False,10,6,4,,,,248,146,175,8,1.6111111111111112,76.9371645246758,15.333333333333334,17.666666666666668,86.71891270165378,2.2261904761904763,419.6515122049928,23.313972900277378,0.02890630423388459
20,a7ebd892aacf11a5f6f2c2b8967fa27bec2c6503,Matthew Peveler,2019-10-09 16:07:36+00:00,feat: change clean to strip ansi codes instead of all text?,False,17,7,10,0.0,0.0,0.0,245,144,173,7,1.6111111111111112,76.7607888004755,15.333333333333334,17.666666666666668,86.71891270165378,2.2261904761904763,419.6515122049928,23.313972900277378,0.02890630423388459
21,eb50b1ab9faaf6633186e024670fc8c744c276ca,Matthew Peveler,2019-10-09 16:07:58+00:00,feat: add function to reset replace codes,False,7,7,0,1.0,1.0,1.0,252,148,176,7,1.5789473684210527,76.59229236875164,15.333333333333334,17.666666666666668,86.71891270165378,2.2261904761904763,419.6515122049928,23.313972900277378,0.02890630423388459
22,4226b3605e25441545cb33d7d95385749675a74f,Matthew Peveler,2019-10-09 16:08:18+00:00,build: expand test script to run all functions,False,30,29,1,,,,280,174,201,7,1.5789473684210527,76.59229236875164,15.333333333333334,17.666666666666668,86.71891270165378,2.2261904761904763,419.6515122049928,23.313972900277378,0.02890630423388459
23,a8ea3f8724e0cd8f534545c67e8153e39c3e6921,Matthew Peveler,2019-10-09 16:20:19+00:00,build: fix flake8 errors in test script,False,27,15,12,,,,283,174,204,18,1.5789473684210527,76.59229236875164,15.333333333333334,17.666666666666668,86.71891270165378,2.2261904761904763,419.6515122049928,23.313972900277378,0.02890630423388459
24,0963263292cdf2748acb65528245c6d685924f98,Matthew Peveler,2019-10-09 18:18:30+00:00,fix: remove second COLORS assignment,False,1,0,1,,,,282,172,203,18,1.5789473684210527,76.72748480334819,14.666666666666666,17.0,82.10225835400648,2.055555555555556,357.81053898536356,19.87836327696464,0.02736741945133549
25,6b6d9ca901104c6c028751324b048af3d0880a45,Matthew Peveler,2019-10-09 18:32:51+00:00,v0.3.0 release,False,2,1,1,,,,282,172,203,18,1.5789473684210527,76.72748480334819,14.666666666666666,17.0,82.10225835400648,2.055555555555556,357.81053898536356,19.87836327696464,0.02736741945133549
