ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,282ac7bb4ba2533f6140816ab9c9036b1411e4a0,Yann MAHE,2015-03-11 15:50:47+00:00,Initial commit,False,7499,7499,0,0.3429762835548606,0.7550169403179567,0.8663017982799062,6770,4118,4501,426,2.6411609498680737,74.87065859637242,20.283333333333335,32.6,191.9566819883127,1.7166988491958237,993.6340773228349,55.20189318460196,0.06398556066277089
1,13b5ff70521e1288d88863fae29d7cf8048ddf2c,Yann Mahe,2015-03-11 16:00:38+00:00,v0.1.1,False,2,1,1,,,,6770,4118,4501,426,2.6411609498680737,74.87065859637242,20.283333333333335,32.6,191.9566819883127,1.7166988491958237,993.6340773228349,55.20189318460196,0.06398556066277089
2,a8380a6dc6513242ba376f466968aafdec4dfad5,Yann Mahe,2015-03-23 15:17:46+00:00,Fix 'dog' initialization issue,False,10,7,3,1.0,1.0,1.0,6771,4118,4502,426,2.6411609498680737,74.86902401745154,20.333333333333332,32.65,192.44501605339548,1.7302302660071942,1011.887767167724,56.21598706487357,0.06414833868446515
3,72023219ba7e7000733857ce6ac9334087e87959,Yann Mahe,2015-03-23 15:17:46+00:00,v0.1.2,False,2,1,1,,,,6771,4118,4502,426,2.6411609498680737,74.86902401745154,20.333333333333332,32.65,192.44501605339548,1.7302302660071942,1011.887767167724,56.21598706487357,0.06414833868446515
4,c8dedbba9ef6e2a73765be8b53eacd2afed304f0,Ben,2015-03-23 19:56:15+00:00,"Don't require `simplejson`

`simplejson` isn't listed as a dependency, but certain modules were
importing it directly. I switched to using `datadog.compat` since that
does the right thing for py2k and py3k and whether or not you have
`simplejson` installed.

A few other fixes
- Fixed requirements needed for running `python setup.py test`
- Use `pillow` instead of `PIL` for the images needed during testing.
  There are lots of reasons `pillow` is a much better choice, but py3k
  support is a pretty big one.",False,11,4,7,,,,6768,4116,4500,426,2.6411609498680737,74.87454402976505,20.333333333333332,32.65,192.44501605339548,1.7302302660071942,1011.887767167724,56.21598706487357,0.06414833868446515
5,f6a03226237a8175a20d7a0cbb1e983f736cdf66,Yann Mahe,2015-03-31 13:53:08+00:00,[threadstats]fix threadstats thread safety + tests,False,186,176,10,0.6436781609195402,1.0,0.9885057471264368,6933,4230,4608,441,2.5935162094763093,74.48102508582706,19.903225806451612,31.79032258064516,186.43789071909825,1.7031017517337177,973.0163123134979,54.05646179519434,0.06214596357303274
6,ebfbd5b15d288c8b97951f617b0a0b09daf3ca1e,Yann Mahe,2015-03-31 14:01:33+00:00,v0.2.0,False,7,5,2,,,,6933,4230,4608,441,2.5935162094763093,74.48102508582706,19.903225806451612,31.79032258064516,186.43789071909825,1.7031017517337177,973.0163123134979,54.05646179519434,0.06214596357303274
7,d924596f3160ebce0c1ec2128aaf2c0b700a3ecf,Yann Mahe,2015-04-06 18:16:40+00:00,v0.2.1,False,13,12,1,,,,6930,4228,4606,441,2.5935162094763093,74.48636703322721,19.903225806451612,31.79032258064516,186.43789071909825,1.7031017517337177,973.0163123134979,54.05646179519434,0.06214596357303274
8,095fc12528d8f43eb792ed02254b4c750b2b0382,Yann Mahe,2015-04-06 20:04:40+00:00,v0.2.2,False,9,7,2,,,,6930,4228,4606,441,2.5935162094763093,74.48636703322721,19.903225806451612,31.79032258064516,186.43789071909825,1.7031017517337177,973.0163123134979,54.05646179519434,0.06214596357303274
9,2df4f977bce1d31182cf57f62c0456f901dc8e0c,Doug Daniels,2015-04-08 22:06:41+00:00,Sniff DATADOG_HOST environment variable to determine which API host to use,False,44,42,2,1.0,1.0,0.9642857142857143,6970,4260,4638,442,2.585185185185185,74.4084638671595,19.919354838709676,31.838709677419356,186.61319999354768,1.7071340097982337,973.4198777373327,54.07888209651849,0.062204399997849213
10,45da030fa6b751564f1d1f3e8116ce9b6bfd23a5,Yann Mahe,2015-04-08 22:48:29+00:00,v0.3.0,False,10,8,2,,,,6970,4260,4638,442,2.585185185185185,74.4084638671595,19.919354838709676,31.838709677419356,186.61319999354768,1.7071340097982337,973.4198777373327,54.07888209651849,0.062204399997849213
11,7ac7342c1f97d7e16e666ddd172b4a528c4e3032,Yann Mahe,2015-04-09 14:29:54+00:00,"Add thread safety tests to default test suite

Fix #29",False,61,1,60,0.6666666666666666,0.6666666666666666,0.0,6911,4221,4598,432,2.5569306930693068,74.8789459184046,19.3015873015873,30.904761904761905,180.84355681171965,1.6759848484062818,943.6362537532185,52.42423631962325,0.060281185603906544
12,b52cccbbdf76f1161182ed2ca36d9ac10117a1e1,Celene,2015-04-14 22:38:10+00:00,fix parameter in event api post,False,2,1,1,,,,6911,4221,4598,432,2.5569306930693068,74.8789459184046,19.3015873015873,30.904761904761905,180.84355681171965,1.6759848484062818,943.6362537532185,52.42423631962325,0.060281185603906544
13,a5db2285b675f3fec03010a704fdda8f1f054a11,Celene,2015-04-16 21:55:22+00:00,update output to show text,False,3,2,1,1.0,1.0,1.0,6912,4222,4599,432,2.5594059405940595,74.86754289630443,19.396825396825395,31.095238095238095,182.1755036176451,1.675879379862275,949.8636448639232,52.770202492440184,0.060725167872548357
14,e112ec1c6fc452ac38e44d4f2adaf72dc3bdb501,Mike Fiedler,2015-04-21 14:28:54+00:00,"update requests library, per CVE-2015-2296

Versions prior to 2.6.0 are vulnerable to a specific session hijack
attack. While we do not use cookies when interacting with the Datadog
API, it is good practice to keep up with security patches like this.

More info: http://www.openwall.com/lists/oss-security/2015/03/14/4",False,2,1,1,,,,6912,4222,4599,432,2.5594059405940595,74.86754289630443,19.396825396825395,31.095238095238095,182.1755036176451,1.675879379862275,949.8636448639232,52.770202492440184,0.060725167872548357
15,6556078a83d23f3f002fdedac80333cd51ba204d,Yann Mahe,2015-04-23 19:51:25+00:00,[dogshell] fix wrong default .dogrc :bug:,False,4,2,2,,,,6912,4222,4599,432,2.5594059405940595,74.86754289630443,19.396825396825395,31.095238095238095,182.1755036176451,1.675879379862275,949.8636448639232,52.770202492440184,0.060725167872548357
16,fcb99afb8a0eeca6f9643b09ed7bfc1ff2339d8b,Yann Mahe,2015-04-23 20:19:19+00:00,[pypi] add classifiers,False,11,10,1,,,,6921,4222,4608,432,2.5594059405940595,74.85207983398988,19.396825396825395,31.095238095238095,182.1755036176451,1.675879379862275,949.8636448639232,52.770202492440184,0.060725167872548357
17,4b539eccab6a2df448be02857d845e52795ff785,Yann Mahe,2015-04-23 20:44:45+00:00,[dogwrap] add priority option,False,3,3,0,0.0,0.0,1.0,6915,4223,4602,432,2.5594059405940595,74.86307847969248,19.396825396825395,31.095238095238095,182.1755036176451,1.675879379862275,949.8636448639232,52.770202492440184,0.060725167872548357
18,e5fa45192f1882724888c39b159a19a9f190fd50,Yann Mahe,2015-04-23 22:56:52+00:00,[core] API parameters from environment variables,False,105,63,42,0.058823529411764705,0.35294117647058826,0.0,6933,4235,4609,426,2.5671641791044775,74.85519410355944,19.428571428571427,31.19047619047619,182.55552207004138,1.6808396973225925,950.8203950996486,52.82335528331383,0.06085184069001379
19,0634845f5ebb1ea4e7209e0cace8fafe596ea61c,Yann Mahe,2015-04-24 15:19:34+00:00,[dogwrap] auto select priority based on output,False,21,11,10,,,,6916,4225,4602,432,2.5618811881188117,74.85642253384285,19.428571428571427,31.142857142857142,182.53778475415774,1.675126779971744,951.8532247201626,52.88073470667572,0.060845928251385906
20,3491e3e34e09a78f2b5f4d4923486b6c00536435,Etienne LAFARGE,2015-04-24 17:33:58+00:00,"[stdout stream] Command out streams fwded to term.

- By default, dogwrap now forwards the stdout and stderr of the command
  it executes to the terminal launching dogwrap.

- This behaviour can be prevented using the --buffer_outs option
  (dogwrap then acts just as it used to do)

- I also added some comments in the code.

- Finally, I added help messages for the different possible options, as
well as an ""USAGE"" description and and version number (automatically
enabled --version option for dogwrap).",False,134,114,20,0.30434782608695654,0.30434782608695654,0.717391304347826,7040,4271,4671,435,2.5714285714285716,74.88288908416362,19.58730158730159,31.396825396825395,184.1863497550282,1.7092788507617458,983.2407658100811,54.62448698944896,0.06139544991834273
21,e0a8594bef97924836fa14c837bc1294f39059bd,Yann,2015-04-24 18:02:45+00:00,Bump version to 0.4.0,False,2,1,1,,,,7040,4271,4671,435,2.5714285714285716,74.88288908416362,19.58730158730159,31.396825396825395,184.1863497550282,1.7092788507617458,983.2407658100811,54.62448698944896,0.06139544991834273
22,63289637473ca3539a576bb0eed3f30cce15ebe1,Yann Mahe,2015-05-18 18:30:15+00:00,"fix #47 py34 windows initialization issue

Because '[create_unicode_buffer] was only accidentally in wintypes in
PY2 due to its use of from ctypes import *'. More info
http://stackoverflow.com/questions/626796/how-do-i-find-the-windows-common-application-data-folder-using-python",False,2,1,1,,,,7040,4271,4671,435,2.5714285714285716,74.88288908416362,19.58730158730159,31.396825396825395,184.1863497550282,1.7092788507617458,983.2407658100811,54.62448698944896,0.06139544991834273
23,51f755ea0fdc90a506c1e200c29d77e8406e7fa6,Yann Mahe,2015-05-18 21:43:14+00:00,metric query API support,False,109,82,27,1.0,1.0,1.0,7095,4292,4690,441,2.5563725490196076,74.91525992658015,19.603174603174605,31.444444444444443,184.92703677597396,1.7083305182086765,994.1405949559576,55.230033053108755,0.061642345591991325
24,e14f7e344477073509c62e0060421018e4663221,Yann Mahe,2015-05-19 14:09:17+00:00,v0.5.0,False,12,9,3,,,,7095,4292,4690,441,2.5563725490196076,74.91525992658015,19.603174603174605,31.444444444444443,184.92703677597396,1.7083305182086765,994.1405949559576,55.230033053108755,0.061642345591991325
25,c4e6f8c9fe2aa7688795b988b912e17019514571,Arthur Wang,2015-05-21 17:04:50+00:00,Add message param to mute host docstring,False,34,33,1,0.0,1.0,1.0,7127,4313,4711,445,2.552567237163814,74.90940332003646,19.6984126984127,31.634920634920636,186.612353939469,1.7081014155559864,1006.5755231780441,55.92086239878024,0.062204117979823
26,9613e0234c22c3c73d2a80da9797ebc41c617070,Arthur Wang,2015-05-26 14:34:47+00:00,"Adjust dogshell host muting + tests

- Add a “message” option to the dogshell host muting command",False,54,51,3,0.0,1.0,1.0,7175,4344,4748,450,2.552567237163814,74.85863593115515,19.873015873015873,32.25396825396825,191.1953371864165,1.7276499292454475,1059.241173154467,58.84673184191484,0.06373177906213882
27,0051f3c28351d5bdb43cad9219b08a9fa347797f,Yann Mahe,2015-05-26 14:34:58+00:00,[dogshell] fix 'setUp' tests,False,12,9,3,,,,7181,4346,4750,453,2.552567237163814,74.86245543124005,19.873015873015873,32.25396825396825,191.1953371864165,1.7276499292454475,1059.241173154467,58.84673184191484,0.06373177906213882
28,beb5df6b59b1c6231805963fb42be0cb256e547d,Yann Mahe,2015-05-27 15:56:13+00:00,"catch any excp when parsing datadg.cnf & fall back

Fix #52.",False,31,8,23,1.0,0.36363636363636365,0.0,7166,4336,4739,452,2.545232273838631,74.89542452979383,19.825396825396826,32.20634920634921,190.86641952671337,1.7189197705152888,1056.2235546874992,58.67908637152773,0.06362213984223777
29,fdbe64389ed314fd70868319d09348f597586b76,Yann Mahe,2015-05-27 16:16:07+00:00,v0.6.0,False,11,9,2,,,,7181,4346,4750,453,2.552567237163814,74.86245543124005,19.873015873015873,32.25396825396825,191.1953371864165,1.7276499292454475,1059.241173154467,58.84673184191484,0.06373177906213882
