ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,de04d7a854d71003ffcf98028eab976a936c2dba,Simon Willison,2017-10-23 00:41:19+00:00,Initial working proof of concept,False,74,74,0,1.0,1.0,1.0,43,27,32,1,2.3333333333333335,68.97931517734892,7.0,8.0,22.458839376460833,1.875,42.11032383086406,2.3394624350480036,0.007486279792153611
1,f571b19d8a5fd3a19fdf679421fd55a8edbf5295,Simon Willison,2017-10-23 15:28:00+00:00,"sqlerrors() decorator catching and returning useful errors

Closes #8",False,17,17,0,1.0,1.0,1.0,60,40,47,1,2.0,63.486867719941266,7.0,8.0,22.458839376460833,1.875,42.11032383086406,2.3394624350480036,0.007486279792153611
2,6a0c5de6154893eb4269dc7b1f160726ec6395f2,Simon Willison,2017-10-23 16:02:40+00:00,"ensure_build_metadata() function for metadata

This will be run at compile time - the goal is to generate a build-
metadata.json file with a bunch of useful facts about the databases that could
be expensive to generate at run-time.

Example metadata:

    {
        ""flights"": {
        ""file"": ""flights.db"",
        ""tables"": {
            ""airlines"": 6048,
            ""airports"": 8107,
            ""routes"": 67663
        },
        ""hash"": ""07d1283e07786b1235bb7041ea445ae103d1571565580a29eab0203c555725fd""
    }

So far we have a sha256 hash of the database file itself, plus a row count for
each table.

Fixes #11",False,51,51,0,0.029411764705882353,0.029411764705882353,1.0,108,73,87,3,3.6,53.74247979675235,22.0,27.0,120.40465370320703,4.857142857142857,584.8226037012912,32.490144650071734,0.04013488456773568
3,b2372605d63248f422b6e67cb5c392236a3aa612,Simon Willison,2017-10-24 02:00:37+00:00,"Implemented multi-db support plus initial URL structure

Refs #24

Fixes #15",False,190,145,45,0.27450980392156865,1.0,0.6862745098039216,171,108,139,8,3.25,50.73215152814423,34.0,40.0,203.4985136500136,5.416666666666667,1102.2836156042404,61.23797864468002,0.06783283788333787
4,9d219140694551453bfa528e0624919eb065f9d6,Simon Willison,2017-10-24 02:25:48+00:00,"Refactored to use class based views

Closes #22",False,101,59,42,0.8571428571428571,1.0,0.0,188,122,151,6,3.25,47.466887273819474,29.0,34.0,165.17135383433748,4.95,817.5982014799706,45.42212230444281,0.05505711794477916
5,12f7e1dc5624d14f644abead18bd90b420b6d97e,Simon Willison,2017-10-24 02:36:44+00:00,"Hashed URLs now have far-future cache expiry

Since the URL now includes a hash of the database, we can return a Cache-
Control: max-age=31536000 header for every response.

The exception is our 302 redirects. These we now serve with a Link: header
that tells any HTTP/2 server-push aware fronting proxies (such as Cloudfront)
to push the target of the redirect.

Closes #4",False,24,18,6,0.0,0.0,0.2727272727272727,200,129,162,7,3.3333333333333335,45.685797768553115,41.0,52.0,278.59270424014034,5.483870967741935,1527.766442607221,84.87591347817894,0.09286423474671344
6,255e2611e5c3cfdda76c9da7abdbe5af976044ac,Simon Willison,2017-10-24 02:48:06+00:00,"CORS headers for JSON responses

Access-Control-Allow-Origin: *",False,1,1,0,0.0,1.0,0.0,201,130,163,7,3.3333333333333335,45.577472786688816,41.0,52.0,278.59270424014034,5.483870967741935,1527.766442607221,84.87591347817894,0.09286423474671344
7,0fa177269767e5e55c863382333fde627d2b7074,Simon Willison,2017-10-24 02:48:56+00:00,"Allow ?sql= argument against database

e.g. /database-234324?sql=select * from table limit 1",False,3,2,1,1.0,1.0,0.0,202,131,164,7,3.5,45.107658427356704,44.0,55.0,300.26873902505133,6.0,1801.612434150308,100.0895796750171,0.10008957967501711
8,b20d7119e4f6506cdb9d5d11322e28130823adfd,Simon Willison,2017-10-24 02:56:27+00:00,Implemented template inheritance and brought back errors,False,55,40,15,0.0,0.0,0.0,194,125,158,7,3.909090909090909,45.631126697650004,44.0,55.0,300.26873902505133,6.0,1801.612434150308,100.0895796750171,0.10008957967501711
9,606ff9e35e007ae58a491d417f47779034bacabc,Simon Willison,2017-10-24 05:53:13+00:00,"python app.py --build to generate build-metadata.json

This is now run by the Dockerfile to build this at compile time.",False,7,6,1,,,,198,129,162,7,3.909090909090909,44.85742445370747,46.0,58.0,320.36659345130676,5.9714285714285715,1913.0462294663746,106.28034608146525,0.10678886448376892
