ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,04693fc6beb2d2dbb3aa8d33932a171900ea239c,John Reese,2018-11-06 02:23:24+00:00,Initial import from diff-match-patch,False,3504,3503,1,0.18769422001243008,0.4151646985705407,0.6631448104412678,2907,1721,1684,473,5.671232876712328,71.6096756561447,153.83333333333334,387.5,3700.0072758092847,4.410326953748006,66353.7196789981,3686.317759944339,1.233335758603095
1,8018438fca64d4058424cd715246303d1ec93ce6,John Reese,2018-11-07 20:16:28+00:00,Support both py2 and py3 using conditional imports,False,2864,2850,14,0.18097014925373134,0.4116915422885572,0.6616915422885572,5740,3422,3324,941,5.724137931034483,53.56779875981124,230.5,581.25,5554.997168637018,6.485870215311006,99587.78865991063,5532.65492555059,1.8516657228790065
2,b411aa44ae51cbe90ee5becfab7eb10bb4cf6007,John Reese,2018-11-07 20:20:24+00:00,Version bump v2018.11.06,False,2,1,1,,,,5740,3422,3324,941,5.724137931034483,53.56779875981124,230.5,581.25,5554.997168637018,6.485870215311006,99587.78865991063,5532.65492555059,1.8516657228790065
3,26bdd5e55ceaa9e0d18cece40bcae92d424b6d36,John Reese,2018-11-07 22:18:01+00:00,Drop unused imports from setup.py,False,5,0,5,,,,5738,3420,3322,941,5.724137931034483,53.56779875981124,230.5,581.25,5554.997168637018,6.485870215311006,99587.78865991063,5532.65492555059,1.8516657228790065
4,5c861343276bf5978626168efadbc60af2cd17e6,John Reese,2018-11-07 22:27:57+00:00,Version bump v2018.11.06.1,False,2,1,1,,,,5738,3420,3322,941,5.724137931034483,53.56779875981124,230.5,581.25,5554.997168637018,6.485870215311006,99587.78865991063,5532.65492555059,1.8516657228790065
5,7c6173d9ffcdd54f3e6e606919696ae49d2ebedb,John Reese,2018-11-12 01:24:42+00:00,Rename module to diff-match-patch,False,31,16,15,,,,5738,3420,3322,941,5.724137931034483,50.46219548737564,230.875,581.625,5555.591529574789,6.548370215311006,99588.08584037951,5532.671435576639,1.8518638431915966
6,1bc2e6b1a774fa4a42ef46858a09e93dc3e53af7,John Reese,2018-11-12 02:22:46+00:00,Version bump v20181111,False,4,2,2,,,,5738,3420,3322,941,5.724137931034483,53.56779875981124,230.5,581.25,5554.997168637018,6.485870215311006,99587.78865991063,5532.65492555059,1.8516657228790065
7,65d872601bdb03879f49b388b9183b9a8354eb1e,Stuart Prescott,2020-07-13 06:14:06+00:00,"Use raw string for regex

Prevents warnings being emitted with recent python versions.",False,2,1,1,,,,5738,3420,3322,941,5.724137931034483,53.56779875981124,230.5,581.25,5554.997168637018,6.485870215311006,99587.78865991063,5532.65492555059,1.8516657228790065
8,595b5a8789ba5c76c140bbd217bcba75760c225d,John Reese,2020-07-13 06:24:33+00:00,Version bump v20200712,False,2,1,1,,,,5738,3420,3322,941,5.724137931034483,53.56779875981124,230.5,581.25,5554.997168637018,6.485870215311006,99587.78865991063,5532.65492555059,1.8516657228790065
9,0ae4abadd0c04c7ee5548441253e6ae55c15e55b,John Reese,2020-07-13 06:58:09+00:00,Better metadata,False,3,3,0,,,,5741,3420,3325,941,5.724137931034483,53.56779875981124,230.5,581.25,5554.997168637018,6.485870215311006,99587.78865991063,5532.65492555059,1.8516657228790065
10,67421872cd9d8323b62bf25d3427935f852e3498,John Reese,2020-07-13 07:02:51+00:00,Formatting,False,10935,6279,4656,0.0,0.8702101359703337,0.9419035846724351,7364,3420,4943,941,5.724137931034483,51.97045439892223,230.5,581.25,5554.997168637018,6.485870215311006,99587.78865991063,5532.65492555059,1.8516657228790065
11,f63dfed2d998bbacf6dc7e529505ab74835b2b49,John Reese,2020-07-13 18:07:20+00:00,Version bump v20200713,False,2,1,1,,,,7364,3420,4943,941,5.724137931034483,51.97045439892223,230.5,581.25,5554.997168637018,6.485870215311006,99587.78865991063,5532.65492555059,1.8516657228790065
12,beff1ccc1244a2b8227a4698613d1d96e157e79b,Amethyst Reese,2023-04-30 21:16:24+00:00,"Update names, url, and copyright",False,8,4,4,,,,7364,3420,4943,941,5.724137931034483,51.97045439892223,230.5,581.25,5554.997168637018,6.485870215311006,99587.78865991063,5532.65492555059,1.8516657228790065
13,61db4c8227326fd74c53578a000e969e6c76f6c6,Amethyst Reese,2023-04-30 21:16:24+00:00,Drop python2 variants,False,3653,7,3646,0.9202479338842975,0.4351239669421488,0.2450413223140496,3725,1720,2492,473,5.671232876712328,70.5511773949101,153.83333333333334,387.5,3700.0072758092847,4.410326953748006,66353.7196789981,3686.317759944339,1.233335758603095
14,eb63c88074cdca1b356f802287bd3e35b120ea27,Amethyst Reese,2023-04-30 21:16:24+00:00,Convert to flit + PEP 621,False,116,47,69,,,,3684,1712,2454,473,5.671232876712328,64.66141287389212,184.6,465.0,4440.008730971142,5.292392344497608,79624.46361479771,4423.581311933207,1.480002910323714
15,606063efde1da41235126bd9f58a01ea9f4fccac,Amethyst Reese,2023-04-30 21:16:24+00:00,Format with modern black + usort,False,606,302,304,,,,3682,1712,2454,473,5.671232876712328,64.66141287389212,184.6,465.0,4440.008730971142,5.292392344497608,79624.46361479771,4423.581311933207,1.480002910323714
16,51914f48fbd0481fc2bc8d3bd74cc1f9e4c045c5,Amethyst Reese,2023-04-30 21:16:24+00:00,Use attribution for version/changelog,False,96,95,1,,,,3689,1714,2455,473,5.671232876712328,70.5511773949101,153.83333333333334,387.5,3700.0072758092847,4.410326953748006,66353.7196789981,3686.317759944339,1.233335758603095
17,ce93235a69c35e8b72cf844accab4fd3279cbd71,Amethyst Reese,2023-04-30 21:21:32+00:00,Replace imp with importlib. Fixes #5 (#7),False,4,2,2,,,,3689,1714,2455,473,5.671232876712328,70.5511773949101,153.83333333333334,387.5,3700.0072758092847,4.410326953748006,66353.7196789981,3686.317759944339,1.233335758603095
18,0083470624b31d2b4cdc8a81a289d3f083dca831,Amethyst Reese,2023-04-30 21:47:52+00:00,Version bump v20230430,False,21,19,2,,,,3689,1714,2455,473,5.671232876712328,70.5511773949101,153.83333333333334,387.5,3700.0072758092847,4.410326953748006,66353.7196789981,3686.317759944339,1.233335758603095
