ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,ed374bf1652e71f137aafa2b323d75f969bc3a68,leplatrem,2011-04-18 12:54:29+00:00,Initial version,False,122,122,0,1.0,1.0,0.3,41,15,14,0,4.0,80.54502918942069,3.0,3.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565
1,ba4cbd70278313ad97fdeae1c1e8a161a55f5625,leplatrem,2011-04-18 16:25:53+00:00,"one day, with distutils2...",False,20,20,0,,,,61,19,32,0,4.0,90.27251459471034,1.5,1.5,2.3774437510817346,0.25,1.1887218755408673,0.06604010419671485,0.0007924812503605782
2,5071755f84acf0ac378196ba00e4854928d10e35,leplatrem,2011-04-21 13:32:25+00:00,switch to distutils (fixes #1),False,18,10,8,,,,63,19,33,0,4.0,90.27251459471034,1.5,1.5,2.3774437510817346,0.25,1.1887218755408673,0.06604010419671485,0.0007924812503605782
3,95fc22675474ffa3f869a61656a0c668443ab360,leplatrem,2011-04-21 13:32:58+00:00,increment version,False,4,2,2,,,,63,19,33,0,4.0,90.27251459471034,1.5,1.5,2.3774437510817346,0.25,1.1887218755408673,0.06604010419671485,0.0007924812503605782
4,fccc2339d920a3a7a243e98b4b41991c3a303a67,leplatrem,2011-06-08 14:47:45+00:00,damn typo,False,2,1,1,,,,63,19,33,0,4.0,90.27251459471034,1.5,1.5,2.3774437510817346,0.25,1.1887218755408673,0.06604010419671485,0.0007924812503605782
5,93dd7be99dfc144653a0009d91acecfaa956e385,leplatrem,2011-06-08 14:48:32+00:00,README.txt will be included by default,False,2,1,1,,,,63,19,33,0,4.0,90.27251459471034,1.5,1.5,2.3774437510817346,0.25,1.1887218755408673,0.06604010419671485,0.0007924812503605782
6,b7daffcc3d6489b3a428dcafb4b39334e05b655b,leplatrem,2011-06-08 14:52:09+00:00,Increment version,False,6,5,1,,,,63,19,33,0,4.0,90.27251459471034,1.5,1.5,2.3774437510817346,0.25,1.1887218755408673,0.06604010419671485,0.0007924812503605782
7,78f34500442afb8ef5058e5bc3147794f22c6d76,Mathieu Leplatre,2011-10-29 09:27:50+00:00,"Improve readme and doctest, mention attributes modification",False,45,39,6,,,,89,19,33,0,4.0,79.03449126417664,1.5,1.5,2.3774437510817346,0.25,1.1887218755408673,0.06604010419671485,0.0007924812503605782
8,11e8ef40c6a371806fac6f409bedac9826ca9533,Mathieu Leplatre,2011-12-09 17:08:13+00:00,Make constructor similar with dict(),False,11,10,1,1.0,1.0,0.0,72,20,34,0,4.0,85.57019244626014,1.5,1.5,2.3774437510817346,0.25,1.1887218755408673,0.06604010419671485,0.0007924812503605782
9,114ab2ed66923b212bfc921ce6bdb8929614047e,Mathieu Leplatre,2011-12-09 17:17:10+00:00,Better setup,False,39,14,25,,,,71,20,34,0,4.0,85.57019244626014,1.5,1.5,2.3774437510817346,0.25,1.1887218755408673,0.06604010419671485,0.0007924812503605782
10,6e2cdb46790c88266f9ccf1c4cbe49911da606a6,Mathieu Leplatre,2012-03-13 11:45:51+00:00,Access class attributes like instance attributes,False,30,28,2,1.0,0.0,0.0,123,25,39,1,6.0,70.6466418141912,5.5,5.5,19.026873902505137,1.0,38.053747805010275,2.1140971002783484,0.006342291300835046
11,4d5090ad001d19cd848cd975a8cc9722e6e6fa8a,Mathieu Leplatre,2012-03-13 11:47:11+00:00,Bump version,False,2,1,1,,,,123,25,39,1,6.0,70.6466418141912,5.5,5.5,19.026873902505137,1.0,38.053747805010275,2.1140971002783484,0.006342291300835046
12,0c81709ccfd842c031e64e8dccbbe5043e3e6674,Mathieu Leplatre,2012-03-14 08:58:09+00:00,Improve doc,False,27,23,4,,,,124,25,39,1,6.0,70.31270607926604,5.5,5.5,19.026873902505137,1.0,38.053747805010275,2.1140971002783484,0.006342291300835046
13,e95d2d10a41c96ef641ffeec49c4beeff7121a98,Mathieu Leplatre,2012-03-27 13:02:12+00:00,Improve towards standard setup,False,255,219,36,,,,133,25,46,3,6.0,67.62065778777226,8.0,8.5,25.992658187167223,1.25,41.53663994734132,2.3075911081856284,0.008664219395722409
14,bad83943aa6f0a88b6450c171627d7e501443052,Mathieu Leplatre,2012-03-27 13:02:48+00:00,Add tests with empty parameters,False,8,8,0,,,,141,25,46,3,6.0,65.55247280352104,8.0,8.5,25.992658187167223,1.25,41.53663994734132,2.3075911081856284,0.008664219395722409
15,7757875a0d9001fdf837736160e75a3a7f58c018,Mathieu Leplatre,2012-03-27 13:05:16+00:00,Fix pep8 warnings,False,18,9,9,,,,141,25,46,3,6.0,65.55247280352104,8.0,8.5,25.992658187167223,1.25,41.53663994734132,2.3075911081856284,0.008664219395722409
16,4339fbe504006105bf1abcdacc5200fed16f418a,Mathieu Leplatre,2012-05-07 10:35:12+00:00,Prevent dict update with empty input,False,6,5,1,1.0,0.0,0.0,145,26,47,3,6.333333333333333,65.44140507104522,8.0,8.5,25.992658187167223,1.25,41.53663994734132,2.3075911081856284,0.008664219395722409
17,0c5ef2aebf11a34847cdff1340b6439ca5cd6721,Steve Engledow,2014-08-06 11:15:19+00:00,Change to use self.__class__ in place of EasyDict for easier subclassing,False,4,2,2,,,,145,26,47,3,6.333333333333333,65.44140507104522,8.0,8.5,25.992658187167223,1.25,41.53663994734132,2.3075911081856284,0.008664219395722409
18,1f789ef149cc30e17c7fef47ba0c07be7c17ba0e,Mathieu Leplatre,2014-08-07 16:48:00+00:00,Preparing release 1.5,False,4,2,2,,,,145,26,47,3,6.333333333333333,65.44140507104522,8.0,8.5,25.992658187167223,1.25,41.53663994734132,2.3075911081856284,0.008664219395722409
19,d0e1d5e2a818bad48c8576578812b81d8907f7c6,Mathieu Leplatre,2014-08-07 16:48:17+00:00,Back to development: 1.6,False,8,7,1,,,,145,26,47,3,6.333333333333333,65.44140507104522,8.0,8.5,25.992658187167223,1.25,41.53663994734132,2.3075911081856284,0.008664219395722409
