ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,5ce826ca37ecb931db728a2d8aa8ef9542286008,Nicola Iarocci,2013-03-09 14:58:13+00:00,first commit,False,298,298,0,1.0,1.0,0.90625,111,42,62,4,1.5,90.28741551131996,6.5,7.5,27.753297886058192,1.1111111111111112,61.67399530235154,3.4263330723528633,0.00925109929535273
1,404efda8c6b84689f98cbdcd6cbc67046195be51,Nicola Iarocci,2013-03-09 15:09:21+00:00,init.py,False,1,1,0,,,,112,42,62,4,1.5,93.52494367421332,4.333333333333333,5.0,18.50219859070546,0.7407407407407408,41.11599686823436,2.284222048235242,0.006167399530235154
2,66390c6c8c08ca208b830fbc9b875acfc15e19e7,Nicola Iarocci,2013-03-09 16:32:58+00:00,placeholder for tests,False,3,3,0,,,,115,42,62,6,1.5,95.14370775565999,3.25,3.75,13.876648943029096,0.5555555555555556,30.83699765117577,1.7131665361764317,0.004625549647676365
3,eccdf50e0250322cc944cceb1235aadcfc782bf2,Nicola Iarocci,2013-03-09 16:37:17+00:00,basic Sphinx setup,False,421,421,0,,,,361,62,98,155,1.5,96.11496620452799,2.6,3.0,11.101319154423276,0.4444444444444445,24.669598120940616,1.3705332289411454,0.0037004397181410924
4,60cfef73df54ab66e49b284c2f7430617d272176,Nicola Iarocci,2013-03-10 13:19:49+00:00,Version number moved to __init__.py,False,8,6,2,,,,365,65,101,155,1.5,96.11496620452799,2.6,3.0,11.101319154423276,0.4444444444444445,24.669598120940616,1.3705332289411454,0.0037004397181410924
5,00e4c34855537bcd6f5b16e412954e604f9c7832,Nicola Iarocci,2013-03-10 13:24:56+00:00,Unique __repr__ for Events class,False,4,3,1,1.0,1.0,1.0,367,65,103,155,1.5,96.13131638699222,2.6,3.0,11.101319154423276,0.4444444444444445,24.669598120940616,1.3705332289411454,0.0037004397181410924
6,c2c139b8a4a69c97138e8d8e9fbc99bfeb0ce02b,Nicola Iarocci,2013-03-10 13:26:04+00:00,__len__ implementation for Events class,False,2,1,1,,,,367,65,103,155,1.5,96.13131638699222,2.6,3.0,11.101319154423276,0.4444444444444445,24.669598120940616,1.3705332289411454,0.0037004397181410924
7,28c6a2407a6bf1fc3ed8490a26e77f247efd35c3,Nicola Iarocci,2013-03-10 13:27:00+00:00,__repr__ implementation for _EventSlot class,False,2,1,1,,,,367,65,103,155,1.5,96.15059813379813,2.4,3.0,10.75488750216347,0.33333333333333337,17.924812503605786,0.9958229168669881,0.003584962500721157
8,cd77faa7a881b7765aeeb4ea69e48fae20130aa9,Nicola Iarocci,2013-03-10 13:29:41+00:00,__len__ implmentation for _EventSlot class,False,3,3,0,1.0,1.0,1.0,370,67,105,155,1.4615384615384615,96.03148507509799,2.4,3.0,10.75488750216347,0.33333333333333337,17.924812503605786,0.9958229168669881,0.003584962500721157
9,4f5444d51f8d15fef116c0a0fba282e100bf45bb,Nicola Iarocci,2013-03-10 13:30:26+00:00,__iter__ implementation for _EventSlot class,False,6,6,0,1.0,1.0,1.0,376,72,110,155,1.4285714285714286,95.75805015543165,2.4,3.0,10.75488750216347,0.33333333333333337,17.924812503605786,0.9958229168669881,0.003584962500721157
10,9e29a7d4ff3ed09e47abd08a9f1bce7adf0690f8,Nicola Iarocci,2013-03-10 13:31:02+00:00,__getitem__ implementation for _EventSlot class,False,7,7,0,1.0,1.0,1.0,383,74,112,155,1.4,95.62916369850731,2.4,3.0,10.75488750216347,0.33333333333333337,17.924812503605786,0.9958229168669881,0.003584962500721157
11,a1b849c6ea90baf7f477a9e4e8102233140fe407,Nicola Iarocci,2013-03-10 13:31:23+00:00,Test suite,False,99,98,1,1.0,1.0,1.0,480,153,191,154,1.53125,87.39691489993,5.833333333333333,10.0,42.88912092223049,0.6527777777777778,91.27245176146693,5.07069176452594,0.014296373640743496
12,b6faefe5c1594644d1f9c7a5443914d1bdfff0b6,Nicola Iarocci,2013-03-11 09:50:33+00:00,Superfluous empty lines removed,False,4,0,4,,,,476,153,191,154,1.53125,87.39691489993,5.833333333333333,10.0,42.88912092223049,0.6527777777777778,91.27245176146693,5.07069176452594,0.014296373640743496
