ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,e7c10e5c3d1d3dec29b5635b63f3a91358c14a3a,Joshua Harlow,2015-03-10 17:15:04+00:00,Initial commit,False,461,461,0,0.6261682242990654,0.6261682242990654,0.9252336448598131,284,131,153,55,3.3636363636363638,80.56748374354979,23.0,33.5,185.03932552790994,2.3157894736842106,857.0242445503197,47.61245803057332,0.06167977517596998
1,0abe80723f14ea9b42ac30e23f4e6155efe542d0,Joshua Harlow,2015-03-10 17:17:57+00:00,Fix up the readme,False,12,11,1,,,,283,131,153,55,3.3636363636363638,80.56748374354979,23.0,33.5,185.03932552790994,2.3157894736842106,857.0242445503197,47.61245803057332,0.06167977517596998
2,ef7ea2dedb0baed459df09dffebc0fa348f4f390,Joshua Harlow,2015-03-10 17:18:34+00:00,Fix the url,False,2,1,1,,,,283,131,153,55,3.3636363636363638,80.56748374354979,23.0,33.5,185.03932552790994,2.3157894736842106,857.0242445503197,47.61245803057332,0.06167977517596998
3,14663eda76ca99b9a9fb977a1787cb2aa9ed555c,Joshua Harlow,2015-03-10 17:45:42+00:00,Add tests,False,445,440,5,0.7532467532467533,0.8246753246753247,0.9025974025974026,718,443,466,96,2.875,79.37812293002253,23.6,35.4,205.68913108664952,2.212756467439786,1118.7571896426916,62.153177202371765,0.06856304369554984
4,633bce8ede81a2d3517b3bb6b499d295a3cc28d9,Joshua Harlow,2015-03-10 17:47:58+00:00,Move lock to its own file and expose it,False,436,230,206,,,,742,446,469,113,2.875,82.81510244168544,19.666666666666668,29.5,171.40760923887458,1.8439637228664882,932.2976580355763,51.7943143353098,0.057135869746291534
5,73604b96c9606fcce45f46d71087d7fa9fbfac14,Joshua Harlow,2015-03-10 18:03:57+00:00,"Add test-requirements, tox.ini and ability to use it",False,21,18,3,,,,739,445,466,113,2.875,82.81510244168544,19.166666666666668,29.0,170.61512798851402,1.760630389533155,931.901417410396,51.77230096724423,0.05687170932950467
6,d7fbd5b3157411c7a61e5eed0b9022f9bd138345,Joshua Harlow,2015-03-10 18:06:42+00:00,"Remove py33 support

Just mention/retain py34 support instead.",False,3,1,2,,,,738,445,465,113,2.875,82.81510244168544,19.166666666666668,29.0,170.61512798851402,1.760630389533155,931.901417410396,51.77230096724423,0.05687170932950467
7,a6bc06c08fb4d7f6f5277f7949c91e786ff72cb6,Joshua Harlow,2015-03-10 18:09:13+00:00,Use absolute_import,False,8,5,3,,,,740,446,466,113,2.875,82.81510244168544,19.166666666666668,29.0,170.61512798851402,1.760630389533155,931.901417410396,51.77230096724423,0.05687170932950467
8,2cb7fd4159207c8a0171b865b138cab8b87dbfd4,Joshua Harlow,2015-03-10 18:54:51+00:00,Fix flake8 warnings/issues,False,7,3,4,,,,739,446,466,116,2.875,82.81510244168544,19.166666666666668,29.0,170.61512798851402,1.760630389533155,931.901417410396,51.77230096724423,0.05687170932950467
9,b625c0a2a4d3e9c2648b27cb455f323ba8cca329,Joshua Harlow,2015-05-24 01:35:51+00:00,"Add a interprocess lock

Extract a interprocess lock from oslo.concurrency and
taskflow and tooz and place the common code for that into
this package as a new provided lock that all can eventually
share.",False,490,481,9,0.605072463768116,0.8043478260869565,0.9094202898550725,1201,744,770,168,2.408450704225352,76.6841654504901,21.25,29.5,165.21685357835196,2.5378640964976924,888.8689901722416,49.38161056512453,0.055072284526117316
10,a255bb45540291c4ad2d31f3da17702e1880e05d,Joshua Harlow,2015-05-24 01:37:19+00:00,Fix docstring having wrong default increment,False,2,1,1,,,,1201,744,770,168,2.408450704225352,76.6841654504901,21.25,29.5,165.21685357835196,2.5378640964976924,888.8689901722416,49.38161056512453,0.055072284526117316
11,d8085710882a2072452b25d86b6a7a1648fc2c9d,Joshua Harlow,2015-05-24 01:49:19+00:00,Open 0.3.0 for work,False,3,2,1,,,,1201,744,770,168,2.408450704225352,76.6841654504901,21.25,29.5,165.21685357835196,2.5378640964976924,888.8689901722416,49.38161056512453,0.055072284526117316
12,09ad135e261ac9b8092eb6f38bc33f83c9af9a3b,Joshua Harlow,2015-05-24 02:16:34+00:00,Fix delay not working as expected,False,10,9,1,1.0,1.0,0.0,1207,750,776,168,2.4225352112676055,76.54377162824672,21.5,29.875,167.5369629447807,2.535472792149866,901.6898858837817,50.09388254909898,0.0558456543149269
13,035aa7d36809eeec505f6e3598b7988a16cb6246,Joshua Harlow,2015-05-24 02:17:58+00:00,Release 0.2.1,False,2,1,1,,,,1207,750,776,168,2.4225352112676055,76.54377162824672,21.5,29.875,167.5369629447807,2.535472792149866,901.6898858837817,50.09388254909898,0.0558456543149269
14,7c88b98a9f358997f1ff1469f96343c9773d5e85,Joshua Harlow,2015-05-24 07:00:23+00:00,Renamed from 'shared_lock' to 'fasteners',False,62,32,30,,,,1208,750,777,168,2.4225352112676055,76.54377162824672,21.5,29.875,167.5369629447807,2.535472792149866,901.6898858837817,50.09388254909898,0.0558456543149269
15,7c7d71f26dbc41f945c560c1b142737b0912a9c6,Joshua Harlow,2015-05-24 07:08:03+00:00,Fix url to point to renamed repo,False,2,1,1,,,,1208,750,777,168,2.4225352112676055,76.54377162824672,21.5,29.875,167.5369629447807,2.535472792149866,901.6898858837817,50.09388254909898,0.0558456543149269
16,03b930d31a66420e6fd35fe22b776a20bcc9221d,Joshua Harlow,2015-05-24 23:54:44+00:00,Have the interprocess lock be able to be non-blocking,False,35,25,10,0.0,1.0,0.0,1223,762,790,168,2.4444444444444446,76.29761490968201,21.625,30.125,169.03696810712114,2.5344150998421737,910.0384954647805,50.5576941924878,0.05634565603570704
17,c92e08513bf66a7c187dbd97bb3b1d268f8a0d35,Joshua Harlow,2015-05-24 23:57:29+00:00,Release 0.4.0,False,2,1,1,,,,1223,762,790,168,2.4444444444444446,76.29761490968201,21.625,30.125,169.03696810712114,2.5344150998421737,910.0384954647805,50.5576941924878,0.05634565603570704
18,c3775f9900c0ec9ae188ca35016ebca46d3c17de,Joshua Harlow,2015-05-26 06:18:01+00:00,Add ability for acquire to timeout,False,17,10,7,0.0,0.0,0.0,1226,764,793,168,2.486111111111111,76.08498109827029,22.625,31.875,180.13030961187684,2.6386546103316846,1005.4567545289094,55.85870858493941,0.060043436537292286
19,c4a567baa84694cbbe0035645cfa19fab2225ac9,Joshua Harlow,2015-05-26 22:35:38+00:00,Release 0.5.0,False,2,1,1,,,,1226,764,793,168,2.486111111111111,76.08498109827029,22.625,31.875,180.13030961187684,2.6386546103316846,1005.4567545289094,55.85870858493941,0.060043436537292286
20,266af6149e730d7eb20a7661fecd56ccfdbe0ccd,Joshua Harlow,2015-05-27 16:13:41+00:00,Allow the sleep function to be provided,False,19,10,9,0.0,0.0,0.0,1223,762,791,168,2.507042253521127,76.128968907191,22.625,31.875,180.13030961187684,2.6386546103316846,1005.4567545289094,55.85870858493941,0.060043436537292286
21,00f75170b89b7c49b839c0a1b18cc06d6fd00e38,Joshua Harlow,2015-06-02 18:43:05+00:00,"Remove dependency on oslo.utils (replace with small util code)

Since this is meant to be a leaf dependency for openstack it should
not depend on any other openstack packages, so to make this happen
just have a really tiny _utils code module that contains the needed
functionality used from oslo.utils (at a later date we may be able
to better handle this).",False,86,76,10,1.0,1.0,0.9230769230769231,1287,797,824,185,2.423076923076923,76.90795394525848,21.333333333333332,29.666666666666668,164.72840625762916,2.599439018707529,904.2823670539251,50.237909280773614,0.05490946875254305
22,8ea2f3d37083a361401e5acccfacae46b92a203c,Joshua Harlow,2015-06-02 18:48:03+00:00,Ensure elapsed always >= 0.0 (just incase),False,3,2,1,1.0,1.0,1.0,1288,798,825,185,2.423076923076923,76.86842176928138,21.333333333333332,29.666666666666668,164.72840625762916,2.599439018707529,904.2823670539251,50.237909280773614,0.05490946875254305
23,f5c4aa9c95e524e44dff68a50a5de298e5822003,Joshua Harlow,2015-06-02 19:06:16+00:00,Release 0.6.0,False,2,1,1,,,,1288,798,825,185,2.423076923076923,76.86842176928138,21.333333333333332,29.666666666666668,164.72840625762916,2.599439018707529,904.2823670539251,50.237909280773614,0.05490946875254305
24,1f30ce0b614a8c506595b42bbcace02e0829c180,Joshua Harlow,2015-06-03 19:51:20+00:00,"Add a `locked` decorator

This decorator is useful to lock a instance method
where that instance object that the method is attached
to has a lock object connected to an attribute (or list of
locks) that should be acquired before/after running the
decorated method.",False,75,75,0,1.0,1.0,0.65625,1359,837,865,197,2.4375,76.47470480097287,21.88888888888889,30.555555555555557,170.87876732341164,2.591279083987007,929.2967533476035,51.627597408200195,0.05695958910780388
25,9c19880f6bc8fa6bb05ff44ec76858a81a78a756,Joshua Harlow,2015-06-03 19:53:01+00:00,Utils import isn't needed,False,2,0,2,,,,1357,836,864,197,2.4375,76.48115999100276,21.88888888888889,30.555555555555557,170.87876732341164,2.591279083987007,929.2967533476035,51.627597408200195,0.05695958910780388
26,1d14c470fdfff39c3b78b5fe2ee83eeb655c1b59,Joshua Harlow,2015-06-03 19:58:50+00:00,Expose top level try_lock,False,2,2,0,,,,1358,837,865,198,2.4375,76.48115999100276,21.88888888888889,30.555555555555557,170.87876732341164,2.591279083987007,929.2967533476035,51.627597408200195,0.05695958910780388
27,68b14b13446265e0106f77fcb1cbc4f3e531e189,Joshua Harlow,2015-06-03 21:34:53+00:00,Add tests for the decorators/helpers,False,92,92,0,1.0,1.0,1.0,1450,886,909,226,2.265957446808511,80.75731271991134,17.90909090909091,25.0,139.8099005373368,2.1201374323530056,760.3337072844029,42.24076151580016,0.04660330017911227
28,5cd9f3c92f33ea3167a7555ae08c25fcaa831f8c,Joshua Harlow,2015-06-03 22:07:58+00:00,"Exit stack and py2.6 with locks do not work

Due to https://bitbucket.org/ncoghlan/contextlib2/issue/17/
it appears the the exit stack has issues with locks on py2.6
so use a smaller implementation that does the same thing
instead.",False,59,49,10,1.0,1.0,0.7586206896551724,1489,918,935,223,2.2211538461538463,80.2186829319574,17.90909090909091,25.0,139.8099005373368,2.1201374323530056,760.3337072844029,42.24076151580016,0.04660330017911227
29,c728c47fc13e70cb6a1a1b0adb4452f79cb24d9e,Joshua Harlow,2015-06-03 22:11:05+00:00,Add warning to lock stack about usage that should not be done,False,7,6,1,,,,1494,918,935,223,2.2211538461538463,80.33136483597728,17.90909090909091,25.0,139.8099005373368,2.1201374323530056,760.3337072844029,42.24076151580016,0.04660330017911227
30,1d825e65f1b3ff58db07a7b30b4df88d98e7ce06,Joshua Harlow,2015-06-03 22:18:30+00:00,Log an exception if release fails,False,11,9,2,1.0,1.0,0.0,1501,923,941,222,2.2211538461538463,80.10387851731498,18.09090909090909,25.272727272727273,141.0820292962885,2.1143654265809997,762.9210457708257,42.384502542823654,0.04702734309876284
31,4cec2ca857c9de17114a62be2b02ccd38f7e7816,Joshua Harlow,2015-06-04 00:27:03+00:00,"If stack fails getting a lock, stop and raise",False,6,4,2,1.0,1.0,0.0,1503,924,943,222,2.2211538461538463,80.0625214816001,18.636363636363637,26.0,146.41820843518045,2.160216377955207,809.4419100511078,44.96899500283932,0.04880606947839349
32,810bea86b509e17b095e30ca3b158c7fd8fcc36f,Joshua Harlow,2015-06-04 00:29:25+00:00,Only retain the lock in the stack if acquired,False,3,2,1,1.0,1.0,1.0,1504,925,944,222,2.2403846153846154,80.02597033617059,18.636363636363637,26.0,146.41820843518045,2.160216377955207,809.4419100511078,44.96899500283932,0.04880606947839349
33,396a5cb86ae5d200053021820723a08e3fc2968e,Joshua Harlow,2015-06-04 16:19:36+00:00,This should state function instead of method (it works with both),False,2,1,1,,,,1504,925,944,222,2.2403846153846154,80.02597033617059,18.636363636363637,26.0,146.41820843518045,2.160216377955207,809.4419100511078,44.96899500283932,0.04880606947839349
34,79749915c198bda4ea3e6423a2ff1b00ad8e58db,Joshua Harlow,2015-06-04 23:14:37+00:00,Release 0.7.0,False,2,1,1,,,,1504,925,944,222,2.2403846153846154,80.02597033617059,18.636363636363637,26.0,146.41820843518045,2.160216377955207,809.4419100511078,44.96899500283932,0.04880606947839349
35,65abff91c2a8b02381831388388a825550b4bd29,Joshua Harlow,2015-06-05 22:04:42+00:00,Add doc building + basic docs,False,361,361,0,,,,1797,948,989,402,2.2403846153846154,81.71434361436214,17.083333333333332,23.833333333333332,134.21669106558207,1.9801983464589397,741.9884175468488,41.22157875260271,0.0447388970218607
36,417f9a5101ace54032c2354265ac66f28f04db8a,Joshua Harlow,2015-06-06 00:32:09+00:00,Ensure bugs.debian.org link starts with http,False,4,2,2,,,,1797,948,989,402,2.2403846153846154,81.71434361436214,17.083333333333332,23.833333333333332,134.21669106558207,1.9801983464589397,741.9884175468488,41.22157875260271,0.0447388970218607
37,461ac8d8840ba4b5b0142c4d0c08ea5c71769642,Joshua Harlow,2015-06-06 00:52:36+00:00,Attempt to use the monotonic pypi module if its installed,False,21,17,4,,,,1806,952,993,407,2.2403846153846154,81.70440043447452,17.083333333333332,23.833333333333332,134.21669106558207,1.9801983464589397,741.9884175468488,41.22157875260271,0.0447388970218607
38,aac10db97a52d6adc0ccdb2c038c07ddec7ad0a6,Joshua Harlow,2015-06-07 01:48:09+00:00,Update copyright and include a safety-pin image,False,233,231,2,,,,1807,952,993,407,2.2403846153846154,81.70440043447452,17.083333333333332,23.833333333333332,134.21669106558207,1.9801983464589397,741.9884175468488,41.22157875260271,0.0447388970218607
39,b9a1dae5c5eca3edbda9f576549be87c35ea8b7a,Joshua Harlow,2015-06-07 01:52:08+00:00,Add docstrings to reader/writer constants,False,4,4,0,,,,1811,952,993,409,2.2403846153846154,81.70481277171325,17.083333333333332,23.833333333333332,134.21669106558207,1.9801983464589397,741.9884175468488,41.22157875260271,0.0447388970218607
