ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,3819e037a6d2e9f0f58349e0e3f1c832c59d1310,wcdolphin,2013-07-28 21:44:32+00:00,initial commit,False,192,192,0,1.0,0.17647058823529413,0.6176470588235294,101,48,77,5,4.5,87.35600034031854,6.5,8.25,35.115436545968464,0.9632352941176471,114.34863953861591,6.352702196589773,0.011705145515322823
1,993db2c4011992d21b98a0b8c8842deaffafb4e3,Silver,2013-12-14 00:24:54+00:00,"Fixes a bug causing HTTP 405 for all requests

Fixes a bug of improper handling of CORS OPTIONS requests resulting in
HTTP 405.",False,1,1,0,1.0,1.0,1.0,102,49,78,5,4.5,87.28080605483663,6.5,8.25,35.115436545968464,0.9632352941176471,114.34863953861591,6.352702196589773,0.011705145515322823
2,438e21a9797dee0c91fc6b21a227b958f8062044,wcdolphin,2013-12-19 18:44:24+00:00,"Update implementation to be more robust, add documentation and rename to cross_origin",False,74,54,20,0.0,0.18181818181818182,0.9090909090909091,136,58,88,14,4.5,93.53165238635508,9.0,12.25,59.19925424816308,0.9305555555555556,187.51718747177534,10.417621526209743,0.019733084749387692
3,a6902a077ae770bc866981d51403d4560a2e11c2,wcdolphin,2013-12-19 18:44:40+00:00,Add automatic unit testing,False,97,97,0,1.0,1.0,1.0,223,118,140,16,2.5,87.20661475472862,12.75,16.75,76.78026192840142,1.3055555555555556,213.88869899213284,11.882705499562938,0.02559342064280047
4,6126e4c9f5a90b37b52acdc576e77c938450c68f,wcdolphin,2013-12-24 01:03:21+00:00,"Add documentation, generated with Sphinx",False,583,554,29,,,,510,146,184,168,2.5,78.1829539513549,11.2,14.4,63.74613763760849,1.2444444444444445,173.43288728859363,9.635160404921871,0.0212487125458695
5,664d1f5ba18b152a9f592319157ceaa00e600751,wcdolphin,2013-12-24 01:12:49+00:00,Add relative path configuration,False,2,1,1,,,,510,146,184,168,2.5,78.1829539513549,11.2,14.4,63.74613763760849,1.2444444444444445,173.43288728859363,9.635160404921871,0.0212487125458695
6,f25c33569c2de6bda533b65195d0bfc36ab8a75a,wcdolphin,2013-12-24 01:17:01+00:00,update theme usage,False,4,0,4,,,,506,145,183,168,2.5,78.05818386901908,11.2,14.4,63.74613763760849,1.2444444444444445,173.43288728859363,9.635160404921871,0.0212487125458695
7,e5b4c72a812d5992459f9d758da813dd12ec4391,wcdolphin,2013-12-24 01:33:44+00:00,Update documentation to include information about contributing,False,38,30,8,0.0,0.0,0.0,507,145,183,168,2.5,79.05824750929412,9.4,12.0,52.78328649428321,1.1444444444444444,155.437633073173,8.635424059620725,0.017594428831427734
8,f3e8603abfcfc823989477c2ababa7b574b0f30b,wcdolphin,2014-01-08 07:08:49+00:00,Use Six for string compatibility,False,8,5,3,,,,509,146,185,168,2.5,79.03954951402406,9.4,12.0,52.78328649428321,1.1444444444444444,155.437633073173,8.635424059620725,0.017594428831427734
9,4b671d0c44647d66087ee6b8fb4b0cc8ad82071d,Martin-Zack Mekkaoui,2014-01-23 20:20:26+00:00,"Fix Access-Control-Allow-Headers serialization in the case of lists, and other iterables",False,86,70,16,1.0,1.0,1.0,563,177,213,169,2.235294117647059,77.23735211734586,10.8,14.2,62.86743637348678,1.2761904761904763,177.70679702157713,9.872599834532064,0.020955812124495595
