ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,ecf07264264eeeba125fc5c7405249e760cff734,Lincoln de Sousa,2013-04-03 01:54:40+00:00,"Infra files, tests and a fairly nice first version",False,166,166,0,1.0,1.0,0.8846153846153846,68,28,37,6,1.0,90.12296970795512,3.5,3.75,10.627443751081735,0.5,10.627443751081735,0.590413541726763,0.003542481250360578
1,7b5cebf02c79cef12c7e711b6ef266a5aed20478,Lincoln de Sousa,2013-04-03 04:26:35+00:00,"Adding MANIFEST.in, COPYING, setup.py and removing some unused deps",False,205,203,2,,,,103,34,52,22,1.0,92.0983757663641,3.4,3.6,9.452932501298083,0.5,8.977443751081733,0.49874687506009635,0.0031509775004326932
2,d346ff704927772eb989b8c552e065523b70af57,Lincoln de Sousa,2013-04-03 04:26:47+00:00,Removing unicode char prefixes from parameters passed to setup(),False,4,2,2,,,,103,34,52,22,1.0,92.0983757663641,3.4,3.6,9.452932501298083,0.5,8.977443751081733,0.49874687506009635,0.0031509775004326932
3,caf86d9fe8de12f4bd4dde28c21431b9aa9ed0de,Lincoln de Sousa,2013-04-03 04:58:58+00:00,Adding support for reversing curses,False,34,33,1,1.0,1.0,1.0,121,44,61,25,1.0,90.05418195731136,5.4,6.0,21.566617507355794,0.7,38.60481376319716,2.1447118757331753,0.0071888725024519306
4,c342b30f98666b68d58c5e9d7738554e89d9d399,Lincoln de Sousa,2013-04-03 05:07:19+00:00,Small fix for the setup.py file,False,2,1,1,,,,121,44,61,25,1.0,90.05418195731136,5.4,6.0,21.566617507355794,0.7,38.60481376319716,2.1447118757331753,0.0071888725024519306
5,bffd418fc16eddff937c89063c53d1e75a48d73f,Lincoln de Sousa,2013-04-03 05:10:04+00:00,Fixing a typo in the version number and setting it in the library too,False,5,4,1,,,,124,45,62,25,1.0,89.96173743572717,5.4,6.0,21.566617507355794,0.7,38.60481376319716,2.1447118757331753,0.0071888725024519306
6,fbb5e4bd3642584209fd08a9fcfe7c9c62fe772a,Lincoln de Sousa,2013-04-03 05:35:49+00:00,Adding docstrings for both API functions,False,45,45,0,,,,169,48,63,25,1.0,94.74121701968541,5.4,6.0,21.566617507355794,0.7,38.60481376319716,2.1447118757331753,0.0071888725024519306
7,f5c25ba3a865c939ee0bab1f12b43eba47b87167,Lincoln de Sousa,2013-04-04 14:22:34+00:00,Adding test case that (eventually) fails on python3.x,False,12,12,0,1.0,1.0,1.0,181,53,68,28,1.0,94.15375162638823,5.8,6.6,24.798187356757424,0.7,45.06795346200042,2.5037751923333564,0.008266062452252473
8,cdd7866174f35e8d0907ebdacddc23719dcfac8b,Lincoln de Sousa,2013-04-05 06:17:56+00:00,Filtering the `dir()` output to hide things marked with `hide_from_dir`,False,27,25,2,1.0,1.0,0.75,204,67,82,32,1.0909090909090908,93.52493914885261,6.4,7.8,31.19430423764016,0.7210526315789474,60.71717372232822,3.373176317907123,0.01039810141254672
9,94997216767e3b9a9ec375d64b6d3f5e7001f653,Lincoln de Sousa,2013-04-05 06:20:27+00:00,Allowing to hide attributes in `dir()` for specific object types,False,23,20,3,1.0,1.0,1.0,221,76,91,36,1.0833333333333333,92.7046237192195,7.2,10.2,43.99398751947122,0.7869565217391304,100.82522988228592,5.601401660126995,0.014664662506490405
10,0151afb9b082889f0aaa1ef2adb75137202b989b,Lincoln de Sousa,2013-04-05 06:25:03+00:00,Making the `dir()` filtering work on instances too,False,15,14,1,1.0,1.0,1.0,234,83,98,38,1.2307692307692308,91.45096834596322,8.6,13.8,62.064117656072504,0.8619047619047618,151.85099392188584,8.436166328993659,0.020688039218690835
