ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,62603e89eec447b14a89c8c634049be2c2a325df,Matthew Rocklin,2013-05-24 22:42:51+00:00,initial commit,False,18,18,0,,,,14,3,12,1,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0f5162ef434401d97449eebf283f296f7b2e50e4,Matthew Rocklin,2013-05-24 22:43:17+00:00,add remove,False,22,21,1,1.0,1.0,1.0,34,15,22,0,1.0,83.5492534914899,3.5,4.25,13.943609377704338,0.375,13.693609377704338,0.7607560765391298,0.0046478697925681125
2,7db0d117e7f51876b94df86c64229184297c2746,Matthew Rocklin,2013-05-24 22:43:43+00:00,squashme,False,2,1,1,,,,34,15,22,0,1.0,83.5492534914899,3.5,4.25,13.943609377704338,0.375,13.693609377704338,0.7607560765391298,0.0046478697925681125
3,aa4356e226e449f5ff1b688af40d6f1f16ed04fd,Matthew Rocklin,2013-05-24 22:45:12+00:00,add identity,False,3,3,0,1.0,1.0,1.0,37,17,24,0,1.0,90.34034035802111,3.5,4.25,13.943609377704338,0.375,13.693609377704338,0.7607560765391298,0.0046478697925681125
4,f3e9471bc4566b48ae57ad05edfa59d236106ad3,Matthew Rocklin,2013-08-20 18:34:15+00:00,"add threading macros, ->, ->>",False,93,88,5,1.0,1.0,1.0,120,52,51,0,1.0,79.40904007302825,9.25,11.75,53.45689315129827,0.75,101.29907645848132,5.627726469915629,0.017818964383766088
5,708faab44d2de819ae266564bdccacea79ef779f,Matthew Rocklin,2013-08-22 22:44:59+00:00,"Support Python 2,3 with single codebase",False,12,7,5,,,,122,53,52,0,1.0,79.79963688092796,9.25,11.75,53.45689315129827,0.75,101.29907645848132,5.627726469915629,0.017818964383766088
6,283486c86adc82e19a54020f905d2aed1c3b358d,Matthew Rocklin,2013-08-22 23:14:10+00:00,add memoize,False,58,56,2,1.0,1.0,1.0,176,86,83,2,1.1428571428571428,84.02833447944435,13.25,17.5,86.58234964287078,1.0142857142857142,177.24200956886386,9.846778309381325,0.028860783214290257
7,536571923db9c0659e8cf555994009aaf2e4f57f,Matthew Rocklin,2013-08-22 23:14:21+00:00,add thread_first/last to __init__,False,2,1,1,,,,176,86,83,2,1.1428571428571428,84.02833447944435,13.25,17.5,86.58234964287078,1.0142857142857142,177.24200956886386,9.846778309381325,0.028860783214290257
8,39e95456d365d7e60a5bc918ceda64ea3b1381ad,Matthew Rocklin,2013-08-28 15:41:52+00:00,Update version number in setup.py,False,4,2,2,,,,176,86,83,2,1.1428571428571428,84.02833447944435,13.25,17.5,86.58234964287078,1.0142857142857142,177.24200956886386,9.846778309381325,0.028860783214290257
9,b4f533f50ae8ed9c66cd00629931451b391aa0f4,Matthew Rocklin,2013-08-28 16:15:34+00:00,add curry,False,60,58,2,1.0,1.0,0.4642857142857143,232,115,111,2,1.263157894736842,81.01741063170361,16.75,24.25,129.71630483289178,1.087121212121212,281.3331715368585,15.629620640936585,0.043238768277630596
10,9dd0093ad3846d90ce6936b5fbd0ae0e896e0dcb,Matthew Rocklin,2013-08-28 16:18:50+00:00,bump version number,False,2,1,1,,,,232,115,111,2,1.263157894736842,81.01741063170361,16.75,24.25,129.71630483289178,1.087121212121212,281.3331715368585,15.629620640936585,0.043238768277630596
11,7fe63ea720b01209d49d78beda1907cb42e144bd,Matthew Rocklin,2013-08-28 16:41:17+00:00,add iterate,False,27,26,1,1.0,1.0,1.0,257,123,120,2,1.2857142857142858,79.95824349903292,17.25,25.0,135.0942022479507,1.0854545454545454,292.2083727900275,16.233798488334862,0.045031400749316906
12,6b56ffe4bfd7c35e9b00e05e6cf3775b6568f3f3,Matthew Rocklin,2013-08-28 16:50:31+00:00,add accumulate,False,33,31,2,1.0,1.0,1.0,286,134,132,2,1.3043478260869565,79.12046251529036,18.25,26.5,145.96881697316516,1.0824915824915826,314.1874832733023,17.45486018185013,0.04865627232438839
13,c06b45b46d0b7d7a3cea6f9d31196f1239a5b222,Matthew Rocklin,2013-08-28 16:52:57+00:00,add see also note to accumulate about itertools3.2,False,3,3,0,,,,289,134,132,2,1.3043478260869565,78.97941082241928,18.25,26.5,145.96881697316516,1.0824915824915826,314.1874832733023,17.45486018185013,0.04865627232438839
14,597f0a0b143c485da7c43074897f5952f4e84351,Matthew Rocklin,2013-08-28 16:59:41+00:00,clean accumulate docstring,False,12,6,6,,,,289,134,132,2,1.3043478260869565,78.97941082241928,18.25,26.5,145.96881697316516,1.0824915824915826,314.1874832733023,17.45486018185013,0.04865627232438839
15,a1fe9bba3e9908d826be557b7f38954a9ffd8be7,Matthew Rocklin,2013-08-28 17:00:42+00:00,"arrange remove next to iterate, accumulate",False,25,13,12,,,,290,134,132,2,1.3043478260869565,78.97941082241928,18.25,26.5,145.96881697316516,1.0824915824915826,314.1874832733023,17.45486018185013,0.04865627232438839
16,4dff527e9f168813e7d6ccc2ddc6de34e897f3f4,Matthew Rocklin,2013-08-31 03:38:47+00:00,remove unnecessary import of collections module,False,1,0,1,,,,289,133,131,2,1.3043478260869565,78.9071391872308,18.25,26.5,145.96881697316516,1.0824915824915826,314.1874832733023,17.45486018185013,0.04865627232438839
