ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,83f32bc4f95fc73ac8e7e88502b097fba8313748,Jon Wayne Parrott,2017-04-13 16:47:43+00:00,Initial commit,False,1391,1391,0,0.8606271777003485,1.0,0.5853658536585366,1022,310,434,83,1.3777777777777778,78.45014316082357,10.625,15.875,76.88915211653651,0.5668498168498168,96.58016595959037,5.365564775532799,0.025629717372178833
1,f290bd8cb9466b5b8d30264c8ae8fe64e0ac1498,Johan Euphrosine,2017-05-11 20:58:16+00:00,"add google-oauthlib-tool (#1)

* add google-oauthlib-tool

Commandline tool to generate credentials using 3LO oauth2 flow.

See:
https://github.com/GoogleCloudPlatform/google-auth-library-python/issues/152",False,299,299,0,0.4573643410852713,1.0,0.26356589147286824,1319,428,635,112,1.375,78.71449095896152,12.545454545454545,19.636363636363637,98.0097786199147,0.8458208458208457,202.74485520736627,11.263603067075904,0.03266992620663823
2,e5809d37060767db18fcd03d88b42a1d71335699,Johan Euphrosine,2017-05-11 22:00:47+00:00,Release v0.1.0 (#2),False,7,6,1,,,,1319,428,635,112,1.375,78.71449095896152,12.545454545454545,19.636363636363637,98.0097786199147,0.8458208458208457,202.74485520736627,11.263603067075904,0.03266992620663823
3,3ee00415e4e8c943e7b32dc57defbaf8a35629c8,Jon Wayne Parrott,2017-05-15 17:02:35+00:00,Add documentation,False,746,746,0,,,,1700,459,716,347,1.375,80.48828337904807,11.5,18.0,89.84229706825515,0.7753357753357752,185.8494506067524,10.32496947815291,0.029947432356085046
4,f326a3995c0d836e602c3382f927370031d9d239,Jon Wayne Parrott,2017-06-14 20:20:32+00:00,"Update homepage in package metadata

Resolves #8",False,2,1,1,,,,1700,459,716,347,1.375,80.48828337904807,11.5,18.0,89.84229706825515,0.7753357753357752,185.8494506067524,10.32496947815291,0.029947432356085046
5,a320e5834a9a666e80b96e502559600cb20df141,Mark McDonald,2017-08-14 16:24:32+00:00,"Marks local web server test as a webtest (#11)

* Marks local web server test as a webtest

Once imported internally, we'll use this to control test execution.

* Update test_flow.py",False,1,1,0,,,,1701,460,717,347,1.375,80.4768750718889,11.5,18.0,89.84229706825515,0.7753357753357752,185.8494506067524,10.32496947815291,0.029947432356085046
6,9d4f08e30f7e9f9450844cf9dda49dac5eed86c8,Mark McDonald,2017-08-15 16:02:36+00:00,"Uses a test port that is less likely to be taken (#12)

After running this in a different CI environment, I had issues with the test being unable to open port 8080 as it was already in use. This doesn't fix the problem perfectly but is less likely to encounter a collision.",False,6,4,2,0.0,1.0,0.0,1703,461,719,347,1.375,80.46143963745955,11.5,18.0,89.84229706825515,0.7753357753357752,185.8494506067524,10.32496947815291,0.029947432356085046
7,ae4a8c5dda42b7c92cb65f1da2d35042ccf0cb61,Jon Wayne Parrott,2017-09-19 19:26:05+00:00,Allow access_type parameter to be overriden (#16),False,33,27,6,1.0,1.0,0.8,1724,473,734,347,1.368421052631579,80.29214801734217,11.75,18.5,93.13566982095,0.7773962148962149,192.11090792632413,10.67282821812912,0.03104522327365
8,d4f8fd8dd895c0c3bbb0775e70e9c6433f320737,Jon Wayne Parrott,2017-09-19 19:29:45+00:00,Release v0.1.1,False,9,8,1,,,,1724,473,734,347,1.368421052631579,80.29214801734217,11.75,18.5,93.13566982095,0.7773962148962149,192.11090792632413,10.67282821812912,0.03104522327365
9,84252c465414fae50970a332f89913c4bb3b7ba7,Michel Sabchuk,2017-10-06 20:52:48+00:00,"Accept redirect_uri as arg to flow creating classmethods. (#17)

* Accept redirect_uri as arg to flow creating classmethods.

* Attend to lint complaints.

* Get the redirect_uri from kwargs.",False,22,21,1,1.0,1.0,0.9444444444444444,1744,482,752,347,1.3559322033898304,80.12962192244291,11.916666666666666,19.333333333333332,98.14090839610247,0.7880834443334445,205.38033796172184,11.410018775651212,0.03271363613203416
10,f26bcbaf871812e19b3272ee6c4a84d8f17b00fc,Andy Tzeng,2017-11-09 21:26:45+00:00,Carry token expiry from oauth2session into Credentials object (#18) (#19),False,22,17,5,0.0,1.0,1.0,1756,489,764,347,1.3559322033898304,80.24429960539187,12.25,19.833333333333332,101.5307153197923,0.786971784254393,208.91592841181583,11.606440467323102,0.033843571773264094
11,f1c87ff8b878416fc70b1da83e6f432606c94e73,Andy Tzeng,2017-11-10 17:47:17+00:00,"Populate id_token into credentials from oauth2 session (#20)

* carry token expiry into Credentials object (#18)

* populate id_token into credentials (#9)",False,9,9,0,0.0,1.0,0.7777777777777778,1765,493,773,347,1.3559322033898304,80.15312178709696,12.583333333333334,20.833333333333332,107.83506221879735,0.7944715934347272,222.00468846141902,12.333593803412166,0.03594502073959911
12,a9c381a0a26c17892d6d692cf8a33f9dbb1c9845,Jon Wayne Parrott,2017-11-15 18:43:20+00:00,Release v0.2.0,False,9,8,1,,,,1765,493,773,347,1.3559322033898304,80.15312178709696,12.583333333333334,20.833333333333332,107.83506221879735,0.7944715934347272,222.00468846141902,12.333593803412166,0.03594502073959911
13,72a31c791ea8c14754f8112bd3a8a8e22a2055cb,William Escande,2017-12-07 17:52:24+00:00,Allow saving credentials in the current directory (#25),False,2,1,1,,,,1765,493,773,347,1.3728813559322033,80.04424739049793,12.833333333333334,21.083333333333332,109.07716742670999,0.8361382601013938,225.80970096117858,12.544983386732143,0.03635905580890333
14,d6e922b8f816d4e2cc37455d94ae982ba19c541e,Devon Sparks,2017-12-11 17:49:24+00:00,Use utc when parsing expiration timestamp (#26),False,2,1,1,,,,1765,493,773,347,1.3728813559322033,80.04424739049793,12.833333333333334,21.083333333333332,109.07716742670999,0.8361382601013938,225.80970096117858,12.544983386732143,0.03635905580890333
15,64389c15af908b2a0fbd171612b330634e432816,Bu Sun Kim,2019-03-19 16:17:42+00:00,Release v0.3.0,False,8,7,1,,,,1765,493,773,347,1.3728813559322033,80.04424739049793,12.833333333333334,21.083333333333332,109.07716742670999,0.8361382601013938,225.80970096117858,12.544983386732143,0.03635905580890333
16,cd6eaa0ee2f04c8d83a2c004f9f414288723bf20,Bu Sun Kim,2019-03-20 16:42:08+00:00,Disable useless-object-inheritance error,False,1,1,0,,,,1766,493,774,347,1.3728813559322033,80.04424739049793,12.833333333333334,21.083333333333332,109.07716742670999,0.8361382601013938,225.80970096117858,12.544983386732143,0.03635905580890333
17,0fd1ee5d4c4f5c6979ba827f1ec62683d4ecb85e,Bu Sun Kim,2019-03-20 17:34:34+00:00,Only have flake check import order,False,1,1,0,,,,1767,493,775,348,1.3728813559322033,80.04424739049793,12.833333333333334,21.083333333333332,109.07716742670999,0.8361382601013938,225.80970096117858,12.544983386732143,0.03635905580890333
18,4042e8c264988a05ffd254c26052ca75e239c32f,Bu Sun Kim,2019-03-22 18:10:20+00:00,Release v0.3.0,False,8,7,1,,,,1767,493,775,348,1.3728813559322033,80.04424739049793,12.833333333333334,21.083333333333332,109.07716742670999,0.8361382601013938,225.80970096117858,12.544983386732143,0.03635905580890333
19,c547be61c4c7a0accf44c5123ffd9adbafb9930e,Steve Bazyl,2019-05-09 21:23:40+00:00,"Use actual server port in redirect_uri to allow automatic assignment (#33)

* Use actual server port in redirect_uri. Allows setting port to 0 to request an unassigned ephemeral port

* Reformat to match linter rules",False,8,4,4,0.0,1.0,0.0,1767,493,776,348,1.3728813559322033,80.07915196028043,12.833333333333334,21.083333333333332,109.07716742670999,0.8361382601013938,225.80970096117858,12.544983386732143,0.03635905580890333
20,e56853e0b29e4b67943e2dd7cc361dea5eb94d2e,Jay Lee,2019-05-29 22:37:30+00:00,Implement code verifier (PKCE) (#42),False,69,61,8,0.0,1.0,0.8809523809523809,1820,534,826,349,1.4,79.85389238846714,13.916666666666666,22.5,117.7407300645266,0.9178681869206061,240.44742394914184,13.358190219396766,0.03924691002150887
21,b6d8eed0f8965da7eca2508bcad19d43d820fd46,Bu Sun Kim,2019-06-05 22:14:28+00:00,test: Add noxfile. (#43),False,76,76,0,0.49122807017543857,1.0,1.0,1893,565,889,349,1.3692307692307693,81.40359297396967,12.846153846153847,20.76923076923077,108.68375082879379,0.8472629417728672,221.9514682607463,12.330637125597015,0.03622791694293127
22,dd0a1a29a546c9d2455b389b5221457a1e4ac1f9,Tim Swast,2019-06-10 20:09:06+00:00,"Add `get_user_credentials` function to get your user credentials. (#40)

* Add `get_user_credentials` function to get your user credentials.

This function is intended to be used in interactive code examples, such
as from a Jupyter notebook or when developing scripts locally.",False,172,172,0,0.3684210526315789,1.0,0.631578947368421,2065,590,932,388,1.3582089552238805,83.64582689087156,11.466666666666667,18.4,95.12135528957624,0.7676278828698183,192.82232477829092,10.712351376571718,0.031707118429858745
23,7ce2a728256c1522d66e62a3a47c8416bad6bc91,Bu Sun Kim,2019-06-10 22:26:05+00:00,Release v0.4.0 (#44),False,10,9,1,,,,2065,590,932,388,1.3582089552238805,83.64582689087156,11.466666666666667,18.4,95.12135528957624,0.7676278828698183,192.82232477829092,10.712351376571718,0.031707118429858745
24,b57e129a54e1da93e289e24c58c183f387d88e78,Bu Sun Kim,2019-08-26 20:20:12+00:00,Don't auto-generate code_verifier by default. (#48),False,97,83,14,0.05660377358490566,1.0,0.32075471698113206,2134,621,987,390,1.391304347826087,83.6077058317433,11.933333333333334,19.4,102.73240313712147,0.7313751772421128,205.4868063565118,11.415933686472878,0.03424413437904049
25,7ff0361533879839bcc2219fd45dd90e4458073b,William Chargin,2019-09-23 15:00:49+00:00,Fix comma splice in default success message (#63),False,2,1,1,,,,2134,621,987,390,1.391304347826087,83.6077058317433,11.933333333333334,19.4,102.73240313712147,0.7313751772421128,205.4868063565118,11.415933686472878,0.03424413437904049
26,3758d8c2c2581fdf823136d7111db3cb0cf63e3c,Bu Sun Kim,2019-10-04 16:20:48+00:00,Release v0.4.1 (#60),False,81,43,38,,,,2134,621,987,390,1.391304347826087,83.6077058317433,11.933333333333334,19.4,102.73240313712147,0.7313751772421128,205.4868063565118,11.415933686472878,0.03424413437904049
27,fb7fcd6cbecf8e6dbd94ae30b87b8e88e23de8e6,Bu Sun Kim,2019-11-04 23:44:08+00:00,chore: blacken (#66),False,750,391,359,0.35294117647058826,1.0,0.5882352941176471,2166,621,1017,390,1.391304347826087,83.4472838379233,11.933333333333334,19.4,102.73240313712147,0.7313751772421128,205.4868063565118,11.415933686472878,0.03424413437904049
28,00040576ab096faec1f6eb54c886cb9c33be17ed,Bu Sun Kim,2020-10-28 00:39:44+00:00,"fix: don't open browser if port is occupied (#92)

Set `allow_reuse_address` to `False` so a server is not created on a port that is already in use.

```python
wsgiref.simple_server.WSGIServer.allow_reuse_address = False
```

Drops support for EOL Python versions (python < 3.5)

Fixes #75",False,3333,2764,569,0.4935064935064935,0.7402597402597403,0.8441558441558441,2402,733,1171,399,1.4230769230769231,82.53781754595278,12.125,19.3125,100.563867314151,0.8100427798008443,198.73838283423257,11.041021268568475,0.033521289104716995
29,7638659586a91354d92a3b11ea4d02434ac5e59a,release-please[bot],2020-10-28 16:32:05+00:00,"chore: release 0.4.2 (#93)

:robot: I have created a release \*beep\* \*boop\* 
---
### [0.4.2](https://www.github.com/googleapis/google-auth-library-python-oauthlib/compare/v0.4.1...v0.4.2) (2020-10-28)


### Bug Fixes

* don't open browser if port is occupied ([#92](https://www.github.com/googleapis/google-auth-library-python-oauthlib/issues/92)) ([0004057](https://www.github.com/googleapis/google-auth-library-python-oauthlib/commit/00040576ab096faec1f6eb54c886cb9c33be17ed)), closes [#75](https://www.github.com/googleapis/google-auth-library-python-oauthlib/issues/75)
---


This PR was generated with [Release Please](https://github.com/googleapis/release-please).",False,11,10,1,,,,2404,734,1172,399,1.4230769230769231,82.53781754595278,12.125,19.3125,100.563867314151,0.8100427798008443,198.73838283423257,11.041021268568475,0.033521289104716995
30,5587c6a72547742986e363e1f5ef6bcabd93bb02,Bu Sun Kim,2021-02-06 00:54:21+00:00,fix(deps): add lower bounds to all dependencies (#99),False,14,12,2,,,,2404,734,1172,399,1.4230769230769231,82.53781754595278,12.125,19.3125,100.563867314151,0.8100427798008443,198.73838283423257,11.041021268568475,0.033521289104716995
31,53e31e2d03b315c12670370f67bdca29b1cd5422,Bu Sun Kim,2021-02-12 01:08:02+00:00,"fix: add `charset-utf-8` to response header (#104)

Fixes #103

Specify the charset in the header so the browser knows the success message should be treated as UTF-8.",False,2,1,1,,,,2404,734,1172,399,1.4230769230769231,82.53781754595278,12.125,19.3125,100.563867314151,0.8100427798008443,198.73838283423257,11.041021268568475,0.033521289104716995
