ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,6115d73d725d42748702936532737e0f125f434c,Yury Selivanov,2015-10-29 20:33:08+00:00,Add http-parser binding,False,423,423,0,,,,30,3,28,0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,805fd3a7b5ef44acb0ee93eeb6c831d7ad5e039a,Yury Selivanov,2015-10-30 05:49:10+00:00,Split parser into two parsers (request/response); add some tests,False,136,101,35,0.0,1.0,1.0,91,31,75,0,1.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4745462693e99782cfb0f915fb79d2864c6d2cc6,Yury Selivanov,2015-10-30 17:57:48+00:00,More tests; fix a bug with chunked headers; more exception classes,False,204,186,18,0.5306122448979592,1.0,1.0,207,92,149,0,1.2142857142857142,87.87791142934377,1.0,1.2,1.5509775004326938,0.3,1.075488750216347,0.05974937501201927,0.0005169925001442313
3,1098bf5ee5da475dc56920b755f7fa7f63cdbcdf,Yury Selivanov,2015-10-30 19:27:24+00:00,Bump to 0.0.2,False,4,2,2,,,,207,92,149,0,1.2142857142857142,87.87791142934377,1.0,1.2,1.5509775004326938,0.3,1.075488750216347,0.05974937501201927,0.0005169925001442313
4,b5cd4c51c023685b74a7a0a0ecd4ad3d6266cecc,Yury Selivanov,2015-10-30 21:28:16+00:00,Add a URL parser; bump version to 0.0.3,False,231,212,19,0.42424242424242425,1.0,1.0,252,111,183,0,1.2,87.3103959580952,1.0,1.2,1.5509775004326938,0.3,1.075488750216347,0.05974937501201927,0.0005169925001442313
5,9ea16ec3f66010693b497a2a6925aeeb1f4b8f69,Yury Selivanov,2015-10-30 22:53:55+00:00,Bug fixes; new tests; get_status() -> bytes,False,128,85,43,0.4,1.0,1.0,290,137,213,0,1.1818181818181819,86.78949668332046,1.0,1.2,1.5509775004326938,0.3,1.075488750216347,0.05974937501201927,0.0005169925001442313
6,b59bc3f3b777907d3f6a1558bc3e9d54aef127cb,Yury Selivanov,2015-10-30 23:08:21+00:00,Fix url tests; add more,False,7,6,1,1.0,1.0,1.0,295,139,217,0,1.173913043478261,86.73101642013212,1.0,1.2,1.5509775004326938,0.3,1.075488750216347,0.05974937501201927,0.0005169925001442313
7,05cf446cbf60a059daea79a2408a2747b3aed0a5,Yury Selivanov,2015-10-31 21:20:54+00:00,Use <const char*> instead of <bytes> for feed_data and parse_url,False,11,8,3,1.0,1.0,1.0,300,141,221,0,1.1666666666666667,86.67305387997234,1.0,1.2,1.5509775004326938,0.3,1.075488750216347,0.05974937501201927,0.0005169925001442313
8,e5428a59403146dbc153f11ffbcda60d4a311d03,Yury Selivanov,2015-11-02 02:43:49+00:00,Use 'readonly' modifier instead of properties for URL,False,62,20,42,1.0,1.0,1.0,306,145,225,0,1.16,86.58551654154007,1.0,1.2,1.5509775004326938,0.3,1.075488750216347,0.05974937501201927,0.0005169925001442313
9,5f4abd3a816b5297e9ce19c06d01fc864980a20c,Yury Selivanov,2015-11-02 02:48:25+00:00,Add a unittest for passing None to parse_url,False,4,4,0,1.0,1.0,1.0,310,148,228,0,1.1538461538461537,86.51437884601361,1.0,1.2,1.5509775004326938,0.3,1.075488750216347,0.05974937501201927,0.0005169925001442313
10,a2efa6bc8770352f5debf805960365f2bfa6b7b0,Yury Selivanov,2016-04-25 16:09:31+00:00,import cython -> cimport cython,False,3,1,2,,,,309,148,228,0,1.1538461538461537,86.51437884601361,1.0,1.2,1.5509775004326938,0.3,1.075488750216347,0.05974937501201927,0.0005169925001442313
11,3bb896ef9202aea11f0a5db77fc73e204d80990b,Yury Selivanov,2016-04-25 16:13:06+00:00,Bump version to 0.0.4,False,2,1,1,,,,309,148,228,0,1.1538461538461537,86.51437884601361,1.0,1.2,1.5509775004326938,0.3,1.075488750216347,0.05974937501201927,0.0005169925001442313
12,3b117b372b5445a2b8d7b74030315129d925e3f4,Yury Selivanov,2016-04-27 21:12:15+00:00,setup: Add -O flag for CC,False,5,3,2,,,,310,148,229,0,1.1538461538461537,86.51437884601361,1.0,1.2,1.5509775004326938,0.3,1.075488750216347,0.05974937501201927,0.0005169925001442313
13,05dcfd4a2c3f6ed2a34ddab14cfa15a8374fbbe7,Yury Selivanov,2016-05-07 00:45:21+00:00,Use buffer protocol (also fixes a bug in feed-data),False,46,42,4,1.0,1.0,1.0,339,164,249,0,1.1428571428571428,86.24065145720722,1.0,1.2,1.5509775004326938,0.3,1.075488750216347,0.05974937501201927,0.0005169925001442313
14,aba3c5dc91a3f7728972670edce562bd9af38bae,Yury Selivanov,2016-05-07 00:46:41+00:00,Add 'on_message_begin' hook,False,14,12,2,0.0,1.0,1.0,344,167,252,0,1.1428571428571428,86.20211310812635,1.0,1.2,1.5509775004326938,0.3,1.075488750216347,0.05974937501201927,0.0005169925001442313
15,f18e483043a9161036a2fd2c4844390642cb45c4,Yury Selivanov,2016-05-07 00:48:15+00:00,Bump version to v0.0.6,False,2,1,1,,,,344,167,252,0,1.1428571428571428,86.20211310812635,1.0,1.2,1.5509775004326938,0.3,1.075488750216347,0.05974937501201927,0.0005169925001442313
16,44050b4dab8a7d93f878fe2964b2aa496f1151a6,Yury Selivanov,2016-05-07 01:49:17+00:00,Support HTTP upgrade,False,56,54,2,0.0,1.0,1.0,387,185,284,0,1.2,85.92814977235174,1.0,1.2,1.5509775004326938,0.3,1.075488750216347,0.05974937501201927,0.0005169925001442313
17,539227b4a32dca5095cc2e73b332109afaba445a,Yury Selivanov,2016-05-07 01:49:57+00:00,Bump version to v0.4.7,False,2,1,1,,,,387,185,284,0,1.2,85.92814977235174,1.0,1.2,1.5509775004326938,0.3,1.075488750216347,0.05974937501201927,0.0005169925001442313
18,fed9b38be6dfeca0422ee948e2c217d1426d5487,Yury Selivanov,2016-05-07 02:11:01+00:00,Refactor parse_url to use the buffer protocol; add tests,False,32,23,9,1.0,1.0,1.0,396,191,291,0,1.1875,85.80667223572559,1.0,1.2,1.5509775004326938,0.3,1.075488750216347,0.05974937501201927,0.0005169925001442313
19,b3a86dd74d898a9dfb6f505719017b30c3936567,Yury Selivanov,2016-05-07 02:11:46+00:00,Bump version to v0.0.8,False,2,1,1,,,,396,191,291,0,1.1875,85.80667223572559,1.0,1.2,1.5509775004326938,0.3,1.075488750216347,0.05974937501201927,0.0005169925001442313
20,aea75f575d13e4a522ad0ccd8358f2ed08b7901c,Yury Selivanov,2016-05-08 17:29:39+00:00,Propagate errors from callbacks correctly; Fix upgrade (#3),False,276,257,19,0.8503937007874016,1.0,1.0,563,320,426,0,1.6666666666666667,82.66989767539546,2.2,3.0,8.207820003461551,0.3,4.403910001730775,0.2446616667628209,0.0027359400011538505
21,2cdb64ee339de7791d987cc70a84549e5c833636,Yury Selivanov,2016-05-08 17:30:57+00:00,Bump version to v0.0.9,False,2,1,1,,,,563,320,426,0,1.6666666666666667,82.66989767539546,2.2,3.0,8.207820003461551,0.3,4.403910001730775,0.2446616667628209,0.0027359400011538505
22,61a43460e3b9f8bef85b2cd9bf9b5348667d50f9,Yohan Boniface,2017-11-27 09:23:08+00:00,Add fragmented request unittest,False,35,35,0,0.0,1.0,1.0,598,338,455,0,1.6511627906976745,82.5325928436284,2.2,3.0,8.207820003461551,0.3,4.403910001730775,0.2446616667628209,0.0027359400011538505
23,af31207f66c584502024e9dcf23a20d78a58d78a,Jeong YunWon,2017-11-27 16:37:36+00:00,Add more fragmented header tests,False,69,69,0,0.2727272727272727,1.0,1.0,667,380,510,0,1.608695652173913,82.00107699287142,2.6,3.6,10.978294855911894,0.3,5.789147427955947,0.3216193015531082,0.003659431618637298
24,bed24040d4d5970e0cc4e6825c069136da9a539d,Yury Selivanov,2017-12-15 21:25:24+00:00,Bump the version to 0.0.10,False,4,2,2,,,,667,380,510,0,1.608695652173913,82.00107699287142,2.6,3.6,10.978294855911894,0.3,5.789147427955947,0.3216193015531082,0.003659431618637298
25,d1f49ce0b16d76e6f51ba64a372c8b797d26c5c0,Souheil CHELFOUH,2018-03-29 16:06:56+00:00,Removed meaningless code from the should_upgrade test.,False,10,6,4,,,,692,397,527,1,1.6595744680851063,81.98806059310007,4.0,5.4,20.615640006923098,0.4,20.615640006923098,1.14531333371795,0.0068718800023076995
26,881b601a98c97a74ac74a6e519e11a84075afe02,Souheil CHELFOUH,2018-03-29 16:06:56+00:00,Using real object to tests should_upgrade,False,24,14,10,1.0,1.0,1.0,691,397,527,0,1.6595744680851063,81.43349417614526,4.0,5.4,20.615640006923098,0.4,20.615640006923098,1.14531333371795,0.0068718800023076995
27,ae324ae907f5776428d97cdaea5808f03c1166c0,Souheil CHELFOUH,2018-03-29 16:06:56+00:00,"Added flag reading method for upgrade, to allow early discovery of an upgrade request (pre-raise, in on_message_complete)",False,23,23,0,1.0,1.0,1.0,687,395,525,0,1.6595744680851063,81.8430283014997,2.6,3.6,10.978294855911894,0.3,5.789147427955947,0.3216193015531082,0.003659431618637298
