ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,a75bc0ebcdd503cae11aeb5224a3f23587929c2b,Tom Christie,2019-04-04 12:27:55+00:00,Initial commit,False,99,99,0,1.0,1.0,1.0,64,16,43,2,1.6666666666666667,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,30530d446d1ae2f0c3df9b25a67b919c2c00ba1a,Tom Christie,2019-04-04 17:28:38+00:00,Stuff,False,472,472,0,0.8064516129032258,1.0,0.5,392,194,267,3,1.6486486486486487,77.98516115548581,8.166666666666666,14.666666666666666,65.59189936722326,0.8701149425287357,132.05276831110848,7.336264906172694,0.021863966455741093
2,7bd9f32cf5fa3fa176b789cffe7e7114a3348b76,Tom Christie,2019-04-04 17:46:12+00:00,Version 0.0.2,False,2,1,1,,,,392,194,267,3,1.6486486486486487,77.98516115548581,8.166666666666666,14.666666666666666,65.59189936722326,0.8701149425287357,132.05276831110848,7.336264906172694,0.021863966455741093
3,fcc1fe1233c5a47d65ba6d39619a16873efafc70,Tom Christie,2019-04-05 16:16:12+00:00,Decoder support,False,88,67,21,0.8,1.0,1.0,438,204,268,31,1.6666666666666667,83.59458835811553,6.857142857142857,12.285714285714286,55.05535843987348,0.7458128078817735,111.43868274004471,6.191037930002485,0.018351786146624496
4,86263fa073aa97cc4f11026e9ca81bef12599f1b,Tom Christie,2019-04-06 12:18:39+00:00,Connections,False,648,464,184,0.679144385026738,0.6684491978609626,0.6149732620320856,794,452,544,38,1.9295774647887325,73.14243576325022,10.090909090909092,15.363636363636363,66.0811332052749,1.1766283524904215,147.6328426151749,8.20182458973194,0.022027044401758292
5,ba1953cdd01f48a9847ad8481dd8786415a8c58a,Tom Christie,2019-04-06 12:20:47+00:00,Linting,False,48,25,23,0.5,0.5,1.0,796,452,545,38,1.9295774647887325,73.16620576334363,10.090909090909092,15.363636363636363,66.0811332052749,1.1766283524904215,147.6328426151749,8.20182458973194,0.022027044401758292
6,75b8fa4d0d62ce459f5c8aaff539f5c7528152e5,Tom Christie,2019-04-06 12:38:38+00:00,Version 0.0.3,False,2,1,1,,,,796,452,545,38,1.9295774647887325,73.16620576334363,10.090909090909092,15.363636363636363,66.0811332052749,1.1766283524904215,147.6328426151749,8.20182458973194,0.022027044401758292
7,39b57c939dd6d02ccd5fc7bd176bbe33ef53abed,Tom Christie,2019-04-16 10:26:28+00:00,"Add support for gzip, deflate, and brotli decoding",False,247,213,34,0.8846153846153846,0.7019230769230769,0.8846153846153846,971,573,669,16,1.8333333333333333,70.9871993327502,12.307692307692308,18.692307692307693,83.29243082690346,1.461947613471371,215.83805746284955,11.99100319238053,0.02776414360896782
8,042dd2205846c9ac0e4796ec754aef9127a752c7,Tom Christie,2019-04-16 11:14:20+00:00,Add auto headers on Request,False,153,140,13,0.7674418604651163,0.7790697674418605,1.0,1098,639,764,17,1.8666666666666667,68.87967208486384,13.785714285714286,21.214285714285715,97.08518725411668,1.4822971167477486,258.35834303229694,14.353241279572051,0.03236172908470556
9,ee6f42a8f49aedaed3dfc567676c798908e4b3b0,Tom Christie,2019-04-16 11:18:38+00:00,Exclude unused code lines,False,6,3,3,,,,1098,639,764,20,1.8666666666666667,69.61678925945982,13.785714285714286,21.214285714285715,97.08518725411668,1.4822971167477486,258.35834303229694,14.353241279572051,0.03236172908470556
