ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,0354c84c702e35fb135c5814536b525d2edcc342,Yoshiki Shibukawa,2016-02-01 07:51:02+00:00,first version,False,315,315,0,0.5284552845528455,0.5284552845528455,1.0,241,164,185,22,2.55,79.69830241829,14.0,19.166666666666668,92.05972595874226,2.0434472934472936,410.5373214051877,22.80762896695487,0.030686575319580755
1,151e45835d9e34130153734eef88851ef9153fe8,Yoshiki Shibukawa,2016-02-02 07:56:55+00:00,"remove fallback feature to PIL, add JPEG2000 support",False,116,40,76,0.0,0.0,0.0,205,132,154,24,3.6363636363636362,82.05992997972767,13.333333333333334,19.0,95.35512308204225,1.7758620689655171,453.47601509122114,25.193111949512282,0.031785041027347416
2,cd9c06aec23edf01753d4e45d8db3f95fce73dad,Yoshiki Shibukawa,2016-02-08 16:01:58+00:00,catch struct.error,False,50,37,13,0.0,0.0,1.0,229,156,178,22,4.363636363636363,80.31286190972646,13.333333333333334,19.0,95.35512308204225,1.7758620689655171,453.47601509122114,25.193111949512282,0.031785041027347416
3,9be8ec8ab54a1270b16246ac74ee771a574bb6c1,Michel Zou,2016-03-30 18:49:59+00:00,"Use the same code for Python 2/3

b qualifier is ignored in Python 2 too as the default string type is byte",False,66,2,64,1.0,1.0,0.0,167,104,130,12,2.9,86.73590113251566,8.0,11.4,57.21307384922535,1.0655172413793104,272.08560905473263,15.115867169707368,0.01907102461640845
4,8bb3a11298f1c7c2957e04179f8e5e5df232c69e,Yoshiki Shibukawa,2016-04-23 01:21:01+00:00,update travis setting to add Python3.3,False,3,2,1,,,,229,156,178,22,4.363636363636363,80.31286190972646,13.333333333333334,19.0,95.35512308204225,1.7758620689655171,453.47601509122114,25.193111949512282,0.031785041027347416
5,d9783f26a842ea8b40305dd90b28d2fccb11a439,Dmitry Shachnev,2016-04-30 12:06:06+00:00,"Make imagesize a module

There is no need keeping it a package any more, when all code is in
one file.",False,10,1,9,,,,159,100,126,12,2.9,83.4198764156446,10.0,14.25,71.51634231153169,1.331896551724138,340.1070113184158,18.89483396213421,0.023838780770510562
6,f6e058d82147b23f5f1032a3b9d3f12421c715d5,avylove,2016-05-27 00:00:22+00:00,"Created __init__.py in test directory

Enable test directory to be used as a test package",False,1,1,0,,,,160,100,126,12,2.9,86.73590113251568,8.0,11.4,57.21307384922535,1.0655172413793104,272.08560905473263,15.115867169707368,0.01907102461640845
7,81318f89a156cbf4b1bfda56b3dcbf476675cc50,avylove,2016-05-27 00:02:25+00:00,"Added test_suite keyword

Enable support for 'setup.py test'",False,1,1,0,,,,161,100,127,12,2.9,86.73590113251568,8.0,11.4,57.21307384922535,1.0655172413793104,272.08560905473263,15.115867169707368,0.01907102461640845
8,7bcf8d13243681cde2542c77ee359e162f15fd75,Yoshiki Shibukawa,2017-07-30 15:03:44+00:00,get dpi,False,145,145,0,0.0,0.0,1.0,306,241,259,23,5.666666666666667,81.09266900429218,23.6,49.0,332.2726959661405,1.9407766990291262,3049.9219849200317,169.44011027333508,0.11075756532204681
9,de643b116e296cbf3f4414a2dbb997e6a232720c,Jon Dufresne,2017-11-26 17:45:50+00:00,"Test and document all supported Python versions

Added Python 3.6 to Travis CI test matrix.

Added all supported Pythons to list of trove classifiers. This helps
user know, at a glance, if the library is suitable for integrating with
a project.

Added:

- General Python support
- General Python 2 support
- General Python 3 support
- Python 3.6 support
- CPython support",False,6,6,0,,,,311,241,264,23,5.666666666666667,81.09266900429218,23.6,49.0,332.2726959661405,1.9407766990291262,3049.9219849200317,169.44011027333508,0.11075756532204681
