ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,5f0b5795c204191429185f399648aef82acae727,Janne Vanhala,2012-02-22 20:09:09+00:00,Initial import,False,483,483,0,0.819672131147541,1.0,0.9016393442622951,483,208,303,0,1.5862068965517242,51.04190739514465,41.5,64.0,344.2697562994231,1.701265389876881,547.8672676575411,30.43707042541895,0.11475658543314103
1,1ba5f6e8ecc495518e093657301c6334e2d870bb,Janne Vanhala,2012-02-22 20:28:00+00:00,added module docstring and version,False,11,11,0,,,,494,210,304,0,1.5862068965517242,51.12469087922138,41.5,64.0,344.2697562994231,1.701265389876881,547.8672676575411,30.43707042541895,0.11475658543314103
2,bd890ccf47a2470016eeb197a9c22d5174ff0add,Janne Vanhala,2012-02-22 20:28:14+00:00,added setup.py,False,31,31,0,,,,525,216,329,2,1.5862068965517242,64.38927401553995,29.333333333333332,44.666666666666664,234.1570270560568,1.300843593251254,367.5667731999147,20.420376288884153,0.07805234235201892
3,eae39b54fe69546af2f91161419c64da60d59bf1,Janne Vanhala,2012-02-22 21:05:29+00:00,docstrings,False,6,3,3,,,,525,216,329,2,1.5862068965517242,64.38927401553995,29.333333333333332,44.666666666666664,234.1570270560568,1.300843593251254,367.5667731999147,20.420376288884153,0.07805234235201892
4,1257e22188012c792ba5e078e3435c0c8c802a98,Janne Vanhala,2012-02-22 21:06:08+00:00,started documentation,False,423,423,0,,,,769,236,366,149,1.5862068965517242,73.29195551165498,22.0,33.5,175.6177702920426,0.9756326949384405,275.675079899936,15.315282216663114,0.0585392567640142
5,9f002b61688993d58b9374545d5f854e21f80426,Janne Vanhala,2012-02-22 21:10:01+00:00,missing comma,False,2,1,1,,,,769,236,366,149,1.5862068965517242,73.29195551165498,22.0,33.5,175.6177702920426,0.9756326949384405,275.675079899936,15.315282216663114,0.0585392567640142
6,cad424f7c43e3b2bdd9c84ba367c83069a40591d,Janne Vanhala,2012-02-22 21:21:14+00:00,fixed unmatched group errors,False,9,7,2,,,,774,241,371,149,1.5862068965517242,73.19503712534501,22.0,33.5,175.6177702920426,0.9756326949384405,275.675079899936,15.315282216663114,0.0585392567640142
7,0fdd4332e897ad3bbd34f04ae58e03230161c200,Janne Vanhala,2012-02-22 21:39:27+00:00,python does not support switching between case-sensitive and case-insensitive in regular expressions,False,15,9,6,0.6666666666666666,1.0,1.0,777,243,373,149,1.5862068965517242,73.01911006658867,23.5,35.75,191.0195902014289,0.9618459302325582,314.69345118580827,17.482969510322683,0.06367319673380964
8,f0b0afc1cc828329f4ccbdeff3fe071a367f8b8c,Janne Vanhala,2012-02-23 22:16:28+00:00,refactorings,False,288,132,156,0.0,1.0,1.0,753,167,376,149,1.3846153846153846,74.72488609710021,21.25,31.25,162.28215008185333,0.9240435108777194,224.09761720262262,12.449867622367924,0.05409405002728444
9,bfa576bca84061f57d9139bd67d052b64591d38c,Janne Vanhala,2012-02-23 22:16:59+00:00,implemented humanize,False,33,31,2,1.0,1.0,1.0,782,178,390,149,1.3703703703703705,74.4706192310918,21.75,32.0,167.5310698693862,0.9236559139784946,226.75103303438976,12.597279613021653,0.055843689956462064
10,926f68fe745af00176f6e8302de9f58227d62110,Janne Vanhala,2012-02-23 22:18:31+00:00,removed classify and tableize,False,8,0,8,0.0,0.0,0.0,774,174,386,149,1.4,74.60076873774469,21.75,32.0,167.5310698693862,0.9236559139784946,226.75103303438976,12.597279613021653,0.055843689956462064
11,6933499d5881a62f1563186aed45d2cbe26f1912,Janne Vanhala,2012-02-23 22:29:20+00:00,added ordinalize,False,131,126,5,1.0,1.0,1.0,895,190,463,149,1.3928571428571428,73.85973891880997,25.5,37.25,204.09447143611393,1.1989164086687307,398.46023042410513,22.13667946800584,0.06803149047870465
12,82d1bc02f7f68705f5bf0923f951910aaa4f1d53,Janne Vanhala,2012-02-23 22:32:10+00:00,doc formatting fixes,False,5,3,2,,,,896,190,463,149,1.3928571428571428,73.85973891880997,25.5,37.25,204.09447143611393,1.1989164086687307,398.46023042410513,22.13667946800584,0.06803149047870465
13,1d461c7c16e195b732437a5e516a8d6ee2ad9660,Janne Vanhala,2012-02-23 22:36:05+00:00,docstring,False,15,15,0,,,,911,191,463,149,1.3928571428571428,73.79942655687918,25.5,37.25,204.09447143611393,1.1989164086687307,398.46023042410513,22.13667946800584,0.06803149047870465
14,b6926e888d7a8cfc89f6a01ca7bc62458035025e,Janne Vanhala,2012-02-23 22:46:12+00:00,added titleize,False,57,51,6,1.0,1.0,1.0,956,197,482,149,1.3793103448275863,73.45822605210384,26.0,38.0,209.51263621522702,1.198361469712016,403.9276134333236,22.44042296851798,0.06983754540507567
15,e4ca535b89fb859d687b52b1c87f8447cdd48344,Janne Vanhala,2012-02-23 22:49:37+00:00,fixed test function name,False,2,1,1,,,,956,197,482,149,1.3793103448275863,73.45822605210384,26.0,38.0,209.51263621522702,1.198361469712016,403.9276134333236,22.44042296851798,0.06983754540507567
