ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,1660b5e37d5370377dddca3b71e583d8c3be4e87,Matthew Rocklin,2013-05-23 17:53:02+00:00,Create itertoolz,False,18,18,0,,,,14,4,13,0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,90c4b9911cad56440c81ededea5a3bb719fca8d2,Matthew Rocklin,2013-05-23 17:53:10+00:00,add remove,False,20,20,0,1.0,1.0,1.0,34,15,22,0,1.0,83.5492534914899,3.5,4.25,13.943609377704338,0.375,13.693609377704338,0.7607560765391298,0.0046478697925681125
2,bdadcfcf3eea8636a4410387c823bca543cb8f59,Matthew Rocklin,2013-05-23 17:55:48+00:00,add groupby,False,23,21,2,1.0,1.0,1.0,53,27,32,0,1.3333333333333333,88.3282056084045,4.75,5.75,20.03550726786842,0.5,20.03550726786842,1.1130837371038012,0.006678502422622807
3,373335a7a3cd50ad00bf0bf1a6dea24c212abc27,Matthew Rocklin,2013-05-23 22:11:51+00:00,add merge_sorted,False,40,38,2,1.0,1.0,1.0,89,50,53,2,1.5,86.42227715468493,6.5,8.5,33.69669901675172,0.5,33.69669901675172,1.8720388342639844,0.011232233005583906
4,9a3de32ab4abef116ab0bc47bfb75610672218f6,Matthew Rocklin,2013-05-23 22:11:55+00:00,import in doctest,False,1,1,0,,,,90,50,53,2,1.5,86.33598245158547,6.5,8.5,33.69669901675172,0.5,33.69669901675172,1.8720388342639844,0.011232233005583906
5,9de70c91bf304cb59106923dacc58400a458c0cf,Matthew Rocklin,2013-05-23 22:11:55+00:00,add merge_dict,False,24,22,2,1.0,1.0,1.0,110,59,60,2,1.5,84.94133831288583,7.0,9.25,37.969421516041756,0.5,37.969421516041756,2.109412306446764,0.012656473838680585
6,fd855f650b829ade02db831b7bf3c62d7a461fbb,Matthew Rocklin,2013-05-24 11:57:04+00:00,add interleave,False,34,32,2,0.1111111111111111,1.0,1.0,140,74,75,2,1.6666666666666667,83.23138754654364,8.75,11.5,50.22876996687561,0.625,54.19117621867851,3.0106209010376945,0.01674292332229187
7,b51a0bc17030c384580a35dba4c9c6c49ad74507,Matthew Rocklin,2013-05-24 11:58:29+00:00,add itertools import,False,6,4,2,,,,142,75,76,2,1.6666666666666667,83.24735924054696,8.75,11.5,50.22876996687561,0.625,54.19117621867851,3.0106209010376945,0.01674292332229187
8,66199f81cd320d55041fc54f6ceada3acee5265e,Matthew Rocklin,2013-05-24 12:06:28+00:00,add unique,False,40,37,3,1.0,1.0,1.0,176,90,90,4,1.7857142857142858,81.3573205608172,10.75,14.5,67.49315276057122,0.625,73.11472914085682,4.061929396714268,0.02249771758685707
9,b62eaf454192211694c031436026fa57bbac1e60,Matthew Rocklin,2013-05-24 12:48:04+00:00,remove try-except block from unique,False,10,4,6,0.0,0.0,0.0,174,88,88,2,1.7142857142857142,81.47112904108668,10.75,14.5,67.49315276057122,0.625,73.11472914085682,4.061929396714268,0.02249771758685707
10,191ea96a09d302792ff3495f5c35931aa0fb1f14,Matthew Rocklin,2013-05-24 12:49:10+00:00,edit docstring of unique,False,5,2,3,,,,173,88,88,2,1.7142857142857142,81.47112904108668,10.75,14.5,67.49315276057122,0.625,73.11472914085682,4.061929396714268,0.02249771758685707
11,dd98d1d03cfad13a0d6634037bc9138ac794d684,Matthew Rocklin,2013-05-27 14:45:40+00:00,add intersection,False,22,20,2,1.0,1.0,1.0,191,96,96,2,1.8125,80.29774909504114,12.5,16.75,81.14596345661988,0.75,96.3753831448503,5.354187952491683,0.027048654485539964
12,71db586dca876ef66513581df2d9abf0653020d6,Matthew Rocklin,2013-05-27 14:48:30+00:00,add iterable,False,26,24,2,1.0,1.0,1.0,213,107,106,2,1.7777777777777777,79.26848779857168,13.75,19.0,95.59269975750166,0.7564102564102564,112.88271637058519,6.2712620205880665,0.031864233252500554
13,841cbf84e5d6cd853e99c97831e3933db6c86813,Matthew Rocklin,2013-05-27 14:53:15+00:00,add distinct,False,27,25,2,1.0,1.0,1.0,236,115,113,2,1.7,77.74696811591394,16.0,22.75,119.39804782613659,0.8916666666666666,155.1867271920584,8.621484844003245,0.03979934927537886
14,d149e215b0d0d4399114bf305bb7ca2931f33883,Matthew Rocklin,2013-05-27 15:06:58+00:00,version 0.3,False,4,3,1,,,,238,116,114,2,1.7,77.74696811591394,16.0,22.75,119.39804782613659,0.8916666666666666,155.1867271920584,8.621484844003245,0.03979934927537886
15,8359195be91c672e63a97bb9343178122a7a5788,John Jacobsen,2013-08-08 04:21:14+00:00,Add 'frequencies' function,False,14,13,1,1.0,1.0,1.0,250,121,117,2,1.7142857142857142,77.3953240746124,16.0,22.75,119.39804782613659,0.8916666666666666,155.1867271920584,8.621484844003245,0.03979934927537886
16,abfea6ca3cde00dd6886561f17ce45c540303510,John Jacobsen,2013-08-08 13:08:30+00:00,Expand unit tests for frequencies and move to test_core,False,16,10,6,1.0,1.0,1.0,254,127,124,2,1.6818181818181819,77.09744447137126,17.5,25.0,135.4058377008439,0.8897058823529411,171.3519745156293,9.519554139757185,0.045135279233614635
17,b8cae1c2187fffd6637b35f7ad94a3aea0031aa7,John Jacobsen,2013-08-08 13:12:21+00:00,"Fix PEP-8 spacing.

I left the existing ""from Queue import ..."" and ""def merge_sorted...""
with no blank line between, because the import looks a bit orphaned
separated by two spaces. IMO imports should be at the top of the file
where one expects to see dependencies, but it's perhaps a minor point.",False,26,22,4,,,,272,127,124,2,1.6818181818181819,77.09744447137126,17.5,25.0,135.4058377008439,0.8897058823529411,171.3519745156293,9.519554139757185,0.045135279233614635
18,401b442aef25d17dafb46f6d3ecd96a7ed1b1e13,John Jacobsen,2013-08-08 13:27:40+00:00,"Add back doctest, with execution suppressed",False,3,3,0,,,,275,127,124,2,1.6818181818181819,76.96293203900788,17.5,25.0,135.4058377008439,0.8897058823529411,171.3519745156293,9.519554139757185,0.045135279233614635
19,b0b7650fdb8371f810f7a6f56c44cc23cfba7793,Matthew Rocklin,2013-08-08 13:30:27+00:00,remove identity from frequencies definition,False,1,0,1,0.0,0.0,0.0,274,125,123,2,1.6818181818181819,76.93947814697675,17.5,25.0,135.4058377008439,0.8897058823529411,171.3519745156293,9.519554139757185,0.045135279233614635
20,26843635180bc777a97cba10a64c7eac363b96b1,Matthew Rocklin,2013-08-21 04:01:37+00:00,move frequencies to recipes.py,False,40,21,19,,,,276,128,126,2,1.6818181818181819,80.36572002865256,11.833333333333334,16.666666666666668,83.80973093384414,0.6777777777777777,105.56333431958215,5.864629684421231,0.027936576977948047
21,bbca2ffc2ce6132c49a923673ffa23a61b6ba56c,Matthew Rocklin,2013-08-22 21:44:13+00:00,support Python 2-3 with common codebase,False,33,20,13,,,,283,134,132,2,1.6818181818181819,80.02991514626358,10.571428571428571,14.714285714285714,72.51618187217547,0.6523809523809524,90.82249280979637,5.045694044988688,0.02417206062405849
22,6195fa5ba57b0244870d15a9b51f6a06a8196863,Matthew Rocklin,2013-08-22 21:55:17+00:00,add nth and friends,False,89,88,1,1.0,1.0,1.0,370,185,179,2,1.5588235294117647,78.58723690625865,14.857142857142858,21.0,118.47327004278966,0.7201565557729941,145.9852705567676,8.11029280870931,0.039491090014263215
23,c752fbffe98f420649981d679038e1bfb27a30a1,Matthew Rocklin,2013-08-23 18:53:20+00:00,add countby,False,30,28,2,1.0,1.0,1.0,309,144,138,2,1.6,78.53150230792805,11.857142857142858,16.428571428571427,80.90672554381568,0.7238095238095238,101.01776464561648,5.612098035867582,0.02696890851460523
24,ed485f57923a88b74dcdb1ced05d9e03b2c19d18,Matthew Rocklin,2013-08-23 18:57:55+00:00,simplify unique key doctest example,False,6,2,4,,,,307,144,138,2,1.6,78.61164904634867,11.857142857142858,16.428571428571427,80.90672554381568,0.7238095238095238,101.01776464561648,5.612098035867582,0.02696890851460523
25,27bb0a5b992eb91d114f98731141090c5c2e9067,Matthew Rocklin,2013-08-23 18:58:37+00:00,remove from itertoolz import foo from doctests,False,9,0,9,1.0,0.0,0.0,298,144,138,2,1.6,78.94604409660448,11.857142857142858,16.428571428571427,80.90672554381568,0.7238095238095238,101.01776464561648,5.612098035867582,0.02696890851460523
26,4a146a4e0ba4c53a6c64e243841aaae333f0f869,Matthew Rocklin,2013-08-23 19:03:10+00:00,fix typo in countby docstring,False,2,1,1,,,,385,195,185,2,1.5135135135135136,77.35822036223996,16.142857142857142,22.714285714285715,126.86381371442988,0.7915851272015655,156.1805423925877,8.676696799588205,0.04228793790480996
