ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,cd08d8e91cd4fc94eb3a27fdc346a25b62d412ce,Prasanth Nair,2011-10-08 05:46:39+00:00,"Initial commit: moving Gist to full repo.

Github repos are more visible than Gists. Hence it is more likely
to get error reports and comments.

It makes it easier to submit to pypi.",False,548,548,0,0.32867132867132864,0.5804195804195804,0.8321678321678322,548,160,169,14,4.5,65.8625632573147,101.0,204.5,1566.1042482227422,4.625661375661376,14488.535862526269,804.9186590292371,0.5220347494075808
1,b42ca54542b53aa8377b7f0b78743c6e94f873ab,Prasanth Nair,2011-10-08 05:52:24+00:00,Note about SOFA C in module docstring.,False,4,3,1,,,,550,160,169,14,4.5,65.72080573505971,101.0,204.5,1566.1042482227422,4.625661375661376,14488.535862526269,804.9186590292371,0.5220347494075808
2,9658e10af7c5d864f29094f076b0664c3e0a69f3,Prasanth Nair,2011-10-08 06:12:10+00:00,"README file.

README.rst.
Added long_description to setup.py.",False,79,79,0,,,,551,160,170,14,4.5,65.72080573505971,101.0,204.5,1566.1042482227422,4.625661375661376,14488.535862526269,804.9186590292371,0.5220347494075808
3,3a26278a2b03edfb6106c0d61bd5d38ad1b237a9,Prasanth Nair,2011-10-08 06:49:51+00:00,"long_description from README.rst; add README.rst to MANIFEST.

README.rst must be specified in MANIFEST, so that README.rst gets
copied into the source distribution. Loading long_description at
install time will fail if README.rst is not present in the
source distribution.

Added .gitignore.",False,11,9,2,,,,554,161,172,14,4.5,65.72080573505971,101.0,204.5,1566.1042482227422,4.625661375661376,14488.535862526269,804.9186590292371,0.5220347494075808
4,c66bda492743422649c30d41a345ead680ffa17a,Prasanth Nair,2015-11-09 07:44:15+00:00,"Fix MANIFEST.in; add *.pyc to gitignore; minor formatting in setup.py.

MANIFEST.in should have instruction to build MANIFEST and not a
list of files. Tested with python setup.py sdist and all files
are there in the tar ball.",False,15,7,8,,,,554,161,172,14,4.5,65.72080573505971,101.0,204.5,1566.1042482227422,4.625661375661376,14488.535862526269,804.9186590292371,0.5220347494075808
5,cccc2705ab5db79898806a119e43b722c4d07c72,Prasanth Nair,2015-11-09 07:55:35+00:00,Incremented version number to fix issue on pypi server.,False,2,1,1,,,,554,161,172,14,4.5,65.72080573505971,101.0,204.5,1566.1042482227422,4.625661375661376,14488.535862526269,804.9186590292371,0.5220347494075808
6,f5708341674a8bc3566618d84e541a30083346e5,Prasanth Nair,2015-11-09 08:00:54+00:00,Update version info to fix issue on pypi,False,2,1,1,,,,554,161,172,14,4.5,65.72080573505971,101.0,204.5,1566.1042482227422,4.625661375661376,14488.535862526269,804.9186590292371,0.5220347494075808
7,f07686ab84b84a9f19ec01ff1a90a3689f3d6b6d,Prasanth Nair,2015-11-10 12:25:41+00:00,"Tests in test_jdcal.py.

Removed tests from jdcal.py.
tox.in
Updated .gitignore
README.rst: remove link; point to LICENSE.txt.",False,232,150,82,1.0,1.0,1.0,614,202,213,14,2.3684210526315788,51.27573477625919,88.33333333333333,173.66666666666666,1236.1266954741996,4.303650914458359,8867.556576958308,492.64203205323935,0.4120422318247332
8,8efe5b91aea8a6c2e7f70c3784f36e9b20ea4527,Prasanth Nair,2015-11-11 03:04:58+00:00,Changed version to 1.2. See CHANGELOG.txt.,False,2,1,1,,,,614,202,213,14,2.3684210526315788,51.27573477625919,88.33333333333333,173.66666666666666,1236.1266954741996,4.303650914458359,8867.556576958308,492.64203205323935,0.4120422318247332
9,696242dbd38837cd0680253f44987fb6ce207752,James Dengel,2016-09-06 13:48:27+00:00,change to use setuptools so that we can create a wheel,False,2,1,1,,,,614,202,213,14,2.3684210526315788,51.27573477625919,88.33333333333333,173.66666666666666,1236.1266954741996,4.303650914458359,8867.556576958308,492.64203205323935,0.4120422318247332
