ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,1db7d51366cd157a5fbcd917da11cd3b19c73587,David Lord,2019-10-28 16:39:37+00:00,compile writes utf8,False,16,9,7,0.0,0.0,1.0,21466,11812,14373,756,2.2261185006045947,57.845131942568806,64.11428571428571,105.1,749.9535341817777,3.3052232987195667,5084.06658708133,282.4481437267405,0.2499845113939259
1,4e7e45ab35db5ef68fc52b0ba936f12ad49cd12a,Florian Heinle,2019-11-01 14:56:03+00:00,"let wordwrap filter respect existing newlines

textwrap.wrap() has unexpected behaviour where when wrapping multiple
paragraphs it will not consider existing newlines.

I.e. when your first paragraph ends on col 75, the next paragraph
will be wrapped on col 5 already.

This patch is wrapping each line individually and combining it back
together.",False,20,17,3,0.0,1.0,0.0,21486,11822,14388,760,2.226586102719033,57.80973127778995,64.14285714285714,105.14285714285714,750.1548309506663,3.3052232987195667,5084.469180619108,282.4705100343948,0.2500516103168888
2,f6e539831fd5dd51ad6ec59a8973e9159c4cc0c7,David Lord,2019-11-01 15:08:38+00:00,"reformat, doc, and test for wordwrap",False,72,44,28,1.0,1.0,1.0,21499,11822,14393,760,2.225845410628019,57.810140473625964,64.17142857142858,105.18571428571428,750.5597630561201,3.305214082129705,5085.485652275763,282.52698068198674,0.2501865876853734
3,2edcf7db4bc6641415f442342d7331c41557c476,Alessandro -oggei- Ogier,2019-11-01 15:35:01+00:00,add break_on_hyphens parameter to wordwrap filter,False,18,17,1,0.0,1.0,0.0,21513,11822,14401,760,2.225845410628019,57.81109927812968,64.17142857142858,105.18571428571428,750.5597630561201,3.305214082129705,5085.485652275763,282.52698068198674,0.2501865876853734
4,d988c13ffa4f287039dd8a45148dcdee7684c9a6,David Lord,2019-11-04 16:46:21+00:00,clarify quoting behavior of urlencode filter,False,99,61,38,0.0,1.0,0.0,21536,11813,14404,760,2.2252415458937196,57.81222445833001,63.92857142857143,104.8,747.013280973696,3.30598757281678,5069.614838077293,281.64526878207187,0.24900442699123196
5,24d86a9615404221a23ecedc15bd818e72026b2e,David Lord,2019-11-07 21:35:57+00:00,don't prefetch next item in loop context,False,375,224,151,1.0,1.0,1.0,21609,11832,14419,748,2.2224231464737794,57.69993179723832,64.2,105.11428571428571,749.025942488452,3.310786033526797,5071.459521302376,281.74775118346525,0.24967531416281732
6,4d0949b3087e10c5bd183e7b7f22b15a74b95f68,David Lord,2019-11-08 03:05:16+00:00,async templates await attribute access,False,74,49,25,1.0,1.0,0.0,21625,11839,14427,750,2.2228915662650603,57.881214539966706,63.785714285714285,104.35714285714286,742.6291117150769,3.301721706041417,5042.739174554633,280.15217636414627,0.24754303723835897
7,70ea1d3e224638aa7db10e7814105a590c09cdff,Adriano Scoditti,2019-11-20 14:16:05+00:00,use 'callable' instead of typechecking to inject context,False,10,4,6,,,,21621,11838,14426,749,2.2228915662650603,57.881305991443355,63.785714285714285,104.35714285714286,742.6291117150769,3.301721706041417,5042.739174554633,280.15217636414627,0.24754303723835897
8,48036fb4cb3c45ff160f448d02af08443fcee7d9,areebbeigh,2019-11-20 14:23:23+00:00,return on first false when folding Compare node,False,2,2,0,1.0,1.0,1.0,21623,11840,14428,749,2.2240963855421687,57.87810151778097,63.8,104.38571428571429,742.8584900852542,3.301572569463709,5044.173225071514,280.2318458373063,0.2476194966950847
9,1f37d5f0d44b62852c2a564f30c0415da412639c,David Lord,2019-11-20 14:55:16+00:00,add test and changelog for constant comparison folding,False,47,39,8,,,0.0,21650,11845,14450,749,2.223359422034919,57.868450980778164,63.857142857142854,104.47142857142858,743.6549798611601,3.301512992282961,5048.1759399508155,280.45421888615635,0.24788499328705338
