ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,8442a4cd3c283ec81044a396723666f1331433e2,Chase Sterling,2013-04-08 06:14:14+00:00,Initial messy commit,False,171,170,1,1.0,0.8591549295774648,0.6619718309859155,169,106,104,2,1.7,60.06219584900992,18.0,20.0,83.39850002884624,2.5,208.4962500721156,11.583125004006423,0.027799500009615414
1,50d6ac0286e5ab112629d3b116d8d1cc89060a17,Chase Sterling,2013-04-09 05:58:15+00:00,Fix up lazyproxy module,False,260,110,150,0.0,0.0,1.0,282,173,187,9,1.6785714285714286,61.301325419428515,20.5,29.5,129.90870815753487,2.6184210526315788,345.6634841645742,19.2035268980319,0.04330290271917829
2,d44206bafa6d8e9027efc33e41ca2b1b3f2efc68,Chase Sterling,2013-04-09 06:39:10+00:00,"Don't need subject in __slots__
Fix __subject__ property",False,6,4,2,1.0,1.0,1.0,284,175,189,9,1.6551724137931034,60.98875155363157,20.5,29.5,129.90870815753487,2.6184210526315788,345.6634841645742,19.2035268980319,0.04330290271917829
3,63e3daf0645cb4dcac98f8ccf4f4d26bc0a4beea,Chase Sterling,2013-04-09 15:43:25+00:00,Fix up tests for python 3,False,36,21,15,,,,467,344,343,7,1.763157894736842,63.91796311283237,20.6,79.2,444.2575254458917,13.974131274131276,25191.30887404118,1399.5171596689545,0.14808584181529721
4,faa1b0ec0fa4d40a0a6439e13bd220df740111ec,Chase Sterling,2013-04-09 15:58:38+00:00,Tests now pass on pypy as well,False,14,9,5,,,,471,345,344,10,1.763157894736842,64.29068020328509,20.6,79.2,444.2575254458917,13.974131274131276,25191.30887404118,1399.5171596689545,0.14808584181529721
5,40e21b1bd42f82c7ddef66eaeba7bbc6379d48e5,Chase Sterling,2013-04-09 19:48:56+00:00,Add small example to readme,False,35,27,8,1.0,1.0,1.0,480,351,350,12,1.7435897435897436,64.20398742093559,21.0,79.6,446.4354606797189,14.074131274131275,25202.464744508834,1400.1369302504906,0.14881182022657297
6,8acf01ed98a5e85fe32f5d27d0594f4d82d9f362,Chase Sterling,2013-04-09 23:04:37+00:00,Start fleshing out actual implementation,False,157,94,63,0.0,0.0,1.0,510,353,354,10,1.5853658536585367,63.3195639174844,25.75,98.75,558.8010712745355,17.79058075933076,31539.373110340577,1752.187395018921,0.1862670237581785
7,3f59f8183d2cec1d67712c64e5572c01555feba3,Chase Sterling,2013-04-09 23:14:04+00:00,Fix python 2 support,False,13,9,4,1.0,1.0,0.0,515,355,356,10,1.5853658536585367,63.23845685818394,25.75,98.75,558.8010712745355,17.79058075933076,31539.373110340577,1752.187395018921,0.1862670237581785
8,90454e3dae89988c5bcf72afbd9e5c1fab267bfd,Chase Sterling,2013-04-10 03:13:02+00:00,Make the dereferencer pluggable,False,33,26,7,1.0,1.0,0.26666666666666666,534,367,371,10,1.558139534883721,63.012782749362515,25.75,98.75,558.8010712745355,17.79058075933076,31539.373110340577,1752.187395018921,0.1862670237581785
9,f7f5495645ff84ffb67a49b281b20d02a30ea880,Chase Sterling,2013-04-10 03:17:18+00:00,Docstring tweaks,False,5,5,0,,,,539,367,371,10,1.558139534883721,63.14372272837849,25.75,98.75,558.8010712745355,17.79058075933076,31539.373110340577,1752.187395018921,0.1862670237581785
10,214a67581ab9d3953d9fa9fdb8e1e4e1f89d0979,Chase Sterling,2013-04-10 05:19:06+00:00,Add test for result caching,False,12,12,0,1.0,1.0,1.0,551,377,380,11,1.5454545454545454,64.22083170635932,26.5,100.25,573.6355097746812,16.85595238095238,30626.568016031644,1701.476000890647,0.19121183659156038
11,b7b3c14652c56fb50768344db3ab182400992a83,Chase Sterling,2013-04-10 20:28:21+00:00,Some more tests,False,23,17,6,1.0,1.0,1.0,562,380,386,14,1.5454545454545454,65.35814625062841,26.5,100.25,573.6355097746812,16.85595238095238,30626.568016031644,1701.476000890647,0.19121183659156038
12,966bcd72b4c2ff86bc81deaff1accac00bf8d13c,Chase Sterling,2013-04-10 20:47:34+00:00,Option to turn off caching in Dereferencer,False,6,4,2,1.0,1.0,1.0,564,382,388,14,1.5681818181818181,65.25055811187768,26.5,100.25,573.6355097746812,16.85595238095238,30626.568016031644,1701.476000890647,0.19121183659156038
13,10febee2bb1e5778e2b16699f5430c86805e360b,Chase Sterling,2013-04-10 22:52:33+00:00,Add some tests for the included dereferencer,False,62,61,1,1.0,1.0,1.0,624,424,424,14,1.52,66.25318287545157,26.5,100.25,573.6355097746812,16.85595238095238,30626.568016031644,1701.476000890647,0.19121183659156038
14,46e1ab89ccf0f717015d9b04027a4d5f30efa09f,Chase Sterling,2013-04-10 23:35:54+00:00,Add urllib support to Dereferencer,False,43,26,17,1.0,1.0,1.0,633,437,442,15,1.5961538461538463,63.70913346753272,28.0,102.0,583.7419014884426,16.966859243697478,30678.794043681268,1704.3774468711815,0.19458063382948088
15,20ae00d63d38797bd6fdea824183ecec7e323fc0,Chase Sterling,2013-04-11 20:59:33+00:00,Start refactoring LazyProxy tests,False,146,69,77,1.0,0.0,0.0,625,419,431,16,1.7547169811320755,65.32267777097958,25.75,47.75,253.99504493920023,7.682200152788388,4309.795979165803,239.43310995365576,0.0846650149797334
16,0f01bcc7bc700c64ac75f040699044b30f28ebf4,Chase Sterling,2013-04-12 02:24:43+00:00,Fix LazyProxy behavior with immutable objects,False,25,6,19,0.0,0.0,1.0,612,410,419,17,1.7547169811320755,66.20230575895434,25.25,46.25,245.85639187579045,7.652124964818464,4281.23685263016,237.84649181278667,0.08195213062526348
17,c6dc9e4dad2269d72ec7902895906a7084fada07,Chase Sterling,2013-04-12 02:25:14+00:00,Continue generalizing and expanding LazyProxy tests,False,174,96,78,0.0,1.0,0.0,630,380,438,21,1.7924528301886793,67.45550387179007,21.0,29.25,141.36730212092476,3.1180340557275543,616.0083237157248,34.222684650873596,0.04712243404030825
