ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,f212221b40aca36bb73a381143c732e456f2a252,Chris Hager,2017-06-12 19:33:05+00:00,initial commit,False,1479,1479,0,1.0,1.0,1.0,498,119,167,183,1.3,94.44304077037471,2.857142857142857,3.0,10.362132500493136,0.42857142857142855,21.924883088568787,1.218049060476044,0.003454044166831046
1,d1eb6a78a6f7fd1d06786a42e737cbc254f2cb93,Chris Hager,2017-06-12 20:36:02+00:00,v0.2.0,False,269,251,18,0.2912621359223301,0.3592233009708738,0.5242718446601942,725,225,284,221,3.0625,87.44141904882777,9.666666666666666,10.833333333333334,50.57395634916162,1.25,198.76063821363525,11.042257678535293,0.01685798544972054
2,8581ea97088394354f4bf3aa148b57e845e91fb4,Chris Hager,2017-06-12 20:36:06+00:00,Bump version: 0.1.0 → 0.2.0,False,8,4,4,,,,725,225,284,221,3.0625,87.44141904882777,9.666666666666666,10.833333333333334,50.57395634916162,1.25,198.76063821363525,11.042257678535293,0.01685798544972054
3,5111e45f5d25f7d4b943755bac30ef8ca7ab8164,Chris Hager,2017-06-27 12:11:35+00:00,"v1.0.0 - documentation, and name handling fix",False,237,203,34,1.0,1.0,1.0,758,239,297,221,3.0,85.19135650630778,10.833333333333334,12.333333333333334,56.09951942208036,1.3333333333333333,214.3379596622201,11.907664425678897,0.018699839807360123
4,bfcda1056d4e52419b66b4ee745082b67de49c6d,Chris Hager,2017-06-27 12:11:47+00:00,Bump version: 0.2.0 → 1.0.0,False,6,3,3,,,,758,239,297,221,3.0,85.19135650630778,10.833333333333334,12.333333333333334,56.09951942208036,1.3333333333333333,214.3379596622201,11.907664425678897,0.018699839807360123
5,c7e68399cdb7bdd50d5313cc5b2ffc236ac98444,Chris Hager,2017-06-29 12:37:19+00:00,documentation,False,2927,2913,14,1.0,1.0,1.0,797,264,320,222,2.789473684210526,83.82477513238696,11.333333333333334,12.833333333333334,58.277591327193,1.4166666666666667,217.67699561477642,12.093166423043137,0.019425863775731
6,2db179c9ff69a52563bb03cfe674551279ceaaf5,Chris Hager,2017-06-29 13:07:23+00:00,Deps update,False,39,21,18,0.0,0.0,0.0,798,262,318,224,2.789473684210526,83.97522300446079,11.333333333333334,12.833333333333334,58.277591327193,1.4166666666666667,217.67699561477642,12.093166423043137,0.019425863775731
7,48d70672accbcd4604ddff05e97f871b13c20afe,Chris Hager,2017-06-30 06:57:34+00:00,docs + tests for multiple loggers writing to same file,False,41,40,1,0.0,1.0,1.0,822,280,335,224,2.7,82.73892777431571,12.333333333333334,14.833333333333334,67.10333355439461,1.4444444444444444,228.72369487984497,12.706871937769167,0.022367777851464873
8,f4c164180d23a676fd28a83e731e294b023a5348,Chris Hager,2017-06-30 07:01:20+00:00,fix linter,False,1,1,0,,,,823,280,335,224,2.7,82.73892777431571,12.333333333333334,14.833333333333334,67.10333355439461,1.4444444444444444,228.72369487984497,12.706871937769167,0.022367777851464873
9,85b90b8a988f7cb7426583ddc7ac368675483836,Chris Hager,2017-06-30 19:35:14+00:00,start: global logger,False,126,116,10,0.12,1.0,0.88,885,308,361,231,2.5454545454545454,81.57426902738045,13.5,17.333333333333332,80.13149586386557,1.5833333333333333,265.88480468812156,14.771378038228976,0.02671049862128852
