ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,b74352c279435bae7ecdab8cafcbf32cb4fd294b,Florent Xicluna,2013-02-09 16:14:17+00:00,initial commit,False,414,414,0,0.6578947368421053,0.8991228070175439,0.8114035087719298,372,261,292,7,2.189189189189189,59.50100401691343,34.0,46.5,276.0199324308096,2.9285714285714284,1473.8210665936228,81.87894814409015,0.09200664414360321
1,e260c5841af0389be5ee3b526e8abc9a1f3ae9b0,Florent Xicluna,2013-02-09 17:18:08+00:00,Remove debug statement,False,1,0,1,,,,371,260,291,6,2.189189189189189,59.32070294976176,34.0,46.5,276.0199324308096,2.9285714285714284,1473.8210665936228,81.87894814409015,0.09200664414360321
2,1abed9252a961c3da07a3b6445e937ebc8872898,Florent Xicluna,2013-02-09 17:18:52+00:00,setup.py: rename and declare Python 3 compatibility,False,4,2,2,,,,371,260,291,5,2.189189189189189,57.59614234521264,34.0,46.5,276.0199324308096,2.9285714285714284,1473.8210665936228,81.87894814409015,0.09200664414360321
3,d287a277311217406bbc30964c7236a0aed7eb29,Florent Xicluna,2013-02-09 19:55:23+00:00,Update URL,False,12,6,6,,,,371,260,291,5,2.189189189189189,57.59614234521264,34.0,46.5,276.0199324308096,2.9285714285714284,1473.8210665936228,81.87894814409015,0.09200664414360321
4,b23ec6b0d51c4f86f8dc71e752c185ae2f0b7994,Florent Xicluna,2013-02-10 15:24:18+00:00,fallback on flint.util.iter_child_nodes for Python 2.5,False,11,2,9,0.0,0.0,0.0,364,253,284,6,2.111111111111111,58.312972498520814,34.0,46.5,276.0199324308096,2.9285714285714284,1473.8210665936228,81.87894814409015,0.09200664414360321
5,226cf4c851555828d799a8a40efcac64ea8fcc1d,Florent Xicluna,2013-02-11 00:40:31+00:00,New home,False,4,2,2,,,,364,253,284,6,2.111111111111111,58.312972498520814,34.0,46.5,276.0199324308096,2.9285714285714284,1473.8210665936228,81.87894814409015,0.09200664414360321
6,4c326ed876b4a3046d1f2521c61b1d29d7633cd6,Florent Xicluna,2013-02-11 08:14:25+00:00,First release,False,4,2,2,,,,364,253,284,6,2.111111111111111,58.312972498520814,34.0,46.5,276.0199324308096,2.9285714285714284,1473.8210665936228,81.87894814409015,0.09200664414360321
7,b16e1e9b2d6fd7e40868dcb8e67331ab0ae22ecf,Florent Xicluna,2013-02-11 18:23:23+00:00,Read 'max-complexity' from the configuration file; issue #1,False,9,8,1,1.0,1.0,1.0,365,254,285,6,2.111111111111111,58.27897482262747,34.0,46.5,276.0199324308096,2.9285714285714284,1473.8210665936228,81.87894814409015,0.09200664414360321
8,3b03639a8758b31e17c99fbfa4790030310b92a9,Florent Xicluna,2013-02-14 08:11:21+00:00,Rename variables for less confusion,False,12,6,6,,,,365,254,285,6,2.111111111111111,58.27897482262747,34.0,46.5,276.0199324308096,2.9285714285714284,1473.8210665936228,81.87894814409015,0.09200664414360321
9,adef5c2b3910f5f1037132fdef8949dd0a851025,Florent Xicluna,2013-02-14 08:14:43+00:00,Rename 'min_complexity' argument to 'threshold',False,20,10,10,0.0,0.0,0.0,365,253,284,6,2.111111111111111,58.312972498520814,34.0,46.5,276.0199324308096,2.9285714285714284,1473.8210665936228,81.87894814409015,0.09200664414360321
10,99d3adcb148806a450c6c8dc3be8b96cfa4cc3d0,Florent Xicluna,2013-02-14 08:15:50+00:00,Fix the get_*_complexity functions,False,2,1,1,,,,365,253,284,6,2.111111111111111,58.312972498520814,34.0,46.5,276.0199324308096,2.9285714285714284,1473.8210665936228,81.87894814409015,0.09200664414360321
11,042653ef1ca6b2c92dfb03aef0bab047bbf87816,Florent Xicluna,2013-02-20 22:30:31+00:00,Rename project flint-mccabe to mccabe,False,48,26,22,,,,365,253,284,6,2.111111111111111,58.312972498520814,34.0,46.5,276.0199324308096,2.9285714285714284,1473.8210665936228,81.87894814409015,0.09200664414360321
12,40ad6b1dbdc715aa0e4dfdff4bd689bbe795561b,Florent Xicluna,2013-02-20 22:44:59+00:00,Add simple test for McCabe checker,False,41,41,0,1.0,1.0,1.0,406,273,314,6,2.025,72.20864833234721,22.666666666666668,31.0,184.0132882872064,1.9523809523809523,982.5473777290819,54.58596542939343,0.06133776276240214
13,e4dccb3c805dff07435202ae4709d5957de74854,Florent Xicluna,2013-02-21 22:48:13+00:00,Adjust copyright holder,False,8,6,2,,,,408,273,316,6,2.025,72.1487960066706,22.666666666666668,31.0,184.0132882872064,1.9523809523809523,982.5473777290819,54.58596542939343,0.06133776276240214
14,e88be51e0c6c2bd1b87d7a44b7e71b78fdc53959,Florent Xicluna,2013-02-22 07:04:53+00:00,Release 0.2,False,4,2,2,,,,408,273,316,6,2.025,72.1487960066706,22.666666666666668,31.0,184.0132882872064,1.9523809523809523,982.5473777290819,54.58596542939343,0.06133776276240214
15,1b993f7e89e778cef84f2e8eaa2c110e5b6f516b,Florent Xicluna,2013-02-22 09:14:35+00:00,Move home,False,2,1,1,,,,408,273,316,6,2.025,72.1487960066706,22.666666666666668,31.0,184.0132882872064,1.9523809523809523,982.5473777290819,54.58596542939343,0.06133776276240214
16,48c26a6fcbb6dedb047d9cf735c82ad67ecfe589,Marc Schlaich,2013-04-03 11:56:49+00:00,Fix setup on Python 3.,False,3,0,3,,,,405,273,313,6,2.025,72.24001159254028,22.666666666666668,31.0,184.0132882872064,1.9523809523809523,982.5473777290819,54.58596542939343,0.06133776276240214
17,255ca7f93d62d56f53c1b7b8eb74923dec30ffe4,Florent Xicluna,2013-04-03 12:45:13+00:00,Release 0.2.1,False,9,8,1,,,,405,273,313,6,2.025,72.24001159254028,22.666666666666668,31.0,184.0132882872064,1.9523809523809523,982.5473777290819,54.58596542939343,0.06133776276240214
18,063aff3f99dda2f9f9b880498e31fe4b171dcc27,Ian Cordasco,2014-04-18 18:35:40+00:00,Fix #5,False,4,2,2,,,,405,273,313,6,2.025,72.19643572159104,23.666666666666668,32.0,192.06709964571598,2.1264367816091956,1125.635878951537,62.53532660841872,0.064022366548572
19,84cd036437a65cd30977404d045d9ba6fab6640d,Ian Cordasco,2014-04-18 18:36:03+00:00,Bump version to 0.2.2 and include LICENSE,False,3,2,1,,,,406,273,314,6,2.025,72.16507246139797,23.666666666666668,32.0,192.06709964571598,2.1264367816091956,1125.635878951537,62.53532660841872,0.064022366548572
20,5e7a40cbce7429365a03879b5d5c6b40f902a134,Ian Cordasco,2014-04-18 21:15:37+00:00,Update tests,False,5,2,3,0.0,0.0,0.0,405,273,313,6,2.025,72.16507246139797,23.666666666666668,32.0,192.06709964571598,2.1264367816091956,1125.635878951537,62.53532660841872,0.064022366548572
21,9b458912d4c697d899f59d450933d476fea46119,Robrecht De Rouck,2014-04-25 10:51:58+00:00,Restructure and expand tests,False,112,98,14,1.0,1.0,1.0,489,303,368,13,1.8936170212765957,62.231685769481096,25.333333333333332,33.666666666666664,195.9369798038616,2.4597701149425286,1129.5057591096827,62.750319950537914,0.0653123266012872
22,2776e8c5148a6d764113ceb6ebfa72307729d459,Florent Xicluna,2014-04-25 20:58:01+00:00,Run tests with python setup.py test,False,2,2,0,,,,407,273,314,6,2.025,72.1346837342561,23.666666666666668,32.0,192.06709964571598,2.1264367816091956,1125.635878951537,62.53532660841872,0.064022366548572
23,6d4bf366194ed095a8c239276f47b8fe1c2daef4,Florent Xicluna,2014-04-25 21:07:03+00:00,Fix tests on Python 3,False,9,2,7,,,,486,303,369,13,1.8936170212765957,62.201297042339235,25.333333333333332,33.666666666666664,195.9369798038616,2.4597701149425286,1129.5057591096827,62.750319950537914,0.0653123266012872
24,12174059e7761d188408c61566166070c7274c55,Florent Xicluna,2014-04-25 21:22:05+00:00,Redundant with the MANIFEST.in entry,False,1,0,1,,,,485,303,368,13,1.8936170212765957,62.231685769481096,25.333333333333332,33.666666666666664,195.9369798038616,2.4597701149425286,1129.5057591096827,62.750319950537914,0.0653123266012872
25,f61b9d5e0bab7166f437e39987166a1d83cfddfc,Ian Cordasco,2014-04-26 20:20:31+00:00,Fix test cases,False,4,2,2,,,,485,303,368,13,1.8936170212765957,62.231685769481096,25.333333333333332,33.666666666666664,195.9369798038616,2.4597701149425286,1129.5057591096827,62.750319950537914,0.0653123266012872
26,c520255ec9f876d64b743f643cb4085559357a0a,Marc Schlaich,2014-05-08 14:30:03+00:00,Fixed dead path test.,False,8,4,4,,,,485,303,368,13,1.8936170212765957,62.231685769481096,25.333333333333332,33.666666666666664,195.9369798038616,2.4597701149425286,1129.5057591096827,62.750319950537914,0.0653123266012872
27,ab312df47a0a8e9d33fde329d14f8b3368a1a3aa,Eugene Vereshchagin,2014-05-14 16:07:25+00:00,"Change main for ""scriptability""

See: https://github.com/flintwork/mccabe/pull/13",False,4,3,1,0.0,0.0,1.0,487,306,370,13,1.9148936170212767,62.08983630833067,26.0,34.666666666666664,203.37837035546366,2.4555555555555553,1170.741911537967,65.04121730766484,0.06779279011848789
28,c306935131d64b9c075c1949254abf1abd9f6967,Buck Golemon,2014-07-16 20:45:58+00:00,fix the off by one issues,False,27,19,8,1.0,1.0,0.0,498,312,375,14,1.9166666666666667,61.55798066035191,26.333333333333332,35.333333333333336,208.14407187240855,2.6666666666666665,1327.6521263008547,73.75845146115859,0.06938135729080286
29,43010912bcadb1be8028c947672dc9fd6b159b62,Ian Cordasco,2014-08-07 20:18:13+00:00,Last few unaddressed pieces of feedback,False,7,3,4,,,,497,312,375,14,1.9166666666666667,61.55798066035191,26.333333333333332,35.333333333333336,208.14407187240855,2.6666666666666665,1327.6521263008547,73.75845146115859,0.06938135729080286
30,a517168b6b5c4a8f0d5371dd0023d1650a781c7f,Buck Golemon,2014-08-07 22:21:07+00:00,unify visitors for if and loop statements,False,43,27,16,1.0,1.0,0.0,508,314,383,14,1.8627450980392157,61.18380040918799,26.333333333333332,35.333333333333336,208.14407187240855,2.6666666666666665,1327.6521263008547,73.75845146115859,0.06938135729080286
31,0a42f06c8f32b63e3ef7f55bdfcd23aca16c0b65,Buck Golemon,2014-08-07 23:43:22+00:00,`if`s with no `else` still cause a branch in the code,False,6,4,2,0.0,1.0,0.0,510,316,385,14,1.8627450980392157,61.13847224837718,26.333333333333332,35.333333333333336,208.14407187240855,2.6666666666666665,1327.6521263008547,73.75845146115859,0.06938135729080286
32,bbae066fcd8cd6d0ec7546f33c508639930a3662,Buck Golemon,2014-08-09 03:55:56+00:00,attempt to improve naming and comments,False,14,8,6,,,,512,318,385,14,1.8627450980392157,61.11226550264656,26.333333333333332,35.333333333333336,208.14407187240855,2.6666666666666665,1327.6521263008547,73.75845146115859,0.06938135729080286
