ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,46c160bdb5411062a93a23bca3506f1c2735032e,SamuraiT,2014-05-31 08:47:48+00:00,mecab python3 version,False,10377,10377,0,0.16445236552171094,0.4632209980557356,0.8841542449773169,723,901,651,17,1.7215189873417722,49.174945934911186,18.0,22.5,100.42769340023649,1.958333333333333,244.22193196455947,13.567885109142196,0.033475897800078834
1,d2fd3bf2684ed518ffbfc85cc006e7586bebb07f,SamuraiT,2014-09-11 10:12:43+00:00,update setup info,False,86,40,46,1.0,1.0,1.0,750,908,677,17,1.7232704402515724,46.330495670265115,18.0,22.5,100.42769340023649,1.958333333333333,244.22193196455947,13.567885109142196,0.033475897800078834
2,b6e7db2709d1ba79deaa1b21488efc2d5ebbee45,SamuraiT,2014-09-11 10:13:50+00:00,modify a bit,False,8,4,4,,,,750,908,677,17,1.7232704402515724,46.330495670265115,18.0,22.5,100.42769340023649,1.958333333333333,244.22193196455947,13.567885109142196,0.033475897800078834
3,57d7fd015bc5b28079273de817f35d6e945fddcb,SamuraiT,2014-09-11 10:31:46+00:00,modify a name,False,2,1,1,,,,750,908,677,17,1.7232704402515724,46.330495670265115,18.0,22.5,100.42769340023649,1.958333333333333,244.22193196455947,13.567885109142196,0.033475897800078834
4,9fdf103a78a33d80812d2ba7044120ab0e3b6c11,SamuraiT,2014-09-11 10:41:27+00:00,add nec. files,False,333,331,2,1.0,0.8064516129032258,0.6935483870967742,1075,1335,975,24,1.7257383966244726,41.21233924779821,19.2,23.8,106.93493722437191,2.1999999999999997,279.58802350155946,15.532667972308863,0.03564497907479064
5,cb14b17170cb25c0f350996e6ffa8bd8321450f6,SamuraiT,2014-09-11 10:45:44+00:00,add nec. file,False,2,1,1,,,,1075,1335,975,24,1.7257383966244726,41.21233924779821,19.2,23.8,106.93493722437191,2.1999999999999997,279.58802350155946,15.532667972308863,0.03564497907479064
6,50116c6a33253df09a978421b0d406ecc52667e4,SamuraiT,2014-09-11 10:49:06+00:00,modify a bit,False,2,1,1,,,,1075,1335,975,24,1.7257383966244726,41.21233924779821,19.2,23.8,106.93493722437191,2.1999999999999997,279.58802350155946,15.532667972308863,0.03564497907479064
7,33b3ba4df8ece49929997375fdb65a6d398fb6da,SamuraiT,2014-09-11 11:09:14+00:00,make it work,False,330,2,328,0.0,0.1935483870967742,0.3064516129032258,749,908,676,17,1.7232704402515724,46.357373274363695,18.0,22.5,100.42769340023649,1.958333333333333,244.22193196455947,13.567885109142196,0.033475897800078834
8,d61871430a84398804e7702162170efab71c05fc,SamuraiT,2014-09-11 11:16:27+00:00,update docs and rename,False,8,4,4,,,,749,908,676,17,1.7232704402515724,46.357373274363695,18.0,22.5,100.42769340023649,1.958333333333333,244.22193196455947,13.567885109142196,0.033475897800078834
9,7ddad1c0008707eb1e52e3d0ad59bd2c2a86da4e,SamuraiT,2014-09-16 07:13:33+00:00,add condition for py2 and py3,False,16,12,4,1.0,1.0,1.0,757,916,683,17,1.7142857142857142,43.547911056445166,18.75,23.75,103.99106756628937,2.1666666666666665,249.38976418596332,13.854986899220187,0.03466368918876313
