ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,1ff1ba9f75f7251235ca66bebf92debe18cc898e,Ori Livneh,2014-11-29 19:36:28+00:00,Initial commit,False,418,418,0,1.0,1.0,1.0,169,62,76,7,1.2,87.21881688754655,13.0,15.0,70.50659577211638,1.8421052631578947,259.7611423183235,14.431174573240193,0.023502198590705462
1,d5dd587059976a0b214feb1c8a3ca8f567b0e4c8,Alessandro Pilotti,2015-06-17 10:40:06+00:00,"Fixes issue when performing sanity checks

The sanity check fails as monotonic() - monotonic() can return 0.0.
This is a blocking issue that has been observed on Windows.

Closes issue: #2",False,2,1,1,,,,169,62,76,7,1.2,87.21881688754655,13.0,15.0,70.50659577211638,1.8421052631578947,259.7611423183235,14.431174573240193,0.023502198590705462
2,1e0c8a3de556fa463577a278e4067bbbcb71fec8,Ori Livneh,2015-06-19 17:59:38+00:00,"On Linux >2.6.28, use CLOCK_MONOTONIC_RAW

Closes #1",False,22,19,3,1.0,1.0,1.0,185,74,86,8,1.1428571428571428,86.1366762483629,13.5,16.5,78.45564378569723,1.925,302.05422857493437,16.780790476385242,0.026151881261899077
3,7a90ceeb2b270208a2dda427060dde2b8a949128,Ori Livneh,2015-06-19 18:03:04+00:00,0.2,False,4,2,2,,,,185,74,86,8,1.1428571428571428,86.1366762483629,13.5,16.5,78.45564378569723,1.925,302.05422857493437,16.780790476385242,0.026151881261899077
4,d2961489566ab1e35d5f63d64b0c541ea28cd407,Albert White,2015-07-15 10:39:29+00:00,"Set CLOCK_MONOTONIC for Solaris

Setting CLOCK_MONOTONIC = 4 as defined in the Solaris time_impl.h
header file.

$ python -c ""import sys; print sys.platform""
sunos5
$ grep MONOTONIC /usr/include/sys/time_impl.h
#define CLOCK_MONOTONIC         4       /* high resolution monotonic
clock */
#define CLOCK_HIGHRES           CLOCK_MONOTONIC         /* alternate
name */",False,2,2,0,,,,187,76,88,8,1.1428571428571428,85.92219547170447,13.5,16.5,78.45564378569723,1.925,302.05422857493437,16.780790476385242,0.026151881261899077
5,cc9170147ceded9e8bc3cb5bb008e6a4cf32c1e7,Marcus Furlong,2015-07-23 03:53:19+00:00,Add support for cygwin,False,10,10,0,1.0,1.0,1.0,195,81,92,9,1.125,85.42812616421685,14.0,18.0,86.53238859703687,2.0,346.1295543881475,19.229419688230415,0.028844129532345622
6,cb3c90150fcea9e507f1cae0e432d7fe7c02d9cd,Ori Livneh,2015-07-29 16:59:43+00:00,Bump version to 0.3,False,2,1,1,,,,197,83,94,9,1.125,85.21317227044457,14.0,18.0,86.53238859703687,2.0,346.1295543881475,19.229419688230415,0.028844129532345622
7,ea67804cb090fbe9f3e02e5f708dffb501c67cdf,Demitri Swan,2015-10-05 22:43:08+00:00,Adding the full path fixes for 10.11,False,2,1,1,,,,197,83,94,9,1.125,85.21317227044457,14.0,18.0,86.53238859703687,2.0,346.1295543881475,19.229419688230415,0.028844129532345622
8,93b3d3ba63597e57b20333db4e33ca0f48debf2a,Ori Livneh,2015-10-05 23:38:56+00:00,Bump version to 0.4,False,2,1,1,,,,197,83,94,9,1.125,85.21317227044457,14.0,18.0,86.53238859703687,2.0,346.1295543881475,19.229419688230415,0.028844129532345622
9,20081340a83de122f124169816591ca0c72d067a,Victor Stinner,2015-10-13 13:49:39+00:00,"clock_gettime() is not thread-safe

Don't use a global variable in clock_gettime(). Create a new timespec
object for each call to clock_gettime().",False,3,1,2,1.0,1.0,1.0,196,83,94,9,1.125,85.21317227044457,14.0,18.0,86.53238859703687,2.0,346.1295543881475,19.229419688230415,0.028844129532345622
10,dc0029842732a7ff6731cf01e418665e9109ec82,Victor Stinner,2015-10-13 13:51:09+00:00,"Don't use CLOCK_MONOTONIC_RAW

CLOCK_MONOTONIC_RAW doesn't fit into time.monotonic() requirements:
it doesn't use seconds. CLOCK_MONOTONIC is what uses expect for a
monotonic clock using seconds.

For the longer rationale, see the PEP 418:
https://www.python.org/dev/peps/pep-0418/#clock-monotonic-clock-monotonic-raw-clock-boottime",False,5,1,4,,,,194,80,91,8,1.125,85.63081560065056,13.5,16.5,78.45564378569723,1.925,302.05422857493437,16.780790476385242,0.026151881261899077
11,d261cf6808c143f26d167b2053bfd4b91eb47406,Ori Livneh,2015-12-27 21:31:13+00:00,"Remove get_os_release() / compare_versions()

The sole purpose of these functions was to determine whether or not
to use CLOCK_MONOTONIC_RAW (which is available on Linux 2.6.3+). Since we are
no longer using CLOCK_MONOTONIC_RAW, they are not necessary.",False,13,0,13,0.0,0.0,0.0,180,71,84,8,1.1666666666666667,86.2847178458404,13.5,16.5,78.45564378569723,1.925,302.05422857493437,16.780790476385242,0.026151881261899077
12,ebea3d7c9861b3bce4952b0565906b1857c9009d,Ori Livneh,2015-12-27 21:33:21+00:00,Bump version to 0.5,False,2,1,1,,,,180,71,84,8,1.1666666666666667,86.2847178458404,13.5,16.5,78.45564378569723,1.925,302.05422857493437,16.780790476385242,0.026151881261899077
13,624fa6e062a5b845424edebed4573ab3cd8a67b6,Itay Bookstein,2015-12-29 10:28:55+00:00,Added support for pre-Vista Windows versions using GetTickCount,False,71,52,19,1.0,1.0,1.0,226,97,108,20,1.25,83.77730904974169,18.5,24.0,125.02688077509481,2.962962962962963,740.900034222784,41.16111301237689,0.0416756269250316
14,8206bb7df4cb32646611c56f77162550f26d886a,Itay Bookstein,2015-12-29 21:05:02+00:00,Changed AttributeError flow control to getattr-with-default-argument,False,7,4,3,,,,227,97,108,20,1.25,83.77730904974169,18.5,24.0,125.02688077509481,2.962962962962963,740.900034222784,41.16111301237689,0.0416756269250316
15,a36e31abfdb2199cf9c6161f49c097a7f2fa5388,Erik Olof Gunnar Andersson,2016-01-07 12:53:38+00:00,regex module no longer needed,False,1,0,1,,,,179,70,83,8,1.1666666666666667,86.35541251939668,13.5,16.5,78.45564378569723,1.925,302.05422857493437,16.780790476385242,0.026151881261899077
16,945f25554575287808cfb0682096ef7e3d8bdc38,Ori Livneh,2016-01-24 11:48:28+00:00,Bump version to 0.6,False,2,1,1,,,,213,87,100,20,1.3333333333333333,84.31066989886443,18.5,24.0,125.02688077509481,2.962962962962963,740.900034222784,41.16111301237689,0.0416756269250316
17,54ccfc8a9fbeec43117063cb55dd1164508fcbb2,Ori Livneh,2016-03-04 19:00:34+00:00,"1.0

- Update 'Development Status' trove classifier to 'Production/Stable'
- Update README.md to include a link to the MSDN reference page for
  GetTickCount.
- Alphabetize imports.",False,51,26,25,,,,213,87,100,20,1.3333333333333333,84.31066989886443,18.5,24.0,125.02688077509481,2.962962962962963,740.900034222784,41.16111301237689,0.0416756269250316
18,566b60d380c6564bdba829fc191aa602d453a09d,Ori Livneh,2016-04-25 21:09:29+00:00,"trove classifiers should be a list, not a tuple",False,4,2,2,,,,213,87,100,20,1.3333333333333333,84.31066989886443,18.5,24.0,125.02688077509481,2.962962962962963,740.900034222784,41.16111301237689,0.0416756269250316
19,2af099a0c5a92069b56849a17fe6be437164dbdf,Ori Livneh,2016-04-25 21:23:30+00:00,"Cut 1.1 release

No code changes, but have to cut a new version in order to update files on
PyPI. Specifically, I want to upload a universal wheel on top of the existing
(2.x-specific) file.",False,2,1,1,,,,213,87,100,20,1.3333333333333333,84.31066989886443,18.5,24.0,125.02688077509481,2.962962962962963,740.900034222784,41.16111301237689,0.0416756269250316
20,e736ba2f2facfbd75291cdeb537d6e0b197d0ca8,Marcus Furlong,2016-07-07 07:16:38+00:00,"fix 'No such file or directory' error on cygwin

closes #18",False,5,4,1,,,,216,90,103,21,1.3333333333333333,84.0808190382622,18.5,24.0,125.02688077509481,2.962962962962963,740.900034222784,41.16111301237689,0.0416756269250316
21,8447153178046158fe10d927cd358e0088587bca,Ori Livneh,2016-08-03 16:47:19+00:00,Cut 1.2,False,2,1,1,,,,216,90,103,21,1.3333333333333333,84.0808190382622,18.5,24.0,125.02688077509481,2.962962962962963,740.900034222784,41.16111301237689,0.0416756269250316
22,c50305e7f0ace48dbf96ee696885bd2b097ba1ac,bthery,2017-02-20 13:36:41+00:00,"Add support for IBM AIX 

In IBM AIX, CLOCK_MONOTONIC has value 10 and clockid_t type is long long.",False,2,2,0,,,,218,92,105,21,1.3333333333333333,83.91097459732507,18.5,24.0,125.02688077509481,2.962962962962963,740.900034222784,41.16111301237689,0.0416756269250316
23,5c0322dc559bf961f7e111d97cd3ed9ab5c1a73b,Ori Livneh,2017-03-14 15:46:32+00:00,1.3 (add support for AIX),False,28,14,14,,,,218,92,105,21,1.3333333333333333,83.91097459732507,18.5,24.0,125.02688077509481,2.962962962962963,740.900034222784,41.16111301237689,0.0416756269250316
24,e2d1b74d9cd5fe10cc7a00c37eb4780a28b02794,Glen Walker,2017-06-07 01:56:42+00:00,"Include cause exception details in RuntimeError

If there is any kind of error when importing monotonic a generic RuntimeError is raised, with the description 'no suitable implementation for this system'. We very occasionally see this on a system where monotonic otherwise works correctly. I suspect ctypes.util.find_library is occasionally failing (as it executes ldconfig under the hood), but it is difficult to tell because details of the cause are lost, and replaced with the generic error message. Include details of the cause exception in the RuntimeError description so this information is not lost.",False,4,2,2,,,,218,92,105,21,1.3333333333333333,83.79678987435753,19.5,25.5,134.77775658098733,2.9310344827586206,790.0765040954429,43.893139116413494,0.04492591886032911
25,c7b91523e1d05921a23ecf6000d7b4b61d825d41,Jeff Walter,2017-09-08 16:07:52+00:00,Changed exception handler to catch everything because load_library() raises a RunTimeException if it can't find the library.,False,2,1,1,,,,218,92,105,21,1.3333333333333333,83.91097459732507,18.5,24.0,125.02688077509481,2.962962962962963,740.900034222784,41.16111301237689,0.0416756269250316
26,1f1e9d663aaf7cc2cabf8207e4b08e9dd30e8bf1,Ori Livneh,2017-10-30 18:54:00+00:00,"Update monotonic.py

Trimmed extra space from exception message",False,2,1,1,,,,218,92,105,21,1.3333333333333333,83.79678987435753,19.5,25.5,134.77775658098733,2.9310344827586206,790.0765040954429,43.893139116413494,0.04492591886032911
27,9b843d4826a0210875435bbac7f801ce7beecf93,Ori Livneh,2017-10-30 19:03:14+00:00,1.4,False,2,1,1,,,,218,92,105,21,1.3333333333333333,83.79678987435753,19.5,25.5,134.77775658098733,2.9310344827586206,790.0765040954429,43.893139116413494,0.04492591886032911
28,7aa14d07b5415f44aabc138e0b235a186b0620c2,Julien Danjou,2018-05-03 20:37:55+00:00,"Only import modules if needed

Some platforms such as Google App Engine blacklist ctypes modules. If
time.monotonic is available, don't import a bunch of useless and potentially
unavailable module.

See https://github.com/jd/tenacity/issues/116",False,10,5,5,,,,218,92,105,21,1.3333333333333333,83.79678987435753,19.5,25.5,134.77775658098733,2.9310344827586206,790.0765040954429,43.893139116413494,0.04492591886032911
29,5bd1bf90e5e49d4ce4f5a90b9c97de6934b9503c,Ori Livneh,2018-05-03 20:52:31+00:00,1.5,False,2,1,1,,,,218,92,105,21,1.3333333333333333,83.79678987435753,19.5,25.5,134.77775658098733,2.9310344827586206,790.0765040954429,43.893139116413494,0.04492591886032911
30,58160d03e9536d8a91c5d3abede7a1947607fcb6,Shengfa Lin,2021-01-08 00:32:50+00:00,"Fix order for converting mach absolute time

The numer and denum [1] on regular mac are both 1 and numer and denum on
arm64 are 125 and 3. monotonic.py seem to have the order backwards
for converting mach absolute time to nanoseconds according to [2].

[1] https://opensource.apple.com/source/xnu/xnu-792/osfmk/mach/mach_time.h.auto.html
[2] https://developer.apple.com/documentation/apple_silicon/addressing_architectural_differences_in_your_macos_code",False,5,3,2,1.0,1.0,1.0,219,93,106,21,1.3333333333333333,83.74432535913472,19.5,25.5,134.77775658098733,2.9310344827586206,790.0765040954429,43.893139116413494,0.04492591886032911
31,80681f6604e136e513550342f977edb98f5fc5ad,Ori Livneh,2021-04-09 20:54:26+00:00,1.6,False,2,1,1,,,,219,93,106,21,1.3333333333333333,83.74432535913472,19.5,25.5,134.77775658098733,2.9310344827586206,790.0765040954429,43.893139116413494,0.04492591886032911
