ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,e4f155052194f7d316db5e7c449b76acb58b96c7,dsc,2010-01-26 03:18:43+00:00,Initial commit,False,285,285,0,1.0,1.0,0.8113207547169812,285,72,77,10,3.0,69.24804726933593,5.5,6.0,20.756589711823786,0.75,31.13488456773568,1.7297158093186489,0.006918863237274595
1,a0c7fccff1a4f0239dfffef74dc91a39064db3bb,dsc,2010-01-26 05:06:39+00:00,Updates pypi metadata,False,10,4,6,,,,315,84,95,14,2.8181818181818183,74.49887017038454,5.666666666666667,6.0,17.007651475991505,0.8333333333333334,22.34155221254494,1.2411973451413856,0.005669217158663834
2,eafff151e70a85d3d904cd1571fa29769cb450ce,dsc,2010-01-26 05:26:01+00:00,Fixes setup to include license.,False,5,3,2,,,,315,84,95,14,2.8181818181818183,74.49887017038454,5.666666666666667,6.0,17.007651475991505,0.8333333333333334,22.34155221254494,1.2411973451413856,0.005669217158663834
3,915560fb45ff6dfe121ea511824fd1dfce733a65,dsc,2010-01-26 05:42:14+00:00,"Apparently if I listen to pypi and name my rst file .txt, I lose github formatting. WHATEVER.",False,3,2,1,,,,315,84,95,14,2.8181818181818183,74.49887017038454,5.666666666666667,6.0,17.007651475991505,0.8333333333333334,22.34155221254494,1.2411973451413856,0.005669217158663834
4,b877f0bf4db0f7813f087786d1fbacc3023ad797,dsc,2011-09-02 08:18:59+00:00,Adds transparent PyYAML dump/load support.,False,94,83,11,1.0,1.0,1.0,387,110,118,17,2.5,77.00327654892394,5.666666666666667,6.0,17.007651475991505,0.8333333333333334,22.34155221254494,1.2411973451413856,0.005669217158663834
5,5078e6a3e3f5cbdbdccf463179316ef9496c51d9,dsc,2011-12-27 20:42:13+00:00,Adds more documentation for new serialization support (JSON and YAML).,False,270,187,83,1.0,1.0,1.0,458,135,148,20,2.2941176470588234,78.23972940596289,6.666666666666667,7.0,22.20669961173033,1.0,39.658511721297195,2.2032506511831773,0.0074022332039101095
6,5b068a0548c815848f4489590902db2a6408a8ba,dsc,2012-02-16 01:38:31+00:00,Don't break the universe by using .toYAML() for .__str__().,False,2,1,1,,,,458,135,148,20,2.2941176470588234,78.23972940596289,6.666666666666667,7.0,22.20669961173033,1.0,39.658511721297195,2.2032506511831773,0.0074022332039101095
7,fab4fc9b6b7820fe1b4df351d6a5e521b890b1c6,Dariusz Suchojad,2012-02-22 21:53:57+00:00,"Made __contains__ correctly handle keys like None, True, False and similar.",False,8,7,1,,,,464,135,148,20,2.2941176470588234,77.84367945761541,6.666666666666667,7.0,22.20669961173033,1.0,39.658511721297195,2.2032506511831773,0.0074022332039101095
8,90bad4db45c796829219b93ae27ddd6606ca3646,Rotem Yaari,2012-03-09 20:29:34+00:00,bunch/test.py: return with nonzero if doctest failures exist,False,6,4,2,1.0,1.0,1.0,466,137,150,20,2.2941176470588234,77.84367945761541,6.666666666666667,7.0,22.20669961173033,1.0,39.658511721297195,2.2032506511831773,0.0074022332039101095
9,999659e59ce9edd56c74fa886fc2d799bf8463ed,Rotem Yaari,2012-03-09 20:36:35+00:00,"Python 3 Compatibility Fixes

* Dict methods (iterkeys, iteritems)
* Unicode literals
* Small doctest fixes",False,43,33,10,1.0,1.0,1.0,489,154,166,22,2.2222222222222223,80.6309218730593,5.75,6.0,17.843746584338614,0.875,30.338244728743327,1.6854580404857404,0.005947915528112872
10,7ef99aae6577a89fed53aeaf8df651dba84601ed,Rotem Yaari,2012-07-22 14:16:06+00:00,Forking bunch --> infi.bunch,False,30,16,14,,,,489,155,167,21,2.2222222222222223,83.96060044941404,4.6,4.8,14.27499726747089,0.7,24.27059578299466,1.3483664323885924,0.004758332422490298
11,90ce35b5c0e4a2f84a1f37ef0b256d34ecccb991,Guy Rozendorn,2014-01-01 11:58:23+00:00,renaming infi.bunch to chunk,False,464,231,233,,,,487,154,165,21,2.2222222222222223,79.99372235236453,5.75,6.0,17.843746584338614,0.875,30.338244728743327,1.6854580404857404,0.005947915528112872
12,ea24d398989539d29cd28779214fc30745a4e46d,Rotem Yaari,2014-01-05 07:53:04+00:00,"Fix tox, reorganize tests and add Makefile",False,43,41,2,,,,488,154,165,21,2.2222222222222223,83.99497788189163,4.6,4.8,14.27499726747089,0.7,24.27059578299466,1.3483664323885924,0.004758332422490298
13,5302953708627e99809de03514848af9fa0da8ae,Rotem Yaari,2014-01-05 08:23:35+00:00,Fix Py3 compatibility check,False,18,9,9,,,,488,154,165,21,2.2222222222222223,83.99497788189163,4.6,4.8,14.27499726747089,0.7,24.27059578299466,1.3483664323885924,0.004758332422490298
14,ab85944adf5d79955960dd64903c7976fb3f4892,Rotem Yaari,2014-01-16 12:51:23+00:00,Rename to Munch,False,323,106,217,,,,488,154,165,21,2.2222222222222223,83.99497788189163,4.6,4.8,14.27499726747089,0.7,24.27059578299466,1.3483664323885924,0.004758332422490298
15,037c0a9ea4ca5f51f98e521e77c9830348566ba9,Rotem Yaari,2014-01-16 12:58:48+00:00,v2.0.1,False,4,2,2,,,,488,154,165,21,2.2222222222222223,83.99497788189163,4.6,4.8,14.27499726747089,0.7,24.27059578299466,1.3483664323885924,0.004758332422490298
16,1e1cf5a56dda7deadaf3faf5fe1be0cbd8fa3b40,Rotem Yaari,2014-01-16 13:07:09+00:00,Fix packaging manifest,False,4,2,2,,,,488,154,165,21,2.2222222222222223,83.99497788189163,4.6,4.8,14.27499726747089,0.7,24.27059578299466,1.3483664323885924,0.004758332422490298
17,9cb76cb68227b81fe26c535693fe34d3aa866f21,Rotem Yaari,2015-01-26 13:56:53+00:00,Add support for running dir() on munches,False,12,12,0,1.0,1.0,1.0,500,161,172,22,2.1,83.74423259803535,4.333333333333333,4.5,12.68831230658632,0.6666666666666666,20.62173711100917,1.145652061722732,0.0042294374355287745
18,0c46109a35eecaa9f76432a7cbbc0d06111d2b9f,Rotem Yaari,2015-08-25 20:07:34+00:00,Update setup.py,False,2,2,0,,,,502,161,174,22,2.1,83.68798143139111,4.333333333333333,4.5,12.68831230658632,0.6666666666666666,20.62173711100917,1.145652061722732,0.0042294374355287745
19,30e48479ea7ed781b9661baa47ce30acfa0a502b,Rotem Yaari,2015-10-02 18:58:07+00:00,Python 3.5 support,False,4,3,1,,,,503,161,175,22,2.1,83.6613610932424,4.333333333333333,4.5,12.68831230658632,0.6666666666666666,20.62173711100917,1.145652061722732,0.0042294374355287745
20,390f27fd1f0b51577a93f5c6ad6a23c0c26ea4ea,Rotem Yaari,2015-10-02 19:17:29+00:00,Fix doctests,False,36,14,22,,,,496,161,175,22,2.1,83.88561580893679,4.333333333333333,4.5,12.68831230658632,0.6666666666666666,20.62173711100917,1.145652061722732,0.0042294374355287745
21,c49381e9247125bcf622a8d5bb0f04e63193a6d0,Rotem Yaari,2015-10-02 19:24:19+00:00,v2.0.3,False,2,1,1,,,,496,161,175,22,2.1,83.88561580893679,4.333333333333333,4.5,12.68831230658632,0.6666666666666666,20.62173711100917,1.145652061722732,0.0042294374355287745
22,ec379b3f0c05dfc469fa03b8e637602a8804aaf5,Rotem Yaari,2015-10-02 19:35:25+00:00,Stop taking long rst description from README markdown,False,3,1,2,,,,495,161,174,22,2.1,83.91223614708548,4.333333333333333,4.5,12.68831230658632,0.6666666666666666,20.62173711100917,1.145652061722732,0.0042294374355287745
23,3baffddaa3b195f3e50f7ec20be607520aae497b,Oded Badt,2015-11-03 11:45:29+00:00,Fixed String representation of objects with keys that have spaces,False,23,18,5,1.0,1.0,1.0,508,171,183,22,2.0454545454545454,81.08464108790788,4.833333333333333,5.5,15.773274807307478,0.8333333333333334,26.041662112451487,1.4467590062473048,0.005257758269102492
24,e65ad8fed1e077825daf0cde4b1d2e74cc060ea8,Oded Badt,2015-11-03 12:05:14+00:00,Fixed tests,False,15,13,2,1.0,1.0,1.0,519,175,187,22,2.1818181818181817,80.74550265149617,6.0,7.0,23.824157193278513,0.9166666666666666,50.928061729951075,2.829336762775059,0.007941385731092838
25,b68ce98bf1d431db952ee26b8da59582df760295,Oded Badt,2015-11-03 12:31:54+00:00,Fixed some edge cases,False,23,8,15,0.0,0.0,0.0,512,168,180,22,2.0,80.93096725089838,4.5,5.0,13.424812503605784,0.8333333333333334,21.34473750504809,1.1858187502804498,0.004474937501201928
26,2a62f93e0d6cb76d9219a4af96e5421e2ccc5588,Rotem Yaari,2015-11-03 15:20:08+00:00,Modernize tests,False,24,8,16,,,,504,164,176,22,2.0,80.94083467031538,5.333333333333333,6.5,19.92566360843594,0.8055555555555555,29.366298352974685,1.6314610196097048,0.006641887869478648
27,d125edf9b3d74278e807a813074d58fa30431c2f,Rotem Yaari,2015-11-03 15:21:04+00:00,v2.0.4,False,2,1,1,,,,504,164,176,22,2.0,80.94083467031538,5.333333333333333,6.5,19.92566360843594,0.8055555555555555,29.366298352974685,1.6314610196097048,0.006641887869478648
28,734460414667af37c8632be84cbb228750c696ef,Jacob Magnusson,2015-12-01 08:08:42+00:00,"Fix tests and use standard py.test tests instead
Doctests were failing on all python versions. This PR fixes that.

Also fixes PEP-8 formatting, auto-lints with flake8 in tox and adds an .editorconfig.",False,367,280,87,1.0,1.0,1.0,629,262,272,17,1.6176470588235294,59.23422922594686,19.2,30.6,165.59629730491207,1.1041666666666667,365.78951412158887,20.321639673421604,0.05519876576830403
