ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,bbace57408935bc323cf90a0d8ae39234038927e,Rob Speer,2012-08-03 19:52:49+00:00,a new OrderedSet based on an ActiveState recipe,False,113,113,0,1.0,0.7586206896551724,1.0,113,77,73,0,2.0,62.48310060559309,45.0,58.0,318.52747958712115,5.428571428571429,1729.149174901515,96.06384305008416,0.10617582652904038
1,ad41641bee1dc8218fafba50ce88b0791c55c2bb,Rob Speer,2012-08-17 21:30:03+00:00,"make OrderedSet.index take a list, performing the inverse of __getitem__",False,2,2,0,1.0,1.0,1.0,115,79,75,0,2.125,61.76472524167811,45.0,58.0,318.52747958712115,5.428571428571429,1729.149174901515,96.06384305008416,0.10617582652904038
2,a405eb53863ab2e98c4fe1336479d9534e2573b3,Jason Bernardino Alonso,2012-08-17 21:54:30+00:00,Packaging ordered-set for release,False,33,33,0,,,,129,82,88,0,2.125,80.88236262083905,22.5,29.0,159.26373979356057,2.7142857142857144,864.5745874507575,48.03192152504208,0.05308791326452019
3,096da045766b74fe35ced29169159c74e13ec140,Rob Speer,2012-08-17 22:07:24+00:00,add README,False,23,21,2,,,,131,82,88,0,2.125,81.25819503395878,22.5,29.0,159.26373979356057,2.7142857142857144,864.5745874507575,48.03192152504208,0.05308791326452019
4,aebb5dcb95aea4b9a40eab0a565f5d5edb192dee,Rob Speer,2013-08-06 17:47:20+00:00,alias 'append' to 'add' for compatibility,False,1,1,0,,,,132,83,89,0,2.125,81.14994143558879,22.5,29.0,159.26373979356057,2.7142857142857144,864.5745874507575,48.03192152504208,0.05308791326452019
5,0a016a8d08045a768dbdef7836700fde7ee531f8,Rob Speer,2013-08-06 17:48:02+00:00,Update setup.py (version 1.0.1),False,7,3,4,,,,131,82,88,0,2.125,81.14994143558879,22.5,29.0,159.26373979356057,2.7142857142857144,864.5745874507575,48.03192152504208,0.05308791326452019
6,3347130e337638e9b34e505c86f108662c619e77,Rob Speer,2013-08-06 19:16:12+00:00,"Add documentation and tests. Remove .discard(), which can't work.",False,86,62,24,1.0,1.0,1.0,169,92,97,0,1.7894736842105263,74.71655985480642,15.666666666666666,20.666666666666668,95.59153741896876,4.020833333333333,535.5694093139356,29.753856072996417,0.03186384580632292
7,322bba451212cfff2760793cb4cfdd2e8e0bdfec,Rob Speer,2013-08-06 19:16:41+00:00,Version bump to 1.1.,False,2,1,1,,,,169,92,97,0,1.7894736842105263,74.71655985480642,15.666666666666666,20.666666666666668,95.59153741896876,4.020833333333333,535.5694093139356,29.753856072996417,0.03186384580632292
8,7fd32f262c8f51cb3c4eb60f19226cd3a83ae711,Jelte Fennema,2014-01-17 21:35:31+00:00,Fix URL in setup.py,False,2,1,1,,,,169,92,97,0,1.7894736842105263,74.71655985480642,15.666666666666666,20.666666666666668,95.59153741896876,4.020833333333333,535.5694093139356,29.753856072996417,0.03186384580632292
9,4cbd2453310fbab81bb2b011aab08365cc9062e1,Rob Speer,2014-02-13 22:12:14+00:00,python 3 compatibility: recognize that strings now have __iter__,False,2,1,1,,,,169,92,97,0,1.8421052631578947,74.53017003141282,16.666666666666668,22.333333333333332,105.92366780985202,4.0,582.9213079580664,32.38451710878147,0.035307889269950675
10,555f172c8cd22f328420f9c8d30ab9df467b5bb7,Rob Speer,2014-05-23 18:09:33+00:00,Fix string handling on Python 3,False,31,27,4,1.0,1.0,1.0,192,102,106,0,1.85,73.37113253470726,16.666666666666668,22.333333333333332,105.92366780985202,4.0,582.9213079580664,32.38451710878147,0.035307889269950675
11,a18dc1abe7bd792eb2f45d821748fbcc922e5291,Rob Speer,2014-05-23 18:11:11+00:00,"Fix PyPI URL, bump version",False,4,2,2,,,,192,102,106,0,1.85,73.37113253470726,16.666666666666668,22.333333333333332,105.92366780985202,4.0,582.9213079580664,32.38451710878147,0.035307889269950675
12,7503d88c67b1bbf3eca4acb8b579ccec07176f89,Rob Speer,2014-07-21 18:55:52+00:00,"Support pickling the empty OrderedSet

Fixes #5.",False,27,23,4,1.0,1.0,1.0,211,113,117,6,1.9047619047619047,72.21391542205369,18.666666666666668,25.333333333333332,124.24675364471427,3.719235364396655,654.3934758737332,36.35519310409629,0.04141558454823809
13,95278fef7ab978fb09236b99dfa1273bcbc4e157,Andrew Magee,2014-10-08 09:54:15+00:00,return False for __eq__ where other isn't iterable,False,8,7,1,1.0,1.0,1.0,217,118,122,7,2.0,72.01266432223339,18.666666666666668,25.333333333333332,124.24675364471427,3.719235364396655,654.3934758737332,36.35519310409629,0.04141558454823809
14,23f8f67fa801e21b5fa927d73f2fa111fc70cdf3,Rob Speer,2015-04-21 18:56:09+00:00,add pypy3 to tox; add Trove classifiers,False,11,10,1,,,,226,118,131,7,2.0,72.01266432223339,18.666666666666668,25.333333333333332,124.24675364471427,3.719235364396655,654.3934758737332,36.35519310409629,0.04141558454823809
15,69c7b97bfc3a4252814957ca7c08e4a75831cd09,Rob Speer,2015-04-21 19:05:32+00:00,Bump version to 1.3.1 to get classifiers into PyPI,False,3,2,1,,,,226,118,131,7,2.0,72.01266432223339,18.666666666666668,25.333333333333332,124.24675364471427,3.719235364396655,654.3934758737332,36.35519310409629,0.04141558454823809
16,e546b82956455ba4c5510837c7527efdfc8dec47,Miroslav Suchý,2015-09-07 12:48:35+00:00,"Include license file in resulting tar.gz

I am going to package this module for Fedora. And it is better for Fedora if tar.gz file contains the file with the license (it is better for auditing). Can you please include it with next version?",False,2,2,0,,,,228,119,133,7,2.0,72.01266432223339,18.666666666666668,25.333333333333332,124.24675364471427,3.719235364396655,654.3934758737332,36.35519310409629,0.04141558454823809
17,218c0ff8a2dfb97fdc9b457fab18bc39d684ffdb,Toilal,2015-09-17 05:26:54+00:00,Implement discard and clear methods,False,40,37,3,1.0,1.0,1.0,260,146,156,7,1.9583333333333333,68.54963943361719,27.666666666666668,39.333333333333336,211.1343767979121,4.117985125084517,1304.1359150486903,72.45199528048279,0.07037812559930402
18,e66ac5f6620b11bcb621b51ba2744efc882fe666,Rob Speer,2015-09-17 17:56:55+00:00,"Fix and test distinction between .discard and .remove

Added some docstrings along the way",False,42,32,10,0.0,1.0,1.0,284,156,165,10,1.96,72.07747849514244,28.333333333333332,40.333333333333336,217.90185691965033,4.106002554278416,1341.675959937027,74.53755332983484,0.0726339523065501
19,9a6e24fef6e5d49d9dfbbf8654a4cac32b8a845d,Rob Speer,2015-09-17 17:58:42+00:00,add test_suite to setup.py,False,2,2,0,,,,286,156,167,10,1.96,72.07747849514244,28.333333333333332,40.333333333333336,217.90185691965033,4.106002554278416,1341.675959937027,74.53755332983484,0.0726339523065501
20,dd468521c53c69104c1ddabaedcd20278e738a7c,Rob Speer,2015-09-17 17:59:04+00:00,bump version to 1.4.0,False,2,1,1,,,,286,156,167,10,1.96,72.07747849514244,28.333333333333332,40.333333333333336,217.90185691965033,4.106002554278416,1341.675959937027,74.53755332983484,0.0726339523065501
21,f6e378a3796c776092f6bb174866027777d1b3a9,Toilal,2015-09-18 05:34:03+00:00,bump version to 1.4.0,False,2,1,1,,,,286,156,167,10,1.96,72.07747849514244,28.333333333333332,40.333333333333336,217.90185691965033,4.106002554278416,1341.675959937027,74.53755332983484,0.0726339523065501
22,ed5458ac3f4baf5c65e3fa9c366e440e346c9aed,Most Wanted,2015-11-10 15:11:34+00:00,Add update() method implementation. Add pop() method implementation,False,51,50,1,1.0,1.0,1.0,335,187,196,11,1.9310344827586208,69.83220351879291,32.333333333333336,47.333333333333336,264.9108428635764,4.236842105263158,1678.012148846544,93.22289715814134,0.08830361428785882
23,c4c14abbcbac22ff6d4dbbf1af577b01d4940d8d,Most Wanted,2015-11-11 09:02:06+00:00,Change update behaviour,False,4,2,2,,,,335,187,196,10,1.9310344827586208,69.80117136554001,33.0,48.333333333333336,271.8749813818998,4.223684210526316,1720.0445790463461,95.55803216924146,0.09062499379396659
24,594f0c850d536b180c0eeb10a781caebeb1a06a2,Rob Speer,2015-11-16 18:26:01+00:00,Fix docstrings and error handling,False,21,10,11,0.0,0.0,0.0,334,186,195,10,1.9310344827586208,69.78978835722147,33.0,48.333333333333336,271.8749813818998,4.223684210526316,1720.0445790463461,95.55803216924146,0.09062499379396659
25,47ceb878483880e321ce40462a0e2e1c43c0f86a,Rob Speer,2015-11-16 18:28:21+00:00,test that update() works with existing elements,False,12,9,3,1.0,1.0,1.0,340,191,200,10,1.9310344827586208,69.20471676529392,34.666666666666664,51.333333333333336,292.6225721979094,4.203488372093023,1833.2216428445138,101.84564682469522,0.09754085739930314
26,93d77ea407c34a4c36fd55a59552ed55640f32f6,Leonard Kleinhans,2015-12-12 00:20:37+00:00,Treat tuple as non iterable for fancy indexing since it is a possible key,False,5,3,2,,,,341,191,200,10,1.9655172413793103,69.08155745577014,35.333333333333336,52.333333333333336,299.64790799392836,4.191583610188261,1875.6413881859996,104.20229934366664,0.09988263599797613
27,fced611fe67e383f32c2dbfc3f93ef3636f6e298,Rob Speer,2015-12-15 19:38:51+00:00,update tests for tuples,False,11,10,1,1.0,1.0,1.0,350,197,206,10,1.9333333333333333,68.73760519037488,35.333333333333336,52.333333333333336,299.64790799392836,4.191583610188261,1875.6413881859996,104.20229934366664,0.09988263599797613
28,31569949abb6bae4dbc275921a34f3b930978e61,Rob Speer,2015-12-15 19:39:13+00:00,"version 2.0 because we made an API change to tuples

The README now also describes the ""fancy indexing"" that was there all
along, even though it doesn't apply to tuples anymore.",False,4,3,1,,,,350,197,206,10,1.9333333333333333,68.73760519037488,35.333333333333336,52.333333333333336,299.64790799392836,4.191583610188261,1875.6413881859996,104.20229934366664,0.09988263599797613
29,65ef757cd41dbae6cdf96580b5f7d3b9d05a564a,Rob Speer,2016-03-29 18:00:31+00:00,bump version to 2.0.1 to fix inconsistent version,False,8,4,4,,,,350,197,206,10,1.9333333333333333,68.73760519037488,35.333333333333336,52.333333333333336,299.64790799392836,4.191583610188261,1875.6413881859996,104.20229934366664,0.09988263599797613
30,2e5653ab1c9b961d2637f5bc43bf24dd8167505c,Rob Speer,2016-05-24 16:49:29+00:00,Make .discard run efficiently. Fixes #19.,False,2,1,1,,,,350,197,206,10,1.9333333333333333,68.73760519037488,35.333333333333336,52.333333333333336,299.64790799392836,4.191583610188261,1875.6413881859996,104.20229934366664,0.09988263599797613
