ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,a2f90a578b88febfa8d878c419fd08c22807fba2,Sergio Correia,2016-03-30 07:02:12+00:00,Setup File,False,116,116,0,,,,116,9,86,49,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1221da9c3b5e163550f87348846306571eb0678b,Sergio Correia,2016-04-09 01:41:54+00:00,interim (1/3),False,1244,1244,0,0.9227053140096618,0.7584541062801933,0.5748792270531401,613,288,395,101,2.5185185185185186,78.06183165821363,18.25,30.0,161.35503106512218,1.9673913043478262,826.0654024055979,45.892522355866554,0.05378501035504073
2,03e48aa906248c3bb4026f87d4aa1136b2b72f07,Sergio Correia,2016-04-20 01:04:30+00:00,asd,False,8901,8586,315,0.4339622641509434,0.5283018867924528,1.0,1034,521,566,133,2.087719298245614,85.82379591151025,17.142857142857142,34.285714285714285,218.04386740818333,1.4945054945054945,1729.5117241831488,96.08398467684161,0.0726812891360611
3,24eb8505b71c1994950d9f6c791bdce3e1d5e289,Sergio Correia,2016-04-21 06:23:25+00:00,"asd

asd",False,247,200,47,0.8382352941176471,0.6176470588235294,0.8970588235294118,1164,604,649,146,2.114503816793893,83.3151289666807,20.571428571428573,40.285714285714285,262.8146587953274,1.6107470511140236,2046.5866881070378,113.699260450391,0.08760488626510912
4,55b2558b1fdb3c01713c5c47f263ee1691865170,Sergio Correia,2016-04-22 06:05:20+00:00,"io, test, pep8

done:
- finish io.py
- better test suite
- pep8 compat

missing:
- tools.py: walk, stringify?, and others from pandocfilters
- tools.py: shell, minimarkdown, the YAML one (from media.py)
- update README to final version",False,8138,198,7940,0.2727272727272727,1.0,0.0,1192,595,678,132,2.0775193798449614,82.43205835587327,18.375,34.875,228.6122910317652,1.4125,1805.7321188412755,100.31845104673752,0.0762040970105884
5,550ef81f3962e17345b20d5b6a48c1ddd28d22f4,Sergio Correia,2016-04-23 06:18:00+00:00,"examples, tests, and misc code improvements",False,2259,2119,140,0.2899884925201381,0.4579976985040276,0.32105868814729577,2687,1490,1727,164,2.608695652173913,77.52634357359682,25.970588235294116,43.588235294117645,242.77744182119477,2.0043756393970646,1142.7905707496486,63.48836504164715,0.08092581394039826
6,96a60c8f0ace49527f7eb36694ec9666a1f85c39,Sergio Correia,2016-04-25 06:22:58+00:00,0.99,False,627,537,90,0.5337837837837838,0.7635135135135135,0.46621621621621623,3001,1674,1930,206,2.67420814479638,76.52118668592449,26.885714285714286,44.628571428571426,248.06751920630438,2.1091071157597714,1191.7433707122875,66.20796503957153,0.08268917306876815
7,8cdc887eda650ff8855f97374a1d1b23c0a8153f,Sergio Correia,2016-04-25 19:23:46+00:00,moved filters to own repo,False,333,85,248,0.9444444444444444,0.0,0.7222222222222222,2908,1629,1869,200,2.688073394495413,76.53466365169959,27.558823529411764,45.94117647058823,256.44773329649763,2.185743436157934,1248.6460077352967,69.36922265196094,0.08548257776549922
8,abc5b12e99722d16bc28eee83cd613a16979cc11,Sergio Correia,2016-04-26 03:44:51+00:00,added header example,False,215,215,0,1.0,1.0,1.0,2919,1638,1878,200,2.689497716894977,76.27478623351305,27.057142857142857,44.97142857142857,250.25960197770192,2.172273215533014,1214.922887700671,67.49571598337062,0.08341986732590066
9,36bbf3fd68eeeb7980a242fa611387fec8d8f58b,Sergio Correia,2016-04-27 10:46:50+00:00,Documentation templates almost complete,False,1040,1037,3,,,,3287,1669,1931,378,2.689497716894977,76.94185764536797,26.305555555555557,43.72222222222222,243.3079463672102,2.111932292879319,1181.1750297089857,65.62083498383254,0.08110264878907009
10,427ed48f87c84e6f1dc7b0ffcbaddab502038779,Sergio Correia,2016-04-27 19:33:14+00:00,(interim changes),False,415,268,147,1.0,0.8,0.0,3376,1681,1942,384,2.7077625570776256,76.98567601230998,26.52777777777778,44.138888888888886,246.86732304988845,2.109181643069846,1208.0057488025586,67.11143048903105,0.08228910768329617
11,a3dbf09e21720f375880cf709c0500fa5884cf9f,Sergio Correia,2016-04-27 21:38:18+00:00,"Fix documentation

Missing for v1.1

- Replace nested items with TableRow and similar elements
- Simpler validation
- Finish user guide

Missing for v1.2

Replace .items by an object that keeps track of insertions and other
changes. This allows .next .parent .prev properties.

Alternatively, maintain a paralel tree with etree so we can query with
xpath and css selectors",False,35,31,4,,,,3402,1693,1955,387,2.6622222222222223,76.97903026353946,26.52777777777778,44.138888888888886,246.86732304988845,2.109181643069846,1208.0057488025586,67.11143048903105,0.08228910768329617
12,e83ee7c67a065b09ce7cdbd176af0e9288648a23,Sergio Correia,2016-04-30 22:18:51+00:00,"Update to 1.1

- Added navigation items (.parent .next)
- Large refactoring, with added classes, larger documentation, etc.

Missing:
- Port existing filters
- User guide including examples
- More bug checks",False,1901,1292,609,1.0,1.0,1.0,3993,1893,2125,415,2.359073359073359,76.1198669882031,25.263157894736842,40.86842105263158,220.8024887044111,2.186599345230357,964.2901104992959,53.571672805516435,0.07360082956813704
13,ef48c6e6650a8e1c42cb9c80d6be01bbbf3813f7,Sergio Correia,2016-04-30 23:39:55+00:00,Updated examples,False,110,80,30,0.4090909090909091,1.0,1.0,4058,1941,2175,416,2.366412213740458,75.60967034438615,25.128205128205128,40.51282051282051,218.13299049563028,2.207455772275732,948.5410352476696,52.69672418042608,0.07271099683187676
14,379f0229b2616fb2ecab13eb0d79eebed5e5e685,Sergio Correia,2016-05-01 02:09:32+00:00,"Refactored walk()

- Not its a method, so we can do

elem = elem.walk()",False,100,31,69,1.0,0.8823529411764706,0.8823529411764706,4020,1924,2158,409,2.363984674329502,75.73683488251645,25.153846153846153,40.51282051282051,218.65572525586373,2.18365421151765,958.2506038592607,53.236144658847806,0.07288524175195459
15,4034304dee6c58c7cdc32afbbded5e37caef747e,Sergio Correia,2016-05-01 02:30:52+00:00,Port one example filter,False,32,30,2,1.0,1.0,1.0,4048,1941,2174,409,2.3740458015267176,76.10499166314541,24.7,39.725,213.82098698193008,2.141562856229709,934.6101661915105,51.92278701063947,0.07127366232731004
16,2c91e23318d31a97c2f91bb38641ec67fddf0922,Sergio Correia,2016-05-02 03:58:40+00:00,"Improve documentation, tweak helper functions",False,181,154,27,0.0,0.0,0.0,4145,1957,2189,415,2.3931297709923665,75.9278439252243,24.85,40.1,216.28509767267192,2.1684497866383783,963.8444314301672,53.546912857231504,0.07209503255755732
17,5eb01d8297c3e57293a0ae374ad76b14c410e03a,Sergio Correia,2016-05-05 08:43:59+00:00,set metadata as first class elements,False,915,616,299,1.0,1.0,0.5,4359,2099,2326,429,2.258503401360544,75.96064892935544,23.46511627906977,37.674418604651166,200.4284781231053,2.128331043484368,877.6368360481705,48.757602002676144,0.06680949270770177
18,7e06b746f0e36e1d442752946a6782d3102f129e,Sergio Correia,2016-05-07 18:34:07+00:00,Final documentation,False,4637,922,3715,0.8089171974522293,0.6687898089171974,0.7834394904458599,4877,2333,2548,448,2.283489096573209,78.73237832581954,20.81132075471698,32.75471698113208,172.81731378326083,1.9570601134796126,777.2295161486043,43.179417563811356,0.05760577126108696
19,ad455e03143e7154ad85c96bd32a321db5d406e1,Sergio Correia,2016-05-10 07:04:50+00:00,ported remaining filters,False,661,304,357,1.0,1.0,1.0,4824,2292,2497,447,2.24375,78.6005753991636,21.307692307692307,33.13461538461539,176.03181866614852,2.041014075449911,823.3996319201883,45.74442399556602,0.058677272888716166
20,9066698a81fcb6116122ce0aea81ea3ec4fe2e85,Bvggy,2016-06-15 13:37:48+00:00,"Fix debug function (** argument convention)

Don't know why the previous notation produces a SyntaxError on my Python version (3.4.3 win32).",False,2,1,1,,,,4824,2292,2497,447,2.24375,78.6005753991636,21.307692307692307,33.13461538461539,176.03181866614852,2.041014075449911,823.3996319201883,45.74442399556602,0.058677272888716166
21,abf9fd3faf025f9ba34837808294f93d244bbdc4,Sergio Correia,2016-07-19 22:04:03+00:00,update setup for pypi compat,False,7,5,2,,,,4825,2292,2498,447,2.24375,78.6005753991636,21.307692307692307,33.13461538461539,176.03181866614852,2.041014075449911,823.3996319201883,45.74442399556602,0.058677272888716166
22,c0284a468023334e9e74d373b271ba03abe38781,Fred Sunvik,2016-07-27 12:36:39+00:00,Add support for returning lists from filter actions,False,9,7,2,0.0,0.0,0.0,4830,2294,2500,450,2.24375,78.59536902450155,21.307692307692307,33.13461538461539,176.03181866614852,2.041014075449911,823.3996319201883,45.74442399556602,0.058677272888716166
23,3cd3b6ec2680f8db813ef40e12fc14f4204b60f5,Sergio Correia,2016-07-28 14:14:53+00:00,Bump to 1.1 after @fredizzimo pr,False,11,9,2,,,,4830,2294,2500,450,2.24375,78.59536902450155,21.307692307692307,33.13461538461539,176.03181866614852,2.041014075449911,823.3996319201883,45.74442399556602,0.058677272888716166
