ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,62a1b6c916f26bd5240ab41a32662e4946907466,wong2,2016-01-17 04:23:00+00:00,init,False,219,219,0,1.0,1.0,0.8,151,79,96,5,2.1818181818181817,89.25044196675061,9.333333333333334,14.0,67.30296890880645,1.5555555555555556,314.0805215744301,17.44891786524612,0.02243432296960215
1,0f1be648527345069435028a3a7925cf13517800,wong2,2016-01-17 08:28:16+00:00,add tests,False,39,36,3,1.0,1.0,1.0,173,93,111,6,2.076923076923077,89.52682790630601,7.0,10.2,45.43502020498756,1.0333333333333334,190.97493237450993,10.609718465250552,0.015145006734995853
2,38bab1f33ff03936906435d5458765493e4c2c1c,wong2,2016-01-18 15:12:58+00:00,fix setup.py,False,4,2,2,,,,173,93,111,6,2.076923076923077,89.52682790630601,7.0,10.2,45.43502020498756,1.0333333333333334,190.97493237450993,10.609718465250552,0.015145006734995853
3,989a14b17d05106282a26e20b0fadc429aa4abed,wong2,2016-01-20 03:12:10+00:00,supports multiline title,False,6,4,2,0.0,1.0,1.0,175,95,113,7,2.1538461538461537,89.43981825686369,6.8,10.8,47.847226379174906,1.15,227.19505390707573,12.621947439281985,0.01594907545972497
4,254892d65c6a6a2a01b5faa369ae2f2ddf30a9f6,wong2,2016-01-20 08:25:51+00:00,Handle scroll if options is larger than terminal height,False,77,53,24,1.0,1.0,1.0,204,116,133,9,2.0,88.17708793512733,9.8,15.6,79.46721929405058,1.3545454545454545,469.3052239725733,26.072512442920736,0.026489073098016864
5,601a31de9c4175fcd112c3cee2248e490de55eb9,wong2,2016-01-20 08:37:26+00:00,Add more tests,False,24,22,2,1.0,1.0,1.0,224,133,150,9,1.85,84.81723657072492,11.4,18.0,90.82292093590267,1.3545454545454545,474.9830747934993,26.38794859963885,0.030274306978634223
6,ee737530a07bb43d51774d11ae547447bc62e766,wong2,2016-01-20 08:37:53+00:00,Add scroll example,False,10,10,0,,,,234,139,156,10,1.85,87.33161072922519,10.0,15.5,76.47824869694614,1.2121212121212122,396.2154696197631,22.01197053443128,0.025492749565648717
7,3f722b18676c7cb7f22b7b4e8743291c3fc5b664,wong2,2016-01-20 08:43:40+00:00,bump version,False,2,1,1,,,,234,139,156,10,1.85,87.33161072922519,10.0,15.5,76.47824869694614,1.2121212121212122,396.2154696197631,22.01197053443128,0.025492749565648717
8,3a554db7007513471adb8dd7859e5c0551550181,wong2,2016-02-22 04:07:51+00:00,update setup.py,False,5,3,2,,,,235,139,157,10,1.85,87.33161072922519,10.0,15.5,76.47824869694614,1.2121212121212122,396.2154696197631,22.01197053443128,0.025492749565648717
9,0f07e8deb6cfacd74e2bb5496523c30971c13c8e,wong2,2016-02-22 04:10:07+00:00,bump version,False,2,1,1,,,,235,139,157,10,1.85,87.33161072922519,10.0,15.5,76.47824869694614,1.2121212121212122,396.2154696197631,22.01197053443128,0.025492749565648717
10,955011bca0719f78d5964135f8b169b259d4a7be,wong2,2016-04-19 02:45:22+00:00,Implement register_custom_handler,False,8,8,0,1.0,0.0,0.5714285714285714,243,146,164,10,1.9047619047619047,87.01568305548373,10.166666666666666,16.0,79.58177539141556,1.2254901960784312,420.9061887024316,23.383677150135085,0.026527258463805187
11,079cf518326d355ba3b7a38b2d538f097134b6d4,wong2,2016-04-19 02:45:34+00:00,Add example for register_custom_handler,False,17,17,0,1.0,1.0,1.0,260,157,175,11,1.8636363636363635,87.74816849292058,9.0,14.0,68.49866462121334,1.1218487394957983,360.91959031637,20.051088350909435,0.022832888207071113
12,bcc7f1b6bc6b2ac438e8d2ee20985b3f629817bd,wong2,2016-04-20 03:04:11+00:00,bump version,False,2,1,1,,,,260,157,175,11,1.8636363636363635,87.74816849292058,9.0,14.0,68.49866462121334,1.1218487394957983,360.91959031637,20.051088350909435,0.022832888207071113
13,55b00636ab1fbd4240f798035ec9a6cd69fcc661,wong2,2016-05-24 04:32:55+00:00,truncate lines if too long,False,2,1,1,,,,260,157,175,11,1.8636363636363635,87.72521519479766,9.285714285714286,14.428571428571429,71.52693889066686,1.1071428571428572,374.1008477013581,20.78338042785322,0.02384231296355562
14,417b5f048881a440563fd986fef81ab85423bbd0,wong2,2016-05-24 04:33:09+00:00,bump version,False,2,1,1,,,,260,157,175,11,1.8636363636363635,87.72521519479766,9.285714285714286,14.428571428571429,71.52693889066686,1.1071428571428572,374.1008477013581,20.78338042785322,0.02384231296355562
15,28df407859a94e3af01dfe78121a33fdd93a10af,"Pfister, Andreas (GE Power)",2017-03-02 08:42:03+00:00,FINALLY added changes in code + a sample output of multi-select in readme,False,11,5,6,1.0,0.0,0.0,300,192,210,13,2.1666666666666665,86.15672247003523,11.857142857142858,18.714285714285715,99.78312164933449,1.3074534161490683,622.0219900401306,34.5567772244517,0.033261040549778166
16,98f3bdd52b6086c4d41c52a5cf0b55736d329c3c,"Pfister, Andreas (GE Power)",2017-03-02 08:42:03+00:00,* Added unit test for multiselect \n* Example output for multi_select in readme \n* simplifying some code,False,11,11,0,1.0,1.0,1.0,303,195,213,13,2.1666666666666665,86.11181708940221,11.571428571428571,18.285714285714285,96.59869479190282,1.3214285714285714,605.1681740879516,33.62045411599731,0.03219956493063427
17,11aeb3bdb61382ec3d3f35d7d05c0dd0b8c67a36,"Pfister, Andreas (GE Power)",2017-03-02 08:42:03+00:00,changed order of parameters to have full compatbility with 0.6.1,False,11,6,5,,,,292,185,203,13,2.217391304347826,86.96352464405724,10.714285714285714,17.0,89.49514905253366,1.3214285714285714,601.6164012182671,33.42313340101483,0.02983171635084456
