ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,c8d37e0ee2c8e1a8cc0798717cd6623eb54b890b,Giorgos Verigakis,2012-04-18 16:26:56+00:00,Initial commit,False,516,516,0,1.0,1.0,0.8085106382978723,408,225,247,73,1.9,81.64655288749597,13.142857142857142,24.285714285714285,111.79328211184335,2.433997524829443,592.668392981915,32.926021832328615,0.03726442737061445
1,65471d760934200f66f3ef3195569eaa58ffa929,Giorgos Verigakis,2012-04-18 17:25:42+00:00,Add a manifest file to include README.rst,False,3,2,1,,,,408,225,247,73,1.9,81.64655288749597,13.142857142857142,24.285714285714285,111.79328211184335,2.433997524829443,592.668392981915,32.926021832328615,0.03726442737061445
2,32afe021ea2dc44a11d03fae8a6c959fc7385a7f,Giorgos Verigakis,2012-04-20 15:09:29+00:00,"Remove logic from update of base classes, so subclasses don't have to call super",False,24,12,12,,,,408,224,247,73,2.0,81.5176084329569,13.571428571428571,25.0,116.8057310563503,2.5448060711218607,673.4054765050532,37.411415361391846,0.03893524368545011
3,c76da39d1ad914d1694eae6e356edce3d3922f1d,Giorgos Verigakis,2012-05-09 13:56:17+00:00,Use ANSI clear line instead of tracking line width,False,19,9,10,0.0,0.0,0.5,407,222,245,72,1.975609756097561,82.36284576560266,11.857142857142858,22.571428571428573,105.3202310522294,2.275575301891091,636.098517838155,35.338806546564165,0.03510674368407647
4,3a3dea70690c856b018a34014c9a7844c414d535,Giorgos Verigakis,2012-05-09 13:57:08+00:00,Add hide/show cursor support,False,24,24,0,1.0,1.0,0.5555555555555556,431,240,263,72,2.119047619047619,80.95352939828491,12.571428571428571,23.428571428571427,109.03500311213236,2.3470038733196623,642.778516999747,35.709917611097055,0.03634500103737746
5,a3fb1b4fccc794e94e0cd26a835289f121bd16c0,Giorgos Verigakis,2012-07-18 02:50:56+00:00,"Add a start method

Use it to show progress without advancing",False,39,23,16,1.0,1.0,1.0,438,245,268,72,2.022727272727273,80.87281443928161,11.857142857142858,21.714285714285715,97.98851325260635,2.06453634085213,461.4089229050214,25.63382905027897,0.03266283775086879
6,153733662f6f94538ef8edda767ea8e5fb35b195,Giorgos Verigakis,2012-07-28 01:26:53+00:00,Bump version,False,2,1,1,,,,438,245,268,72,2.022727272727273,80.87281443928161,11.857142857142858,21.714285714285715,97.98851325260635,2.06453634085213,461.4089229050214,25.63382905027897,0.03266283775086879
7,22dcfc24a765d354aa272506a631275e9991c272,Shawn Siefkas,2012-08-26 18:52:04+00:00,Fixing the eta logic,False,7,2,5,0.0,0.0,0.0,435,242,265,72,2.022727272727273,80.96278964377348,11.714285714285714,21.714285714285715,97.59887651990948,2.0903984098176474,468.5889720867987,26.03272067148882,0.03253295883996983
8,8f69000ab6f0a42b2da06ad38a0a8588f52afc8a,Giorgos Verigakis,2013-01-22 02:21:10+00:00,"Add a SIGINT handling mixin

Inspired by @glenbot's pull request",False,16,16,0,1.0,1.0,0.0,451,252,274,72,1.9787234042553192,80.45653551299884,11.714285714285714,21.714285714285715,97.59887651990948,2.0903984098176474,468.5889720867987,26.03272067148882,0.03253295883996983
9,84a67ab6cf8d626e9a73991687651df16faa5c91,Giorgos Verigakis,2013-01-22 02:47:43+00:00,"Optionally increment by more than 1 in next

Fixes #4",False,8,4,4,,,,451,252,274,72,1.9787234042553192,80.45653551299884,11.714285714285714,21.714285714285715,97.59887651990948,2.0903984098176474,468.5889720867987,26.03272067148882,0.03253295883996983
10,fc605a721702db76f67a761c9be1172ab8074fe7,Giorgos Verigakis,2013-01-22 02:53:41+00:00,"Encode to UTF8 before printing

Fixes issues with unicode in OSX 10.8",False,5,3,2,1.0,1.0,1.0,452,253,275,72,1.9787234042553192,80.41158870162043,11.714285714285714,21.714285714285715,97.59887651990948,2.0903984098176474,468.5889720867987,26.03272067148882,0.03253295883996983
11,32dc3db6f1686da3e765fdfd075068aeccd5691b,Giorgos Verigakis,2013-01-22 02:57:06+00:00,Bump version,False,2,1,1,,,,452,253,275,72,1.9787234042553192,80.41158870162043,11.714285714285714,21.714285714285715,97.59887651990948,2.0903984098176474,468.5889720867987,26.03272067148882,0.03253295883996983
12,41d5f916c166f893e7af6ec34890b10bb7193aa1,Giorgos Verigakis,2013-11-25 04:52:20+00:00,Fix Python 3 output,False,4,2,2,,,,452,253,275,72,1.9787234042553192,80.41158870162043,11.714285714285714,21.714285714285715,97.59887651990948,2.0903984098176474,468.5889720867987,26.03272067148882,0.03253295883996983
13,e5cffc8c72dbaddf972f72c3adea152ee36f806b,Giorgos Verigakis,2013-11-25 04:53:30+00:00,Add elapsed seconds,False,2,2,0,1.0,1.0,0.5,454,255,277,72,1.9787234042553192,80.31075194620847,12.0,22.571428571428573,102.86598200687368,2.1048589214972915,502.8863823934841,27.938132355193567,0.0342886606689579
14,8b02a5b59f93e226b73107d0a28eeab1695a4787,Giorgos Verigakis,2013-11-28 05:05:05+00:00,Allow custom properties in format strings,False,70,40,30,,,1.0,464,266,286,72,1.7692307692307692,79.85940021077917,11.857142857142858,21.571428571428573,97.24430562894507,2.06453634085213,457.50183288079967,25.41676849337776,0.03241476854298169
15,120b3e53b16302528397d28e97a3fd5b55213a6e,Giorgos Verigakis,2013-11-28 05:34:14+00:00,Refactor,False,67,26,41,0.0,0.0,0.058823529411764705,449,254,274,70,1.6981132075471699,80.44459560522606,10.0,16.571428571428573,68.25301043766358,1.7280701754385963,254.38893633754955,14.132718685419421,0.022751003479221193
16,723024a296d26a4bdb71de6c160ea593762c03d2,Giorgos Verigakis,2013-11-28 06:49:16+00:00,Bump,False,2,1,1,,,,449,254,274,70,1.6981132075471699,80.44459560522606,10.0,16.571428571428573,68.25301043766358,1.7280701754385963,254.38893633754955,14.132718685419421,0.022751003479221193
17,288ddf1ec5216027fd64e163c58b73f55decfee6,Alireza Nourian,2013-12-25 05:45:48+00:00,"use unicode_literals instead of old unicode specifier

this brings Python 3.2 compatibility",False,29,16,13,,,,452,257,277,70,1.6981132075471699,80.37112221125417,10.0,16.571428571428573,68.25301043766358,1.7280701754385963,254.38893633754955,14.132718685419421,0.022751003479221193
18,94ff8dd9790e0902860574f42c908932d01efc38,Sindre Johansen,2014-12-10 13:23:42+00:00,"Now iter() calls finish even on an exception

As I reported in issue #14 raising an exception in a loop over a
iterator got from a iter() call will not finalize the bar.

This commit uses a try, finally block to ensure that finish is always
called",False,20,12,8,1.0,1.0,1.0,453,258,278,70,1.6981132075471699,80.32453297655786,10.0,16.571428571428573,68.25301043766358,1.7280701754385963,254.38893633754955,14.132718685419421,0.022751003479221193
19,36ba012ffb643cf2f10ef7fdf7c32a72f87561a2,Georgios Verigakis,2016-01-27 09:32:36+00:00,"Fix rounding error

Reported by paparomeo",False,12,6,6,,,,452,257,277,73,1.6981132075471699,80.6100746463709,10.142857142857142,15.714285714285714,64.74371178742808,1.6218671679197993,212.64461821682858,11.81358990093492,0.021581237262476023
20,61ac9b6980b8f3d9571289c6b190ccc9745741db,Georgios Verigakis,2016-03-06 15:37:49+00:00,"Improve stats when progressing too quickly

Do not update stats if time between data points is less than
`time_threshold`.  This should fix the issue reported in #24.",False,14,10,4,1.0,1.0,0.8,462,267,287,75,1.7169811320754718,80.34258158129232,10.714285714285714,17.0,71.97301810208826,1.7537878787878787,260.20752405468556,14.455973558593643,0.023991006034029417
21,e61e49bbf4cacd2e996daf6c3dd7feb359cfe868,Georgios Verigakis,2016-03-06 15:46:29+00:00,Add some variance,False,27,17,10,1.0,1.0,1.0,469,271,291,76,1.7037037037037037,79.96766410046006,11.571428571428571,18.142857142857142,76.95432881864045,1.9323593073593073,273.1136472748435,15.172980404157974,0.02565144293954682
22,0b668811f93e4781ba35798c63a021e0f23a54f9,Georgios Verigakis,2016-03-08 07:04:18+00:00,"Use xput for the calculation of eta

Refer to #24 for the discussion.",False,10,6,4,1.0,1.0,1.0,471,273,292,76,1.7222222222222223,79.90668985367502,11.571428571428571,18.142857142857142,76.95432881864045,1.9323593073593073,273.1136472748435,15.172980404157974,0.02565144293954682
