ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,7db301cd6d76c71b7e31d6d5c27e76a99616442e,Matthew Brennan Jones,2013-11-06 07:17:25+00:00,Gets basic CPU info from x86_32 by using cpuid instruction.,False,237,237,0,0.05970149253731343,1.0,1.0,219,40,142,82,1.8,76.7357246494742,30.0,51.0,250.25142037603445,2.6153846153846154,654.5037148296285,36.361317490534915,0.08341714012534482
1,d98b0a071077ed09fa921e322b8f3980fc14610e,Matthew Brennan Jones,2013-11-06 19:41:34+00:00,Updated to work on x86_64 systems.,False,32,24,8,1.0,1.0,0.0,236,49,151,87,2.4,73.41826738424189,41.0,65.0,348.24088030017543,4.426470588235294,1541.4780142698944,85.63766745943857,0.11608029343339181
2,c78dd0294ede70af78d59a3057c1ee8fa7ff35d2,Matthew Brennan Jones,2013-11-06 20:02:19+00:00,Removed the test asm file. Cleaned up the header.,False,41,18,23,,,,249,50,151,86,2.4,72.90569048903242,41.0,65.0,348.24088030017543,4.426470588235294,1541.4780142698944,85.63766745943857,0.11608029343339181
3,fda22439081fe96275ad1227411830386bf7e714,Matthew Brennan Jones,2013-11-07 17:55:52+00:00,"Fixed issue with EAX being set wrong on 64bit machines, and messing up results.",False,115,69,46,1.0,1.0,1.0,272,70,177,84,2.2857142857142856,69.45694063320254,46.0,71.0,392.1728988800479,4.947368421052632,1940.2238155118162,107.79021197287868,0.13072429962668264
4,665f5474898c3222ed600b5449995f2145ad833c,Matthew Brennan Jones,2013-11-07 19:38:31+00:00,Added support for getting extended cpu features and the processor brand string.,False,180,175,5,0.06306306306306306,0.0,1.0,442,98,305,140,2.7777777777777777,64.34817123488791,62.0,91.0,541.8318642452057,6.470588235294118,3505.970886292507,194.77616034958373,0.18061062141506856
5,794f2f6b627781cdf9086f84d0839140407a06f8,Matthew Brennan Jones,2013-11-15 02:28:34+00:00,Updated the asm runner to not mprotect on SE Linux.,False,16,13,3,0.0,0.0,1.0,452,106,313,141,3.2222222222222223,62.83639932499909,66.0,96.0,580.2618354584115,7.0,4061.8328482088805,225.6573804560489,0.1934206118194705
6,682605e42b96a0cebf1bbbe803b9de77a2f068f9,Matthew Brennan Jones,2013-11-15 02:33:49+00:00,Cleanup of naming conventions.,False,5,3,2,,,,453,106,313,141,3.2222222222222223,62.84367227370466,66.0,96.0,580.2618354584115,7.0,4061.8328482088805,225.6573804560489,0.1934206118194705
7,7da1a6c328277e70669a00ac9b72e58fe30593e3,Matthew Brennan Jones,2013-11-15 02:36:52+00:00,Added getting of L2 cache info.,False,29,29,0,0.0,1.0,1.0,482,118,333,147,3.1,61.032682767552856,76.0,114.0,712.2637365325688,7.03125,5008.104397494624,278.22802208303466,0.23742124551085628
8,af0f69ee274b33eb089fd5a37f783bdae8cfcb89,Matthew Brennan Jones,2013-11-15 02:49:13+00:00,Cleanup of run_asm function to have specific types for arguments and return value.,False,23,18,5,1.0,1.0,1.0,495,124,339,150,2.909090909090909,60.561593921899565,76.0,114.0,712.2637365325688,7.03125,5008.104397494624,278.22802208303466,0.23742124551085628
9,c71b056d9717d7c56bdbd7af48a594af284eb20f,Matthew Brennan Jones,2013-11-16 04:03:35+00:00,Updated the SELinux check so it uses the sestatus util. Rather than relying on the python selinux library being installed.,False,35,27,8,0.8666666666666667,0.8666666666666667,1.0,514,141,356,150,3.0833333333333335,58.43411210659887,81.0,123.0,779.8015503548089,6.956521739130435,5424.706437250845,301.37257984726915,0.25993385011826964
