ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,7f4004b168f200427b0c0f136db6ee59e2a1ec3e,Derrick Gilland,2013-05-14 04:19:14+00:00,"Add compact(), difference(), rest(), find_index(), first(), where(), and pluck() functions and test.",False,275,275,0,0.71900826446281,0.9008264462809917,1.0,234,128,122,2,1.875,73.41492566844413,17.333333333333332,24.666666666666668,121.11866065539833,1.0285714285714285,151.74167427358518,8.430093015199176,0.040372886885132776
1,34fcaf64ea386b6c1b2211637ec103d08e25fe0a,Derrick Gilland,2013-05-30 03:43:37+00:00,"Add functions: head, flatten, index_of, and initial.",False,145,135,10,0.9841269841269841,0.9682539682539683,0.6984126984126984,359,195,187,6,1.9565217391304348,70.06442455130039,32.333333333333336,46.666666666666664,268.5081625407941,2.5083333333333333,772.1050903470631,42.894727241503496,0.08950272084693138
2,3940f7211db072f3c1685dac1c439bf53ec645f6,Derrick Gilland,2013-06-05 03:26:34+00:00,"Add functions:

- intersection
- last
- last_index_of
- zip_object, obj
- zipup
- unzip",False,145,145,0,1.0,1.0,0.9574468085106383,504,252,235,18,1.6857142857142857,65.33331918211177,44.0,65.66666666666667,407.413541726763,2.528985507246377,1161.9858402486177,64.55476890270097,0.135804513908921
3,56a9b0bdbef323c41f9eee29dd3b0e42cf92e574,Derrick Gilland,2013-06-13 03:14:34+00:00,"Add functions tail, take, ranged, without, uniq, unique, union, sorted_index, every, some, and collect.",False,287,286,1,0.7984496124031008,0.8992248062015504,0.9457364341085271,789,384,369,34,1.7962962962962963,60.67614889921112,71.33333333333333,112.33333333333333,787.3664603829344,3.023893458676067,2893.2684572853977,160.73713651585544,0.26245548679431147
4,68ef7bcf851b6f0b184123d2d5004a468360b028,Derrick Gilland,2014-07-22 20:24:46+00:00,"Add basic project files for build, test, etc, metadata, requirements, tox, etc.",False,537,528,9,,,,856,399,416,38,1.7962962962962963,76.40568933952667,42.8,67.4,472.4198762297607,1.8143360752056403,1735.9610743712387,96.44228190951327,0.15747329207658686
5,51aeb13fea838feab70f4d5a05fe83ff31242119,Derrick Gilland,2014-07-22 20:25:47+00:00,PEP8 compliance.,False,713,427,286,0.0,0.9591836734693877,0.9591836734693877,997,429,465,40,1.7962962962962963,75.6537289330636,41.4,67.4,469.108672039114,1.8439803439803442,1783.3339281793028,99.07410712107237,0.1563695573463713
6,941a720656b1bb3918afb5926f1100d16259690d,Derrick Gilland,2014-07-23 01:00:38+00:00,"Add at(), contains(), filter_(), find(), map_() and their aliases.",False,563,398,165,1.0,1.0,0.9387755102040817,1230,548,576,57,1.6097560975609757,74.92047209376238,48.4,79.4,573.0727966550746,1.949058854718982,2446.26614389848,135.90367466102666,0.19102426555169155
7,495f87894d4c16fce333ac7dd2b4757a2d2bf197,Nathan Cahill,2014-07-23 02:43:27+00:00,Add find_last_index() function,False,21,21,0,1.0,1.0,1.0,1251,558,585,57,1.6265060240963856,74.80711833064017,48.6,79.8,575.773188184875,1.9455745341614907,2460.2146115229566,136.67858952905314,0.191924396061625
8,168887694bd09e75d66ff2a31744eee2fb025758,Nathan Cahill,2014-07-23 02:52:25+00:00,Add pull() function,False,18,16,2,1.0,1.0,1.0,1265,563,589,57,1.6506024096385543,74.658213559817,49.0,80.4,580.0646165601177,1.9390810276679844,2481.7475074323106,137.87486152401726,0.1933548721867059
9,feaed14597bf4bf7341fb9d9a51605a4b71f2a43,Nathan Cahill,2014-07-23 03:09:39+00:00,Added test for find_last_index(),False,15,14,1,1.0,1.0,1.0,1278,572,599,57,1.6428571428571428,74.42268919543992,50.4,82.8,599.366576825608,1.949468085106383,2573.8298856971282,142.990549205396,0.19978885894186937
10,0466fb83930201ee1a643cf4103ad6c7f85e44af,Nathan Cahill,2014-07-23 03:18:12+00:00,Added test for pull(),False,11,5,6,0.0,0.0,0.0,1277,570,597,57,1.6352941176470588,74.34202928755592,50.8,83.4,604.9055386916457,1.9484098544232922,2593.330655149593,144.0739252860885,0.2016351795638819
