ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,f525bbbdf2aeaa5fab4b919fd6dd4ca79282f70c,Joshua Holbrook,2011-07-16 23:23:07+00:00,First commit!,False,272,272,0,1.0,1.0,0.826530612244898,178,103,91,16,1.2857142857142858,92.28087927046647,2.5,3.0,6.965784284662087,0.25,3.4828921423310435,0.1934940079072802,0.0023219280948873623
1,51ec87d1c015ec2edbf6142cdb5bbe86cf869bd5,Joshua Holbrook,2011-07-16 23:28:16+00:00,"a setup.py, hooray",False,51,51,0,,,,229,105,131,17,1.2857142857142858,94.85391951364431,1.6666666666666667,2.0,4.643856189774724,0.16666666666666666,2.321928094887362,0.12899600527152014,0.0015479520632582415
2,7fd79d49b8cb748b584fed5f94a2a3d1aa22b868,Joshua Holbrook,2011-07-21 22:14:08+00:00,This seems to fix issue #1.,False,2,1,1,,,,229,105,131,17,1.2857142857142858,94.85391951364431,1.6666666666666667,2.0,4.643856189774724,0.16666666666666666,2.321928094887362,0.12899600527152014,0.0015479520632582415
3,4283c1827dfa6699bc53a8e603d2d6d3c7772568,Joshua Holbrook,2011-07-21 22:14:31+00:00,version bump to 0.0.2,False,2,1,1,,,,229,105,131,17,1.2857142857142858,94.85391951364431,1.6666666666666667,2.0,4.643856189774724,0.16666666666666666,2.321928094887362,0.12899600527152014,0.0015479520632582415
4,766dc88a23c09a41b8be690da2d786d912138be1,Joshua Holbrook,2011-07-21 23:38:45+00:00,Fixed the once method for reals this time in order to pass fixed tests,False,2,1,1,,,,229,105,131,17,1.2857142857142858,94.85391951364431,1.6666666666666667,2.0,4.643856189774724,0.16666666666666666,2.321928094887362,0.12899600527152014,0.0015479520632582415
5,37d1847cd87a3932a93c8bb80b8ce2ea73d88342,Joshua Holbrook,2011-07-21 23:39:41+00:00,"Fixed the tests. The use of assert_raises was ""hiding"" other errors, since it only checks to make sure that our particular exception was raised",False,28,19,9,1.0,1.0,1.0,239,110,136,20,1.2857142857142858,94.85391951364431,1.6666666666666667,2.0,4.643856189774724,0.16666666666666666,2.321928094887362,0.12899600527152014,0.0015479520632582415
6,4c3086996be397216dabb505aad9d56a5eb6c20f,Joshua Holbrook,2011-07-21 23:40:07+00:00,Bumped version to 0.0.3,False,2,1,1,,,,239,110,136,20,1.2857142857142858,94.85391951364431,1.6666666666666667,2.0,4.643856189774724,0.16666666666666666,2.321928094887362,0.12899600527152014,0.0015479520632582415
7,8455c9c0c2d005403d2e486caf5107342613c210,Joshua Holbrook,2011-08-02 04:32:51+00:00,"Updated the readme to fix some rst mistakes (I am a markdown guy myself), added a manifest and bumped patch version.",False,18,10,8,,,,239,110,136,20,1.2857142857142858,94.85391951364431,1.6666666666666667,2.0,4.643856189774724,0.16666666666666666,2.321928094887362,0.12899600527152014,0.0015479520632582415
8,c56a6c328683b7918a8e4830d919f4814c8953ec,Joshua Holbrook,2011-08-14 20:33:53+00:00,"[api] Added kwargs support, modified test to prove it",False,13,6,7,,,,238,110,136,20,1.2857142857142858,94.85391951364431,1.6666666666666667,2.0,4.643856189774724,0.16666666666666666,2.321928094887362,0.12899600527152014,0.0015479520632582415
9,b0747a582e098d6002a60fccee439fbf65453e84,Joshua Holbrook,2011-08-14 20:35:04+00:00,[dist] Bumped version,False,2,1,1,,,,238,110,136,20,1.2857142857142858,94.85391951364431,1.6666666666666667,2.0,4.643856189774724,0.16666666666666666,2.321928094887362,0.12899600527152014,0.0015479520632582415
10,f5d7dba3b93baae51f19ddbafa17bb231d40c968,Huan Do,2012-08-28 02:15:04+00:00,"Removal of listeners now works when defining through decorator, also made emission of new_listener take in event and function",False,5,4,1,1.0,1.0,1.0,241,111,137,21,1.2857142857142858,94.78004644325593,1.6666666666666667,2.0,4.643856189774724,0.16666666666666666,2.321928094887362,0.12899600527152014,0.0015479520632582415
11,f5836ff839d732fbaa022abe838b36f8cdb3443c,Huan Do,2012-08-28 02:21:42+00:00,added unit test for last commit,False,23,15,8,0.0,1.0,1.0,248,116,142,20,1.2857142857142858,94.78004644325593,1.6666666666666667,2.0,4.643856189774724,0.16666666666666666,2.321928094887362,0.12899600527152014,0.0015479520632582415
12,11ffa185a858ce6683fd27ec1580516c57f30cae,Huan Do,2012-08-28 04:03:56+00:00,"emission now returns True/False depending on if callback is attached or not, Also EventEmitter is now aliased with Event_emitter",False,32,23,9,1.0,1.0,0.5,262,121,147,23,1.2666666666666666,94.1854357288446,2.6666666666666665,3.0,9.0,0.3333333333333333,9.0,0.5,0.0029999999999999996
13,907ac739ebd277dabf5e88b03b84f39da39040bf,Huan Do,2012-08-28 04:21:55+00:00,added error handling,False,22,19,3,1.0,1.0,0.6923076923076923,278,133,159,24,1.375,93.13664550700366,4.0,4.666666666666667,16.729825003365395,0.5,25.09473750504809,1.3941520836137828,0.005576608334455131
14,08070ab28bf2463b671dca4cd7099dca73e7adbc,Huan Do,2012-08-29 02:12:07+00:00,"fixed a bug, __all__ takes strings not values",False,2,1,1,,,,278,133,159,24,1.375,93.13664550700366,4.0,4.666666666666667,16.729825003365395,0.5,25.09473750504809,1.3941520836137828,0.005576608334455131
15,bee57bda3c2fd0cf6144ea2858943c5c6912e7af,Joshua Holbrook,2012-09-01 00:42:08+00:00,"[dist] Updated pyee version, added publish shell script",False,10,9,1,,,,278,133,159,24,1.375,93.13664550700366,4.0,4.666666666666667,16.729825003365395,0.5,25.09473750504809,1.3941520836137828,0.005576608334455131
