ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,c91a8b5e00fb9b2f3409a32b6e2fbf00b099f7e9,Philipp Schmitt,2016-10-02 15:53:38+00:00,first commit,False,1154,1154,0,0.3404255319148936,0.9331306990881459,0.668693009118541,473,254,368,13,1.8235294117647058,77.81188257405802,8.75,10.25,43.63374166052884,1.2986111111111112,139.3330745100564,7.7407263616698,0.014544580553509611
1,c2884db93ac871e3941de69ec504ea7e7ce480b7,Philipp Schmitt,2016-10-02 16:49:17+00:00,Update libkeepass dependency to use the fork - which has better unicode support,False,31,21,10,1.0,1.0,0.125,484,260,376,13,1.8285714285714285,77.64049433729599,8.75,10.25,43.63374166052884,1.2986111111111112,139.3330745100564,7.7407263616698,0.014544580553509611
2,ae2adc13f8e9062f2b9d90a95a9a7796dadac1b6,Philipp Schmitt,2016-10-02 17:21:55+00:00,Add write_to to path,False,1,1,0,,,,485,261,377,13,1.8285714285714285,77.64049433729599,8.75,10.25,43.63374166052884,1.2986111111111112,139.3330745100564,7.7407263616698,0.014544580553509611
3,b546263b6fe172e50022a7a15d5ac75d6471735f,Philipp Schmitt,2016-10-02 17:22:46+00:00,Add long description,False,35,34,1,1.0,1.0,1.0,492,264,382,13,1.8055555555555556,77.64049433729599,8.75,10.25,43.63374166052884,1.2986111111111112,139.3330745100564,7.7407263616698,0.014544580553509611
4,eb5fe437c996e5c2edddbf004009fff1ade2c5a3,Philipp Schmitt,2016-10-02 17:32:57+00:00,Use setuptools,False,11,3,8,0.0,0.0,0.0,487,261,379,13,1.8285714285714285,77.64049433729599,8.75,10.25,43.63374166052884,1.2986111111111112,139.3330745100564,7.7407263616698,0.014544580553509611
5,7e6fc6dea82e392fabc76189a6fc25d02a05dd5c,Philipp Schmitt,2016-10-02 17:34:53+00:00,Revert ae2adc13f8e9062f2b9d90a95a9a7796dadac1b6,False,5,2,3,,,,486,260,378,13,1.8285714285714285,77.64049433729599,8.75,10.25,43.63374166052884,1.2986111111111112,139.3330745100564,7.7407263616698,0.014544580553509611
6,3a93e6fd070bd122e9d74327cabbb2717932b259,Philipp Schmitt,2016-10-03 06:03:34+00:00,Make the API easier to use (WIP),False,241,144,97,0.5675675675675675,1.0,0.2702702702702703,535,284,418,14,1.894736842105263,78.1591063446885,10.0,12.75,61.88916481347632,1.287037037037037,247.5882073713913,13.754900409521738,0.020629721604492106
7,b18221e8ab0d34f1c94deaead2e547ccece76122,Philipp Schmitt,2016-10-03 06:35:17+00:00,Objectify pykeepass,False,721,348,373,0.75,1.0,0.0,504,286,421,13,1.9,76.72393438721714,10.25,13.25,64.94151013591694,1.2857142857142858,259.9215387617413,14.440085486763405,0.02164717004530565
8,eed85581ee48ecedc3a868defdfa1583ecbebf55,Philipp Schmitt,2016-10-04 11:41:25+00:00,Fix group path creation,False,6,4,2,1.0,1.0,0.0,506,288,423,13,1.95,76.62242418342531,10.5,13.75,68.02057718897107,1.2844827586206897,272.3568945476929,15.130938585982937,0.022673525729657026
9,5b0068200d28410ab1ba6a64e516c69510ae83f4,Philipp Schmitt,2016-10-04 12:13:19+00:00,Fix: find_entry does always search in the whole tree,False,4,2,2,,,,506,288,423,13,1.95,76.62242418342531,10.5,13.75,68.02057718897107,1.2844827586206897,272.3568945476929,15.130938585982937,0.022673525729657026
10,4fed0164d41a8c8d19eee5d5cb65d2c9c0a93d08,Philipp Schmitt,2016-10-04 12:56:30+00:00,Fix: history creation fails when there was no prior history + Use './/' instead of '//' in search functions,False,74,71,3,,,,574,356,491,13,1.95,81.29793934674026,8.4,11.0,54.41646175117686,1.0275862068965518,217.88551563815432,12.10475086878635,0.01813882058372562
11,2836d7e7d0c4fd1962364d04299bb2e4e214c89c,Philipp Schmitt,2016-10-04 13:16:28+00:00,Icon support,False,24,18,6,0.36363636363636365,0.0,0.36363636363636365,586,365,502,13,1.975609756097561,81.09880421785333,8.4,11.0,54.41646175117686,1.0275862068965518,217.88551563815432,12.10475086878635,0.01813882058372562
12,2797244c6541603b94d1bd1c549fa73f1b49aa14,Philipp Schmitt,2016-10-04 14:02:50+00:00,Fix icon edition,False,4,2,2,,,,586,365,502,13,1.975609756097561,81.09880421785333,8.4,11.0,54.41646175117686,1.0275862068965518,217.88551563815432,12.10475086878635,0.01813882058372562
13,d777d4c885bf5d33cf9b2046ed80f65fe07f8870,Philipp Schmitt,2016-10-05 13:34:57+00:00,Fix: 'str' object has no attribute 'contains',False,4,2,2,,,,586,365,502,13,1.975609756097561,81.05037449550352,9.0,11.6,58.7343659006934,1.1290322580645162,264.3668004831477,14.687044471285983,0.019578121966897802
14,ec5218193d9f53b5bd43b450a0a8fac446cdebff,Philipp Schmitt,2016-10-05 13:38:08+00:00,Fix find_group,False,4,2,2,,,,586,365,502,13,1.975609756097561,81.05037449550352,9.0,11.6,58.7343659006934,1.1290322580645162,264.3668004831477,14.687044471285983,0.019578121966897802
15,745805101f08499b4110165be4c026c0828edc8a,Philipp Schmitt,2016-10-05 14:42:36+00:00,Fix find_entries_by_username),False,2,1,1,,,,586,365,502,13,1.975609756097561,81.05037449550352,9.0,11.6,58.7343659006934,1.1290322580645162,264.3668004831477,14.687044471285983,0.019578121966897802
16,ad1a19b1d726aedb4676d0b1536b9239cdd1ca2e,Philipp Schmitt,2016-10-05 14:51:43+00:00,Fix typo,False,2,1,1,,,,586,365,502,13,1.975609756097561,81.05037449550352,9.0,11.6,58.7343659006934,1.1290322580645162,264.3668004831477,14.687044471285983,0.019578121966897802
17,aab6045e3f97ce9dcb5292701b34aa0695f4c2c9,Philipp Schmitt,2016-10-06 06:28:17+00:00,Fix typo,False,2,1,1,,,,586,365,502,13,1.975609756097561,81.05037449550352,9.0,11.6,58.7343659006934,1.1290322580645162,264.3668004831477,14.687044471285983,0.019578121966897802
18,48568b7c36b72b62c73e34d9db45f912b93e7214,Philipp Schmitt,2016-10-06 06:28:37+00:00,Fix typo,False,2,1,1,,,,586,365,502,13,1.975609756097561,81.05037449550352,9.0,11.6,58.7343659006934,1.1290322580645162,264.3668004831477,14.687044471285983,0.019578121966897802
19,1d5b875f6ea371b9f8751184f9a6eb1558ee3ff3,Philipp Schmitt,2016-10-08 07:50:19+00:00,Working POC: group and entries are now objects,False,703,464,239,1.0,0.6568627450980392,1.0,811,523,650,30,1.6835443037974684,76.08603478814896,7.1,8.6,32.62868994971874,1.0771221532091098,91.9476249225907,5.108201384588372,0.010876229983239581
20,84839c506fcad8a77ad3b6c8de4f8160d90c2259,Philipp Schmitt,2016-10-08 08:20:30+00:00,Save history when editing an entry,False,8,5,3,0.5,0.5,0.5,813,525,652,30,1.7088607594936709,75.71341433311545,7.6,9.2,35.22184680665116,1.1271221532091098,95.23736020798933,5.290964455999407,0.011740615602217053
21,a597b68b0d56ed53c143b4e77b7876fb48b8fac5,Philipp Schmitt,2016-10-08 10:32:16+00:00,"Add entries, group and root_group properties",False,39,23,16,1.0,1.0,1.0,820,533,660,27,1.6829268292682926,75.43336893355736,7.3,8.9,33.202568491566424,1.0761904761904764,79.14432641973791,4.396907023318773,0.01106752283052214
22,70d65f81ea4d41972c7cca555140865807951026,Philipp Schmitt,2016-10-08 10:33:19+00:00,Add group string repr methods,False,9,9,0,1.0,1.0,1.0,829,539,666,27,1.6588235294117648,75.10808830842089,7.3,8.9,33.202568491566424,1.0761904761904764,79.14432641973791,4.396907023318773,0.01106752283052214
23,1f3ce5d17820fa629f5fa7b84847c22105770a22,Philipp Schmitt,2016-10-08 12:08:32+00:00,Implement path and parentgroup properties,False,41,33,8,1.0,1.0,1.0,854,558,685,31,1.7045454545454546,74.13225088317981,8.8,11.3,44.20167171144768,1.3723443223443224,117.98723986813457,6.554846659340808,0.01473389057048256
24,f59b2c0e7fea5b84cddda902aa96a67f2f5047db,Philipp Schmitt,2016-10-08 13:29:06+00:00,Add entry time properties,False,47,43,4,1.0,1.0,1.0,893,591,718,31,1.7553191489361701,72.99952739983212,10.7,14.0,58.66343568391221,1.4767827281414239,146.5310814112431,8.14061563395795,0.019554478561304066
25,61c86f4dc5b15de20ddf0af89704a5756f554718,Philipp Schmitt,2016-10-08 14:36:00+00:00,self.element -> self._element,False,4,2,2,,,,893,591,718,31,1.7553191489361701,72.99952739983212,10.7,14.0,58.66343568391221,1.4767827281414239,146.5310814112431,8.14061563395795,0.019554478561304066
26,56d25ab26c9e10d20cfdf5a0d5845c70b90d9898,Philipp Schmitt,2016-10-08 14:41:59+00:00,Create missing subelements when property is set,False,15,8,7,1.0,1.0,0.0,894,592,719,31,1.7553191489361701,72.98946709896073,10.7,14.0,58.66343568391221,1.4767827281414239,146.5310814112431,8.14061563395795,0.019554478561304066
27,24c1c22d738be1b93955bc9c4457b69780682d83,Philipp Schmitt,2016-10-08 14:42:16+00:00,Bump version to 2.0.1,False,2,1,1,,,,894,592,719,31,1.7553191489361701,72.98946709896073,10.7,14.0,58.66343568391221,1.4767827281414239,146.5310814112431,8.14061563395795,0.019554478561304066
28,70f9883392b2de79f9367499dbeb7c61a90340d7,Philipp Schmitt,2016-10-08 16:27:39+00:00,"Implement __eq__ to be able to do stuff like ""entry in group.entries""",False,12,11,1,1.0,1.0,1.0,904,594,728,31,1.7473684210526317,72.90136071125652,10.8,14.3,60.28591395704181,1.482760989010989,150.17922497920037,8.343290276622241,0.020095304652347268
29,fe1c964528cc75506d116b25c51addbcacb7a39f,Philipp Schmitt,2016-10-08 17:34:14+00:00,path property fixes,False,15,10,5,1.0,0.0,1.0,909,597,731,31,1.75,72.6169407082335,11.3,14.5,61.723823783867694,1.550892857142857,154.86430162931214,8.603572312739564,0.020574607927955898
