ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,a7bbea452c60b287650b5eceaeaf9230ac2e3826,Daniel Lindsley,2012-12-13 04:48:20+00:00,Bumped to v1.0.0!,False,96,96,0,0.36,0.36,1.0,96,32,49,0,2.0,92.49871628883193,5.0,7.333333333333333,28.65053103446247,0.9090909090909091,78.13781191217036,4.340989550676132,0.00955017701148749
1,c62564c64da08bb7bc855ad5ed9169128201c2fb,Daniel Lindsley,2012-12-13 05:04:20+00:00,Copy-paste fail.,False,1,0,1,0.0,0.0,0.0,95,31,48,0,2.0,92.49871628883193,5.0,7.333333333333333,28.65053103446247,0.9090909090909091,78.13781191217036,4.340989550676132,0.00955017701148749
2,c039b86c1cad08708ff349cabf8e0b1bf30cec4d,Daniel Lindsley,2012-12-13 05:05:18+00:00,Bumped to v1.0.1! Python packaging is hard.,False,14,11,3,,,,95,31,48,0,2.0,92.49871628883193,5.0,7.333333333333333,28.65053103446247,0.9090909090909091,78.13781191217036,4.340989550676132,0.00955017701148749
3,5b9fa741bbc6516fe91b6e866c27a2f24b8711c6,Daniel Lindsley,2012-12-13 05:13:07+00:00,Bumped to v1.0.2! Because packaging.,False,11,8,3,,,,96,32,49,0,2.0,92.49871628883193,5.0,7.333333333333333,28.65053103446247,0.9090909090909091,78.13781191217036,4.340989550676132,0.00955017701148749
4,b9b512b2c86385a7c24a3eb23d3e4688ab4dd72b,Daniel Lindsley,2012-12-13 06:53:09+00:00,"Implemented the faster, memoized variant for significantly better performance.",False,91,82,9,0.3333333333333333,0.3333333333333333,0.3333333333333333,169,66,86,2,2.0,90.78530306949703,11.0,25.333333333333332,127.79131769041415,2.2884615384615383,877.3365464514972,48.74091924730539,0.04259710589680472
5,3893cbbcf389b5737251eb4296ed0d53ca8b8bef,Daniel Lindsley,2012-12-13 06:53:48+00:00,Tested & working on Python 3/PyPy as well.,False,9,9,0,,,,171,66,88,3,2.0,90.78530306949703,11.0,25.333333333333332,127.79131769041415,2.2884615384615383,877.3365464514972,48.74091924730539,0.04259710589680472
6,4206b6463839f3dc3b0bb20f52440616c70dda39,Daniel Lindsley,2012-12-13 06:53:58+00:00,Bumped to v1.1.0!,False,15,8,7,,,,166,66,88,3,2.0,91.05375817033324,11.0,25.333333333333332,127.79131769041415,2.2884615384615383,877.3365464514972,48.74091924730539,0.04259710589680472
7,f05ed2cd4822461bbbc5711c845b82dc59d08bed,Daniel Lindsley,2013-01-21 22:04:34+00:00,Bumped to v1.2.0. Because spelling matters.,False,82,46,36,,,,171,68,90,4,2.0,90.94755916729336,11.0,25.333333333333332,127.79131769041415,2.2884615384615383,877.3365464514972,48.74091924730539,0.04259710589680472
8,a265f78240488c52a9f64a0e06acb4259a5b3314,Daniel Lindsley,2013-12-03 09:59:45+00:00,Added initial wheel support.,False,8,7,1,,,,175,71,93,4,2.0,90.94755916729336,11.0,25.333333333333332,127.79131769041415,2.2884615384615383,877.3365464514972,48.74091924730539,0.04259710589680472
9,f34872ae6023dd613de787b386f531f89b0f32c5,Manuel Barkhau,2014-05-29 22:53:53+00:00,Add new method using Wagner-Fischer algorithm.,False,40,40,0,0.0,0.0,1.0,215,87,112,4,2.2666666666666666,88.94918286100337,20.333333333333332,55.0,326.19055356595874,3.1730769230769234,3105.0831541374923,172.50461967430513,0.10873018452198625
10,8052d5cbc5187577eec2418bf571f3f6d19ada48,Manuel Barkhau,2014-05-29 22:55:06+00:00,Add method with iterative version of Wagner-Fischer algorithm.,False,53,53,0,0.0,0.0,1.0,268,117,141,4,2.875,87.01966593306206,26.0,70.66666666666667,444.16842346626555,3.8582089552238803,5141.083767135656,285.61576484086976,0.14805614115542184
11,ff05db11c4e17ebe6d441285a2664508eec53dd4,Manuel Barkhau,2014-05-29 22:56:05+00:00,use iterators in python 2,False,7,7,0,,,,275,121,145,4,2.875,86.8336675218231,26.666666666666668,71.66666666666667,453.0715134669276,3.7995169082125604,5164.358628141139,286.9088126745077,0.15102383782230921
12,9bc6049a3f526746b349532128869b4c8f1046d0,Manuel Barkhau,2014-05-29 22:57:03+00:00,swap out default method,False,15,8,7,,,,276,122,146,4,2.875,86.80246415105199,26.666666666666668,71.66666666666667,453.0715134669276,3.7995169082125604,5164.358628141139,286.9088126745077,0.15102383782230921
13,011f36108c0b73c66bb48f2083cfc13ba2f3b051,Manuel Barkhau,2014-05-29 23:00:30+00:00,make generated test suite,False,52,24,28,0.0,0.0,0.0,272,112,148,3,5.666666666666667,80.65107239567841,27.666666666666668,72.66666666666667,454.65647596764876,3.9661835748792273,5165.1511093915,286.9528394106389,0.15155215865588292
14,72e3d490515c3188e2acac9c15ea1b466f9ff938,Manuel Barkhau,2014-05-29 23:03:33+00:00,bump version,False,9,7,2,,,,272,112,148,3,5.666666666666667,80.65107239567841,27.666666666666668,72.66666666666667,454.65647596764876,3.9661835748792273,5165.1511093915,286.9528394106389,0.15155215865588292
15,1a57f3a0d124d6504c2fb46ec212b116d704a806,Manuel Barkhau,2014-05-29 23:42:39+00:00,add travis ci,False,15,13,2,,,,272,112,148,3,5.666666666666667,80.65107239567841,27.666666666666668,72.66666666666667,454.65647596764876,3.9661835748792273,5165.1511093915,286.9528394106389,0.15155215865588292
16,a5f7fd6b8b790f1c9edad9f84adfe343d8733485,mbarkhau,2014-05-30 06:47:14+00:00,add reverse tests and fix typo,False,7,5,2,1.0,1.0,0.75,279,116,153,3,5.666666666666667,78.30569612727807,28.666666666666668,73.66666666666667,458.24143846836995,4.132850241545894,5169.528553142582,287.19603073014343,0.1527471461561233
17,95d4780b2da89283ae803c8d8685ab54d9b2e653,Manuel Barkhau,2014-06-29 17:07:43+00:00,update docs,False,28,18,10,,,,287,116,153,9,5.666666666666667,78.2460265039737,28.666666666666668,73.66666666666667,458.24143846836995,4.132850241545894,5169.528553142582,287.19603073014343,0.1527471461561233
18,6aac716376d60a77d8d7920bea688330273fee18,Manuel Barkhau,2014-06-29 17:08:58+00:00,add damerau levenshtein function,False,104,93,11,0.0975609756097561,0.0975609756097561,1.0,364,158,193,13,6.625,74.0479570091644,38.666666666666664,103.0,675.2932188244664,4.193065405831363,7565.173888679047,420.28743825994707,0.2250977396081555
19,895471f141d9f20e9e6eff2107286057b46e7fe5,Daniel Lindsley,2021-05-30 19:24:05+00:00,Bumping version for the 1.4.0 release cycle.,False,35,19,16,,,,367,158,195,13,6.625,74.0479570091644,38.666666666666664,103.0,675.2932188244664,4.193065405831363,7565.173888679047,420.28743825994707,0.2250977396081555
20,b717f711df6bb460d37995cb8e36a1452f19b55a,Daniel Lindsley,2021-05-30 19:24:05+00:00,Reorganized & black'd.,False,658,348,310,0.0,0.0,0.0,398,167,224,13,6.625,82.57621778808176,19.0,44.57142857142857,226.29950544807502,3.963524503059386,1739.248035110133,96.62489083945184,0.07543316848269166
21,06760f3a5e40aa284cb8077762f630f1df210698,Daniel Lindsley,2021-05-30 20:04:52+00:00,Bumped to 1.4.0!,False,5,3,2,,,,399,167,224,13,6.625,82.57621778808176,19.0,44.57142857142857,226.29950544807502,3.963524503059386,1739.248035110133,96.62489083945184,0.07543316848269166
22,be11b29f09299c22fc195e44d5b0a27b0dd65b92,Daniel Lindsley,2021-06-08 14:23:51+00:00,Started the 1.5.0 release cycle.,False,4,2,2,,,,399,167,224,13,6.625,82.57621778808176,19.0,44.57142857142857,226.29950544807502,3.963524503059386,1739.248035110133,96.62489083945184,0.07543316848269166
