ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,9ed199d8a6846438ddf75caca8329026f58db8c9,Mikhail Korobov,2012-08-24 11:19:26+00:00,заготовка,False,169517,169517,0,0.5424929178470255,0.49008498583569404,0.6940509915014165,1607,858,877,261,4.011111111111111,82.08484137917324,25.0,43.6,304.8721638202523,1.9246055902003039,2754.0088940729456,153.00049411516366,0.10162405460675075
1,47da49c231ffe402b9e4397c62df4d98f55686af,Mikhail Korobov,2012-08-24 18:25:41+00:00,"вариант на marisa-trie и алгоритмом примерно как в mystem - медленно (главным образом из-за struct.unpack), 8M оперативной памти",False,143,83,60,0.6,0.6,1.0,1630,846,866,289,3.977777777777778,81.95940997567976,24.2,42.0,294.506389992098,1.9252544432629501,2691.569977577887,149.53166542099373,0.09816879666403265
2,8978ef9298fbd9a54f91174461cee3002e754115,Mikhail Korobov,2012-08-30 20:39:39+00:00,"вариант на marisa-trie, все слова помещаем в trie целиком",False,1040,488,552,0.8181818181818182,0.37662337662337664,0.5714285714285714,1351,748,784,190,3.8620689655172415,85.30173647423985,22.333333333333332,38.13333333333333,274.4385377207416,1.571806167400881,2547.5186596658486,141.5288144258805,0.09147951257358052
3,7f0989c29e7b1975f53a98f92ae0295db2724c98,Mikhail Korobov,2012-08-30 22:25:43+00:00,"раскидал словарь по файлам, добавил поддержку mmap, починил тесты и скрипты, немного исправлений в документации",False,124,82,42,0.0,1.0,0.0,1384,770,804,190,3.9080459770114944,85.0034412666993,22.733333333333334,38.53333333333333,277.0072163952422,1.641806167400881,2566.013796818221,142.5563220454567,0.09233573879841407
4,ae1ba92428877e2255083da1a07b69a3594031a9,Mikhail Korobov,2012-08-30 22:33:31+00:00,поддержка mmap в бенчмарках,False,20,8,12,0.0,0.0,0.0,1380,768,802,189,3.941860465116279,84.9749851387995,22.733333333333334,38.53333333333333,277.0072163952422,1.641806167400881,2566.013796818221,142.5563220454567,0.09233573879841407
5,382f32dbeb5aa9adec23d684680410f609621cc1,Mikhail Korobov,2012-09-03 22:40:31+00:00,"предварительная поддержка словарей в dawg (чуть больше памяти требует, слегка быстрее работает; плюс dawg в том, что он больше операций поддерживает, чем marisa_trie, что может быть важно, например, для буквы ё)",False,89,62,27,0.0,0.0,0.0,1415,787,824,194,3.9545454545454546,84.84846383930615,22.933333333333334,38.733333333333334,278.41490856910093,1.6751395007342145,2580.3952337878654,143.3552907659925,0.09280496952303365
6,49e7a9a988ecaab3cb67fbce5ad56b4c8319ba42,Mikhail Korobov,2012-09-08 12:52:38+00:00,"выпилил marisa-trie, перешел полностью на dawg",False,197,56,141,1.0,0.8518518518518519,1.0,1365,764,809,187,3.9302325581395348,84.67660543712374,22.866666666666667,38.733333333333334,278.2985371306473,1.641806167400881,2571.179079759841,142.84328220888008,0.09276617904354909
7,2a0560ac1a4a7d644e6c2ee7a504494c72c56871,Mikhail Korobov,2012-09-12 23:15:13+00:00,"данные для тестов и бенчмарков утащил в общую папку dev_data; бенчмарки можно запускать для всех питонов через tox -c bench.ini

--HG--
rename : tests/data/suite.txt => dev_data/suite.txt
rename : benchmarks/unigrams.cyr.lc => dev_data/unigrams.cyr.lc",False,53,41,12,0.0,0.0,0.0,1376,764,817,188,3.9302325581395348,84.47926251136141,22.733333333333334,38.53333333333333,277.0072163952422,1.641806167400881,2566.013796818221,142.5563220454567,0.09233573879841407
8,86f9a503246aca1e82959621f9fd6297f8c555da,Mikhail Korobov,2012-09-13 01:10:55+00:00,поддержка буквы Ё в методе tag,False,70378,70373,5,1.0,1.0,0.7142857142857143,1417,791,845,188,3.942528735632184,84.19329682055505,22.866666666666667,38.733333333333334,278.2985371306473,1.641806167400881,2571.179079759841,142.84328220888008,0.09276617904354909
9,c3eb81324628bf8f0cc047a191b6f0323962562f,Mikhail Korobov,2012-09-13 07:36:22+00:00,2 доп. замера скорости: без учета частоты слов и без буквы Ё в исходниках,False,13,12,1,1.0,1.0,1.0,1428,800,854,188,3.954022988505747,84.19329682055505,22.866666666666667,38.733333333333334,278.2985371306473,1.641806167400881,2571.179079759841,142.84328220888008,0.09276617904354909
10,23eb5fb10022f19142c358c72010c665ca012bf5,Mikhail Korobov,2012-09-13 22:48:11+00:00,"улучшения в документации; переименовал tests/test_tagger в tests/test_fuzzy

--HG--
rename : tests/test_tagger.py => tests/test_fuzzy.py",False,349,217,132,,,,1430,801,855,188,3.954022988505747,84.19329682055505,22.866666666666667,38.733333333333334,278.2985371306473,1.641806167400881,2571.179079759841,142.84328220888008,0.09276617904354909
11,5aa124c4b5737f3cfa9ce3a4b5cc5773e0868d67,Mikhail Korobov,2012-09-14 23:36:26+00:00,метод .normal_forms с бенчмарками и тестами из pymorphy1 (падающими),False,165,137,28,0.7666666666666667,0.2,0.5666666666666667,1539,832,940,193,3.857142857142857,84.15149568945074,21.8125,36.875,263.19834726617967,1.5805535760559732,2419.4593626618353,134.41440903676863,0.08773278242205988
12,0044f88976d3b67792ef98cc284b303be7950a82,Mikhail Korobov,2012-09-15 01:48:02+00:00,поддержка xml-словаря OpenCorpora,False,531,288,243,0.2608695652173913,1.0,1.0,1584,861,969,194,3.847826086956522,84.51092296094487,20.823529411764707,35.05882352941177,249.15026312329724,1.516991600993857,2281.8959625694415,126.77199792052454,0.08305008770776573
13,921492636561a1e757d184d4f89d41b5c76af348,Mikhail Korobov,2012-09-17 23:07:23+00:00,"возможность перегнать исходный xml-словарь в почти такой же json (чтоб дальнейший парсинг можно было быстрее отлаживать - json разбирается гораздо быстрее, чем xml)",False,131,82,49,1.0,1.0,1.0,1617,873,987,194,3.7473684210526317,84.4532399624137,20.88235294117647,35.23529411764706,250.21167815412784,1.5237142900694873,2288.147972686099,127.11933181589438,0.0834038927180426
