ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,753617bb38632c22cadc02e58238bfb247f61a00,Donald Stufft,2013-02-22 03:53:58+00:00,Initial commit,False,2,2,0,,,,0,0,0,0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,ad41d7e5b8efd08cb94196a84ece2db2aa1faf78,Donald Stufft,2013-02-22 04:05:30+00:00,Start nacl.ffi.libsodium with the low level hashing functions,False,21,21,0,,,,21,5,14,1,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,417b2ceb19b1c79f2dc7cb2bfd2e25e6eb60f801,Donald Stufft,2013-02-22 04:15:32+00:00,Move the FFI into jsut nacl.ffi,False,0,0,0,,,,21,5,14,1,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,809a8c5b2240750725f59ba01f7a5ae5a4cf1227,Donald Stufft,2013-02-22 04:47:55+00:00,Wrap the NaCl functions to return True/False,False,21,21,0,1.0,1.0,1.0,42,15,24,5,1.0,98.34115897341181,1.5,1.5,2.3774437510817346,0.25,1.1887218755408673,0.06604010419671485,0.0007924812503605782
4,721e475f01d4694e2411ad3fabbbbb024ff17f81,Donald Stufft,2013-02-22 04:48:33+00:00,Move nacl.ffi to nacl.nacl for a nicer name,False,0,0,0,,,,42,15,24,5,1.0,98.34115897341181,1.5,1.5,2.3774437510817346,0.25,1.1887218755408673,0.06604010419671485,0.0007924812503605782
5,36c632661b887a1e7f3cd609836b35153ffc3a21,Donald Stufft,2013-02-22 04:50:47+00:00,Add an __all__ to nacl.nacl,False,3,3,0,,,,45,16,25,5,1.0,97.90222944762121,1.5,1.5,2.3774437510817346,0.25,1.1887218755408673,0.06604010419671485,0.0007924812503605782
6,c89560c09f7b7e587955fa6e91ff9c49c0b9dc12,Donald Stufft,2013-02-22 04:52:31+00:00,Small whitespace fix,False,2,0,2,,,,43,16,25,5,1.0,97.90222944762121,1.5,1.5,2.3774437510817346,0.25,1.1887218755408673,0.06604010419671485,0.0007924812503605782
7,467747a2b272e3555189254aac3ba3142e172d6a,Donald Stufft,2013-02-22 05:33:01+00:00,"Add nacl.exceptions.CryptoError, a generic Crypto Exception",False,4,4,0,,,,47,18,26,5,1.0,98.60148629841414,1.0,1.0,1.5849625007211563,0.16666666666666666,0.7924812503605781,0.04402673613114324,0.0005283208335737188
8,30c4ef18e4bc8e8e0b374b97c52eaf71caf2ff9c,Donald Stufft,2013-02-22 05:42:28+00:00,"Add nacl.hash, a module for secure message digests

* Supports sha256 and sha512",False,27,27,0,1.0,1.0,1.0,74,38,46,5,2.0,90.40527290642007,1.5,1.75,2.7736843762620236,0.25,1.3868421881310118,0.07704678822950066,0.0009245614587540078
9,e5e17f0bb4ac68366098e4d0d95c8c916ddff2ce,Donald Stufft,2013-02-22 06:22:33+00:00,Add packaging,False,64,64,0,,,,138,61,90,9,2.0,93.60351527094672,1.0,1.1666666666666667,1.8491229175080157,0.16666666666666666,0.9245614587540079,0.05136452548633377,0.0006163743058360052
10,21e1d0bf31ec02d8a38123d699bf45c29070c54a,Donald Stufft,2013-02-22 06:41:35+00:00,Setup testing requirements,False,102,101,1,,,,151,62,101,12,2.0,93.68736466938735,1.0,1.1666666666666667,1.8491229175080157,0.16666666666666666,0.9245614587540079,0.05136452548633377,0.0006163743058360052
11,a731ddca6bf7d73783f9e53bc6ac08bf422acd5f,Donald Stufft,2013-02-22 06:54:14+00:00,Add tests to verify that hashing is accurately occuring,False,58,58,0,1.0,1.0,1.0,209,76,151,12,1.5,89.340754967394,2.142857142857143,2.7142857142857144,7.019119646050835,0.21428571428571427,3.5095598230254175,0.19497554572363435,0.002339706548683612
12,58e2ef6ccdd37ec6e542a49be5624fcb352ae9a0,Donald Stufft,2013-02-22 06:58:03+00:00,Fix the setup.py function in Python3,False,2,1,1,,,,209,76,151,12,1.5,89.340754967394,2.142857142857143,2.7142857142857144,7.019119646050835,0.21428571428571427,3.5095598230254175,0.19497554572363435,0.002339706548683612
13,64d75740c485b8e3ac3108b916cdf72ad41b0611,Donald Stufft,2013-02-22 14:36:47+00:00,Add meta information to the nacl package,False,12,12,0,,,,221,81,156,15,1.5,89.340754967394,2.5714285714285716,3.142857142857143,7.698389289217046,0.2857142857142857,3.849194644608523,0.2138441469226957,0.0025661297630723487
14,abbd1b74967f726b57d7c0b96a7a5de8ee633f7a,Donald Stufft,2013-02-22 18:40:45+00:00,Don't decode the bytes from sha256/sha512,False,12,6,6,,,,221,81,156,15,1.5,89.340754967394,2.5714285714285716,3.142857142857143,7.698389289217046,0.2857142857142857,3.849194644608523,0.2138441469226957,0.0025661297630723487
15,a6825f1c0a26d7eb7f414901fc05a63ed19b59ac,Donald Stufft,2013-02-23 00:55:53+00:00,Try to build against NaCl and fall back to libsodium,False,22,19,3,,,,237,84,166,21,1.5,89.23149791626318,2.5714285714285716,3.142857142857143,7.698389289217046,0.2857142857142857,3.849194644608523,0.2138441469226957,0.0025661297630723487
16,f86e77b306aaaec133be0068ed45146095c1cbdd,Donald Stufft,2013-02-23 02:31:42+00:00,Switch travis to using invoke tasks,False,98,92,6,0.6666666666666666,0.7407407407407407,0.8703703703703703,323,137,225,25,1.8333333333333333,85.9437778736241,4.125,5.375,16.991678441537278,0.6875,39.262602661185724,2.1812557033992066,0.005663892813845758
17,9b7e9b7bdfecda2aad2faa88b1e66474a624f532,Donald Stufft,2013-02-23 02:36:52+00:00,Move ld path to .travis.yml and exclude extra pep8/lint runs,False,26,18,8,0.0,1.0,0.0,319,134,222,25,1.75,86.15335860192926,3.875,5.0,15.062079993882374,0.5833333333333333,25.57068362287901,1.4205935346043894,0.005020693331294125
18,d4602da3cc91854e450bbee43f40cbfc02238996,Donald Stufft,2013-02-23 02:56:26+00:00,Start the documentation,False,427,427,0,,,,561,152,257,173,1.75,87.691874312826,3.4444444444444446,4.444444444444445,13.388515550117667,0.5185185185185185,22.72949655367023,1.262749808537235,0.004462838516705888
19,2d6f66d64c4919d31535baee677b50e86ca0f71a,Donald Stufft,2013-02-23 07:17:24+00:00,Update the invoke install task to properly install everything,False,11,6,5,1.0,1.0,1.0,562,153,258,175,1.75,88.08375461282145,3.111111111111111,4.111111111111111,11.524182938647751,0.46031746031746024,14.857846967229746,0.825435942623875,0.0038413943128825837
20,4765d353397ec51fdad93f70b508edcd57aa52a3,Donald Stufft,2013-02-23 07:28:11+00:00,Don't need to run make check on libsodium,False,1,0,1,1.0,0.0,0.0,561,152,257,175,1.75,88.11975354962978,3.111111111111111,4.111111111111111,11.524182938647751,0.46031746031746024,14.857846967229746,0.825435942623875,0.0038413943128825837
21,dc2aeb5b40eedc2a5a6d06a2494750e803e33d09,Donald Stufft,2013-02-23 07:28:52+00:00,Run make install with sudo,False,2,1,1,,,,561,152,257,175,1.75,88.11975354962978,3.111111111111111,4.111111111111111,11.524182938647751,0.46031746031746024,14.857846967229746,0.825435942623875,0.0038413943128825837
22,4bcdd946aa5cd454dd32c3d36a1be773e72828de,Donald Stufft,2013-02-23 07:52:10+00:00,Simplify the build matrix and remove pep8 + pylint,False,117,4,113,0.0,0.0,0.0,549,143,248,175,1.4166666666666667,89.33531634480693,2.3333333333333335,2.7777777777777777,6.515956947409198,0.2777777777777778,3.257978473704599,0.18099880409469998,0.0021719856491363996
23,22637a55567f7b449c5f731c305f253d1fc12fcf,Donald Stufft,2013-02-23 07:55:29+00:00,Add in checking against nacl,False,6,6,0,1.0,1.0,1.0,554,146,251,176,1.4166666666666667,88.98025264028598,2.5555555555555554,3.111111111111111,7.535588177093721,0.2777777777777778,3.7677940885468604,0.20932189380815894,0.002511862725697907
24,83c0648e98c44824883ce8707efc3d6f57358dc3,Donald Stufft,2013-02-23 08:03:30+00:00,Add a single libnacl builder to smoke test it,False,46,42,4,1.0,1.0,1.0,570,153,262,178,1.4166666666666667,89.2353927571508,2.3333333333333335,2.7777777777777777,6.515956947409198,0.2777777777777778,3.257978473704599,0.18099880409469998,0.0021719856491363996
25,b2d863c4147501294de4f7f3a8a74916ea4a1972,Donald Stufft,2013-02-23 09:15:57+00:00,Add nacl.random(N) to generate a random N bytes,False,29,28,1,1.0,1.0,1.0,597,164,281,180,1.3333333333333333,88.9783040439508,2.4545454545454546,2.8181818181818183,6.741217048273612,0.3181818181818182,4.075598297060757,0.22642212761448652,0.0022470723494245367
26,bc9ef8e7419d42eccd07055cf9eb9fd946a21654,Donald Stufft,2013-02-23 09:21:06+00:00,Quiet down the output of the invoke tasks,False,17,8,9,,,,596,163,280,180,1.3333333333333333,89.00760133228682,2.4545454545454546,2.8181818181818183,6.741217048273612,0.3181818181818182,4.075598297060757,0.22642212761448652,0.0022470723494245367
27,ab40497041a1fb2e367d8b7e9aad207a40f14bc7,Donald Stufft,2013-02-24 12:00:35+00:00,"Properly handle strings with internal nul

The strings from NaCl can contain nul characters inside the string
and are not nul terminated. Using ffi.buffer with an explict
size will prevent issues here.",False,6,3,3,,,,596,166,280,180,1.3333333333333333,88.92140505218991,2.4545454545454546,2.8181818181818183,6.741217048273612,0.3181818181818182,4.075598297060757,0.22642212761448652,0.0022470723494245367
28,7d494e9b79b7c4306a2bfc43bc63d752d635d6a2,Donald Stufft,2013-02-24 12:27:38+00:00,"Remove support for libnacl leaving only libsodium

The reference implementation of NaCl hasn't seen a release in a
long time and libsodium has several additions we require.",False,124,37,87,0.0,0.0,0.3181818181818182,548,150,249,169,1.4285714285714286,89.07662120836761,2.4545454545454546,2.8181818181818183,6.741217048273612,0.3181818181818182,4.075598297060757,0.22642212761448652,0.0022470723494245367
29,4617f89d2eab9c3067aaa3b978285b85073c0bf5,Donald Stufft,2013-02-24 12:41:58+00:00,"Include the ability to sign data using ed25519

* nacl.signing.SigningKey represents a single signing key and
  gets intitalized with a seed value.
* nacl.signing.SigningKey.generate() creates a random seed
  and instiates a SigningKey with it.
* nacl.signing.SigningKey().sign() returns a bytes subclass that
  contains the signature and message concated together. However
  it also contains a .signature and .messge property to get the
  components seperately.",False,1536,1535,1,0.6951871657754011,0.6951871657754011,0.732620320855615,1058,461,613,198,1.8833333333333333,82.1219851570124,6.857142857142857,10.357142857142858,46.384338721259766,1.0357142857142858,287.85814954650965,15.992119419250534,0.01546144624041992
30,0473a0805981ac9e520a297a596cb7b6462c6e6d,Donald Stufft,2013-02-24 13:30:34+00:00,"Add VerifyKey which can be used to verify a signed message

* Accepts the binary representation of a public key
* nacl.signing.VerifyKey().verify accepts either a single signed
  message with the signature and message conatted or seperate
  message and signature and will raise an exception if it detects
  tampering, forgery, or corruption.",False,65,65,0,1.0,1.0,0.5161290322580645,1123,499,652,202,1.8955223880597014,81.60048578866407,7.857142857142857,12.0,54.736280214604804,1.1361927546138073,314.5732374297978,17.4762909683221,0.018245426738201603
31,144dd4d555180b37663b8c7db021c300f721ba63,Donald Stufft,2013-02-24 18:38:09+00:00,Mock dependencies when building documentation,False,25,25,0,1.0,1.0,0.6923076923076923,573,168,267,170,1.5555555555555556,84.27882293493575,3.0,3.3636363636363638,8.151196594121513,0.4090909090909091,5.48557784290866,0.3047543246060367,0.002717065531373838
32,000b6e2dfcf5ef7e556854dae0c99982c05f8daf,Donald Stufft,2013-02-24 18:53:23+00:00,Standardize __future__ imports,False,21,21,0,,,,594,183,282,170,1.5555555555555556,83.9578769358006,3.0,3.3636363636363638,8.151196594121513,0.4090909090909091,5.48557784290866,0.3047543246060367,0.002717065531373838
33,7cba9c22dae7df205da9b932ac5a49dbc6417dc4,Donald Stufft,2013-02-24 19:03:57+00:00,Properly Mock out the dependencies for building the docs,False,11,5,6,0.0,0.0,0.0,593,183,282,169,1.5555555555555556,84.05820286411344,2.8181818181818183,3.3636363636363638,7.832126139182702,0.37878787878787873,4.802871024333484,0.2668261680185269,0.002610708713060901
