ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,a5cf53c826c438dffa35fc8e2596bfcda27bb005,Christian Heimes,2012-10-03 16:52:33+00:00,"First very rough implementation of sha3 for Python 3.3+.
The module compiles but doesn't work properly yet.",False,4714,4714,0,0.5834333733493398,0.6530612244897959,0.6326530612244898,35,4,33,1,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,ae2ae6c996055c6494e40ef56485ce5099994900,Christian Heimes,2012-10-03 23:53:48+00:00,tune setup.py to support 32 and 64bit platforms,False,28,19,9,,,,45,14,40,1,,72.79687472905088,10.0,12.0,39.863137138648355,1.7142857142857142,68.33680652339717,3.796489251299843,0.013287712379549451
2,81d72f57595de35f0b83fec7425390272d93b7dd,Christian Heimes,2012-10-04 02:04:13+00:00,publish as pysha3 for Python 2.6 - 3.3,False,26,19,7,,,,57,19,52,2,,70.98144674850923,11.0,15.0,51.89147427955947,1.875,97.296514274174,5.405361904120777,0.01729715809318649
3,f58ca7163ba7dca9e69421bf78eaafbae535427c,Christian Heimes,2012-10-04 09:36:41+00:00,add fascade module,False,7,7,0,,,,64,21,54,5,,85.49072337425461,5.5,7.5,25.945737139779734,0.9375,48.648257137087,2.7026809520603887,0.008648579046593245
4,9ea50bf6a9c241696dd5f197f9f95fc53f6e02c1,Christian Heimes,2012-10-04 09:43:35+00:00,include sha3 in distribution,False,1,1,0,,,,65,21,55,5,,85.43895217505036,5.5,7.5,25.945737139779734,0.9375,48.648257137087,2.7026809520603887,0.008648579046593245
5,9c0e003bcadc217959308db81a6fcebfb6a7bdb2,Christian Heimes,2012-10-04 10:02:05+00:00,include readme and topic security in dist,False,6,4,2,,,,67,21,57,4,,83.74368033036725,5.5,7.5,25.945737139779734,0.9375,48.648257137087,2.7026809520603887,0.008648579046593245
6,bdbbd93682df793553ef1c8ec554f62ca9405b6a,Christian Heimes,2012-10-04 13:56:25+00:00,tests for sha3,False,134,134,0,0.21739130434782608,1.0,0.6304347826086957,201,111,167,4,1.5,71.20821020804742,6.333333333333333,8.0,26.297158093186493,0.9583333333333334,41.432171424724665,2.3017873013735923,0.008765719364395496
7,f13cba104af450ab3009f7b3e5e033a325b58ad6,Christian Heimes,2012-10-04 14:14:01+00:00,set exit code after tests,False,3,2,1,,,,202,112,168,4,1.5,70.86658311957456,7.0,8.666666666666666,29.477561107773482,1.125,50.70277594660516,2.8168208859225086,0.009825853702591161
8,ed193b6bc35117f0ff3273b8cc6ab4fbc7e4a247,Christian Heimes,2012-10-04 14:30:51+00:00,prepare release 0.1,False,11,5,6,,,,201,112,166,4,1.5,70.91547731002129,7.0,8.666666666666666,29.477561107773482,1.125,50.70277594660516,2.8168208859225086,0.009825853702591161
9,a1fddf39c486be9873db01ecba9cd2997ea9e1a7,Christian Heimes,2012-10-04 14:39:27+00:00,SIZEOF_VOID_P is not available under windows,False,10,2,8,,,,195,107,161,4,1.5,72.37175562740966,6.666666666666667,7.666666666666667,25.468115394136447,1.0714285714285714,41.04954002967955,2.280530001648864,0.008489371798045481
10,f458bbaac90b4892efbfac44bcf172964699f548,Christian Heimes,2012-10-04 19:08:35+00:00,directly include the dependencies instead of building the object files site by site,False,33,16,17,,,,187,103,156,4,1.5,81.70412956599638,3.3333333333333335,3.6666666666666665,12.180403014586995,0.5,18.270604521880493,1.0150335845489162,0.004060134338195665
11,713f9cda6aa1fd0d2c89e4bebcbcd0577a368eb2,Christian Heimes,2012-10-04 19:10:18+00:00,add code cleanup helper for Keccak code,False,38,38,0,1.0,1.0,1.0,225,129,182,9,1.75,82.93970094741718,3.25,3.5,10.324024136481114,0.5,14.297314329180804,0.7942952405100446,0.003441341378827038
12,d2247a713c254f4926b0216deda475b15e43a213,Christian Heimes,2012-10-04 19:23:20+00:00,Bump up version,False,2,1,1,,,,225,129,182,9,1.75,82.93970094741718,3.25,3.5,10.324024136481114,0.5,14.297314329180804,0.7942952405100446,0.003441341378827038
13,ad4058af81735a9fac08602c57970ac8925f208e,Christian Heimes,2012-10-04 19:37:55+00:00,Remove alias sha3() for sha3_512(),False,13,5,8,0.0,0.0,0.0,220,126,178,9,1.8181818181818181,82.9923346924336,3.25,3.5,10.324024136481114,0.5,14.297314329180804,0.7942952405100446,0.003441341378827038
14,527d94196b97f7df64eb4230f1abcbeacc3d2ce7,Christian Heimes,2012-10-04 19:38:14+00:00,include CHANGES.txt in distribution,False,9,8,1,,,,227,132,184,9,1.8181818181818181,82.9923346924336,3.25,3.5,10.324024136481114,0.5,14.297314329180804,0.7942952405100446,0.003441341378827038
15,1dbb3676c0c7ea54af516651bd85cf3aefbee82b,Christian Heimes,2012-10-05 12:24:49+00:00,"Monkey patch the hashlib module to support, e.g. hashlib.sha3_512() and
hashlib.new(""sha3_512"")",False,44,44,0,1.0,0.4583333333333333,1.0,268,166,218,10,2.1538461538461537,77.16052754482683,6.75,8.5,28.842845268243206,1.140625,56.82151924687564,3.156751069270869,0.009614281756081068
16,d3b94dd9ac5184fcb68bf181d957199c7a103409,Christian Heimes,2012-10-06 13:33:05+00:00,"sync with Python default branch: release GIL, fix build on platforms w/o uint64",False,174,142,32,0.0,1.0,1.0,279,173,225,14,2.3076923076923075,75.63682538378504,8.25,10.75,37.16389839702928,1.515625,75.24670831775909,4.180372684319949,0.012387966132343092
17,a3d0d1f03318948a5b6c9ed9cfd1b89371f50923,Christian Heimes,2012-10-06 13:47:06+00:00,Python 2.6 doesn't have assertIs(),False,4,2,2,,,,279,173,225,14,2.3076923076923075,75.63682538378504,8.25,10.75,37.16389839702928,1.515625,75.24670831775909,4.180372684319949,0.012387966132343092
18,176912341b96613ec6a4f0eab1e9554ea60feda2,Christian Heimes,2012-10-06 14:03:35+00:00,Prepare release 0.2,False,6,3,3,,,,279,173,225,14,2.3076923076923075,75.63682538378504,8.25,10.75,37.16389839702928,1.515625,75.24670831775909,4.180372684319949,0.012387966132343092
19,fb8bc6259b1ab471c4073da4e51cbad5802d3ded,Christian Heimes,2012-10-06 14:53:41+00:00,default is 0.3dev,False,8,7,1,,,,279,173,225,14,2.3076923076923075,75.63682538378504,8.25,10.75,37.16389839702928,1.515625,75.24670831775909,4.180372684319949,0.012387966132343092
20,3132b30e7f0bdeb139d9962ff42514484b2757d9,Christian Heimes,2012-10-06 15:00:25+00:00,"shebang for setup.py, drop x bit",False,1,1,0,,,,280,173,225,15,2.3076923076923075,75.63682538378504,8.25,10.75,37.16389839702928,1.515625,75.24670831775909,4.180372684319949,0.012387966132343092
21,0de2cd66501983fe589f73c6ae3b7371b7731bdb,Christian Heimes,2012-10-06 16:09:47+00:00,added setup.py test command with hack for inplace builds,False,36,35,1,1.0,1.0,1.0,310,192,244,19,2.235294117647059,70.04968587876166,9.0,11.5,38.35262027257014,1.640625,75.84106925552952,4.213392736418307,0.01278420675752338
22,d5f087ff859da960c5a1807814eefab3c082da1e,Christian Heimes,2012-10-06 18:49:25+00:00,cleanup implementation of TestCommand class,False,28,19,9,1.0,1.0,1.0,320,197,247,17,2.2222222222222223,70.57430211604773,9.0,11.5,38.35262027257014,1.640625,75.84106925552952,4.213392736418307,0.01278420675752338
23,c58042309b502e4a1031c90e5e9f8da830aed7ee,Christian Heimes,2012-10-06 19:31:40+00:00,prepare release 0.2.1,False,12,7,5,,,,320,197,247,17,2.2222222222222223,70.57430211604773,9.0,11.5,38.35262027257014,1.640625,75.84106925552952,4.213392736418307,0.01278420675752338
24,9c9bf9860889f2cc70d96cc15e093f86c15f02e9,Christian Heimes,2012-10-07 21:43:50+00:00,Re-add brg_endian.h to fix issue on Solaris (big endian platform),False,167,158,9,1.0,0.0,0.0,320,194,244,20,2.1666666666666665,72.12508661497893,8.25,10.0,32.72028901932494,1.390625,60.69896299795737,3.3721646109976318,0.010906763006441646
25,8bb7d42074cdc4cdfcf1b28b8afe0f9d3b593101,Christian Heimes,2012-10-07 21:51:23+00:00,release 0.2.2,False,4,2,2,,,,320,194,244,20,2.1666666666666665,72.12508661497893,8.25,10.0,32.72028901932494,1.390625,60.69896299795737,3.3721646109976318,0.010906763006441646
26,b85d2189d0f091184fe654959da3626166608948,Christian Heimes,2012-10-13 23:35:28+00:00,add changelog comment,False,15,11,4,,,,320,194,244,20,2.1666666666666665,72.12508661497893,8.25,10.0,32.72028901932494,1.390625,60.69896299795737,3.3721646109976318,0.010906763006441646
