ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,79562dc331fbe4aea1ad8e1c1dbb94d7601cf62c,James Socol,2011-04-11 18:44:23+00:00,Typo,False,2,1,1,,,,79,43,57,1,1.6666666666666667,88.8228403928099,5.0,6.666666666666667,26.045937304056793,0.5416666666666666,42.32464811909229,2.3513693399495716,0.008681979101352265
1,c0e68d9e4fe18154deb412d5897702603883cc06,James Socol,2011-04-11 18:47:27+00:00,Support Django being on the path but unused.,False,9,6,3,,,,82,46,60,1,1.6666666666666667,88.8228403928099,5.0,6.666666666666667,26.045937304056793,0.5416666666666666,42.32464811909229,2.3513693399495716,0.008681979101352265
2,6b92773e5c8e49bd251c5fddf6dad0276c27f3dc,James Socol,2011-04-11 18:50:44+00:00,"Grr, versions should be easier, it's 2011.",False,3,2,1,,,,83,47,61,1,1.6666666666666667,88.8228403928099,5.0,6.666666666666667,26.045937304056793,0.5416666666666666,42.32464811909229,2.3513693399495716,0.008681979101352265
3,476ae8e7a46d1cf900e81de7a5c47368dff2d365,James Socol,2011-04-11 19:03:35+00:00,Add statsd.timer() context manager.,False,40,37,3,1.0,1.0,0.0,102,57,70,1,1.5714285714285714,91.72901872526205,7.0,8.666666666666666,38.06675099741593,0.8854166666666666,101.11480733688605,5.61748929649367,0.012688916999138643
4,b53b47c7ddf65fc1f2801383c97ce5a273c7f0b4,James Socol,2011-04-11 19:04:00+00:00,version,False,2,1,1,,,,102,57,70,1,1.5714285714285714,91.72901872526205,7.0,8.666666666666666,38.06675099741593,0.8854166666666666,101.11480733688605,5.61748929649367,0.012688916999138643
5,328bc1d64bc22f7821bf7a382f3f5bb12eee0298,Jeff Balogh,2011-05-26 22:54:56+00:00,add an optional prefix to all messages,False,9,7,2,1.0,1.0,0.0,107,61,74,1,1.7142857142857142,91.06486729220849,7.666666666666667,9.666666666666666,43.727765575217795,0.8796296296296297,115.39271471238028,6.410706372910016,0.01457592185840593
6,cc30f6533b77b6e5e631966de1e4fa11cf9cb343,James Socol,2011-08-25 15:38:54+00:00,Functional context decorator and tests to prove it.,False,124,101,23,1.0,1.0,1.0,209,138,146,3,1.4444444444444444,89.91680337230159,5.75,7.25,32.795824181413344,0.6597222222222222,86.54453603428522,4.808029779682512,0.010931941393804448
7,bbf857ddae2f24a10198ccbdf9705db101ad0307,James Socol,2011-08-25 15:51:57+00:00,Document and clean up.,False,82,71,11,1.0,1.0,0.5,228,147,155,3,1.4,89.91680337230159,5.75,7.25,32.795824181413344,0.6597222222222222,86.54453603428522,4.808029779682512,0.010931941393804448
8,3312ca3acdbda7ed1ef326e4ef95b4bb35a71f4b,James Socol,2011-08-25 16:04:36+00:00,Timers are thread-safe again.,False,15,15,0,1.0,1.0,0.5714285714285714,243,159,164,4,1.3478260869565217,89.5429005832192,5.75,7.25,32.795824181413344,0.6597222222222222,86.54453603428522,4.808029779682512,0.010931941393804448
9,5b54086048ce4ca057d8324a40c989ddf7d66572,James Socol,2011-08-25 16:07:56+00:00,Improve _timer_check assertion.,False,14,8,6,,,,245,160,165,4,1.3478260869565217,78.12869842849557,6.5,8.0,33.98454605695421,0.7847222222222222,87.13889697205565,4.841049831780869,0.011328182018984737
10,28d8288a2c0dae24e33c097c5de4066cfe257442,James Socol,2011-08-25 16:11:17+00:00,New feature -> new version.,False,2,1,1,,,,245,160,165,4,1.3478260869565217,78.12869842849557,6.5,8.0,33.98454605695421,0.7847222222222222,87.13889697205565,4.841049831780869,0.011328182018984737
11,005f2427733d64f54f4c0cd9034ed7fd5055bd98,James Socol,2011-08-25 16:24:05+00:00,VERSION shouldn't be in __all__,False,2,1,1,,,,245,160,165,4,1.3478260869565217,78.12869842849557,6.5,8.0,33.98454605695421,0.7847222222222222,87.13889697205565,4.841049831780869,0.011328182018984737
12,b8d3acb44370a632123338cae8451376dbe5e688,Jeff Balogh,2011-09-06 22:25:20+00:00,return the result of statsd.timer,False,27,26,1,1.0,1.0,0.9,262,172,176,4,1.3461538461538463,77.50280953826113,6.5,8.0,33.98454605695421,0.7847222222222222,87.13889697205565,4.841049831780869,0.011328182018984737
13,6f9607c6c2cdb75f3b895169274767c5276040ad,Jeff Balogh,2011-09-07 00:28:13+00:00,beware the threading monster,False,7,6,1,,,,267,172,176,9,1.3461538461538463,79.01462778899733,6.5,8.0,33.98454605695421,0.7847222222222222,87.13889697205565,4.841049831780869,0.011328182018984737
