ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,b1410c2434f959f0faa30020b63f53b761b0a7e1,Jason R. Coombs,2011-11-29 22:02:24+00:00,Adding command,False,54,54,0,1.0,1.0,1.0,54,34,36,1,2.3333333333333335,80.47175695115831,8.0,8.0,24.0,1.5,36.0,2.0,0.008
1,f6062b8d4322827f80f5d40e0ab4c1cb4e9c2275,Jason R. Coombs,2011-12-02 20:57:31+00:00,Added support for getting extras when running tests,False,5,5,0,1.0,0.0,1.0,59,37,41,1,2.6666666666666665,76.97519429460903,11.0,11.0,38.053747805010275,2.0,76.10749561002055,4.228194200556697,0.012684582601670092
2,e13613436c2aa402a041a069ad0f0ca1c0bf16a3,Jason R. Coombs,2012-01-27 19:16:20+00:00,Expanded documentation,False,18,15,3,,,,71,40,41,1,2.6666666666666665,81.23071135956711,11.0,11.0,38.053747805010275,2.0,76.10749561002055,4.228194200556697,0.012684582601670092
3,5e90e2c790ee8fb87f7b53f9ff84d18bdf72a18a,Jason R. Coombs,2012-01-27 20:30:43+00:00,Initial work on supporting easy_install parameters in test command,False,45,44,1,0.12121212121212122,0.09090909090909091,1.0,114,70,79,4,3.5714285714285716,69.87732799648091,19.0,20.0,84.9585502688717,3.0,254.8756508066151,14.159758378145284,0.028319516756290568
4,83c2b28ccd8f1939116628e09e4464f2b38a3f77,Jason R. Coombs,2012-02-07 21:27:43+00:00,Added support for returning the dict so the params can be constructed inline.,False,4,2,2,1.0,1.0,1.0,114,71,80,4,3.5714285714285716,69.35269648900633,19.0,20.0,84.9585502688717,3.0,254.8756508066151,14.159758378145284,0.028319516756290568
5,e7fb2440ed0249c038417de1ade7724115ec2bdb,Jason R. Coombs,2012-02-07 21:39:10+00:00,Fixed issue with index_url and allow_hosts,False,4,2,2,,,,114,71,80,4,3.5714285714285716,69.35269648900633,19.0,20.0,84.9585502688717,3.0,254.8756508066151,14.159758378145284,0.028319516756290568
6,d4e8fd23a689318b5b80e2780e72437576636772,Jason R. Coombs,2012-02-07 22:38:17+00:00,Fixed issue with handling of easy_install paramters.,False,13,6,7,0.0,0.0,0.0,113,70,79,4,3.4285714285714284,69.71188568137951,19.0,20.0,84.9585502688717,3.0,254.8756508066151,14.159758378145284,0.028319516756290568
7,0b6df53304d86e78bd0f1524a4dec419913d00cf,Jason R. Coombs,2012-05-06 14:39:56+00:00,An initial attempt to create a pytest runner that's invoked on entry points,False,22,22,0,,,,135,75,98,6,3.4285714285714284,89.22123902024413,7.333333333333333,7.666666666666667,29.904479257011726,1.1666666666666667,85.75103151923228,4.763946195512904,0.009968159752337242
8,2c6e26b1637b3741ca08e87bf2a6d692521c6a99,Jason R. Coombs,2012-05-06 14:41:21+00:00,Renamed module to be importable,False,2,1,1,,,,135,75,98,6,3.4285714285714284,89.22123902024413,7.333333333333333,7.666666666666667,29.904479257011726,1.1666666666666667,85.75103151923228,4.763946195512904,0.009968159752337242
9,09cfcecdd908425377fa20c20ede63e65572e9af,Jason R. Coombs,2012-05-06 15:01:57+00:00,Fixed issue with installing,False,2,1,1,,,,135,75,98,6,3.4285714285714284,89.22123902024413,7.333333333333333,7.666666666666667,29.904479257011726,1.1666666666666667,85.75103151923228,4.763946195512904,0.009968159752337242
10,289d9f1afa892074149688886319cf3ff773aeab,Jason R. Coombs,2012-05-06 18:50:55+00:00,Renamed module to ptr and eliminated unnecessary package,False,22,17,5,,,,147,75,98,6,3.4285714285714284,89.84284116253178,7.333333333333333,7.666666666666667,29.904479257011726,1.1666666666666667,85.75103151923228,4.763946195512904,0.009968159752337242
11,ad7f6535d39be2f938e5ae2dc33bf1c148390bd4,Jason R. Coombs,2012-05-06 18:55:34+00:00,Removing unused module,False,0,0,0,,,,147,75,98,6,3.4285714285714284,84.76426174379768,11.0,11.5,44.85671888551759,1.75,128.62654727884842,7.1459192932693565,0.014952239628505863
12,840ff4c2bf6c752d9770f0dd8d64a841060cf9bc,Jason R. Coombs,2012-05-23 20:25:17+00:00,"Moved docs into README
Return result_code of test run in case setuptools can use it",False,57,37,20,1.0,0.0,1.0,130,76,99,6,3.4285714285714284,82.99690230970754,11.0,11.5,44.85671888551759,1.75,128.62654727884842,7.1459192932693565,0.014952239628505863
13,de551c6cf7e79e7f8b4c7948302d4549cc2245c2,Jason R. Coombs,2012-09-07 20:29:25+00:00,Added support for --addopts to ptr command,False,40,29,11,1.0,1.0,1.0,140,81,107,8,3.5714285714285716,82.96456529029052,9.5,10.0,36.377443751081735,1.5,86.18872187554086,4.788262326418937,0.012125814583693913
14,fe52b5a448f559e70297cbd836eca228656746c4,Jason R. Coombs,2012-10-22 16:12:23+00:00,Force exit on test failure,False,2,2,0,0.0,0.0,1.0,142,83,109,8,3.7142857142857144,82.68584778038894,9.5,10.0,36.377443751081735,1.5,86.18872187554086,4.788262326418937,0.012125814583693913
15,c199ca540c2046b8c9eb54f84ca2082a7a14fc9a,Jason R. Coombs,2012-12-27 14:09:55+00:00,pytest-runner is released under the MIT license.,False,8,8,0,,,,150,83,117,8,3.7142857142857144,81.39583054124657,9.5,10.0,36.377443751081735,1.5,86.18872187554086,4.788262326418937,0.012125814583693913
16,a2043b0816f584b63cd10448f780bd5a6325e214,Jason R. Coombs,2013-05-18 14:06:40+00:00,Removed deprecated functionality,False,55,14,41,0.0,0.0,0.0,125,70,100,6,3.6666666666666665,82.43450523914713,7.5,7.5,23.887218755408675,1.25,44.208271884194744,2.456015104677486,0.007962406251802891
17,b69d963c7203f82fa144338a13f216645a6a6a56,Jason R. Coombs,2014-06-18 12:58:31+00:00,Rename module for clarity,False,4,2,2,,,,125,70,100,6,3.6666666666666665,82.43450523914713,7.5,7.5,23.887218755408675,1.25,44.208271884194744,2.456015104677486,0.007962406251802891
18,c9ab898dfb602fc1e04f94f126c01ccbcc9c0f92,Jason R. Coombs,2014-08-21 22:42:23+00:00,Reindent for clarity,False,5,3,2,,,,126,70,101,6,3.6666666666666665,82.30854131501505,7.5,7.5,23.887218755408675,1.25,44.208271884194744,2.456015104677486,0.007962406251802891
19,6402825e1656438d4c5deb636325da5084f124f4,Jason R. Coombs,2014-08-21 22:43:38+00:00,Add pytest command. Ref #2.,False,8,7,1,,,,127,70,102,6,3.6666666666666665,82.18841713550339,7.5,7.5,23.887218755408675,1.25,44.208271884194744,2.456015104677486,0.007962406251802891
