ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,618ee9e4c41bdd1ee20f51d7dab281730748d8a1,Markus Unterwaditzer,2015-01-28 19:52:40+00:00,init,False,781,781,0,1.0,1.0,0.8163265306122449,276,114,141,46,1.3076923076923077,88.65704409216876,2.75,3.5,9.438721875540868,0.65,17.91936093777043,0.9955200520983574,0.003146240625180289
1,859c64099537c9220bc27bff390c45f90fd00070,Markus Unterwaditzer,2015-01-29 10:30:46+00:00,Lazily open tmpfile,False,31,15,16,0.0,0.0,0.0,275,114,140,46,1.4615384615384615,88.65704409216876,2.75,3.5,9.438721875540868,0.65,17.91936093777043,0.9955200520983574,0.003146240625180289
2,e6a0dcb78c704d80e318a11d0ba1f1cb7fa21499,Markus Unterwaditzer,2015-01-29 11:00:00+00:00,Version 0.1.0,False,8,8,0,,,,275,114,140,46,1.4615384615384615,88.65704409216876,2.75,3.5,9.438721875540868,0.65,17.91936093777043,0.9955200520983574,0.003146240625180289
3,302693f95d9bf7eabedbb054d50ec75a9ab96e27,Markus Unterwaditzer,2015-01-29 11:43:18+00:00,add another test,False,9,9,0,1.0,1.0,1.0,284,120,146,46,1.4285714285714286,86.88014361409063,3.25,4.0,11.152410118609202,0.775,20.227410118609203,1.1237450065894001,0.0037174700395364007
4,ce5bb4a2a6d1e7e638e2b078c9575c2b21aa977f,Markus Unterwaditzer,2015-02-01 20:48:52+00:00,Avoid resource leak,False,12,6,6,,,1.0,284,120,146,46,1.4285714285714286,86.88014361409063,3.25,4.0,11.152410118609202,0.775,20.227410118609203,1.1237450065894001,0.0037174700395364007
5,b0fb95f9b45add0dbb4de88cc978d48cafcb4b49,Markus Unterwaditzer,2015-02-01 20:50:09+00:00,Version 0.1.1,False,3,1,2,0.0,0.0,0.0,283,119,145,46,1.4285714285714286,86.88014361409063,3.25,4.0,11.152410118609202,0.775,20.227410118609203,1.1237450065894001,0.0037174700395364007
6,12ef667f5c9e7734f3f869d44c66cf63d83fcc55,Markus Unterwaditzer,2015-02-05 13:32:36+00:00,"Untested Windows support, API rewrite",False,117,78,39,1.0,1.0,1.0,325,129,176,45,1.3571428571428572,76.88213028296649,7.5,9.25,29.47422914340929,1.5,61.94120421460176,3.44117801192232,0.009824743047803095
7,e359bdf249a21844248142adaf71e6aa58f287e9,Markus Unterwaditzer,2015-02-05 13:37:39+00:00,Version 0.1.2,False,4,2,2,,,,325,129,176,45,1.3571428571428572,76.88213028296649,7.5,9.25,29.47422914340929,1.5,61.94120421460176,3.44117801192232,0.009824743047803095
8,ea62409342e0b53468ba69318391da997d0700ff,Markus Unterwaditzer,2015-02-05 13:44:12+00:00,Remove leftover reference to old API,False,3,1,2,,,,324,129,176,45,1.3571428571428572,76.85930402031684,7.5,9.25,29.47422914340929,1.5,61.94120421460176,3.44117801192232,0.009824743047803095
9,58f3ca60dae80d87a542a8e2cf7bc64869311ca6,Markus Unterwaditzer,2015-02-05 15:37:46+00:00,Fix link,False,3,1,2,,,,323,129,176,45,1.3571428571428572,76.83279652007985,7.5,9.25,29.47422914340929,1.5,61.94120421460176,3.44117801192232,0.009824743047803095
