ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,48dd6623bfeb8635082cdecb0f87e75d3a9c4672,David Bieber,2017-03-02 20:37:19+00:00,"Updates documentation and fixes example CLI main syntax.

Copybara generated commit for Python Fire.

PiperOrigin-RevId: 149033447
Change-Id: I0a9b2efbf6d8fb5436c3cca419d01bee376079be
Reviewed-on: https://team-review.git.corp.google.com/63542
Reviewed-by: David Bieber <dbieber@google.com>",False,84,43,41,0.0,0.0,0.0,4172,1973,2235,557,1.8653846153846154,77.24835092999976,13.727272727272727,20.0,104.75825957484737,1.692068117068117,673.7191950461656,37.428844169231446,0.03491941985828245
1,63aba49c50b6088aa670ad0877b6d059c21cdf00,Jared Garst,2017-03-06 15:17:58+00:00,"Support annotations in functions. (#8)

* Fix error with annotated functions.

Calling inspect.getargspec on an annotated function throws an error in
Python 3. inspect.getfullargspec should be used instead.

* Change if/elif to if/else

if else allows better static analysis.",False,26,24,2,0.6363636363636364,0.6363636363636364,1.0,4194,1989,2249,557,1.860759493670886,77.20586533422372,13.727272727272727,20.181818181818183,105.53061003183711,1.7082297332297331,679.0741582146278,37.726342123034904,0.03517687001061237
2,f8ad6b7f78ef39c2e439187b706724d47cb0b0c6,Raphael Deem,2017-03-06 15:20:16+00:00,"Combine logic for printing lists, generators, and sets (#9)

* cleanup logic in print

* leave tuple logic separate",False,10,3,7,1.0,1.0,0.0,4190,1984,2244,557,1.8481012658227849,77.2249741465534,13.727272727272727,20.181818181818183,105.53061003183711,1.7082297332297331,679.0741582146278,37.726342123034904,0.03517687001061237
3,59d9095efbba628895e7b57c8c7c5775cc4638b8,Yuval Greenfield,2017-03-06 15:29:49+00:00,"Allow Fire to serialize empty dictionaries (#5)

* Fix for empty dictionary print outs

This should handle https://github.com/google/python-fire/issues/4

* pep8 prefers `if not seq` over `len == 0`

* Use single quotes",False,3,3,0,1.0,0.0,1.0,4193,1986,2246,557,1.8512658227848102,77.21877121808224,13.757575757575758,20.242424242424242,106.02786579352926,1.7075436268832496,682.7200294350849,37.9288905241714,0.035342621931176425
4,8e294783b1367857083e0665a55dfdddccd033ee,David Bieber,2017-03-07 18:36:24+00:00,"Cleans up formatting and adds requirements.txt file.
- requirements.txt file just contains '.' indicating to use setup.py
- whitespace cleanup

Copybara generated commit for Python Fire.

PiperOrigin-RevId: 149431484
Change-Id: I6fb5413ba2c9d5eed654d6710f8cc756180e90dc
Reviewed-on: https://team-review.git.corp.google.com/63905
Reviewed-by: David Bieber <dbieber@google.com>",False,7,3,4,,,,4191,1986,2246,557,1.8512658227848102,77.21877121808224,13.757575757575758,20.242424242424242,106.02786579352926,1.7075436268832496,682.7200294350849,37.9288905241714,0.035342621931176425
5,88f65747e25c20901483ed1d29d79392bd9b6fe3,David Bieber,2017-03-09 22:35:02+00:00,"Use 'is' in place of '==' for determining whether Python object has changed in Fire.

Copybara generated commit for Python Fire.

PiperOrigin-RevId: 149692390
Change-Id: I6fb5413ba2c9d5eed654d6710f8cc756180e90dc
Reviewed-on: https://team-review.git.corp.google.com/63904
Reviewed-by: David Bieber <dbieber@google.com>",False,31,27,4,1.0,1.0,1.0,4214,2000,2259,561,1.841121495327103,77.04196447312384,13.848484848484848,20.424242424242426,106.57003252647259,1.708458435345228,652.4539653459775,36.24744251922098,0.03552334417549086
6,1239bdd23b0112701d3817d5fdf109f80ae4c35b,David Bieber,2017-03-11 21:54:29+00:00,"Handles looking up source file of components w/o source gracefully by dbieber <dbieber@google.com>

Copybara generated commit for Python Fire.


PiperOrigin-RevId: 149854483
Change-Id: I6ad4470e1651f1cac4d3a95384085cde8068426b
Reviewed-on: https://team-review.git.corp.google.com/64257
Reviewed-by: David Bieber <dbieber@google.com>",False,15,6,9,1.0,1.0,1.0,4211,1999,2258,561,1.841121495327103,77.0435307387854,13.848484848484848,20.424242424242426,106.57003252647259,1.708458435345228,652.4539653459775,36.24744251922098,0.03552334417549086
7,babf4f19bb482446132fd9dde977a1b87cca36a5,Jared Garst,2017-03-20 21:41:12+00:00,"Fix keyword-only arguments (#18)

Adds support for keyword-only arguments to Fire.",False,308,194,114,0.8636363636363636,0.6590909090909091,1.0,4291,2059,2311,574,1.8628048780487805,76.9688838223521,14.205882352941176,20.970588235294116,110.39314924050719,1.6678288393215517,666.2998694454146,37.01665941363416,0.036797716413502414
8,c3f158a811eb39738772ae0ef97b48c27dd666b8,keatinge,2017-03-22 20:51:42+00:00,"Fix failing tests on Windows due to hardcoded file paths (#30)

* Fix failing tests on Windows due to hardcoded file paths",False,8,5,3,,,,4293,2061,2313,574,1.8628048780487805,76.95721111884363,14.205882352941176,20.970588235294116,110.39314924050719,1.6678288393215517,666.2998694454146,37.01665941363416,0.036797716413502414
9,c399562dd8d798125abbd44514860f03ef76eeca,Jeff Tratner,2017-03-23 00:08:58+00:00,"Exit with a status code if Fire encounters an error (#27)

Checked in by David Bieber, authored by David and Jeff.

* Exit with a status code if Fire encounters an error
* adds FireExit and assertRaisesFireExit
* does not expose FireExit publicly yet",False,268,198,70,0.20833333333333334,1.0,0.5416666666666666,4421,2142,2380,589,1.877245508982036,77.0222200224314,14.228571428571428,20.857142857142858,109.13669183721682,1.6987480153409358,652.4812198996799,36.248956661093345,0.03637889727907229
10,05d59337d8c08a128c0a184d61ca525924428948,Raphaël B,2017-03-24 15:20:59+00:00,Fix typing error in docstring (#21),False,2,1,1,,,,4421,2142,2380,589,1.877245508982036,77.0222200224314,14.228571428571428,20.857142857142858,109.13669183721682,1.6987480153409358,652.4812198996799,36.248956661093345,0.03637889727907229
11,4198d5a42baebc279d95035167348c61e219c70f,David Bieber,2017-03-27 20:01:23+00:00,"Adds pylintrc and moves towards conforming to the pylintrc (#36)

* Adds pylintrc and moves towards conforming to that pylintrc.
* Also moves all tests to use testutils.BaseTestCase.

Copybara generated commit for Python Fire.

PiperOrigin-RevId: 151341797
Change-Id: I1c4d7ecf1fc4d7931e6c91328649fa5da9e916e1
Reviewed-on: https://team-review.git.corp.google.com/65525
Reviewed-by: David Bieber <dbieber@google.com>",False,391,322,69,1.0,1.0,1.0,4446,2157,2385,595,1.8746268656716418,76.98345044257606,14.228571428571428,20.857142857142858,109.13669183721682,1.6987480153409358,652.4812198996799,36.248956661093345,0.03637889727907229
12,51fc990ddc5e181ce7fffdb86c60f47687e479d0,David Bieber,2017-03-28 14:51:47+00:00,Adds pylint script to .travis.yml (#38),False,140,81,59,1.0,1.0,1.0,4460,2161,2390,595,1.8746268656716418,79.79012023821937,12.45,18.25,95.49460535756472,1.4864045134233188,570.9210674122198,31.717837078456675,0.03183153511918826
13,ea80933cb3d0b1a154d6397e0c2a0d69d7dc0e4c,Jeff Tratner,2017-03-28 15:06:05+00:00,fix output printing on dict with no printable keys (#39),False,39,31,8,1.0,1.0,1.0,4483,2182,2406,595,1.8647058823529412,79.6317532416565,12.575,18.45,96.53538191373572,1.4843211800899856,573.5581025200813,31.864339028893426,0.03217846063791192
14,5e65a318585153b5b214bd1b417aee4cf907c634,David Bieber,2017-03-29 17:46:57+00:00,"Consistent colon usage in FireErrors.

PiperOrigin-RevId: 151593314
Change-Id: I5f91c0cc3445e07fd91e4e16d53b97372949d3c7
Reviewed-on: https://team-review.git.corp.google.com/65736
Reviewed-by: David Bieber <dbieber@google.com>",False,10,6,4,,,,4485,2182,2406,595,1.8647058823529412,79.6317532416565,12.575,18.45,96.53538191373572,1.4843211800899856,573.5581025200813,31.864339028893426,0.03217846063791192
15,3db47f8c8e0f8825e47a8f24e277c7964f3b768f,David Bieber,2017-03-31 16:05:15+00:00,"Lazy import IPython
And if IPython isn't available for IPython.embed, use `import code` instead

Copybara generated commit for Python Fire.


PiperOrigin-RevId: 151825310
Change-Id: Iaafc12bf061b1252ddec3919ede22b86cef046b8
Reviewed-on: https://team-review.git.corp.google.com/66281
Reviewed-by: David Bieber <dbieber@google.com>",False,13,8,5,1.0,1.0,1.0,4488,2185,2409,598,1.8676470588235294,79.60549279131996,12.575,18.45,96.53538191373572,1.4843211800899856,573.5581025200813,31.864339028893426,0.03217846063791192
16,9eb788624958453053c96e37a16521f87b7651bd,David Bieber,2017-03-31 17:42:49+00:00,"Provide completion scripts for fire.Fire(fn).

Copybara generated commit for Python Fire.

PiperOrigin-RevId: 151823094
Change-Id: I03073378734c83f27be69c9ea6fb237bb4f1e08e
Reviewed-on: https://team-review.git.corp.google.com/66328
Reviewed-by: David Bieber <dbieber@google.com>",False,28,22,6,1.0,0.9285714285714286,1.0,4504,2199,2423,598,1.8654970760233918,79.53792207155098,12.575,18.45,96.53538191373572,1.4843211800899856,573.5581025200813,31.864339028893426,0.03217846063791192
17,f48f93b5161d502549f7d21a4be2fd80b0431915,Neal McBurnett,2017-04-06 22:26:42+00:00,fix typo in setup.py SHORT_DESCRIPTION (#52),False,2,1,1,,,,4504,2199,2423,598,1.8654970760233918,79.53792207155098,12.575,18.45,96.53538191373572,1.4843211800899856,573.5581025200813,31.864339028893426,0.03217846063791192
18,a0791c9d40565a36bc540a168a6c19670dd90c78,Saurabh Patel,2017-04-07 17:10:41+00:00,"Fixed Issue 42: Handled another type of exception and added testcase … (#49)

Fixes issue #42, falling back to str when json fails to handle circular references",False,16,15,1,1.0,1.0,1.0,4518,2207,2432,599,1.8608695652173912,79.50129238193146,12.575,18.45,96.53538191373572,1.4843211800899856,573.5581025200813,31.864339028893426,0.03217846063791192
19,c1f045d9abaacc1f2a24ff78647be02ac1d277d2,Neal McBurnett,2017-04-11 17:30:47+00:00,"ipython<6.0 for #57; fix broken links in guide.md (#58)

* Fix broken links to using-cli.md (extra ""doc/"")
* require ipython < 6.0 for python 2.7 compatibility",False,14,7,7,,,,4518,2207,2432,599,1.8608695652173912,79.50129238193146,12.575,18.45,96.53538191373572,1.4843211800899856,573.5581025200813,31.864339028893426,0.03217846063791192
20,8eb6aa51a9681b62ab3763ee6e7ea4382f928ac3,David Bieber,2017-04-11 17:34:52+00:00,"Clean up formatting in test and guide.

Copybara generated commit for Python Fire.

PiperOrigin-RevId: 152732270
Change-Id: Ib76f3c41cbd4a262232bd09cb786480c5e781db5
Reviewed-on: https://team-review.git.corp.google.com/67886
Reviewed-by: David Bieber <dbieber@google.com>",False,4,2,2,,,,4517,2207,2432,599,1.8608695652173912,79.50129238193146,12.575,18.45,96.53538191373572,1.4843211800899856,573.5581025200813,31.864339028893426,0.03217846063791192
21,b76f1c3deac6b6277ee621330556bf430252dc1c,Jeff Tratner,2017-04-11 17:44:51+00:00,"Write help and trace messages to stderr (#54)

* Change test helper `assertOutputMatches` to track stdout and stderr + adds `assertRaisesRegex`
* Write help text to stderr
* Add some test cases for output matching",False,137,109,28,0.7058823529411765,0.14705882352941177,0.38235294117647056,4598,2240,2473,613,1.8624641833810889,79.98645575558565,12.21951219512195,17.926829268292682,93.78305912704818,1.448743615347328,558.5654494296132,31.03141385720075,0.03126101970901607
22,3b04b0edb969dcfa0b6af63fe347c551aaf9a42c,Saurabh Patel,2017-04-13 21:02:34+00:00,"Fixes part of #51: uses os.path.basename(sys.argv[0]) as default program name (#59)

* Uses os.path.basename(sys.argv[0]) for default program name",False,13,12,1,1.0,1.0,1.0,4609,2246,2482,614,1.86,79.97775530902324,12.21951219512195,17.926829268292682,93.78305912704818,1.448743615347328,558.5654494296132,31.03141385720075,0.03126101970901607
23,d9982003c6c9a1b6fb3add26d26f6eaf1e007332,David Bieber,2017-04-17 18:26:26+00:00,"Fix no-else-return lint violations.

Also cleans up some stylistic things.

PiperOrigin-RevId: 153106607
Change-Id: Id418ab8a2bd13cd983b6f2d9d285fa3e677fa650
Reviewed-on: https://team-review.git.corp.google.com/68304
Reviewed-by: David Bieber <dbieber@google.com>",False,53,25,28,0.6,0.8,0.4,4608,2243,2479,613,1.86,79.75977483484982,12.292682926829269,18.0,93.89903199295459,1.4609387372985476,558.6234358625663,31.03463532569815,0.03129967733098488
24,1f366f97602a1806f623ae73f07888abd61162ca,Saurabh Patel,2017-04-19 16:56:02+00:00,"Bug Fix : name was not setting if command is set (#65)

* default name was not used when a command was provided",False,8,5,3,1.0,1.0,1.0,4610,2244,2480,613,1.86,79.75830532616135,12.292682926829269,18.0,93.89903199295459,1.4609387372985476,558.6234358625663,31.03463532569815,0.03129967733098488
25,3126e2cd70ba8f790aad7d2d32ca1cf1fb90b9bf,David Bieber,2017-05-21 06:42:35+00:00,Bump version from 0.1.0 to 0.1.1,False,2,1,1,,,,4610,2244,2480,613,1.86,79.75830532616135,12.292682926829269,18.0,93.89903199295459,1.4609387372985476,558.6234358625663,31.03463532569815,0.03129967733098488
26,952e20d1d5e0c264dd17f4f52ebf28f6a194b4c1,David Bieber,2017-05-25 00:02:57+00:00,"Make ipython fully optional (#78)

* Fall back on custom info function if IPython's oinspect is not available, thereby making IPython an optional dependency.
* Test IPython if IPython available, otherwise test with 'code' module.",False,129,86,43,1.0,1.0,1.0,4651,2265,2499,616,1.8632478632478633,79.7102304843433,12.292682926829269,18.0,93.68968807449056,1.4618740563862516,555.4473711076811,30.858187283760074,0.031229896024830204
27,b5053bad7c92bb2ee73d99d924b09a48d1498d67,David Bieber,2017-07-21 21:23:13+00:00,"Accept a list of arguments for the  argument (in addition to continuing to accept a string).

- Update tests to pass Fire args as a list instead of as a string.
- Also uses named argument for command= throughout unit tests.

    Copybara generated commit for Python Fire.
    
PiperOrigin-RevId: 162780662
Change-Id: I1cb0d32510fa5f43e50d85819ebe39f5fecaddce
Reviewed-on: https://team-review.git.corp.google.com/85622
Reviewed-by: David Bieber <dbieber@google.com>",False,557,366,191,0.04819277108433735,0.9698795180722891,0.9698795180722891,4826,2279,2665,621,1.8640226628895185,79.60425035166375,12.292682926829269,18.0,93.68968807449056,1.4618740563862516,555.4473711076811,30.858187283760074,0.031229896024830204
28,3e98ed525eced05a5e78418f92770da28c71cf8e,David Bieber,2017-07-24 16:06:32+00:00,"Updates to setup.py in preparation for release 0.1.2.
Copybara generated commit for Python Fire.

PiperOrigin-RevId: 162942210
Change-Id: I2b42bfc7ed249e2265fb3227230241b0bc19ab32
Reviewed-on: https://team-review.git.corp.google.com/85921
Reviewed-by: David Bieber <dbieber@google.com>",False,14,9,5,,,,4830,2282,2671,621,1.8640226628895185,79.60425035166375,12.292682926829269,18.0,93.68968807449056,1.4618740563862516,555.4473711076811,30.858187283760074,0.031229896024830204
29,43c0b8cd3955110e1c79e55ad97ee64b30c79956,David Bieber,2017-07-24 17:55:48+00:00,"Adds MANIFEST.in to Python Fire (properly including LICENSE file in sdist).

Copybara generated commit for Python Fire.

PiperOrigin-RevId: 162957262
Change-Id: I3f8ef57524d05554a85d0e5fd8c83aa14e0c6200
Reviewed-on: https://team-review.git.corp.google.com/86022
Reviewed-by: David Bieber <dbieber@google.com>
Reviewed-by: Peter Grabowski <petergrabowski@google.com>",False,10,8,2,,,,4829,2282,2670,621,1.8640226628895185,79.60425035166375,12.292682926829269,18.0,93.68968807449056,1.4618740563862516,555.4473711076811,30.858187283760074,0.031229896024830204
30,a944d2854f881469c0e099a1a029806bedd670dc,David Bieber,2017-07-24 18:52:19+00:00,Remove download_url from setup.py,False,1,0,1,,,,4828,2282,2669,621,1.8640226628895185,79.60425035166375,12.292682926829269,18.0,93.68968807449056,1.4618740563862516,555.4473711076811,30.858187283760074,0.031229896024830204
31,6c3331fb3e6197ac84320d7ddcf3c536e3b31c11,David Bieber,2017-07-24 21:14:29+00:00,Remove unused DOWNLOAD_URL from setup.py.,False,2,0,2,,,,4826,2281,2667,621,1.8640226628895185,79.60425035166375,12.292682926829269,18.0,93.68968807449056,1.4618740563862516,555.4473711076811,30.858187283760074,0.031229896024830204
32,379dd0a497c9698c7cf0a6be98e58cc836b3a71c,Aaron Giovannini,2017-08-21 15:37:30+00:00,"Disabled ASCII conversion in order to improve console output encoding… (#87)

* Disabled ASCII conversion from json.dumps in order to improve console output encoding/printing.",False,3,2,1,,,,4827,2281,2667,622,1.8640226628895185,79.60398748854199,12.292682926829269,18.0,93.68968807449056,1.4618740563862516,555.4473711076811,30.858187283760074,0.031229896024830204
33,e76a10c0511ea4485b57543ccb966e7778213279,David Bieber,2017-08-29 17:28:00+00:00,"- Sync docs across readme and index.
  - Clean up ascii comment

Copybara generated commit for Python Fire.

PiperOrigin-RevId: 166864447
Change-Id: Iafe0bb00bc44b49175c7f138debe89013f2787dd
Reviewed-on: https://team-review.git.corp.google.com/107481
Reviewed-by: David Bieber <dbieber@google.com>",False,4,2,2,,,,4827,2281,2667,622,1.8640226628895185,79.60398748854199,12.292682926829269,18.0,93.68968807449056,1.4618740563862516,555.4473711076811,30.858187283760074,0.031229896024830204
34,7400ca845eb5fb41bc788e5b3052e860ab17e43b,mbarkhau,2017-10-11 17:15:08+00:00,"Fix for BinOp in args (#96)

* Always treat binary op args as string literals
* add test for binop
* add test for negative numbers
* raise ValueError for BinOp expressions
Fixes #95",False,9,8,1,1.0,0.7142857142857143,1.0,4834,2288,2674,622,1.8644067796610169,79.4963190725619,12.365853658536585,18.097560975609756,94.01505026968289,1.474069178337471,555.8307197358266,30.879484429768155,0.03133835008989431
35,fa575938964a65e29d89f7f13244587602cf957d,greenmoon55,2017-12-04 22:01:10+00:00,"Do not treat arguments that start with '--' as string. (#99)

* Do not treat arguments that start with '--' as strings / values.",False,123,69,54,0.0,0.36363636363636365,0.5454545454545454,4849,2296,2685,622,1.8672316384180792,79.48519369192681,12.390243902439025,18.21951219512195,94.92841133332942,1.4764283537149392,567.5426556844321,31.530147538024018,0.031642803777776486
36,72604f40314008e562ba47936dcc183b51166b72,David Bieber,2017-12-04 22:40:34+00:00,"Lint for continued line, fire.svg badge, and spelling fix.

PiperOrigin-RevId: 177869077
Change-Id: I2feed4959ce0842ef6152b7bfcf3539e9141b176
Reviewed-on: https://team-review.git.corp.google.com/172708
Reviewed-by: David Bieber <dbieber@google.com>",False,8,4,4,,,,4849,2296,2685,622,1.8672316384180792,79.48519369192681,12.390243902439025,18.21951219512195,94.92841133332942,1.4764283537149392,567.5426556844321,31.530147538024018,0.031642803777776486
37,7f166e90890f18c77aee2ea5f2c24ba97b818f8e,David Bieber,2018-01-08 19:28:38+00:00,"Consistent return statements, keyword-arg-before-vararg lint disables, docstrings, and import order pylintrc.

PiperOrigin-RevId: 181191467
Change-Id: I1e7670270b7ff94abaeec1294bdb57fdfcaf8e7e
Reviewed-on: https://team-review.git.corp.google.com/192187
Reviewed-by: David Bieber <dbieber@google.com>",False,15,9,6,1.0,1.0,1.0,4852,2299,2686,625,1.8672316384180792,79.51263718820354,12.390243902439025,18.21951219512195,94.92841133332942,1.4764283537149392,567.5426556844321,31.530147538024018,0.031642803777776486
38,9bff9d01ce16589201f57ffef27ea84744951c11,cclauss,2018-01-11 00:20:54+00:00,"unicode() --> six.u() for Python 3 compatibility (#111)

__unicode()__ was removed from Python 3 because all strs are unicode.

Executing these lines in Python 3 would raise a NameError.

* https://pythonhosted.org/six/#six.u",False,4,2,2,,,,4852,2299,2686,625,1.8672316384180792,79.51263718820354,12.390243902439025,18.21951219512195,94.92841133332942,1.4764283537149392,567.5426556844321,31.530147538024018,0.031642803777776486
39,6912ccd56f50e0f4bb30a0725d95858ef29f3bde,David Bieber,2018-02-23 18:18:14+00:00,"- Prepare Fire for v0.1.3 release. by dbieber <dbieber@google.com>

PiperOrigin-RevId: 186785089
Change-Id: I9c0d87c78fc37c73768c72f9630a5f6d40023cf6
Reviewed-on: https://team-review.git.corp.google.com/221474
Reviewed-by: David Bieber <dbieber@google.com>",False,5,3,2,,,,4853,2300,2687,625,1.8672316384180792,79.50697132712126,12.390243902439025,18.21951219512195,94.92841133332942,1.4764283537149392,567.5426556844321,31.530147538024018,0.031642803777776486
40,83a8036ea9a3a4594ba89d0f48e48a2aed597a7e,Isaac Ellmen,2018-05-21 20:41:04+00:00,"Fish completion support (#122)

- Fish completion support (--completion fish)",False,133,115,18,0.4444444444444444,0.4444444444444444,0.3888888888888889,4947,2351,2759,629,1.871866295264624,79.32069167033346,12.731707317073171,18.902439024390244,99.41993789236928,1.4951807075399337,603.6663818993229,33.537021216629064,0.033139979297456434
41,021d627c92adead1aa8cc45a1308a6e4980dbcca,Joe Chen,2018-06-21 23:09:42+00:00,"Copybara generated commit for Python Fire.

  - Formatting for completion.
  - Preserving order of keys when printing result which is an OrderedDict.
  - Allow use of --help without --.

PiperOrigin-RevId: 201601732
Change-Id: Icba7e663634f5153283095d8b177d834af480b15
Reviewed-on: https://team-review.git.corp.google.com/278010
Reviewed-by: Joe Chen <zuhaochen@google.com>",False,165,137,28,0.647887323943662,0.6338028169014085,1.0,5056,2429,2834,636,1.8733153638814015,79.06700662858073,12.878048780487806,19.26829268292683,102.38510804380466,1.4975386548198601,634.2894271539927,35.23830150855517,0.034128369347934895
42,eb8f053cee599b49a7ec4f313b6ed7d7fb33e907,cclauss,2018-06-22 04:05:15+00:00,"Change unicode() —> six.text_type() for Python 3 (#128)

See #111",False,4,2,2,,,,5056,2429,2834,636,1.8733153638814015,79.06700662858073,12.878048780487806,19.26829268292683,102.38510804380466,1.4975386548198601,634.2894271539927,35.23830150855517,0.034128369347934895
