ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,0a5a73fda48fc0e11a2c5798cd2519fcc3ebe015,Michael Elsdoerfer,2011-04-25 12:59:06+00:00,Added glob and fnmatch modules from Python 2.6 distribution.,False,194,194,0,0.35454545454545455,0.23636363636363636,1.0,194,131,120,6,4.9,66.74845092705735,39.5,67.5,376.36009073057653,5.812765957446809,2872.6554225927716,159.59196792182064,0.12545336357685885
1,825d48a0a2a4506eebbfc4668f2f13a5f6e7748d,Michael Elsdoerfer,2011-04-25 13:45:28+00:00,"Changed the glob and fnmatch modules to capture the text behind it's
patterns and return it.",False,104,91,13,0.9607843137254902,0.9607843137254902,1.0,272,171,181,6,3.05,70.78398021863532,24.25,39.75,213.3821358743994,3.157853566958698,1478.410250963377,82.13390283129871,0.07112737862479981
2,7c14de1e9e8a448e1244f4843362c3e038666ef8,Michael Elsdoerfer,2011-04-25 13:46:49+00:00,Added basic setup.py file.,False,40,40,0,,,,312,188,215,8,3.05,76.62718417490825,19.4,31.8,170.70570869951953,2.5262828535669586,1182.7282007707015,65.70712226503898,0.05690190289983985
3,10dac228ea42b00fd19dd8537e85af8fe7fe31ed,Michael Elsdoerfer,2011-04-25 13:57:57+00:00,Corrected setup.py description.,False,2,1,1,,,,312,188,215,8,3.05,76.62718417490825,19.4,31.8,170.70570869951953,2.5262828535669586,1182.7282007707015,65.70712226503898,0.05690190289983985
4,20aa5710702a0c8c3001d55b82755944669a2a5c,Michael Elsdoerfer,2011-06-14 19:38:02+00:00,Added support for recusive wildcard format (**).,False,172,148,24,0.65,0.8666666666666667,0.65,412,224,278,24,2.5806451612903225,78.88721939419223,21.0,34.8,188.11292619533683,2.541106382978723,1250.498477372848,69.47213763182488,0.06270430873177894
5,35d4194942332d56767a64a14ffc868f27f9d4ad,Michael Elsdoerfer,2011-06-14 19:46:26+00:00,Make returning the matching groups optional.,False,51,35,16,1.0,1.0,1.0,430,231,283,24,2.5625,78.78498942756184,21.0,34.8,188.11292619533683,2.541106382978723,1250.498477372848,69.47213763182488,0.06270430873177894
6,4b9ac39879fecf50263ba6ae57843e82bb9e6f63,Michael Elsdoerfer,2011-06-14 19:52:11+00:00,Prepare 0.2. release.,False,7,4,3,,,,431,231,284,24,2.5625,75.14054177273051,21.6,35.4,189.0639036957695,2.641106382978723,1250.9739661230644,69.49855367350357,0.06302130123192318
7,504440f1d6ddcc9adc78425e6f9731052beea993,Michael Elsdoerfer,2011-06-14 19:54:30+00:00,Start 0.3. dev line.,False,2,1,1,,,,431,231,284,24,2.5625,75.14054177273051,21.6,35.4,189.0639036957695,2.641106382978723,1250.9739661230644,69.49855367350357,0.06302130123192318
8,9fc9649e7fd5111755b71564756232792df5d580,Michael Elsdoerfer,2011-06-14 20:14:33+00:00,"Rename the glob2.glob module so we don't shadow it.

glob2.glob is the exported glob function.",False,2,1,1,,,,431,231,284,24,2.5625,75.14054177273051,21.6,35.4,189.0639036957695,2.641106382978723,1250.9739661230644,69.49855367350357,0.06302130123192318
9,7664956034dc39a4449e4a5293ad887382b81351,Zalan Blenessy,2012-01-19 12:43:46+00:00,Fixed plain filepath (non-glob) patterns,False,14,13,1,1.0,1.0,1.0,443,234,291,28,2.515151515151515,75.44535336386018,21.6,35.4,189.0639036957695,2.641106382978723,1250.9739661230644,69.49855367350357,0.06302130123192318
10,0a36ca6469d234bdaf0322f505d5a9c1fdbeb4d8,Michael Elsdörfer,2012-01-19 13:19:35+00:00,Tests: order from filesystem cannot be relied upon.,False,26,13,13,,,,431,231,284,24,2.5625,75.14054177273051,21.6,35.4,189.0639036957695,2.641106382978723,1250.9739661230644,69.49855367350357,0.06302130123192318
11,56512b696452eda507c19f4fed561063d3e55b50,Michael Elsdörfer,2012-01-19 14:03:58+00:00,Removed copy-pasted comment.,False,5,1,4,,,,440,234,291,25,2.515151515151515,75.07549312973512,21.6,35.4,189.0639036957695,2.641106382978723,1250.9739661230644,69.49855367350357,0.06302130123192318
12,a969e1279817e02c6f027fed7f8ac728445e0979,Michael Elsdörfer,2012-01-19 14:13:41+00:00,Prepare 0.3 release.,False,10,8,2,,,,440,234,291,25,2.515151515151515,75.07549312973512,21.6,35.4,189.0639036957695,2.641106382978723,1250.9739661230644,69.49855367350357,0.06302130123192318
13,16a01b85ee778077a2f7a53d3dc488717e87a8d4,Michael Elsdörfer,2012-07-09 10:16:39+00:00,Expose the whole glob module in the root namespace.,False,3,0,3,,,,437,233,290,25,2.515151515151515,75.10934056721425,21.6,35.4,189.0639036957695,2.641106382978723,1250.9739661230644,69.49855367350357,0.06302130123192318
14,ea4c11aea9f498ca631ed19dee4829404f9da2f3,Michael Elsdörfer,2012-07-10 20:01:05+00:00,"Provide to allow replacing filesystem dependency.

By moving the implementation to a class, and making it possible to provide
custom implementations for the filesystem functions that are used, it is now
possible to use the globbing code on virtual filesystem implementations.

This is now clearly moving away from the original glob module, and as such,
I took the liberty to refactor a bit, change some of the internal names used,
and to add comments.

The public interface, the glob.glob and glob.iglob functions, remains
unchanged.",False,225,125,100,1.0,0.0,0.0,462,233,291,32,2.6666666666666665,74.95556158557315,21.8,35.6,190.4634507699956,2.6389525368248767,1255.7753358643781,69.76529643690989,0.06348781692333187
15,efb3ce574855121ec47d1d87ff9db1a6eec97dbe,Michael Elsdörfer,2013-05-08 19:01:24+00:00,Add original files from Python 3.3.1.,False,87,48,39,1.0,1.0,1.0,203,133,123,9,4.454545454545454,69.01621281024929,32.0,58.5,306.8847309739589,5.116424116424117,2071.4755467820937,115.08197482122743,0.10229491032465296
16,687667507d77d2d5fdef491daf09efa25fc0d7c7,Michael Elsdörfer,2013-05-08 19:47:48+00:00,"Make work on Python 3.3 and 2.x.

Before this, we had a mix of Python 2 (the original) with the version
from Python 3 merged in.",False,358,349,9,0.3684210526315789,0.6210526315789474,0.9263157894736842,839,486,534,91,2.7777777777777777,70.79457330913851,26.0,48.0,258.5420917759921,3.316047139576551,1639.9176368596998,91.10653538109443,0.08618069725866405
17,a6ce4b1add0bcc664240cd63b27e460194e27c3f,Michael Elsdörfer,2013-05-08 19:57:02+00:00,Increment version number for new release.,False,2,1,1,,,,839,486,534,91,2.7777777777777777,70.79457330913851,26.0,48.0,258.5420917759921,3.316047139576551,1639.9176368596998,91.10653538109443,0.08618069725866405
18,a90d18e04e1b12fef85ac23efccdab17aa161072,Michael Elsdörfer,2013-05-08 20:07:21+00:00,Declare Python 3 support.,False,1,1,0,,,,840,486,535,91,2.7777777777777777,70.76481381660979,26.0,48.0,258.5420917759921,3.316047139576551,1639.9176368596998,91.10653538109443,0.08618069725866405
19,9df5ad54bee5306d5c550b0f76cb9555aebacf63,Michael Elsdörfer,2013-05-13 12:48:24+00:00,"Bring back 2.6 compatibility.

Also, the compat module had the lru_cache recipe copied in twice.",False,168,1,167,0.631578947368421,0.37894736842105264,0.07368421052631578,674,373,427,63,2.775,72.47159433294075,24.0,38.5,201.16413554798638,2.9541423776717894,1116.3532775510982,62.01962653061657,0.0670547118493288
20,880ac00407776db1b2ac7a3b41b9ae28425b8ab7,Michael Elsdörfer,2013-05-13 12:48:56+00:00,Prepare new version.,False,2,1,1,,,,674,373,427,63,2.775,72.47159433294075,24.0,38.5,201.16413554798638,2.9541423776717894,1116.3532775510982,62.01962653061657,0.0670547118493288
21,fec70a24f7aa37730a2582f2dc20f41ad3e40559,Philippe Ombredanne,2014-01-21 10:08:08+00:00,Fixed comment typo,False,2,1,1,,,,674,373,427,63,2.775,72.47159433294075,24.0,38.5,201.16413554798638,2.9541423776717894,1116.3532775510982,62.01962653061657,0.0670547118493288
