ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,4258e041a395dc7f7976b619cd5727cca0a187ff,Joe Gregorio,2012-08-22 21:19:22+00:00,Initial checkin,False,162,162,0,0.7285714285714285,0.6285714285714286,1.0,162,84,78,9,3.9,62.41008544012972,64.0,105.0,630.0,5.7272727272727275,3608.1818181818185,200.45454545454547,0.21
1,871c30842d6294605398a3e574291e6f465e3f29,Joe Gregorio,2012-08-22 21:19:56+00:00,"Added __init__.py which makes transcluding this project into other Python
projects easier",False,0,0,0,,,,162,84,78,9,3.9,81.20504272006485,32.0,52.5,315.0,2.8636363636363638,1804.0909090909092,100.22727272727273,0.105
2,c3320d5a262c7698d00e6fcf3b89ab384287d626,Steve Vinoski,2012-08-22 21:26:21+00:00,"* Add Erlang version of mimeparse.
* Fix problem in best_match where a wildcard match was being preferred to an exact match.
* Handle single star ""*"" mime_type that Java's URLConnection class emits by turning it into ""*/*"".
* Added unit tests for the changes.",False,65,42,23,1.0,1.0,1.0,181,94,85,14,3.727272727272727,80.19563535802426,33.0,54.0,326.3972824453565,2.8421052631578947,1855.3108686367632,103.07282603537573,0.10879909414845217
3,032c52c6172856af88bbd5b7c59b3c1fb744421e,Ade Oshineye,2012-08-22 21:32:30+00:00,"Added the first set of language independent tests and a Python implementation.
The current tests are just a port of the existing Python tests but I plan to add more.",False,107,107,0,1.0,1.0,0.6774193548387096,241,139,129,15,3.0,76.06769879478809,30.333333333333332,47.0,268.6806063844263,2.3947368421052633,1313.4975395557917,72.97208553087732,0.0895602021281421
4,bb1cbb2aa586d3ac74a21148a03c207d18a64262,Ade Oshineye,2012-08-22 21:34:38+00:00,Removed the tests in mimeparse.py since we now have the language independent tests.,False,58,0,58,0.0,0.0,0.0,183,95,92,3,3.8181818181818183,76.48627478711808,29.0,45.0,253.52509264067575,2.4245283018867925,1245.4435971928876,69.19131095516043,0.08450836421355858
5,7d9fecd71d687ee61bbc055d5b5026a2d36d02d5,Ade Oshineye,2012-08-22 21:39:17+00:00,"Added tests for parse_mime_type. One came from the docstring for the Python
function. The other came from the test for the Go function. Updated the README
file to describe the structure of the test data.",False,18,18,0,1.0,1.0,1.0,190,101,98,3,3.5833333333333335,75.49065839851536,30.333333333333332,47.0,265.59642748981224,2.4245283018867925,1263.5505994665925,70.1972555259218,0.08853214249660407
6,8bfb5ebf9d6cef561f5ab6462e51291127cdf1ad,Ed Summers,2012-08-22 21:41:23+00:00,Respect order of supported in the event of a tie.,False,29,21,8,1.0,1.0,1.0,201,109,106,3,3.5384615384615383,75.67252704063938,30.666666666666668,48.0,272.35855025915555,2.444444444444444,1315.091947119554,73.06066372886411,0.09078618341971852
7,0ae0ebf94de6366490e0b2ed62d36c0ba5cc5e99,D.B. Tsai,2012-08-28 03:02:40+00:00,"Ported to python3k, and added pypy into the tox test automation.",False,63,32,31,,,,281,113,149,6,3.5384615384615383,82.035463432255,24.0,37.5,215.699289737697,1.9978070175438596,1163.742195966463,64.65234422035905,0.071899763245899
8,a63b32c7a7673ccfd24593ed69e57e43edfefb1b,D.B. Tsai,2012-08-28 03:02:49+00:00,Uploaded to PyPI using python-mimeparse as package name.,False,137,72,65,1.0,1.0,1.0,274,117,143,4,3.357142857142857,78.49941433173055,25.25,39.0,219.18218188002805,2.1228070175438596,1165.4836420376284,64.74909122431269,0.07306072729334268
9,29a769f3107e904e4935efe8765328f79adf633a,D.B. Tsai,2012-08-28 03:02:53+00:00,"Fixed that parse_media_range overrides quality values of 0

https://github.com/dbtsai/python-mimeparse/issues/1",False,15,4,11,0.0,1.0,0.0,273,117,142,4,3.2857142857142856,78.50278619246839,24.75,38.25,213.45213779659315,2.1363636363636367,1137.106057081935,63.17255872677416,0.07115071259886437
