ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,aa2e146a60aa9b2257ce748690104c796a09b551,Miguel Grinberg,2015-07-15 07:04:53+00:00,Initial commit,False,3853,3853,0,0.7998027613412229,0.8106508875739645,0.7268244575936884,1928,1112,1250,248,1.9568345323741008,81.43836911218588,14.428571428571429,23.5,136.21452106373675,1.514721023287088,946.161625966217,52.56453477590095,0.045404840354578924
1,d4cd9de799726a8ed6f0d30e15c9bf80047d7de6,Miguel Grinberg,2015-07-20 01:59:14+00:00,Return the rooms a client is in,False,38,38,0,1.0,1.0,0.6538461538461539,1966,1140,1276,248,1.9583333333333333,81.14765427314342,15.214285714285714,24.428571428571427,142.52838533614892,1.583209275001728,982.0637212151621,54.55909562306457,0.04750946177871631
2,540f7fd8644f2caf46074027d605dc57e12377a9,Miguel Grinberg,2015-07-20 02:00:17+00:00,Release 0.2.0,False,2,1,1,,,,1966,1140,1276,248,1.9583333333333333,81.14765427314342,15.214285714285714,24.428571428571427,142.52838533614892,1.583209275001728,982.0637212151621,54.55909562306457,0.04750946177871631
3,19042e157061345938450bcd9d098ffbef2acecd,Miguel Grinberg,2015-07-27 02:02:20+00:00,allow events to be sent from the connect handler,False,9,6,3,1.0,1.0,0.6666666666666666,1969,1143,1279,248,1.9583333333333333,81.14667087486126,15.214285714285714,24.428571428571427,142.52838533614892,1.583209275001728,982.0637212151621,54.55909562306457,0.04750946177871631
4,cbb1a82de4e6e21e27ef9e69574961ffed9309e8,Miguel Grinberg,2015-07-27 02:04:27+00:00,Release 0.3.0,False,2,1,1,,,,1969,1143,1279,248,1.9583333333333333,81.14667087486126,15.214285714285714,24.428571428571427,142.52838533614892,1.583209275001728,982.0637212151621,54.55909562306457,0.04750946177871631
5,5633917201825366771011e10d7a3df3d2dc8a75,Miguel Grinberg,2015-08-06 07:35:57+00:00,added server disconnect support,False,55,48,7,1.0,1.0,0.6153846153846154,2007,1168,1306,248,1.9527027027027026,81.0412724151565,15.571428571428571,25.071428571428573,147.56803140256238,1.5809176083350611,1015.585866983712,56.42143705465067,0.04918934380085412
6,8e570789aabb90fd494d6468a5512d631e56d60f,Miguel Grinberg,2015-08-08 02:50:50+00:00,Added support for gevent and standard threads besides eventlet,False,351,262,89,0.0,1.0,1.0,2034,1184,1319,252,1.9333333333333333,81.69345565371938,16.142857142857142,26.571428571428573,155.37690423747594,1.613459990822619,1031.5025463834502,57.3056970213028,0.05179230141249199
7,bd526a7de7aea398762377d641c4445124aac0c1,Miguel Grinberg,2015-08-08 19:49:05+00:00,Release 0.4.0,False,2,1,1,,,,2034,1184,1319,252,1.9333333333333333,81.69345565371938,16.142857142857142,26.571428571428573,155.37690423747594,1.613459990822619,1031.5025463834502,57.3056970213028,0.05179230141249199
8,9cee03859c69cfb5aac37dac4163e852bec7e8e0,Miguel Grinberg,2015-08-18 06:01:57+00:00,Fixed executable bit on several files,False,0,0,0,,,,2034,1184,1319,252,1.9333333333333333,81.69345565371938,16.142857142857142,26.571428571428573,155.37690423747594,1.613459990822619,1031.5025463834502,57.3056970213028,0.05179230141249199
9,b59cefcfdb42e13646b4f1bee50e483935b8e57c,Miguel Grinberg,2015-08-20 05:46:21+00:00,Added docs on websocket support with gevent,False,31,24,7,,,,2033,1184,1318,252,1.9333333333333333,81.69345565371938,16.142857142857142,26.571428571428573,155.37690423747594,1.613459990822619,1031.5025463834502,57.3056970213028,0.05179230141249199
