ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,46aa2ba26db5b9c614432eb111ba638c8a409a1b,Selwin Ong,2013-01-05 00:46:11+00:00,Initial commit.,False,478,478,0,0.4941860465116279,0.7151162790697675,0.8430232558139535,334,222,271,18,3.736842105263158,86.89175705839273,17.75,31.25,192.1795974845213,1.3174603174603174,1012.7559740454138,56.26422078030077,0.06405986582817377
1,bf571e9012d8f5bc08dafb551c8baa2ea3caf63d,Selwin Ong,2013-01-05 05:55:39+00:00,Use distutils instead of setuptools in setup.py,False,10,9,1,,,,334,222,271,18,3.736842105263158,86.89175705839273,17.75,31.25,192.1795974845213,1.3174603174603174,1012.7559740454138,56.26422078030077,0.06405986582817377
2,ec4850558605da638401211efd5e917a0d66e52b,Selwin Ong,2013-01-05 06:12:11+00:00,Added VERSION to __init__.py.,False,2,2,0,,,,336,223,272,18,3.736842105263158,86.89175705839273,17.75,31.25,192.1795974845213,1.3174603174603174,1012.7559740454138,56.26422078030077,0.06405986582817377
3,ca1d8404017c39a4ec9fe405b83d12a9e6d5df5a,Selwin Ong,2013-01-07 10:52:29+00:00,"Added ""is_spider"" property, Symbian devices are now recognized as mobile devices too.",False,44,43,1,0.06896551724137931,1.0,1.0,378,258,310,19,3.4761904761904763,86.73635774178472,18.25,32.0,198.07438588416056,1.3076923076923077,1036.0814030863783,57.56007794924324,0.06602479529472019
4,2a2852df246b2ff2aa58c3451eb407270cfd1d91,Selwin Ong,2013-01-07 10:53:16+00:00,Bump version for development.,False,4,2,2,,,,378,258,310,19,3.4761904761904763,86.73635774178472,18.25,32.0,198.07438588416056,1.3076923076923077,1036.0814030863783,57.56007794924324,0.06602479529472019
5,d9cc2b3f3bfdc9bb4a75afcc2c802ec1da64d0b3,Selwin Ong,2013-01-07 14:29:25+00:00,Renamed 'is_spider' property to 'is_bot'.,False,59,35,24,,,,378,258,310,19,3.4761904761904763,86.73635774178472,18.25,32.0,198.07438588416056,1.3076923076923077,1036.0814030863783,57.56007794924324,0.06602479529472019
6,16472bddcfe74059555b35a7b34e5741b5aa95e9,Selwin Ong,2013-10-13 03:20:33+00:00,Fixed detection errors when running against latest version of ua-parser,False,8,6,2,,,,382,258,314,21,3.4761904761904763,86.92366605199223,18.25,32.0,198.07438588416056,1.3076923076923077,1036.0814030863783,57.56007794924324,0.06602479529472019
7,171b951c773739b3a485bf4e4b3c2bd93950a174,Selwin Ong,2013-10-13 03:37:30+00:00,Make tests pass on Python 3.,False,20,15,5,,,,392,265,321,21,3.4761904761904763,86.59280789569283,19.25,33.5,209.93734911327923,1.289855072463768,1083.1550186134407,60.175278811857815,0.06997911637109308
8,9329115125db9f63676a19d8e193ac1839fcf1ad,Selwin Ong,2013-10-13 03:42:47+00:00,Bumped of to version 0.2.0.,False,9,7,2,,,,392,265,321,21,3.4761904761904763,86.59280789569283,19.25,33.5,209.93734911327923,1.289855072463768,1083.1550186134407,60.175278811857815,0.06997911637109308
9,be48b3c8fe9fec6ff9999a219580eb47ab5745bf,TonySeek,2013-11-26 13:13:19+00:00,Update tests for firefox aurora android.,False,7,7,0,0.0,1.0,1.0,399,272,328,21,3.4761904761904763,86.59280789569283,19.25,33.5,209.93734911327923,1.289855072463768,1083.1550186134407,60.175278811857815,0.06997911637109308
