ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,fe512c5b60fea06bb98cc8fe831fd889b383dc8f,Simon Sapin,2012-12-06 22:02:28+00:00,"Initial commit: LICENSE, README, and importable Python package.",False,60,60,0,,,,12,1,0,0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,ff69f75d5e1bb21286b92037d44a5c85b3e70811,Simon Sapin,2012-12-06 23:19:36+00:00,Add labels.,False,346,346,0,0.1320754716981132,0.4339622641509434,1.0,355,52,276,8,2.5,91.58088413284511,7.75,14.25,58.544072028403804,0.7083333333333334,61.33409544286055,3.407449746825586,0.0195146906761346
2,2234063868e1c7faeb1e614f3ba956efca9c6c92,Simon Sapin,2012-12-07 00:09:30+00:00,Add setup.py and tox.ini files.,False,21,21,0,,,,367,54,285,10,2.5,93.33112069896877,6.2,11.4,46.83525762272304,0.5666666666666667,49.06727635428844,2.725959797460469,0.015611752540907681
3,94d51a2e76f2fd6e251cac32c7821acdf1eb39fa,Simon Sapin,2012-12-07 00:22:02+00:00,Map names to valid Python aliases.,False,52,35,17,0.75,0.75,1.0,385,60,294,14,2.4,92.88105631530739,7.2,12.6,55.370527509086585,0.7090909090909091,89.4835016057387,4.971305644763261,0.01845684250302886
4,16c81f9eb0f9a36e21e541a06a80d31936cb9858,Simon Sapin,2012-12-07 00:47:06+00:00,"Add {,utf8_}{encode,decode} and some tests.",False,85,83,2,1.0,1.0,0.775,466,104,334,27,1.6923076923076923,89.97085714273366,13.8,26.4,148.5932703416846,0.6909090909090909,220.8287077706671,12.268261542814837,0.04953109011389486
5,775ace165fcde96cb03c1475b7794e3ed6cdc784,Simon Sapin,2012-12-07 13:28:12+00:00,Implement x-user-defined.,False,345,343,2,1.0,1.0,0.5294117647058824,807,136,630,33,1.5416666666666667,89.28012533042015,12.166666666666666,23.0,128.0510166519181,0.5365497076023392,101.11561740709516,5.617534300394176,0.04268367221730604
6,376166bbb4563530b0f6a8325aa232588ad5097b,Simon Sapin,2012-12-07 14:34:58+00:00,Add iterencode() and iterdecode().,False,79,78,1,0.2608695652173913,1.0,0.6086956521739131,883,181,678,36,1.6071428571428572,85.81782086284697,18.666666666666668,35.0,216.92034366986468,0.7000000000000001,164.96905307251106,9.164947392917282,0.07230678122328824
7,d23745fa1a1cf682ce03c60ecf5668937407a240,Simon Sapin,2012-12-23 00:17:23+00:00,Switch to an object-based API.,False,404,239,165,0.9791666666666666,0.7083333333333334,0.5625,959,235,730,27,1.8518518518518519,82.95983628250598,20.166666666666668,40.333333333333336,247.11219526601892,1.1856060606060606,418.5671603662645,23.253731131459144,0.08237073175533964
8,8045e46c62a00dd8f624c0f4741ca26a5f42e81c,Simon Sapin,2012-12-23 00:18:20+00:00,Add some documentation,False,303,302,1,,,,1231,260,786,177,1.8518518518518519,85.39414538500513,17.285714285714285,34.57142857142857,211.81045308515905,1.0162337662337662,358.7718517425124,19.931769541250695,0.07060348436171969
9,42bc0a64040fb2f6058ba8ffd13972b41f2ff9bf,Simon Sapin,2012-12-23 21:00:06+00:00,"Switch back to a functinal API

… but keep Encoding objects.",False,363,196,167,0.2,0.0,1.0,1260,253,784,180,1.793103448275862,85.16309456068477,17.714285714285715,35.142857142857146,214.95002700691475,0.9995361781076068,368.1710897684484,20.45394943158047,0.07165000900230492
10,c6e77ff544b9cb7d195da8a43934e31f9f23cbbd,Simon Sapin,2012-12-23 21:00:14+00:00,Update docs,False,58,49,9,,,,1260,253,784,180,1.793103448275862,85.16309456068477,17.714285714285715,35.142857142857146,214.95002700691475,0.9995361781076068,368.1710897684484,20.45394943158047,0.07165000900230492
11,4cbcae2e0a9caa5f43a52b035b2232e707427123,Simon Sapin,2012-12-23 21:23:15+00:00,"Make get_encoding() private.

It’s redundant with lookup().",False,11,5,6,,,,1260,253,784,180,1.793103448275862,85.16309456068477,17.714285714285715,35.142857142857146,214.95002700691475,0.9995361781076068,368.1710897684484,20.45394943158047,0.07165000900230492
12,b7a64892ed64e9f0b2ac315a9ee7ad0977dc0d2b,Simon Sapin,2012-12-23 21:29:58+00:00,Links.,False,13,13,0,,,,1263,253,784,180,1.793103448275862,85.09343587329577,17.714285714285715,35.142857142857146,214.95002700691475,0.9995361781076068,368.1710897684484,20.45394943158047,0.07165000900230492
13,08d798ca6305164e20c5200c457d6d3d84153174,Simon Sapin,2012-12-24 10:51:07+00:00,Raise an explict exception on unknown encoding labels.,False,69,46,23,1.0,1.0,0.8571428571428571,1286,268,799,182,1.6875,84.57875819533686,19.0,36.714285714285715,225.82110644915224,1.1716791979949874,557.1819176996727,30.95455098331515,0.07527370214971742
14,73c0d393b891a2bab415986aab2a90f0f5c16870,Simon Sapin,2012-12-24 10:53:41+00:00,Document webencoding.UTF8,False,3,3,0,,,,1287,268,799,183,1.6875,84.55550051013769,19.0,36.714285714285715,225.82110644915224,1.1716791979949874,557.1819176996727,30.95455098331515,0.07527370214971742
15,290a6d0699025feff78096eaf1f71a69b5a93fc8,Simon Sapin,2012-12-24 11:05:43+00:00,Test that all encoding names are valid labels.,False,3,3,0,1.0,1.0,1.0,1290,270,801,184,1.71875,84.54032994249913,19.142857142857142,37.142857142857146,229.09311717410225,1.1727257704701315,566.2777579264475,31.459875440358196,0.07636437239136742
